* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (3- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Sep 22, 2023 11:03:04 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Sep 22
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	82.630	-171.8804
20.299999	82.646	-172.4739
20.600000	82.658	-173.1069
20.900000	82.658	-173.7596
21.200001	82.642	-174.3817
21.400000	82.624	-174.7498
21.799999	82.580	-175.3590
22.000000	82.559	-175.6069
22.400000	82.524	-176.0435
22.700001	82.506	-176.3811
23.000000	82.489	-176.7723
23.299999	82.468	-177.2207
23.600000	82.439	-177.7094
24.000000	82.387	-178.3849
24.299999	82.341	-178.8848
24.700001	82.275	-179.5318
25.000000	82.225	179.9935
25.400000	82.160	179.3685
25.799999	82.099	178.7504
26.200001	82.046	178.1344
26.500000	82.013	177.6645
26.900000	81.974	177.0140
27.200001	81.948	176.5074
27.600000	81.913	175.8239
28.000000	81.876	175.1694
28.500000	81.831	174.4381
29.000000	81.795	173.7928
29.500000	81.765	173.1783
30.000000	81.731	172.5708
30.400000	81.695	172.1201
30.700001	81.663	171.8250
31.100000	81.618	171.4989
31.500000	81.575	171.2290
32.000000	81.529	170.9015
32.500000	81.484	170.5154
33.000000	81.430	170.0649
33.500000	81.365	169.6025
34.000000	81.293	169.1765
34.500000	81.227	168.7811
35.000000	81.169	168.3742
35.500000	81.119	167.9222
36.000000	81.069	167.4332
36.500000	81.017	166.9443
37.000000	80.963	166.4965
37.500000	80.912	166.1093
38.200001	80.850	165.6519
38.700001	80.813	165.3481
39.500000	80.752	164.8438
40.000000	80.706	164.5320
40.599998	80.640	164.2028
41.200001	80.572	163.9382
41.799999	80.506	163.7063
42.500000	80.436	163.4109
43.099998	80.378	163.1051
43.700001	80.317	162.7640
44.400002	80.242	162.3675
45.000000	80.179	162.0568
45.500000	80.129	161.8203
46.200001	80.064	161.5173
46.799999	80.012	161.2791
47.500000	79.954	161.0173
48.200001	79.895	160.7706
48.700001	79.851	160.6054
49.400002	79.789	160.3845
50.000000	79.734	160.2026
50.799999	79.659	159.9756
