* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (3- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Sep 22, 2023 10:58:48 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Sep 22
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	81.599	-152.3108
20.299999	81.611	-153.1158
20.600000	81.622	-153.8983
20.900000	81.631	-154.6606
21.200001	81.638	-155.4063
21.400000	81.642	-155.8971
21.799999	81.648	-156.8679
22.000000	81.651	-157.3496
22.400000	81.652	-158.3069
22.700001	81.651	-159.0174
23.000000	81.647	-159.7184
23.299999	81.641	-160.4074
23.600000	81.635	-161.0836
24.000000	81.625	-161.9660
24.299999	81.617	-162.6152
24.700001	81.607	-163.4660
25.000000	81.598	-164.0928
25.400000	81.586	-164.9109
25.799999	81.572	-165.7046
26.200001	81.559	-166.4714
26.500000	81.548	-167.0294
26.900000	81.535	-167.7531
27.200001	81.524	-168.2827
27.600000	81.510	-168.9726
28.000000	81.494	-169.6432
28.500000	81.472	-170.4512
29.000000	81.448	-171.2256
29.500000	81.423	-171.9729
30.000000	81.397	-172.7037
30.400000	81.375	-173.2811
30.700001	81.357	-173.7099
31.100000	81.332	-174.2743
31.500000	81.305	-174.8279
32.000000	81.270	-175.5024
32.500000	81.235	-176.1579
33.000000	81.199	-176.7959
33.500000	81.164	-177.4182
34.000000	81.129	-178.0252
34.500000	81.095	-178.6164
35.000000	81.061	-179.1909
35.500000	81.027	-179.7484
36.000000	80.993	179.7098
36.500000	80.958	179.1825
37.000000	80.923	178.6691
37.500000	80.887	178.1705
38.200001	80.834	177.4999
38.700001	80.796	177.0401
39.500000	80.733	176.3307
40.000000	80.694	175.8998
40.599998	80.646	175.3952
41.200001	80.598	174.9066
41.799999	80.551	174.4324
42.500000	80.497	173.8898
43.099998	80.451	173.4330
43.700001	80.405	172.9895
44.400002	80.350	172.4927
45.000000	80.304	172.0832
45.500000	80.266	171.7533
46.200001	80.212	171.3078
46.799999	80.166	170.9351
47.500000	80.112	170.5075
48.200001	80.055	170.0998
48.700001	80.015	169.8268
49.400002	79.960	169.4635
50.000000	79.914	169.1583
50.799999	79.855	168.7542
51.500000	79.803	168.4071
52.200001	79.750	168.0709
53.000000	79.691	167.7064
53.799999	79.632	167.3591
54.500000	79.582	167.0624
55.200001	79.531	166.7767
56.000000	79.473	166.4688
57.000000	79.401	166.0977
58.000000	79.328	165.7534
59.000000	79.257	165.4413
60.000000	79.190	165.1161
60.799999	79.133	164.8555
61.500000	79.083	164.6425
62.200001	79.034	164.4391
63.000000	78.978	164.2142
64.000000	78.909	163.9506
65.000000	78.843	163.6988
66.000000	78.778	163.4556
67.000000	78.713	163.2291
68.000000	78.649	163.0193
69.000000	78.585	162.8250
70.000000	78.522	162.6410
71.000000	78.460	162.4636
72.000000	78.398	162.2929
73.000000	78.337	162.1331
74.000000	78.277	161.9856
75.000000	78.218	161.8473
76.199997	78.148	161.6935
77.500000	78.074	161.5374
78.800003	78.000	161.3903
80.000000	77.933	161.2673
81.199997	77.867	161.1533
82.500000	77.797	161.0377
83.800003	77.728	160.9313
85.000000	77.665	160.8442
86.199997	77.603	160.7672
87.500000	77.537	160.6978
