* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (3- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Sep 24, 2023 12:05:17 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 7hz Salnotes Zero L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	100.689	-154.4148
20.299999	100.694	-155.1820
20.600000	100.697	-155.9262
20.900000	100.698	-156.6476
21.200001	100.699	-157.3472
21.400000	100.699	-157.8020
21.799999	100.698	-158.6852
22.000000	100.698	-159.1152
22.400000	100.698	-159.9571
22.700001	100.698	-160.5777
23.000000	100.698	-161.1935
23.299999	100.697	-161.8061
23.600000	100.695	-162.4142
24.000000	100.689	-163.2137
24.299999	100.683	-163.8015
24.700001	100.673	-164.5674
25.000000	100.664	-165.1291
25.400000	100.651	-165.8617
25.799999	100.635	-166.5730
26.200001	100.616	-167.2567
26.500000	100.602	-167.7486
26.900000	100.582	-168.3791
27.200001	100.568	-168.8385
27.600000	100.549	-169.4415
28.000000	100.529	-170.0370
28.500000	100.500	-170.7582
29.000000	100.466	-171.4268
29.500000	100.432	-172.0293
30.000000	100.400	-172.5746
30.400000	100.379	-172.9814
30.700001	100.366	-173.2738
31.100000	100.353	-173.6540
31.500000	100.344	-174.0366
32.000000	100.340	-174.5482
32.500000	100.337	-175.1210
33.000000	100.327	-175.7379
33.500000	100.307	-176.3476
34.000000	100.284	-176.9094
34.500000	100.264	-177.4365
35.000000	100.249	-177.9760
35.500000	100.232	-178.5573
36.000000	100.208	-179.1587
36.500000	100.177	-179.7361
37.000000	100.142	179.7328
37.500000	100.108	179.2341
38.200001	100.061	178.5539
38.700001	100.027	178.0846
39.500000	99.973	177.3809
40.000000	99.942	176.9448
40.599998	99.904	176.4004
41.200001	99.859	175.8626
41.799999	99.810	175.3831
42.500000	99.757	174.8995
43.099998	99.720	174.4951
43.700001	99.684	174.0681
44.400002	99.639	173.5616
45.000000	99.597	173.1509
45.500000	99.562	172.8331
46.200001	99.514	172.4122
46.799999	99.476	172.0526
47.500000	99.428	171.6251
48.200001	99.376	171.2181
48.700001	99.339	170.9547
49.400002	99.289	170.6056
50.000000	99.249	170.2957
50.799999	99.193	169.8724
51.500000	99.141	169.5266
52.200001	99.091	169.2025
53.000000	99.037	168.8345
53.799999	98.984	168.4667
54.500000	98.937	168.1424
55.200001	98.887	167.8212
56.000000	98.825	167.5018
57.000000	98.752	167.2194
58.000000	98.699	166.9880
59.000000	98.660	166.6715
60.000000	98.616	166.2372
60.799999	98.567	165.8734
61.500000	98.517	165.5834
62.200001	98.464	165.3334
63.000000	98.403	165.0995
64.000000	98.332	164.8532
65.000000	98.266	164.6185
66.000000	98.204	164.3933
67.000000	98.144	164.1661
68.000000	98.084	163.9441
69.000000	98.026	163.7355
70.000000	97.970	163.5245
71.000000	97.912	163.3173
72.000000	97.853	163.1244
73.000000	97.795	162.9453
74.000000	97.739	162.7747
75.000000	97.683	162.6065
76.199997	97.617	162.4116
77.500000	97.546	162.2161
78.800003	97.477	162.0305
80.000000	97.413	161.8658
81.199997	97.349	161.7165
82.500000	97.282	161.5695
83.800003	97.216	161.4339
85.000000	97.156	161.3162
86.199997	97.097	161.2052
87.500000	97.032	161.0955
88.500000	96.983	161.0186
90.000000	96.910	160.9111
91.199997	96.853	160.8314
92.500000	96.792	160.7513
93.800003	96.733	160.6807
95.000000	96.678	160.6245
96.199997	96.625	160.5771
97.500000	96.566	160.5323
98.800003	96.507	160.4984
100.000000	96.453	160.4751
101.500000	96.388	160.4472
103.000000	96.325	160.4136
104.400002	96.267	160.3779
106.000000	96.201	160.3486
107.500000	96.140	160.3401
109.000000	96.081	160.3409
110.599998	96.018	160.3474
112.000000	95.963	160.3564
113.800003	95.895	160.3737
115.000000	95.851	160.3911
117.199997	95.774	160.4227
118.000000	95.746	160.4307
120.599998	95.646	160.4956
122.000000	95.592	160.5589
124.099998	95.515	160.6476
125.000000	95.484	160.6816
126.500000	95.432	160.7322
128.000000	95.381	160.7849
131.500000	95.260	160.9547
132.000000	95.242	160.9824
134.000000	95.171	161.0922
136.000000	95.099	161.2131
138.000000	95.030	161.3474
140.000000	94.962	161.4993
143.000000	94.856	161.7824
145.000000	94.785	161.9968
147.500000	94.697	162.2938
150.000000	94.613	162.6499
152.500000	94.532	163.0784
155.000000	94.458	163.5736
157.500000	94.395	164.1266
160.000000	94.352	164.7230
162.500000	94.326	165.3188
165.000000	94.313	165.8962
167.500000	94.317	166.4192
170.000000	94.336	166.8596
172.500000	94.364	167.1989
175.000000	94.396	167.4190
177.500000	94.425	167.5241
180.000000	94.448	167.5275
182.500000	94.461	167.4519
185.000000	94.461	167.3348
187.500000	94.449	167.2174
190.000000	94.427	167.1199
192.500000	94.398	167.0448
195.000000	94.365	166.9944
197.500000	94.329	166.9730
200.000000	94.291	166.9781
203.000000	94.244	167.0187
206.000000	94.199	167.0931
209.000000	94.155	167.1884
212.000000	94.111	167.2940
214.000000	94.081	167.3701
218.000000	94.025	167.5327
220.000000	93.998	167.6188
224.000000	93.944	167.8044
227.000000	93.904	167.9530
230.000000	93.865	168.1071
233.000000	93.827	168.2677
236.000000	93.790	168.4345
240.000000	93.742	168.6623
243.000000	93.707	168.8372
247.000000	93.662	169.0793
250.000000	93.629	169.2677
254.000000	93.587	169.5208
258.000000	93.547	169.7746
262.000000	93.508	170.0347
265.000000	93.480	170.2323
269.000000	93.443	170.4965
272.000000	93.417	170.6966
276.000000	93.383	170.9647
280.000000	93.351	171.2360
285.000000	93.312	171.5743
290.000000	93.275	171.9129
295.000000	93.241	172.2507
300.000000	93.208	172.5888
304.000000	93.183	172.8597
307.000000	93.165	173.0612
311.000000	93.142	173.3260
315.000000	93.121	173.5858
320.000000	93.095	173.9098
325.000000	93.071	174.2290
330.000000	93.047	174.5378
335.000000	93.024	174.8429
340.000000	93.002	175.1465
345.000000	92.980	175.4507
350.000000	92.960	175.7573
355.000000	92.940	176.0617
360.000000	92.920	176.3653
365.000000	92.902	176.6676
370.000000	92.884	176.9693
375.000000	92.867	177.2694
382.000000	92.844	177.6846
387.000000	92.829	177.9808
395.000000	92.806	178.4558
400.000000	92.793	178.7494
406.000000	92.779	179.0982
412.000000	92.767	179.4429
418.000000	92.756	179.7785
425.000000	92.743	-179.8401
431.000000	92.732	-179.5183
437.000000	92.720	-179.2007
444.000000	92.708	-178.8318
450.000000	92.697	-178.5167
455.000000	92.689	-178.2559
462.000000	92.677	-177.8958
468.000000	92.668	-177.5902
475.000000	92.658	-177.2318
482.000000	92.648	-176.8740
487.000000	92.641	-176.6216
494.000000	92.632	-176.2679
500.000000	92.624	-175.9637
508.000000	92.615	-175.5603
515.000000	92.607	-175.2093
522.000000	92.599	-174.8588
530.000000	92.591	-174.4566
538.000000	92.583	-174.0558
545.000000	92.577	-173.7048
552.000000	92.571	-173.3511
560.000000	92.564	-172.9460
570.000000	92.557	-172.4391
580.000000	92.551	-171.9299
590.000000	92.546	-171.4188
600.000000	92.541	-170.9062
608.000000	92.538	-170.4920
615.000000	92.536	-170.1267
622.000000	92.535	-169.7608
630.000000	92.534	-169.3414
640.000000	92.534	-168.8115
650.000000	92.535	-168.2761
660.000000	92.538	-167.7388
670.000000	92.542	-167.1993
680.000000	92.548	-166.6563
690.000000	92.555	-166.1112
700.000000	92.564	-165.5621
710.000000	92.575	-165.0089
720.000000	92.588	-164.4548
730.000000	92.602	-163.8998
740.000000	92.618	-163.3389
750.000000	92.637	-162.7746
762.000000	92.662	-162.0985
775.000000	92.692	-161.3681
788.000000	92.727	-160.6385
800.000000	92.762	-159.9647
812.000000	92.800	-159.2943
825.000000	92.845	-158.5734
838.000000	92.895	-157.8598
