* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (3- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Sep 24, 2023 12:04:25 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 7hz Salnotes Zero R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	100.769	-152.2105
20.299999	100.778	-152.9902
20.600000	100.786	-153.7424
20.900000	100.793	-154.4688
21.200001	100.800	-155.1749
21.400000	100.805	-155.6387
21.799999	100.814	-156.5550
22.000000	100.818	-157.0088
22.400000	100.823	-157.9053
22.700001	100.825	-158.5620
23.000000	100.824	-159.1998
23.299999	100.823	-159.8186
23.600000	100.822	-160.4221
24.000000	100.820	-161.2126
24.299999	100.818	-161.8009
24.700001	100.813	-162.5788
25.000000	100.807	-163.1493
25.400000	100.796	-163.8786
25.799999	100.785	-164.5634
26.200001	100.777	-165.2153
26.500000	100.775	-165.7011
26.900000	100.775	-166.3687
27.200001	100.774	-166.8929
27.600000	100.767	-167.6144
28.000000	100.751	-168.3271
28.500000	100.720	-169.1434
29.000000	100.688	-169.8473
29.500000	100.667	-170.4786
30.000000	100.655	-171.1120
30.400000	100.649	-171.6492
30.700001	100.643	-172.0679
31.100000	100.632	-172.6319
31.500000	100.617	-173.1877
32.000000	100.595	-173.8599
32.500000	100.571	-174.5085
33.000000	100.544	-175.1334
33.500000	100.517	-175.7279
34.000000	100.490	-176.2928
34.500000	100.466	-176.8448
35.000000	100.442	-177.4031
35.500000	100.416	-177.9711
36.000000	100.386	-178.5305
36.500000	100.351	-179.0588
37.000000	100.316	-179.5459
37.500000	100.283	179.9988
38.200001	100.241	179.3810
38.700001	100.214	178.9377
39.500000	100.168	178.2247
40.000000	100.137	177.7838
40.599998	100.099	177.2683
41.200001	100.059	176.7768
41.799999	100.020	176.3090
42.500000	99.977	175.7740
43.099998	99.940	175.3116
43.700001	99.900	174.8551
44.400002	99.854	174.3456
45.000000	99.814	173.9241
45.500000	99.782	173.5759
46.200001	99.735	173.0957
46.799999	99.694	172.7005
47.500000	99.645	172.2643
48.200001	99.597	171.8528
48.700001	99.564	171.5692
49.400002	99.518	171.1780
50.000000	99.478	170.8480
50.799999	99.425	170.4252
51.500000	99.378	170.0670
52.200001	99.332	169.7092
53.000000	99.276	169.3098
53.799999	99.220	168.9290
54.500000	99.172	168.5988
55.200001	99.121	168.2707
56.000000	99.062	167.9200
57.000000	98.990	167.5240
58.000000	98.923	167.1389
59.000000	98.858	166.7620
60.000000	98.797	166.3924
60.799999	98.748	166.0840
61.500000	98.702	165.8195
62.200001	98.654	165.5773
63.000000	98.600	165.3248
64.000000	98.534	165.0381
65.000000	98.471	164.7674
66.000000	98.410	164.4816
67.000000	98.347	164.2001
68.000000	98.284	163.9318
69.000000	98.222	163.6649
70.000000	98.159	163.4145
71.000000	98.098	163.1837
72.000000	98.036	162.9675
73.000000	97.974	162.7708
74.000000	97.912	162.5883
75.000000	97.848	162.4143
76.199997	97.771	162.2175
77.500000	97.687	162.0123
78.800003	97.606	161.8118
80.000000	97.532	161.6374
81.199997	97.457	161.4866
82.500000	97.375	161.3624
83.800003	97.292	161.2764
85.000000	97.212	161.2092
86.199997	97.128	161.1910
87.500000	97.046	161.2318
88.500000	96.989	161.2380
90.000000	96.899	161.2612
91.199997	96.825	161.3460
92.500000	96.744	161.5391
93.800003	96.672	161.8308
95.000000	96.618	162.1212
96.199997	96.573	162.4218
97.500000	96.542	162.7749
98.800003	96.537	163.1169
100.000000	96.553	163.3662
101.500000	96.588	163.5123
103.000000	96.621	163.4545
104.400002	96.637	163.2468
106.000000	96.633	162.8959
107.500000	96.614	162.5302
109.000000	96.584	162.1701
110.599998	96.541	161.8410
112.000000	96.497	161.6019
113.800003	96.432	161.3277
115.000000	96.383	161.1729
117.199997	96.295	160.9669
118.000000	96.266	160.9093
120.599998	96.172	160.7160
122.000000	96.114	160.6413
124.099998	96.027	160.5809
125.000000	95.991	160.5587
126.500000	95.933	160.5277
128.000000	95.878	160.5105
131.500000	95.754	160.5215
132.000000	95.737	160.5271
134.000000	95.668	160.5548
136.000000	95.602	160.5915
138.000000	95.537	160.6430
140.000000	95.473	160.7067
143.000000	95.378	160.8211
145.000000	95.317	160.9047
147.500000	95.244	161.0218
150.000000	95.173	161.1478
152.500000	95.103	161.2776
155.000000	95.034	161.4211
157.500000	94.967	161.5837
160.000000	94.901	161.7520
162.500000	94.836	161.9214
165.000000	94.773	162.1043
167.500000	94.714	162.3030
170.000000	94.656	162.5207
172.500000	94.599	162.7519
175.000000	94.546	162.9937
177.500000	94.496	163.2425
180.000000	94.450	163.5029
182.500000	94.408	163.7685
185.000000	94.370	164.0284
187.500000	94.336	164.2808
190.000000	94.305	164.5221
192.500000	94.276	164.7520
195.000000	94.249	164.9671
197.500000	94.224	165.1633
200.000000	94.201	165.3443
203.000000	94.173	165.5439
206.000000	94.145	165.7188
209.000000	94.117	165.8742
212.000000	94.088	166.0226
214.000000	94.067	166.1161
