* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.5 dBFS with no timing reference
* Dated: Nov 4, 2023 5:30:14 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 7th Acoustics Supernova KB-5
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 80.448 -177.1922
20.299999 80.459 -177.9194
20.600000 80.461 -178.5960
20.900000 80.461 -179.2024
21.200001 80.466 -179.7525
21.400000 80.473 179.8903
21.799999 80.493 179.1633
22.000000 80.503 178.7818
22.400000 80.520 177.9833
22.700001 80.525 177.3782
23.000000 80.524 176.7948
23.299999 80.519 176.2449
23.600000 80.514 175.7254
24.000000 80.508 175.0613
24.299999 80.505 174.5662
24.700001 80.499 173.8958
25.000000 80.492 173.3864
25.400000 80.479 172.7100
25.799999 80.461 172.0527
26.200001 80.441 171.4242
26.500000 80.426 170.9712
26.900000 80.408 170.3846
27.200001 80.397 169.9494
27.600000 80.384 169.3654
28.000000 80.373 168.7708
28.500000 80.359 168.0180
29.000000 80.343 167.2707
29.500000 80.327 166.5372
30.000000 80.310 165.8157
30.400000 80.295 165.2500
30.700001 80.283 164.8380
31.100000 80.266 164.3116
31.500000 80.250 163.8099
32.000000 80.234 163.1974
32.500000 80.220 162.5745
33.000000 80.203 161.9380
33.500000 80.181 161.3111
34.000000 80.156 160.7130
34.500000 80.133 160.1352
35.000000 80.111 159.5562
35.500000 80.088 158.9659
36.000000 80.064 158.3732
36.500000 80.038 157.7894
37.000000 80.013 157.2152
37.500000 79.988 156.6443
38.200001 79.953 155.8479
38.700001 79.927 155.2898
39.500000 79.885 154.4306
40.000000 79.861 153.9109
40.599998 79.833 153.2934
41.200001 79.805 152.6747
41.799999 79.775 152.0573
42.500000 79.738 151.3506
43.099998 79.705 150.7642
43.700001 79.671 150.1939
44.400002 79.634 149.5414
45.000000 79.602 148.9867
45.500000 79.576 148.5244
46.200001 79.540 147.8784
46.799999 79.508 147.3336
47.500000 79.471 146.7132
48.200001 79.437 146.0974
48.700001 79.412 145.6559
49.400002 79.376 145.0435
50.000000 79.344 144.5296
50.799999 79.303 143.8524
51.500000 79.265 143.2659
52.200001 79.226 142.6945
53.000000 79.184 142.0555
53.799999 79.142 141.4185
54.500000 79.105 140.8688
55.200001 79.068 140.3350
56.000000 79.030 139.7340
57.000000 78.982 138.9717
58.000000 78.932 138.2339
59.000000 78.887 137.5160
60.000000 78.840 136.7445
60.799999 78.794 136.1473
61.500000 78.755 135.6674
62.200001 78.720 135.1882
63.000000 78.680 134.6161
64.000000 78.626 133.9098
65.000000 78.573 133.2384
66.000000 78.525 132.5767
67.000000 78.477 131.9156
68.000000 78.430 131.2651
69.000000 78.383 130.6217
70.000000 78.334 129.9817
71.000000 78.283 129.3670
72.000000 78.233 128.7790
73.000000 78.186 128.1891
74.000000 78.140 127.5903
75.000000 78.094 126.9863
76.199997 78.037 126.2692
77.500000 77.978 125.5223
78.800003 77.921 124.7674
80.000000 77.863 124.0870
81.199997 77.803 123.4615
82.500000 77.744 122.8109
83.800003 77.691 122.1727
85.000000 77.649 121.5571
86.199997 77.607 120.8931
87.500000 77.556 120.1932
88.500000 77.519 119.6636
90.000000 77.457 118.8658
91.199997 77.407 118.2704
92.500000 77.355 117.6097
93.800003 77.301 116.9555
95.000000 77.253 116.3593
96.199997 77.204 115.7699
97.500000 77.152 115.1603
98.800003 77.104 114.5479
100.000000 77.055 113.9711
101.500000 76.989 113.2998
103.000000 76.932 112.6727
104.400002 76.882 112.0564
106.000000 76.820 111.3474
107.500000 76.760 110.7073
109.000000 76.701 110.0734
110.599998 76.639 109.4048
112.000000 76.586 108.8525
113.800003 76.524 108.1780
115.000000 76.485 107.7276
117.199997 76.412 106.8969
118.000000 76.385 106.5844
120.599998 76.299 105.5224
122.000000 76.254 104.9752
124.099998 76.188 104.2332
125.000000 76.160 103.9466
126.500000 76.116 103.4926
128.000000 76.077 103.0171
131.500000 75.987 101.6702
132.000000 75.971 101.4759
134.000000 75.908 100.7652
136.000000 75.845 100.1545
138.000000 75.788 99.5731
140.000000 75.735 98.9603
143.000000 75.666 98.0161
145.000000 75.625 97.4034
147.500000 75.571 96.6539
150.000000 75.507 95.8957
152.500000 75.435 95.1636
155.000000 75.373 94.4420
157.500000 75.322 93.6802
160.000000 75.274 92.9003
162.500000 75.225 92.1171
165.000000 75.170 91.3669
167.500000 75.113 90.6827
170.000000 75.060 90.0246
172.500000 75.007 89.3619
175.000000 74.949 88.7098
177.500000 74.892 88.0875
180.000000 74.832 87.4939
182.500000 74.769 86.9278
185.000000 74.705 86.4108
187.500000 74.648 85.9705
190.000000 74.600 85.5883
192.500000 74.554 85.2126
195.000000 74.515 84.8266
197.500000 74.490 84.5004
200.000000 74.477 84.2892
203.000000 74.463 84.0062
206.000000 74.453 83.4854
209.000000 74.455 82.8375
212.000000 74.463 82.2518
214.000000 74.468 81.8762
218.000000 74.483 81.0087
220.000000 74.493 80.5234
224.000000 74.505 79.4879
227.000000 74.501 78.6599
230.000000 74.488 77.8299
233.000000 74.467 77.0024
236.000000 74.440 76.1827
240.000000 74.393 75.1886
243.000000 74.355 74.5121
247.000000 74.303 73.6234
250.000000 74.263 72.9872
254.000000 74.211 72.2302
258.000000 74.157 71.5393
262.000000 74.106 70.8777
265.000000 74.072 70.3866
269.000000 74.029 69.7617
272.000000 73.998 69.3286
276.000000 73.961 68.7910
280.000000 73.932 68.2669
285.000000 73.902 67.6205
290.000000 73.879 66.9858
295.000000 73.863 66.3438
300.000000 73.853 65.6594
304.000000 73.848 65.0768
307.000000 73.843 64.6386
311.000000 73.836 64.0547
315.000000 73.827 63.4582
320.000000 73.815 62.6955
325.000000 73.799 61.9246
330.000000 73.777 61.1620
335.000000 73.753 60.4171
340.000000 73.725 59.6862
345.000000 73.694 58.9771
350.000000 73.660 58.2981
355.000000 73.624 57.6445
360.000000 73.589 57.0150
365.000000 73.555 56.4100
370.000000 73.518 55.8275
375.000000 73.481 55.2740
382.000000 73.429 54.5526
387.000000 73.393 54.0634
395.000000 73.336 53.3163
400.000000 73.301 52.8678
406.000000 73.260 52.3519
412.000000 73.220 51.8711
418.000000 73.181 51.4198
425.000000 73.137 50.9185
431.000000 73.101 50.5115
437.000000 73.066 50.1241
444.000000 73.029 49.6912
450.000000 72.998 49.3346
455.000000 72.973 49.0461
462.000000 72.939 48.6571
468.000000 72.910 48.3408
475.000000 72.878 47.9958
482.000000 72.847 47.6714
487.000000 72.826 47.4487
494.000000 72.797 47.1472
500.000000 72.774 46.8953
508.000000 72.744 46.5744
515.000000 72.717 46.3098
522.000000 72.691 46.0607
530.000000 72.662 45.7982
538.000000 72.633 45.5578
545.000000 72.610 45.3625
552.000000 72.587 45.1827
560.000000 72.562 44.9933
570.000000 72.533 44.7742
580.000000 72.505 44.5826
590.000000 72.479 44.4181
600.000000 72.456 44.2791
608.000000 72.439 44.1786
615.000000 72.424 44.0959
622.000000 72.408 44.0260
630.000000 72.391 43.9693
640.000000 72.372 43.9250
650.000000 72.356 43.8963
660.000000 72.344 43.8800
670.000000 72.333 43.8766
680.000000 72.323 43.8854
690.000000 72.313 43.9126
700.000000 72.306 43.9645
710.000000 72.301 44.0350
720.000000 72.299 44.1132
730.000000 72.299 44.1960
740.000000 72.301 44.2910
750.000000 72.304 44.4012
762.000000 72.310 44.5490
775.000000 72.318 44.7226
788.000000 72.328 44.9096
800.000000 72.339 45.1024
812.000000 72.351 45.3203
825.000000 72.368 45.5916
838.000000 72.389 45.9012
850.000000 72.415 46.2075
862.000000 72.447 46.5144
875.000000 72.482 46.8380
885.000000 72.509 47.1064
900.000000 72.555 47.5986
912.000000 72.608 48.0426
925.000000 72.682 48.5037
938.000000 72.767 48.9093
950.000000 72.853 49.2324
962.000000 72.943 49.5074
975.000000 73.045 49.7540
988.000000 73.148 49.9519
1000.000000 73.245 50.0947
1015.000000 73.367 50.2231
1030.000000 73.488 50.2991
1044.000000 73.600 50.3270
1060.000000 73.726 50.3176
1075.000000 73.843 50.2727
1090.000000 73.960 50.1880
1106.000000 74.082 50.0548
1120.000000 74.185 49.9113
1138.000000 74.313 49.7051
1150.000000 74.396 49.5607
1172.000000 74.548 49.2533
1180.000000 74.601 49.1246
1206.000000 74.769 48.6642
1220.000000 74.856 48.3959
1241.000000 74.982 47.9741
1250.000000 75.034 47.7884
1265.000000 75.120 47.4712
1280.000000 75.203 47.1389
1315.000000 75.387 46.3033
1320.000000 75.411 46.1776
1340.000000 75.506 45.6608
1360.000000 75.593 45.1264
1380.000000 75.673 44.5847
1400.000000 75.746 44.0472
1430.000000 75.842 43.2733
1450.000000 75.898 42.7861
1475.000000 75.964 42.2076
1500.000000 76.026 41.6602
1525.000000 76.085 41.1427
1550.000000 76.141 40.6534
1575.000000 76.196 40.1877
1600.000000 76.248 39.7449
1625.000000 76.300 39.3263
1650.000000 76.352 38.9285
1675.000000 76.404 38.5470
1700.000000 76.457 38.1786
1725.000000 76.511 37.8180
1750.000000 76.565 37.4647
1775.000000 76.620 37.1170
1800.000000 76.676 36.7727
1825.000000 76.732 36.4295
1850.000000 76.788 36.0857
1875.000000 76.846 35.7413
1900.000000 76.905 35.3964
1925.000000 76.965 35.0501
1950.000000 77.025 34.6993
1975.000000 77.086 34.3406
2000.000000 77.147 33.9726
2030.000000 77.221 33.5176
2060.000000 77.296 33.0449
2090.000000 77.371 32.5530
2120.000000 77.445 32.0414
2140.000000 77.494 31.6896
2180.000000 77.589 30.9620
2200.000000 77.636 30.5869
2240.000000 77.725 29.8174
2270.000000 77.789 29.2262
2300.000000 77.850 28.6238
2330.000000 77.910 28.0110
2360.000000 77.968 27.3884
2400.000000 78.041 26.5428
2430.000000 78.092 25.8995
2470.000000 78.157 25.0303
2500.000000 78.203 24.3688
2540.000000 78.259 23.4759
2580.000000 78.311 22.5735
2620.000000 78.357 21.6628
2650.000000 78.389 20.9753
2690.000000 78.426 20.0540
2720.000000 78.451 19.3597
2760.000000 78.478 18.4308
2800.000000 78.500 17.4990
2850.000000 78.520 16.3325
2900.000000 78.532 15.1649
2950.000000 78.536 13.9941
3000.000000 78.528 12.8248
3040.000000 78.514 11.8929
3070.000000 78.498 11.1982
3110.000000 78.470 10.2825
3150.000000 78.431 9.3875
3200.000000 78.371 8.3146
3250.000000 78.299 7.3169
3300.000000 78.216 6.4177
3350.000000 78.129 5.6256
3400.000000 78.040 4.9349
3450.000000 77.954 4.3308
3500.000000 77.871 3.7934
3550.000000 77.792 3.3057
3600.000000 77.717 2.8550
3650.000000 77.645 2.4321
3700.000000 77.574 2.0352
3750.000000 77.504 1.6637
3820.000000 77.407 1.1893
3870.000000 77.337 0.8870
3950.000000 77.226 0.4702
4000.000000 77.157 0.2535
4060.000000 77.076 0.0359
4120.000000 76.997 -0.1380
4180.000000 76.918 -0.2709
4250.000000 76.829 -0.3746
4310.000000 76.753 -0.4128
4370.000000 76.679 -0.3947
4440.000000 76.600 -0.3046
4500.000000 76.537 -0.1804
4550.000000 76.490 -0.0487
4620.000000 76.429 0.1777
4680.000000 76.383 0.4104
4750.000000 76.341 0.7189
4820.000000 76.310 1.0529
4870.000000 76.295 1.3036
4940.000000 76.287 1.6664
5000.000000 76.292 1.9736
5080.000000 76.315 2.3573
5150.000000 76.350 2.6505
5220.000000 76.399 2.8812
5300.000000 76.467 3.0455
5380.000000 76.542 3.0952
5450.000000 76.608 3.0500
5520.000000 76.670 2.9503
5600.000000 76.735 2.8641
5700.000000 76.843 2.9024
5800.000000 77.007 2.7546
5900.000000 77.180 2.2813
6000.000000 77.347 1.6646
6080.000000 77.486 1.1279
6150.000000 77.617 0.6241
6220.000000 77.760 0.0721
6300.000000 77.940 -0.6394
6400.000000 78.198 -1.6897
6500.000000 78.496 -2.9885
6600.000000 78.837 -4.6407
6700.000000 79.218 -6.7838
6800.000000 79.632 -9.5851
