* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (3- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Jan 29, 2024 8:15:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Artti R1 (SD++) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 85.701 -157.6698
20.600000 85.711 -158.2967
20.900000 85.721 -158.9952
21.200001 85.731 -159.6978
21.400000 85.738 -160.1682
21.799999 85.754 -161.1146
22.000000 85.763 -161.5883
22.400000 85.779 -162.5271
22.700001 85.790 -163.2176
23.000000 85.800 -163.8946
23.299999 85.809 -164.5595
23.600000 85.816 -165.2148
24.000000 85.821 -166.0753
24.299999 85.824 -166.7087
24.700001 85.825 -167.5318
25.000000 85.826 -168.1307
25.400000 85.830 -168.9070
25.799999 85.834 -169.6657
26.200001 85.839 -170.4142
26.500000 85.841 -170.9689
26.900000 85.841 -171.6941
27.200001 85.838 -172.2227
27.600000 85.833 -172.9045
28.000000 85.829 -173.5656
28.500000 85.825 -174.3803
29.000000 85.823 -175.1976
29.500000 85.818 -176.0150
30.000000 85.809 -176.8181
30.400000 85.799 -177.4438
30.700001 85.790 -177.9039
31.100000 85.779 -178.5081
31.500000 85.767 -179.1050
32.000000 85.753 -179.8411
32.500000 85.741 179.4371
33.000000 85.729 178.7316
33.500000 85.717 178.0415
34.000000 85.704 177.3641
34.500000 85.688 176.6973
35.000000 85.671 176.0394
35.500000 85.652 175.3893
36.000000 85.633 174.7493
36.500000 85.615 174.1238
37.000000 85.597 173.5145
37.500000 85.581 172.9178
38.200001 85.556 172.0916
38.700001 85.536 171.5060
39.500000 85.501 170.5883
40.000000 85.479 170.0294
40.599998 85.454 169.3673
41.200001 85.429 168.7103
41.799999 85.403 168.0643
42.500000 85.370 167.3368
43.099998 85.341 166.7342
43.700001 85.313 166.1381
44.400002 85.282 165.4404
45.000000 85.254 164.8478
45.500000 85.230 164.3671
46.200001 85.195 163.7178
46.799999 85.166 163.1744
47.500000 85.131 162.5436
48.200001 85.095 161.9146
48.700001 85.070 161.4699
49.400002 85.034 160.8583
50.000000 85.003 160.3450
50.799999 84.962 159.6754
51.500000 84.925 159.1000
52.200001 84.888 158.5320
53.000000 84.846 157.8925
53.799999 84.804 157.2659
54.500000 84.767 156.7306
55.200001 84.729 156.2073
56.000000 84.687 155.6167
57.000000 84.633 154.8802
58.000000 84.578 154.1573
59.000000 84.524 153.4564
60.000000 84.469 152.7763
60.799999 84.425 152.2460
61.500000 84.386 151.7873
62.200001 84.347 151.3318
63.000000 84.303 150.8153
64.000000 84.248 150.1765
65.000000 84.193 149.5526
66.000000 84.139 148.9490
67.000000 84.084 148.3585
68.000000 84.029 147.7759
69.000000 83.974 147.1993
70.000000 83.919 146.6314
71.000000 83.865 146.0746
72.000000 83.810 145.5307
73.000000 83.754 145.0016
74.000000 83.698 144.4843
75.000000 83.643 143.9768
76.199997 83.577 143.3759
77.500000 83.508 142.7261
78.800003 83.440 142.0919
80.000000 83.376 141.5231
81.199997 83.310 140.9595
82.500000 83.239 140.3618
83.800003 83.170 139.7850
85.000000 83.105 139.2642
86.199997 83.041 138.7475
87.500000 82.973 138.1947
88.500000 82.922 137.7732
90.000000 82.844 137.1490
91.199997 82.781 136.6782
92.500000 82.714 136.1820
93.800003 82.648 135.6828
95.000000 82.586 135.2278
96.199997 82.524 134.7805
97.500000 82.457 134.3036
98.800003 82.392 133.8391
100.000000 82.333 133.4221
101.500000 82.257 132.9041
103.000000 82.182 132.3911
104.400002 82.115 131.9283
106.000000 82.039 131.4204
107.500000 81.968 130.9432
109.000000 81.895 130.4697
110.599998 81.819 129.9764
112.000000 81.752 129.5528
113.800003 81.663 128.9763
115.000000 81.605 128.5999
117.199997 81.509 128.0407
118.000000 81.474 127.8452
120.599998 81.358 127.1487
122.000000 81.295 126.7557
124.099998 81.201 126.1970
125.000000 81.162 125.9654
126.500000 81.097 125.5927
128.000000 81.030 125.2307
131.500000 80.882 124.3761
132.000000 80.860 124.2489
134.000000 80.774 123.7388
136.000000 80.688 123.2902
138.000000 80.607 122.9097
140.000000 80.528 122.4741
143.000000 80.414 121.8018
145.000000 80.337 121.3846
147.500000 80.240 120.8777
150.000000 80.144 120.3813
152.500000 80.050 119.8878
155.000000 79.956 119.4080
157.500000 79.864 118.9429
160.000000 79.776 118.4848
162.500000 79.688 118.0342
165.000000 79.597 117.6082
167.500000 79.508 117.1975
170.000000 79.422 116.7876
172.500000 79.338 116.3723
175.000000 79.255 115.9634
177.500000 79.171 115.5678
180.000000 79.089 115.1808
182.500000 79.006 114.8104
185.000000 78.924 114.4625
187.500000 78.843 114.1279
190.000000 78.765 113.7940
192.500000 78.687 113.4623
195.000000 78.609 113.1339
197.500000 78.532 112.8170
200.000000 78.461 112.5060
203.000000 78.378 112.1263
206.000000 78.293 111.7499
209.000000 78.211 111.3908
212.000000 78.134 111.0629
214.000000 78.083 110.8622
218.000000 77.976 110.3845
220.000000 77.919 110.1363
224.000000 77.801 109.7112
227.000000 77.721 109.3746
230.000000 77.658 109.0219
233.000000 77.594 108.7296
236.000000 77.524 108.4948
240.000000 77.433 108.1440
243.000000 77.369 107.8064
247.000000 77.280 107.4506
250.000000 77.217 107.2229
254.000000 77.138 106.9354
258.000000 77.060 106.6172
262.000000 76.973 106.2609
265.000000 76.912 106.0139
269.000000 76.846 105.7450
272.000000 76.801 105.5443
276.000000 76.739 105.2507
280.000000 76.671 104.9111
285.000000 76.582 104.4410
290.000000 76.502 103.9855
295.000000 76.421 103.5954
300.000000 76.334 103.2263
304.000000 76.272 102.9385
307.000000 76.227 102.7275
311.000000 76.167 102.4284
315.000000 76.109 102.1147
320.000000 76.038 101.7962
325.000000 75.966 101.4828
330.000000 75.895 101.1613
335.000000 75.827 100.8470
340.000000 75.763 100.5160
345.000000 75.700 100.2122
350.000000 75.637 99.9384
355.000000 75.575 99.6537
360.000000 75.517 99.3635
365.000000 75.459 99.0926
370.000000 75.403 98.8434
375.000000 75.346 98.5911
382.000000 75.270 98.2496
387.000000 75.218 98.0258
395.000000 75.140 97.6759
400.000000 75.091 97.4698
406.000000 75.034 97.2141
412.000000 74.981 96.9617
418.000000 74.931 96.7304
425.000000 74.871 96.4629
431.000000 74.823 96.2416
437.000000 74.777 96.0343
444.000000 74.726 95.7993
450.000000 74.683 95.6068
455.000000 74.649 95.4498
462.000000 74.602 95.2368
468.000000 74.563 95.0724
475.000000 74.520 94.9020
482.000000 74.481 94.7406
487.000000 74.455 94.6250
494.000000 74.417 94.4522
500.000000 74.387 94.3194
508.000000 74.351 94.1515
515.000000 74.320 94.0098
522.000000 74.289 93.8806
530.000000 74.258 93.7433
538.000000 74.230 93.6149
545.000000 74.208 93.5081
552.000000 74.188 93.4028
560.000000 74.165 93.2910
570.000000 74.137 93.1624
580.000000 74.112 93.0514
590.000000 74.090 92.9603
600.000000 74.069 92.8975
608.000000 74.054 92.8627
615.000000 74.043 92.8410
622.000000 74.034 92.8266
630.000000 74.027 92.8176
640.000000 74.022 92.8192
650.000000 74.020 92.8345
660.000000 74.022 92.8577
670.000000 74.027 92.8874
680.000000 74.035 92.9259
690.000000 74.045 92.9727
700.000000 74.058 93.0262
710.000000 74.074 93.0872
720.000000 74.093 93.1581
730.000000 74.114 93.2374
740.000000 74.137 93.3242
750.000000 74.163 93.4186
762.000000 74.199 93.5413
775.000000 74.242 93.6869
788.000000 74.289 93.8436
800.000000 74.338 93.9953
812.000000 74.390 94.1537
825.000000 74.453 94.3300
838.000000 74.520 94.5109
850.000000 74.587 94.6806
862.000000 74.658 94.8463
875.000000 74.741 95.0194
885.000000 74.808 95.1479
900.000000 74.913 95.3316
912.000000 75.003 95.4676
925.000000 75.104 95.5989
938.000000 75.210 95.7114
950.000000 75.311 95.7961
962.000000 75.415 95.8607
975.000000 75.532 95.9063
988.000000 75.651 95.9258
1000.000000 75.762 95.9191
1015.000000 75.904 95.8746
1030.000000 76.048 95.7903
1044.000000 76.183 95.6773
1060.000000 76.337 95.5066
1075.000000 76.481 95.3065
1090.000000 76.624 95.0717
1106.000000 76.775 94.7851
1120.000000 76.904 94.5051
1138.000000 77.066 94.1116
1150.000000 77.171 93.8321
1172.000000 77.359 93.2881
1180.000000 77.425 93.0822
1206.000000 77.634 92.3960
1220.000000 77.741 92.0201
1241.000000 77.897 91.4570
1250.000000 77.962 91.2182
1265.000000 78.068 90.8263
1280.000000 78.173 90.4445
1315.000000 78.414 89.6080
1320.000000 78.449 89.4943
1340.000000 78.591 89.0443
1360.000000 78.740 88.6053
1380.000000 78.902 88.1210
1400.000000 79.071 87.5341
1430.000000 79.317 86.4749
1450.000000 79.459 85.6721
1475.000000 79.610 84.6058
1500.000000 79.735 83.5847
1525.000000 79.844 82.6607
1550.000000 79.946 81.8344
1575.000000 80.046 81.0875
1600.000000 80.148 80.3971
1625.000000 80.251 79.7503
1650.000000 80.356 79.1343
1675.000000 80.464 78.5382
1700.000000 80.574 77.9547
1725.000000 80.687 77.3791
1750.000000 80.801 76.8066
1775.000000 80.918 76.2339
1800.000000 81.036 75.6576
1825.000000 81.156 75.0745
1850.000000 81.277 74.4820
1875.000000 81.400 73.8767
1900.000000 81.524 73.2556
1925.000000 81.648 72.6181
1950.000000 81.773 71.9622
1975.000000 81.899 71.2852
2000.000000 82.024 70.5858
2030.000000 82.173 69.7160
2060.000000 82.322 68.8113
2090.000000 82.469 67.8714
2120.000000 82.613 66.8950
2140.000000 82.708 66.2231
2180.000000 82.894 64.8290
2200.000000 82.985 64.1059
2240.000000 83.161 62.6045
2270.000000 83.287 61.4306
2300.000000 83.406 60.2170
2330.000000 83.519 58.9666
2360.000000 83.624 57.6818
2400.000000 83.752 55.9204
2430.000000 83.836 54.5692
2470.000000 83.934 52.7409
2500.000000 83.994 51.3601
2540.000000 84.059 49.5208
2580.000000 84.106 47.6984
2620.000000 84.136 45.9072
2650.000000 84.149 44.5920
2690.000000 84.154 42.8832
2720.000000 84.149 41.6392
2760.000000 84.132 40.0337
2800.000000 84.106 38.4903
2850.000000 84.062 36.6512
2900.000000 84.006 34.9133
2950.000000 83.942 33.2765
3000.000000 83.870 31.7411
3040.000000 83.809 30.5866
3070.000000 83.761 29.7633
3110.000000 83.695 28.7230
3150.000000 83.628 27.7476
3200.000000 83.545 26.6183
3250.000000 83.462 25.5873
3300.000000 83.383 24.6476
3350.000000 83.310 23.7922
3400.000000 83.243 23.0121
3450.000000 83.184 22.2950
3500.000000 83.134 21.6277
3550.000000 83.092 21.0002
3600.000000 83.059 20.4081
3650.000000 83.036 19.8436
3700.000000 83.024 19.2905
3750.000000 83.023 18.7285
3820.000000 83.038 17.8956
3870.000000 83.058 17.2508
3950.000000 83.099 16.1091
4000.000000 83.128 15.3208
4060.000000 83.164 14.2958
4120.000000 83.196 13.1865
4180.000000 83.223 11.9974
4250.000000 83.245 10.5156
4310.000000 83.252 9.1707
4370.000000 83.247 7.7651
4440.000000 83.222 6.0635
4500.000000 83.181 4.5693
4550.000000 83.132 3.3132
4620.000000 83.038 1.5657
4680.000000 82.934 0.1074
4750.000000 82.784 -1.5048
4820.000000 82.607 -2.9653
4870.000000 82.468 -3.8839
4940.000000 82.265 -4.9733
5000.000000 82.092 -5.7517
5080.000000 81.867 -6.6703
5150.000000 81.668 -7.4220
5220.000000 81.455 -8.0960
5300.000000 81.193 -8.6927
5380.000000 80.920 -9.0467
5450.000000 80.678 -9.1450
5520.000000 80.440 -9.0511
5600.000000 80.177 -8.7223
5700.000000 79.868 -8.0130
5800.000000 79.589 -7.0201
5900.000000 79.344 -5.7968
6000.000000 79.136 -4.3931
6080.000000 78.996 -3.1688
6150.000000 78.891 -2.0397
6220.000000 78.803 -0.8605
6300.000000 78.728 0.5233
6400.000000 78.676 2.2782
6500.000000 78.669 4.0417
6600.000000 78.704 5.7814
6700.000000 78.784 7.4631
