* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (3- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Jan 29, 2024 8:11:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Artti R1 (SD++) R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 86.481 -170.6207
20.600000 86.476 -171.1739
20.900000 86.468 -171.7878
21.200001 86.460 -172.4015
21.400000 86.455 -172.8109
21.799999 86.449 -173.6350
22.000000 86.447 -174.0486
22.400000 86.444 -174.8686
22.700001 86.439 -175.4670
23.000000 86.433 -176.0437
23.299999 86.426 -176.5970
23.600000 86.418 -177.1307
24.000000 86.406 -177.8246
24.299999 86.397 -178.3415
24.700001 86.385 -179.0341
25.000000 86.375 -179.5556
25.400000 86.360 179.7540
25.799999 86.346 179.0793
26.200001 86.332 178.4262
26.500000 86.321 177.9495
26.900000 86.308 177.3257
27.200001 86.298 176.8629
27.600000 86.282 176.2497
28.000000 86.265 175.6426
28.500000 86.241 174.8999
29.000000 86.217 174.1812
29.500000 86.194 173.4839
30.000000 86.173 172.7993
30.400000 86.155 172.2570
30.700001 86.141 171.8537
31.100000 86.121 171.3227
31.500000 86.100 170.8009
32.000000 86.073 170.1612
32.500000 86.047 169.5321
33.000000 86.022 168.9126
33.500000 85.996 168.3061
34.000000 85.969 167.7156
34.500000 85.943 167.1380
35.000000 85.917 166.5663
35.500000 85.890 165.9973
36.000000 85.861 165.4341
36.500000 85.833 164.8822
37.000000 85.803 164.3431
37.500000 85.775 163.8146
38.200001 85.734 163.0892
38.700001 85.705 162.5810
39.500000 85.659 161.7803
40.000000 85.630 161.2843
40.599998 85.594 160.6978
41.200001 85.556 160.1284
41.799999 85.519 159.5746
42.500000 85.478 158.9339
43.099998 85.443 158.3837
43.700001 85.407 157.8398
44.400002 85.364 157.2247
45.000000 85.326 156.7155
45.500000 85.294 156.3000
46.200001 85.251 155.7226
46.799999 85.214 155.2255
47.500000 85.172 154.6454
48.200001 85.127 154.0796
48.700001 85.095 153.6900
49.400002 85.050 153.1608
50.000000 85.012 152.7131
50.799999 84.961 152.1181
51.500000 84.917 151.6030
52.200001 84.873 151.0970
53.000000 84.824 150.5288
53.799999 84.773 149.9684
54.500000 84.729 149.4843
55.200001 84.684 149.0084
56.000000 84.634 148.4747
57.000000 84.570 147.8209
58.000000 84.507 147.1850
59.000000 84.445 146.5639
60.000000 84.382 145.9496
60.799999 84.331 145.4655
61.500000 84.287 145.0503
62.200001 84.243 144.6422
63.000000 84.193 144.1812
64.000000 84.129 143.6146
65.000000 84.066 143.0597
66.000000 84.005 142.5129
67.000000 83.943 141.9778
68.000000 83.881 141.4545
69.000000 83.819 140.9387
70.000000 83.757 140.4285
71.000000 83.696 139.9278
72.000000 83.635 139.4378
73.000000 83.573 138.9558
74.000000 83.513 138.4837
75.000000 83.454 138.0170
76.199997 83.382 137.4633
77.500000 83.304 136.8799
78.800003 83.228 136.3151
80.000000 83.160 135.7949
81.199997 83.090 135.2933
82.500000 83.013 134.7731
83.800003 82.937 134.2659
85.000000 82.867 133.7870
86.199997 82.798 133.3163
87.500000 82.722 132.8278
88.500000 82.659 132.4179
90.000000 82.559 131.7251
91.199997 82.493 131.3218
92.500000 82.436 130.9711
93.800003 82.369 130.5662
95.000000 82.304 130.1567
96.199997 82.240 129.7578
97.500000 82.169 129.3387
98.800003 82.096 128.9059
100.000000 82.031 128.5186
101.500000 81.956 128.0587
103.000000 81.880 127.5988
104.400002 81.810 127.1746
106.000000 81.730 126.6952
107.500000 81.653 126.2547
109.000000 81.576 125.8210
110.599998 81.496 125.3705
112.000000 81.426 124.9907
113.800003 81.334 124.4867
115.000000 81.274 124.1522
117.199997 81.171 123.6149
118.000000 81.133 123.4229
120.599998 81.008 122.7800
122.000000 80.942 122.4407
124.099998 80.845 121.9340
125.000000 80.803 121.7222
126.500000 80.735 121.3829
128.000000 80.667 121.0457
131.500000 80.513 120.3126
132.000000 80.490 120.2087
134.000000 80.394 119.7668
136.000000 80.304 119.3148
138.000000 80.227 118.9050
140.000000 80.145 118.5131
143.000000 80.016 117.9756
145.000000 79.934 117.5995
147.500000 79.832 117.1037
150.000000 79.727 116.6719
152.500000 79.626 116.2988
155.000000 79.529 115.8986
157.500000 79.436 115.4785
160.000000 79.341 115.1045
162.500000 79.245 114.7775
165.000000 79.152 114.4182
167.500000 79.074 114.0530
170.000000 79.003 113.7297
172.500000 78.923 113.3707
175.000000 78.841 112.9790
177.500000 78.761 112.5995
180.000000 78.679 112.2153
182.500000 78.599 111.8217
185.000000 78.519 111.4577
187.500000 78.443 111.1176
190.000000 78.370 110.7850
192.500000 78.297 110.4545
195.000000 78.221 110.1202
197.500000 78.144 109.7974
200.000000 78.072 109.4766
203.000000 77.990 109.0308
206.000000 77.906 108.6512
209.000000 77.824 108.3309
212.000000 77.741 107.9362
214.000000 77.686 107.6571
218.000000 77.580 107.2205
220.000000 77.530 107.0559
224.000000 77.444 106.7198
227.000000 77.371 106.4220
230.000000 77.269 106.0236
233.000000 77.187 105.7172
236.000000 77.116 105.4463
240.000000 77.026 105.1108
243.000000 76.964 104.8808
247.000000 76.873 104.5027
250.000000 76.801 104.2136
254.000000 76.707 103.8547
258.000000 76.620 103.5369
262.000000 76.540 103.1662
265.000000 76.483 102.8952
269.000000 76.408 102.6715
272.000000 76.349 102.4861
276.000000 76.273 102.1794
280.000000 76.196 101.8838
285.000000 76.095 101.5452
290.000000 76.009 101.2369
295.000000 75.931 100.9293
300.000000 75.855 100.5717
304.000000 75.794 100.3010
307.000000 75.750 100.1138
311.000000 75.692 99.8663
315.000000 75.633 99.5810
320.000000 75.560 99.2466
325.000000 75.491 98.9577
330.000000 75.423 98.6725
335.000000 75.354 98.3924
340.000000 75.287 98.0748
345.000000 75.223 97.8071
350.000000 75.162 97.5657
355.000000 75.104 97.2982
360.000000 75.048 97.0367
365.000000 74.993 96.7641
370.000000 74.937 96.4949
375.000000 74.881 96.2363
382.000000 74.806 95.9010
387.000000 74.755 95.6763
395.000000 74.673 95.3185
400.000000 74.624 95.1088
406.000000 74.565 94.8716
412.000000 74.510 94.6472
418.000000 74.460 94.4393
425.000000 74.406 94.1971
431.000000 74.359 93.9838
437.000000 74.312 93.7769
444.000000 74.260 93.5529
450.000000 74.218 93.3648
455.000000 74.185 93.2130
462.000000 74.142 93.0135
468.000000 74.104 92.8507
475.000000 74.063 92.6775
482.000000 74.027 92.5092
487.000000 74.002 92.3853
494.000000 73.964 92.1965
500.000000 73.931 92.0434
508.000000 73.890 91.8740
515.000000 73.857 91.7524
522.000000 73.827 91.6396
530.000000 73.797 91.5224
538.000000 73.770 91.4119
545.000000 73.750 91.3155
552.000000 73.731 91.2207
560.000000 73.713 91.1169
570.000000 73.692 90.9913
580.000000 73.674 90.8641
590.000000 73.658 90.7410
600.000000 73.642 90.6280
608.000000 73.631 90.5463
615.000000 73.623 90.4816
622.000000 73.615 90.4232
630.000000 73.607 90.3665
640.000000 73.598 90.3130
650.000000 73.591 90.2770
660.000000 73.588 90.2565
670.000000 73.587 90.2491
680.000000 73.589 90.2557
690.000000 73.592 90.2779
700.000000 73.598 90.3163
710.000000 73.607 90.3709
720.000000 73.619 90.4383
730.000000 73.634 90.5194
740.000000 73.652 90.6151
750.000000 73.674 90.7196
762.000000 73.704 90.8555
775.000000 73.743 91.0164
788.000000 73.787 91.1865
800.000000 73.833 91.3512
812.000000 73.884 91.5201
825.000000 73.944 91.7069
838.000000 74.010 91.8973
850.000000 74.076 92.0710
862.000000 74.146 92.2407
875.000000 74.228 92.4182
885.000000 74.295 92.5500
900.000000 74.401 92.7336
912.000000 74.490 92.8647
925.000000 74.591 92.9915
938.000000 74.697 93.0967
950.000000 74.799 93.1731
962.000000 74.903 93.2299
975.000000 75.019 93.2653
988.000000 75.138 93.2714
1000.000000 75.250 93.2513
1015.000000 75.392 93.1874
1030.000000 75.536 93.0823
1044.000000 75.670 92.9463
1060.000000 75.824 92.7463
1075.000000 75.968 92.5184
1090.000000 76.110 92.2522
1106.000000 76.260 91.9268
1120.000000 76.388 91.6129
1138.000000 76.549 91.1735
1150.000000 76.653 90.8586
1172.000000 76.838 90.2453
1180.000000 76.902 90.0134
1206.000000 77.105 89.2387
1220.000000 77.209 88.8132
1241.000000 77.358 88.1722
1250.000000 77.419 87.9001
1265.000000 77.519 87.4535
1280.000000 77.616 87.0190
1315.000000 77.837 86.0667
1320.000000 77.869 85.9378
1340.000000 77.998 85.4368
1360.000000 78.133 84.9436
1380.000000 78.275 84.4220
1400.000000 78.423 83.8278
1430.000000 78.638 82.7486
1450.000000 78.767 81.9290
1475.000000 78.905 80.8726
1500.000000 79.024 79.8597
1525.000000 79.132 78.8935
1550.000000 79.232 78.0161
1575.000000 79.324 77.2359
1600.000000 79.412 76.4941
1625.000000 79.500 75.7901
1650.000000 79.588 75.1165
1675.000000 79.678 74.4642
1700.000000 79.768 73.8286
1725.000000 79.858 73.2064
1750.000000 79.950 72.5933
1775.000000 80.041 71.9880
1800.000000 80.133 71.3875
1825.000000 80.226 70.7900
1850.000000 80.319 70.1934
1875.000000 80.412 69.5960
1900.000000 80.505 68.9973
1925.000000 80.599 68.3955
1950.000000 80.692 67.7887
1975.000000 80.786 67.1758
2000.000000 80.879 66.5557
2030.000000 80.991 65.8023
2060.000000 81.102 65.0361
2090.000000 81.212 64.2555
2120.000000 81.322 63.4611
2140.000000 81.394 62.9229
2180.000000 81.536 61.8230
2200.000000 81.606 61.2614
2240.000000 81.744 60.1149
2270.000000 81.845 59.2333
2300.000000 81.943 58.3324
2330.000000 82.039 57.4126
2360.000000 82.132 56.4740
2400.000000 82.251 55.1924
2430.000000 82.336 54.2086
2470.000000 82.443 52.8679
2500.000000 82.519 51.8420
2540.000000 82.612 50.4487
2580.000000 82.696 49.0283
2620.000000 82.770 47.5870
2650.000000 82.818 46.4981
2690.000000 82.873 45.0441
2720.000000 82.907 43.9577
2760.000000 82.943 42.5228
2800.000000 82.970 41.1091
2850.000000 82.993 39.3752
2900.000000 83.004 37.6742
2950.000000 83.005 36.0027
3000.000000 82.994 34.3667
3040.000000 82.978 33.0902
3070.000000 82.961 32.1537
3110.000000 82.934 30.9342
3150.000000 82.901 29.7477
3200.000000 82.852 28.3101
3250.000000 82.795 26.9269
3300.000000 82.727 25.6097
3350.000000 82.650 24.3719
3400.000000 82.566 23.2296
3450.000000 82.475 22.1996
3500.000000 82.381 21.2971
3550.000000 82.288 20.5320
3600.000000 82.202 19.9052
3650.000000 82.128 19.4061
3700.000000 82.071 19.0120
3750.000000 82.034 18.6869
3820.000000 82.020 18.2649
3870.000000 82.036 17.9277
3950.000000 82.098 17.2244
4000.000000 82.151 16.6447
4060.000000 82.222 15.7889
4120.000000 82.291 14.7591
4180.000000 82.351 13.5704
4250.000000 82.403 12.0153
4310.000000 82.427 10.5725
4370.000000 82.428 9.0632
4440.000000 82.396 7.2676
4500.000000 82.341 5.7454
4550.000000 82.276 4.5255
4620.000000 82.159 2.9515
4680.000000 82.044 1.7691
4750.000000 81.912 0.5710
4820.000000 81.790 -0.5466
4870.000000 81.704 -1.3663
4940.000000 81.570 -2.5495
5000.000000 81.434 -3.5355
5080.000000 81.225 -4.7042
5150.000000 81.023 -5.5352
5220.000000 80.810 -6.1705
5300.000000 80.561 -6.6576
5380.000000 80.313 -6.8999
5450.000000 80.101 -6.9223
5520.000000 79.895 -6.7803
5600.000000 79.673 -6.4344
5700.000000 79.416 -5.7617
5800.000000 79.187 -4.8609
5900.000000 78.985 -3.7708
6000.000000 78.810 -2.5128
6080.000000 78.692 -1.4039
6150.000000 78.611 -0.3799
6220.000000 78.551 0.6913
6300.000000 78.508 1.9544
6400.000000 78.491 3.5524
6500.000000 78.513 5.1384
6600.000000 78.573 6.6970
6700.000000 78.675 8.2091
6800.000000 78.822 9.6483
