* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (3- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Jan 29, 2024 8:02:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Artti R1 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 85.702 -157.2008
20.600000 85.714 -157.8419
20.900000 85.726 -158.5568
21.200001 85.736 -159.2718
21.400000 85.743 -159.7464
21.799999 85.757 -160.6905
22.000000 85.764 -161.1586
22.400000 85.779 -162.0804
22.700001 85.789 -162.7545
23.000000 85.798 -163.4114
23.299999 85.805 -164.0517
23.600000 85.812 -164.6784
24.000000 85.820 -165.5002
24.299999 85.825 -166.1110
24.700001 85.831 -166.9216
25.000000 85.834 -167.5257
25.400000 85.838 -168.3206
25.799999 85.841 -169.0963
26.200001 85.842 -169.8475
26.500000 85.843 -170.3941
26.900000 85.844 -171.1033
27.200001 85.843 -171.6230
27.600000 85.842 -172.3040
28.000000 85.839 -172.9755
28.500000 85.834 -173.8063
29.000000 85.827 -174.6292
29.500000 85.819 -175.4410
30.000000 85.811 -176.2364
30.400000 85.804 -176.8593
30.700001 85.799 -177.3192
31.100000 85.792 -177.9237
31.500000 85.785 -178.5186
32.000000 85.774 -179.2467
32.500000 85.762 -179.9561
33.000000 85.750 179.3496
33.500000 85.737 178.6632
34.000000 85.723 177.9811
34.500000 85.708 177.3057
35.000000 85.693 176.6411
35.500000 85.676 175.9899
36.000000 85.659 175.3533
36.500000 85.642 174.7325
37.000000 85.624 174.1264
37.500000 85.605 173.5306
38.200001 85.578 172.7071
38.700001 85.558 172.1291
39.500000 85.525 171.2328
40.000000 85.505 170.6855
40.599998 85.481 170.0302
41.200001 85.456 169.3762
41.799999 85.429 168.7352
42.500000 85.396 168.0109
43.099998 85.370 167.4013
43.700001 85.345 166.7936
44.400002 85.316 166.0939
45.000000 85.289 165.5130
45.500000 85.267 165.0428
46.200001 85.234 164.3957
46.799999 85.205 163.8453
47.500000 85.170 163.2118
48.200001 85.135 162.5930
48.700001 85.110 162.1587
49.400002 85.077 161.5567
50.000000 85.047 161.0458
50.799999 85.006 160.3746
51.500000 84.970 159.7971
52.200001 84.933 159.2290
53.000000 84.893 158.5917
53.799999 84.852 157.9645
54.500000 84.816 157.4228
55.200001 84.779 156.8917
56.000000 84.737 156.3022
57.000000 84.684 155.5818
58.000000 84.632 154.8663
59.000000 84.579 154.1620
60.000000 84.526 153.4810
60.799999 84.483 152.9501
61.500000 84.445 152.4897
62.200001 84.407 152.0327
63.000000 84.364 151.5180
64.000000 84.311 150.8868
65.000000 84.257 150.2665
66.000000 84.203 149.6565
67.000000 84.148 149.0608
68.000000 84.095 148.4766
69.000000 84.040 147.9005
70.000000 83.986 147.3396
71.000000 83.933 146.7924
72.000000 83.880 146.2517
73.000000 83.826 145.7168
74.000000 83.772 145.1898
75.000000 83.718 144.6719
76.199997 83.654 144.0636
77.500000 83.586 143.4175
78.800003 83.517 142.7816
80.000000 83.451 142.2080
81.199997 83.386 141.6371
82.500000 83.318 141.0408
83.800003 83.250 140.4745
85.000000 83.187 139.9637
86.199997 83.124 139.4545
87.500000 83.059 138.8983
88.500000 83.012 138.4820
90.000000 82.945 137.8932
91.199997 82.883 137.4008
92.500000 82.808 136.8707
93.800003 82.739 136.3656
95.000000 82.678 135.9300
96.199997 82.618 135.4963
97.500000 82.555 135.0101
98.800003 82.491 134.5250
100.000000 82.431 134.0955
101.500000 82.357 133.5827
103.000000 82.286 133.0833
104.400002 82.219 132.6188
106.000000 82.142 132.0952
107.500000 82.070 131.6159
109.000000 82.000 131.1412
110.599998 81.925 130.6469
112.000000 81.860 130.2224
113.800003 81.777 129.6842
115.000000 81.722 129.3333
117.199997 81.623 128.7116
118.000000 81.587 128.4890
120.599998 81.472 127.7754
122.000000 81.410 127.3977
124.099998 81.318 126.8408
125.000000 81.279 126.6078
126.500000 81.215 126.2256
128.000000 81.150 125.8446
131.500000 81.001 124.9675
132.000000 80.980 124.8475
134.000000 80.897 124.3810
136.000000 80.813 123.9312
138.000000 80.733 123.4822
140.000000 80.655 123.0432
143.000000 80.538 122.3956
145.000000 80.461 121.9770
147.500000 80.365 121.4618
150.000000 80.270 120.9627
152.500000 80.177 120.4665
155.000000 80.085 119.9918
157.500000 79.995 119.5255
160.000000 79.905 119.0640
162.500000 79.815 118.6132
165.000000 79.728 118.1774
167.500000 79.643 117.7484
170.000000 79.557 117.3184
172.500000 79.472 116.9139
175.000000 79.389 116.5280
177.500000 79.309 116.1433
180.000000 79.231 115.7529
182.500000 79.151 115.3626
185.000000 79.071 114.9870
187.500000 78.992 114.6274
190.000000 78.914 114.2845
192.500000 78.837 113.9560
195.000000 78.763 113.6373
197.500000 78.692 113.3199
200.000000 78.622 112.9910
203.000000 78.538 112.6288
206.000000 78.452 112.2325
209.000000 78.371 111.8355
212.000000 78.295 111.4764
214.000000 78.240 111.2379
218.000000 78.132 110.7594
220.000000 78.082 110.5379
224.000000 77.980 110.0588
227.000000 77.905 109.7062
230.000000 77.833 109.3635
233.000000 77.761 109.0442
236.000000 77.690 108.7349
240.000000 77.596 108.3198
243.000000 77.525 108.0136
247.000000 77.435 107.6229
250.000000 77.371 107.3548
254.000000 77.286 106.9995
258.000000 77.205 106.6227
262.000000 77.125 106.2377
265.000000 77.065 105.9669
269.000000 76.984 105.6500
272.000000 76.924 105.4154
276.000000 76.847 105.0923
280.000000 76.774 104.7662
285.000000 76.683 104.3787
290.000000 76.596 104.0033
295.000000 76.513 103.6439
300.000000 76.431 103.2785
304.000000 76.367 103.0021
307.000000 76.319 102.7968
311.000000 76.255 102.5228
315.000000 76.194 102.2496
320.000000 76.119 101.9198
325.000000 76.045 101.6163
330.000000 75.973 101.3112
335.000000 75.907 101.0141
340.000000 75.841 100.6925
345.000000 75.777 100.4118
350.000000 75.714 100.1407
355.000000 75.652 99.8676
360.000000 75.590 99.6165
365.000000 75.532 99.3854
370.000000 75.476 99.1467
375.000000 75.423 98.9197
382.000000 75.350 98.5452
387.000000 75.295 98.3006
395.000000 75.219 97.9630
400.000000 75.173 97.7472
406.000000 75.118 97.5035
412.000000 75.066 97.2688
418.000000 75.015 97.0488
425.000000 74.957 96.8040
431.000000 74.911 96.6007
437.000000 74.867 96.3799
444.000000 74.815 96.1345
450.000000 74.772 95.9816
455.000000 74.739 95.8612
462.000000 74.701 95.6560
468.000000 74.669 95.4533
475.000000 74.632 95.2294
482.000000 74.591 95.0236
487.000000 74.563 94.8860
494.000000 74.527 94.6923
500.000000 74.498 94.5284
508.000000 74.460 94.3407
515.000000 74.426 94.1800
522.000000 74.394 94.0287
530.000000 74.360 93.8715
538.000000 74.329 93.7266
545.000000 74.303 93.6107
552.000000 74.278 93.5052
560.000000 74.252 93.3928
570.000000 74.224 93.2656
580.000000 74.198 93.1527
590.000000 74.175 93.0536
600.000000 74.155 92.9724
608.000000 74.141 92.9206
615.000000 74.129 92.8827
622.000000 74.119 92.8512
630.000000 74.110 92.8234
640.000000 74.101 92.8055
650.000000 74.095 92.8051
660.000000 74.092 92.8186
670.000000 74.093 92.8464
680.000000 74.096 92.8849
690.000000 74.103 92.9351
700.000000 74.114 92.9948
710.000000 74.127 93.0627
720.000000 74.143 93.1378
730.000000 74.163 93.2212
740.000000 74.185 93.3129
750.000000 74.210 93.4116
762.000000 74.244 93.5389
775.000000 74.286 93.6874
788.000000 74.333 93.8447
800.000000 74.380 93.9977
812.000000 74.432 94.1561
825.000000 74.494 94.3306
838.000000 74.561 94.5078
850.000000 74.627 94.6711
862.000000 74.698 94.8299
875.000000 74.780 94.9955
885.000000 74.846 95.1166
900.000000 74.951 95.2880
912.000000 75.040 95.4168
925.000000 75.140 95.5384
938.000000 75.244 95.6368
950.000000 75.344 95.7086
962.000000 75.446 95.7617
975.000000 75.560 95.7964
988.000000 75.676 95.8066
1000.000000 75.784 95.7943
1015.000000 75.922 95.7511
1030.000000 76.062 95.6777
1044.000000 76.194 95.5765
1060.000000 76.347 95.4158
1075.000000 76.490 95.2238
1090.000000 76.632 94.9959
1106.000000 76.782 94.7132
1120.000000 76.912 94.4351
1138.000000 77.074 94.0376
1150.000000 77.180 93.7499
1172.000000 77.366 93.1860
1180.000000 77.431 92.9733
1206.000000 77.636 92.2744
1220.000000 77.741 91.8964
1241.000000 77.894 91.3332
1250.000000 77.958 91.0956
1265.000000 78.062 90.7064
1280.000000 78.165 90.3288
1315.000000 78.404 89.4984
1320.000000 78.438 89.3861
1340.000000 78.579 88.9472
1360.000000 78.730 88.5168
1380.000000 78.893 88.0242
1400.000000 79.063 87.4176
1430.000000 79.306 86.3200
1450.000000 79.445 85.4902
1475.000000 79.589 84.4106
1500.000000 79.708 83.3884
1525.000000 79.813 82.4666
1550.000000 79.910 81.6468
1575.000000 80.007 80.9079
1600.000000 80.104 80.2274
1625.000000 80.203 79.5891
1650.000000 80.305 78.9819
1675.000000 80.410 78.3958
1700.000000 80.516 77.8230
1725.000000 80.625 77.2602
1750.000000 80.737 76.7022
1775.000000 80.850 76.1442
1800.000000 80.965 75.5841
1825.000000 81.081 75.0185
1850.000000 81.200 74.4440
1875.000000 81.320 73.8590
1900.000000 81.441 73.2618
1925.000000 81.563 72.6497
1950.000000 81.685 72.0199
1975.000000 81.809 71.3706
2000.000000 81.932 70.7000
2030.000000 82.081 69.8649
2060.000000 82.228 68.9946
2090.000000 82.375 68.0877
2120.000000 82.519 67.1415
2140.000000 82.614 66.4887
2180.000000 82.800 65.1308
2200.000000 82.891 64.4250
2240.000000 83.066 62.9597
2270.000000 83.192 61.8159
2300.000000 83.311 60.6348
2330.000000 83.424 59.4186
2360.000000 83.530 58.1703
2400.000000 83.659 56.4622
2430.000000 83.745 55.1541
2470.000000 83.846 53.3831
2500.000000 83.911 52.0424
2540.000000 83.983 50.2499
2580.000000 84.038 48.4648
2620.000000 84.077 46.7003
2650.000000 84.096 45.3979
2690.000000 84.109 43.6977
2720.000000 84.110 42.4543
2760.000000 84.101 40.8441
2800.000000 84.082 39.2914
2850.000000 84.045 37.4352
2900.000000 83.997 35.6761
2950.000000 83.938 34.0141
3000.000000 83.872 32.4503
3040.000000 83.814 31.2713
3070.000000 83.768 30.4289
3110.000000 83.705 29.3607
3150.000000 83.640 28.3565
3200.000000 83.557 27.1913
3250.000000 83.475 26.1235
3300.000000 83.396 25.1497
3350.000000 83.320 24.2632
3400.000000 83.251 23.4565
3450.000000 83.189 22.7191
3500.000000 83.136 22.0392
3550.000000 83.091 21.4045
3600.000000 83.056 20.8021
3650.000000 83.030 20.2229
3700.000000 83.014 19.6569
3750.000000 83.008 19.0916
3820.000000 83.015 18.2723
3870.000000 83.030 17.6503
3950.000000 83.066 16.5656
4000.000000 83.094 15.8220
4060.000000 83.130 14.8536
4120.000000 83.167 13.7930
4180.000000 83.201 12.6358
4250.000000 83.230 11.1709
4310.000000 83.244 9.8300
4370.000000 83.243 8.4247
4440.000000 83.224 6.7230
4500.000000 83.188 5.2291
4550.000000 83.144 3.9739
4620.000000 83.059 2.2250
4680.000000 82.963 0.7582
4750.000000 82.825 -0.8813
4820.000000 82.661 -2.4033
4870.000000 82.530 -3.3945
4940.000000 82.331 -4.6193
5000.000000 82.151 -5.5073
5080.000000 81.911 -6.4816
5150.000000 81.702 -7.1877
5220.000000 81.493 -7.7963
5300.000000 81.248 -8.3731
5380.000000 80.993 -8.7859
5450.000000 80.766 -8.9857
5520.000000 80.537 -9.0251
5600.000000 80.280 -8.8767
5700.000000 79.969 -8.4189
5800.000000 79.675 -7.6871
5900.000000 79.401 -6.7062
6000.000000 79.149 -5.4890
6080.000000 78.965 -4.3474
6150.000000 78.819 -3.2235
6220.000000 78.693 -2.0049
6300.000000 78.579 -0.5176
6400.000000 78.483 1.4580
6500.000000 78.439 3.5135
6600.000000 78.450 5.5885
6700.000000 78.517 7.6223
