* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (3- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Jan 29, 2024 8:04:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Artti R1 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 86.648 -170.3934
20.600000 86.646 -170.9459
20.900000 86.640 -171.5655
21.200001 86.633 -172.1891
21.400000 86.629 -172.6044
21.799999 86.620 -173.4303
22.000000 86.617 -173.8375
22.400000 86.609 -174.6318
22.700001 86.604 -175.2055
23.000000 86.599 -175.7605
23.299999 86.593 -176.3008
23.600000 86.586 -176.8320
24.000000 86.576 -177.5345
24.299999 86.567 -178.0599
24.700001 86.553 -178.7571
25.000000 86.542 -179.2739
25.400000 86.528 -179.9503
25.799999 86.514 179.3907
26.200001 86.501 178.7487
26.500000 86.491 178.2769
26.900000 86.477 177.6583
27.200001 86.465 177.2010
27.600000 86.448 176.5985
28.000000 86.430 176.0037
28.500000 86.408 175.2719
29.000000 86.385 174.5563
29.500000 86.363 173.8599
30.000000 86.342 173.1821
30.400000 86.325 172.6511
30.700001 86.312 172.2579
31.100000 86.293 171.7392
31.500000 86.273 171.2264
32.000000 86.247 170.5934
32.500000 86.221 169.9697
33.000000 86.195 169.3564
33.500000 86.170 168.7552
34.000000 86.144 168.1674
34.500000 86.117 167.5928
35.000000 86.090 167.0303
35.500000 86.062 166.4778
36.000000 86.034 165.9327
36.500000 86.006 165.3918
37.000000 85.979 164.8540
37.500000 85.952 164.3222
38.200001 85.913 163.5970
38.700001 85.885 163.0949
39.500000 85.840 162.3070
40.000000 85.810 161.8162
40.599998 85.774 161.2318
41.200001 85.736 160.6636
41.799999 85.700 160.1159
42.500000 85.660 159.4880
43.099998 85.626 158.9476
43.700001 85.589 158.4122
44.400002 85.543 157.8107
45.000000 85.505 157.3110
45.500000 85.475 156.8942
46.200001 85.434 156.3058
46.799999 85.398 155.8094
47.500000 85.356 155.2505
48.200001 85.314 154.7051
48.700001 85.283 154.3180
49.400002 85.239 153.7801
50.000000 85.202 153.3244
50.799999 85.153 152.7253
51.500000 85.110 152.2141
52.200001 85.066 151.7180
53.000000 85.017 151.1615
53.799999 84.967 150.6086
54.500000 84.923 150.1295
55.200001 84.879 149.6577
56.000000 84.829 149.1296
57.000000 84.767 148.4835
58.000000 84.705 147.8506
59.000000 84.643 147.2306
60.000000 84.581 146.6195
60.799999 84.532 146.1414
61.500000 84.488 145.7310
62.200001 84.445 145.3272
63.000000 84.395 144.8759
64.000000 84.334 144.3173
65.000000 84.273 143.7534
66.000000 84.212 143.1965
67.000000 84.152 142.6580
68.000000 84.091 142.1404
69.000000 84.030 141.6370
70.000000 83.969 141.1364
71.000000 83.908 140.6392
72.000000 83.847 140.1525
73.000000 83.788 139.6776
74.000000 83.728 139.2114
75.000000 83.669 138.7490
76.199997 83.599 138.2015
77.500000 83.522 137.6214
78.800003 83.446 137.0504
80.000000 83.376 136.5417
81.199997 83.307 136.0458
82.500000 83.232 135.5158
83.800003 83.159 134.9919
85.000000 83.092 134.5155
86.199997 83.025 134.0502
87.500000 82.952 133.5543
88.500000 82.897 133.1717
90.000000 82.819 132.5929
91.199997 82.752 132.1613
92.500000 82.676 131.7299
93.800003 82.604 131.2837
95.000000 82.540 130.8752
96.199997 82.476 130.4760
97.500000 82.407 130.0470
98.800003 82.338 129.6242
100.000000 82.276 129.2440
101.500000 82.198 128.7771
103.000000 82.120 128.3163
104.400002 82.049 127.8952
106.000000 81.967 127.4256
107.500000 81.892 126.9942
109.000000 81.817 126.5710
110.599998 81.738 126.1252
112.000000 81.670 125.7430
113.800003 81.582 125.2574
115.000000 81.525 124.9380
117.199997 81.420 124.3743
118.000000 81.383 124.1733
120.599998 81.261 123.5261
122.000000 81.196 123.1849
124.099998 81.100 122.6824
125.000000 81.059 122.4719
126.500000 80.992 122.1295
128.000000 80.926 121.7907
131.500000 80.772 121.0093
132.000000 80.750 120.9016
134.000000 80.664 120.4820
136.000000 80.577 120.0718
138.000000 80.494 119.6647
140.000000 80.412 119.2585
143.000000 80.289 118.6627
145.000000 80.209 118.2814
147.500000 80.109 117.8190
150.000000 80.012 117.3610
152.500000 79.915 116.9108
155.000000 79.820 116.4725
157.500000 79.727 116.0470
160.000000 79.635 115.6277
162.500000 79.543 115.2169
165.000000 79.453 114.8224
167.500000 79.366 114.4423
170.000000 79.280 114.0594
172.500000 79.195 113.6738
175.000000 79.110 113.2968
177.500000 79.026 112.9327
180.000000 78.942 112.5796
182.500000 78.858 112.2368
185.000000 78.776 111.9054
187.500000 78.696 111.5838
190.000000 78.617 111.2696
192.500000 78.539 110.9601
195.000000 78.461 110.6526
197.500000 78.385 110.3433
200.000000 78.310 110.0311
203.000000 78.223 109.6605
206.000000 78.139 109.2971
209.000000 78.057 108.9576
212.000000 77.975 108.6364
214.000000 77.921 108.4213
218.000000 77.816 107.9843
220.000000 77.764 107.7696
224.000000 77.662 107.3603
227.000000 77.587 107.0567
230.000000 77.514 106.7533
233.000000 77.442 106.4626
236.000000 77.371 106.1772
240.000000 77.278 105.8011
243.000000 77.210 105.5206
247.000000 77.120 105.1610
250.000000 77.054 104.9005
254.000000 76.967 104.5643
258.000000 76.883 104.2254
262.000000 76.803 103.9001
265.000000 76.743 103.6617
269.000000 76.663 103.3456
272.000000 76.604 103.1160
276.000000 76.528 102.8190
280.000000 76.454 102.5168
285.000000 76.364 102.1501
290.000000 76.276 101.8019
295.000000 76.188 101.4612
300.000000 76.105 101.1313
304.000000 76.041 100.8735
307.000000 75.993 100.6926
311.000000 75.930 100.4633
315.000000 75.868 100.2213
320.000000 75.793 99.9037
325.000000 75.722 99.6078
330.000000 75.650 99.3393
335.000000 75.584 99.0456
340.000000 75.519 98.7658
345.000000 75.454 98.5001
350.000000 75.391 98.2415
355.000000 75.331 97.9888
360.000000 75.272 97.7495
365.000000 75.213 97.5124
370.000000 75.156 97.2828
375.000000 75.102 97.0606
382.000000 75.032 96.7514
387.000000 74.982 96.5428
395.000000 74.905 96.2438
400.000000 74.859 96.0422
406.000000 74.806 95.7736
412.000000 74.758 95.5463
418.000000 74.712 95.3217
425.000000 74.655 95.0347
431.000000 74.605 94.8122
437.000000 74.556 94.6253
444.000000 74.503 94.4295
450.000000 74.459 94.2598
455.000000 74.426 94.1171
462.000000 74.383 93.9304
468.000000 74.347 93.7675
475.000000 74.308 93.5885
482.000000 74.272 93.4065
487.000000 74.249 93.2819
494.000000 74.217 93.1342
500.000000 74.190 92.9963
508.000000 74.157 92.7926
515.000000 74.126 92.6407
522.000000 74.096 92.5129
530.000000 74.063 92.3544
538.000000 74.033 92.2057
545.000000 74.009 92.0947
552.000000 73.986 91.9935
560.000000 73.963 91.8860
570.000000 73.938 91.7590
580.000000 73.915 91.6452
590.000000 73.894 91.5413
600.000000 73.876 91.4493
608.000000 73.864 91.3860
615.000000 73.855 91.3356
622.000000 73.847 91.2899
630.000000 73.838 91.2464
640.000000 73.830 91.2041
650.000000 73.824 91.1712
660.000000 73.819 91.1510
670.000000 73.816 91.1460
680.000000 73.815 91.1588
690.000000 73.816 91.1934
700.000000 73.820 91.2459
710.000000 73.827 91.3138
720.000000 73.837 91.3991
730.000000 73.851 91.4983
740.000000 73.869 91.6107
750.000000 73.890 91.7352
762.000000 73.920 91.8950
775.000000 73.958 92.0785
788.000000 74.003 92.2710
800.000000 74.049 92.4545
812.000000 74.100 92.6435
825.000000 74.161 92.8510
838.000000 74.228 93.0587
850.000000 74.295 93.2484
862.000000 74.366 93.4337
875.000000 74.449 93.6271
885.000000 74.516 93.7694
900.000000 74.623 93.9656
912.000000 74.714 94.1067
925.000000 74.817 94.2416
938.000000 74.924 94.3544
950.000000 75.026 94.4351
962.000000 75.131 94.4928
975.000000 75.248 94.5275
988.000000 75.367 94.5317
1000.000000 75.479 94.5072
1015.000000 75.620 94.4309
1030.000000 75.760 94.3071
1044.000000 75.887 94.1604
1060.000000 76.030 93.9725
1075.000000 76.162 93.7975
1090.000000 76.296 93.6303
1106.000000 76.445 93.4365
1120.000000 76.579 93.2245
1138.000000 76.753 92.8715
1150.000000 76.866 92.5893
1172.000000 77.066 92.0035
1180.000000 77.135 91.7743
1206.000000 77.349 90.9918
1220.000000 77.458 90.5570
1241.000000 77.611 89.9010
1250.000000 77.674 89.6236
1265.000000 77.775 89.1719
1280.000000 77.873 88.7396
1315.000000 78.097 87.8226
1320.000000 78.129 87.7002
1340.000000 78.262 87.2201
1360.000000 78.401 86.7365
1380.000000 78.548 86.2296
1400.000000 78.703 85.6509
1430.000000 78.936 84.5488
1450.000000 79.074 83.7168
1475.000000 79.218 82.6651
1500.000000 79.334 81.6365
1525.000000 79.436 80.6877
1550.000000 79.529 79.8223
1575.000000 79.620 79.0269
1600.000000 79.709 78.2873
1625.000000 79.798 77.5899
1650.000000 79.887 76.9237
1675.000000 79.977 76.2809
1700.000000 80.069 75.6552
1725.000000 80.161 75.0435
1750.000000 80.253 74.4429
1775.000000 80.346 73.8504
1800.000000 80.440 73.2629
1825.000000 80.534 72.6780
1850.000000 80.628 72.0944
1875.000000 80.723 71.5103
1900.000000 80.817 70.9240
1925.000000 80.912 70.3347
1950.000000 81.007 69.7409
1975.000000 81.102 69.1414
2000.000000 81.197 68.5352
2030.000000 81.311 67.7982
2060.000000 81.424 67.0487
2090.000000 81.536 66.2847
2120.000000 81.647 65.5065
2140.000000 81.720 64.9792
2180.000000 81.864 63.9017
2200.000000 81.935 63.3519
2240.000000 82.075 62.2290
2270.000000 82.177 61.3669
2300.000000 82.277 60.4890
2330.000000 82.375 59.5943
2360.000000 82.470 58.6812
2400.000000 82.592 57.4312
2430.000000 82.680 56.4689
2470.000000 82.790 55.1554
2500.000000 82.868 54.1480
2540.000000 82.965 52.7780
2580.000000 83.051 51.3824
2620.000000 83.128 49.9670
2650.000000 83.178 48.8973
2690.000000 83.235 47.4684
2720.000000 83.270 46.4018
2760.000000 83.306 45.0005
2800.000000 83.334 43.6364
2850.000000 83.360 41.9823
2900.000000 83.380 40.3521
2950.000000 83.390 38.7305
3000.000000 83.387 37.1355
3040.000000 83.376 35.8919
3070.000000 83.364 34.9811
3110.000000 83.343 33.7966
3150.000000 83.316 32.6462
3200.000000 83.275 31.2582
3250.000000 83.225 29.9289
3300.000000 83.168 28.6655
3350.000000 83.103 27.4771
3400.000000 83.032 26.3752
3450.000000 82.956 25.3737
3500.000000 82.876 24.4864
3550.000000 82.798 23.7250
3600.000000 82.724 23.0926
3650.000000 82.662 22.5815
3700.000000 82.615 22.1726
3750.000000 82.588 21.8344
3820.000000 82.587 21.4019
3870.000000 82.612 21.0655
3950.000000 82.690 20.3756
4000.000000 82.756 19.8051
4060.000000 82.845 18.9452
4120.000000 82.936 17.8831
4180.000000 83.017 16.6302
4250.000000 83.091 14.9646
4310.000000 83.130 13.4028
4370.000000 83.144 11.7545
4440.000000 83.122 9.7731
4500.000000 83.069 8.0776
4550.000000 82.998 6.7149
4620.000000 82.863 4.9858
4680.000000 82.728 3.7741
4750.000000 82.584 2.6778
4820.000000 82.481 1.6357
4870.000000 82.416 0.7552
4940.000000 82.299 -0.6277
5000.000000 82.164 -1.7976
5080.000000 81.945 -3.1636
5150.000000 81.731 -4.1254
5220.000000 81.508 -4.8707
5300.000000 81.249 -5.4770
5380.000000 80.991 -5.8440
5450.000000 80.769 -5.9859
5520.000000 80.553 -5.9761
5600.000000 80.315 -5.7959
5700.000000 80.032 -5.3428
5800.000000 79.767 -4.6596
5900.000000 79.522 -3.7622
6000.000000 79.299 -2.6588
6080.000000 79.139 -1.6327
6150.000000 79.015 -0.6360
6220.000000 78.906 0.4459
6300.000000 78.801 1.7822
6400.000000 78.710 3.5645
6500.000000 78.673 5.4020
6600.000000 78.689 7.2443
6700.000000 78.758 9.0380
6800.000000 78.880 10.7291
