* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 16, 2023 11:43:35 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: AudioSense AQ4 - Velvets L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	110.226	176.8015
20.299999	110.200	176.2318
20.600000	110.174	175.6736
20.900000	110.148	175.1274
21.200001	110.121	174.5932
21.400000	110.104	174.2433
21.799999	110.068	173.5581
22.000000	110.050	173.2226
22.400000	110.014	172.5658
22.700001	109.986	172.0861
23.000000	109.958	171.6178
23.299999	109.929	171.1607
23.600000	109.900	170.7140
24.000000	109.861	170.1330
24.299999	109.832	169.7068
24.700001	109.792	169.1503
25.000000	109.762	168.7411
25.400000	109.721	168.2065
25.799999	109.679	167.6837
26.200001	109.637	167.1722
26.500000	109.605	166.7954
26.900000	109.562	166.3018
27.200001	109.530	165.9380
27.600000	109.487	165.4612
28.000000	109.443	164.9933
28.500000	109.389	164.4197
29.000000	109.335	163.8585
29.500000	109.281	163.3112
30.000000	109.226	162.7798
30.400000	109.183	162.3670
30.700001	109.150	162.0643
31.100000	109.107	161.6695
31.500000	109.063	161.2837
32.000000	109.009	160.8130
32.500000	108.955	160.3549
33.000000	108.900	159.9108
33.500000	108.844	159.4828
34.000000	108.789	159.0714
34.500000	108.734	158.6732
35.000000	108.679	158.2827
35.500000	108.625	157.8962
36.000000	108.571	157.5138
36.500000	108.516	157.1387
37.000000	108.460	156.7753
37.500000	108.404	156.4262
38.200001	108.327	155.9586
38.700001	108.273	155.6315
39.500000	108.189	155.1049
40.000000	108.135	154.7780
40.599998	108.068	154.4004
41.200001	108.002	154.0441
41.799999	107.936	153.7039
42.500000	107.861	153.3204
43.099998	107.797	153.0032
43.700001	107.733	152.6952
44.400002	107.661	152.3422
45.000000	107.598	152.0451
45.500000	107.545	151.8058
46.200001	107.472	151.4884
46.799999	107.409	151.2310
47.500000	107.338	150.9413
48.200001	107.266	150.6622
48.700001	107.216	150.4714
49.400002	107.146	150.2169
50.000000	107.088	150.0057
50.799999	107.012	149.7235
51.500000	106.946	149.4738
52.200001	106.879	149.2282
53.000000	106.802	148.9588
53.799999	106.725	148.6984
54.500000	106.658	148.4778
55.200001	106.590	148.2704
56.000000	106.514	148.0512
57.000000	106.421	147.7877
58.000000	106.329	147.5290
59.000000	106.236	147.2877
60.000000	106.144	147.0651
60.799999	106.071	146.9012
61.500000	106.008	146.7689
62.200001	105.946	146.6448
63.000000	105.875	146.5117
64.000000	105.787	146.3648
65.000000	105.700	146.2463
66.000000	105.617	146.1526
67.000000	105.539	146.0720
68.000000	105.466	145.9886
69.000000	105.399	145.8852
70.000000	105.334	145.7488
71.000000	105.267	145.5876
72.000000	105.198	145.4214
73.000000	105.126	145.2623
74.000000	105.053	145.1171
75.000000	104.979	144.9894
76.199997	104.890	144.8560
77.500000	104.795	144.7315
78.800003	104.701	144.6226
80.000000	104.616	144.5311
81.199997	104.531	144.4500
82.500000	104.441	144.3725
83.800003	104.352	144.3042
85.000000	104.271	144.2512
86.199997	104.191	144.2079
87.500000	104.106	144.1702
88.500000	104.042	144.1459
90.000000	103.946	144.1156
91.199997	103.871	144.0969
92.500000	103.790	144.0843
93.800003	103.711	144.0796
95.000000	103.639	144.0784
96.199997	103.568	144.0806
97.500000	103.492	144.0911
98.800003	103.417	144.1084
100.000000	103.348	144.1286
101.500000	103.264	144.1597
103.000000	103.181	144.1952
104.400002	103.104	144.2316
106.000000	103.017	144.2785
107.500000	102.937	144.3297
109.000000	102.858	144.3877
110.599998	102.774	144.4593
112.000000	102.701	144.5318
113.800003	102.607	144.6309
115.000000	102.546	144.6969
117.199997	102.437	144.8033
118.000000	102.397	144.8372
120.599998	102.265	145.0016
122.000000	102.196	145.1421
124.099998	102.097	145.3669
125.000000	102.055	145.4655
126.500000	101.984	145.6341
128.000000	101.915	145.8086
131.500000	101.763	146.2451
132.000000	101.743	146.3111
134.000000	101.662	146.5853
136.000000	101.582	146.8744
138.000000	101.504	147.1765
140.000000	101.429	147.4971
143.000000	101.321	148.0435
145.000000	101.256	148.4682
147.500000	101.190	149.0784
150.000000	101.154	149.7219
152.500000	101.151	150.2851
155.000000	101.171	150.6399
157.500000	101.191	150.7303
160.000000	101.190	150.6182
162.500000	101.164	150.4444
165.000000	101.119	150.3085
167.500000	101.064	150.2264
170.000000	101.003	150.1854
172.500000	100.939	150.1713
175.000000	100.872	150.1830
177.500000	100.803	150.2242
180.000000	100.735	150.2912
182.500000	100.667	150.3852
185.000000	100.600	150.5001
187.500000	100.534	150.6293
190.000000	100.470	150.7729
192.500000	100.408	150.9287
195.000000	100.347	151.0929
197.500000	100.287	151.2637
200.000000	100.228	151.4407
203.000000	100.161	151.6628
206.000000	100.095	151.8923
209.000000	100.031	152.1263
212.000000	99.969	152.3650
214.000000	99.929	152.5255
218.000000	99.852	152.8477
220.000000	99.814	153.0074
224.000000	99.741	153.3222
227.000000	99.687	153.5598
230.000000	99.633	153.8011
233.000000	99.579	154.0444
236.000000	99.526	154.2900
240.000000	99.457	154.6276
243.000000	99.406	154.8817
247.000000	99.339	155.2293
250.000000	99.289	155.5092
254.000000	99.225	155.9055
258.000000	99.165	156.3231
262.000000	99.108	156.7749
265.000000	99.072	157.1341
269.000000	99.034	157.6121
272.000000	99.014	157.9506
276.000000	98.995	158.3486
280.000000	98.978	158.6726
285.000000	98.953	158.9942
290.000000	98.920	159.2649
295.000000	98.879	159.5244
300.000000	98.832	159.7917
304.000000	98.792	160.0114
307.000000	98.760	160.1818
311.000000	98.716	160.4177
315.000000	98.671	160.6644
320.000000	98.616	160.9980
325.000000	98.561	161.3803
330.000000	98.508	161.8335
335.000000	98.459	162.3604
340.000000	98.422	162.9556
345.000000	98.409	163.5928
350.000000	98.424	164.1727
355.000000	98.458	164.5770
360.000000	98.491	164.7703
365.000000	98.506	164.8169
370.000000	98.499	164.8229
375.000000	98.478	164.8582
382.000000	98.434	164.9897
387.000000	98.399	165.1349
395.000000	98.344	165.4271
400.000000	98.310	165.6360
406.000000	98.272	165.9032
412.000000	98.236	166.1829
418.000000	98.202	166.4713
425.000000	98.164	166.8144
431.000000	98.134	167.1100
437.000000	98.104	167.4055
444.000000	98.072	167.7509
450.000000	98.045	168.0477
455.000000	98.024	168.2944
462.000000	97.995	168.6360
468.000000	97.971	168.9256
475.000000	97.944	169.2631
482.000000	97.919	169.6005
487.000000	97.901	169.8402
494.000000	97.878	170.1733
500.000000	97.858	170.4561
508.000000	97.833	170.8299
515.000000	97.812	171.1538
522.000000	97.792	171.4755
530.000000	97.769	171.8428
538.000000	97.748	172.2092
545.000000	97.729	172.5278
552.000000	97.711	172.8433
560.000000	97.692	173.1995
570.000000	97.669	173.6418
580.000000	97.646	174.0830
590.000000	97.625	174.5211
600.000000	97.604	174.9578
608.000000	97.589	175.3060
615.000000	97.575	175.6092
622.000000	97.562	175.9112
630.000000	97.548	176.2557
640.000000	97.531	176.6860
650.000000	97.515	177.1172
660.000000	97.499	177.5497
670.000000	97.484	177.9818
680.000000	97.470	178.4142
690.000000	97.457	178.8482
700.000000	97.444	179.2839
710.000000	97.432	179.7213
720.000000	97.420	-179.8392
730.000000	97.410	-179.3973
740.000000	97.399	-178.9483
750.000000	97.389	-178.4887
