* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 16, 2023 11:42:46 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: AudioSense AQ4 - Velvets R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	111.321	178.3680
20.299999	111.302	177.8579
20.600000	111.281	177.3598
20.900000	111.258	176.8708
21.200001	111.234	176.3876
21.400000	111.217	176.0670
21.799999	111.181	175.4268
22.000000	111.163	175.1064
22.400000	111.124	174.4641
22.700001	111.094	173.9819
23.000000	111.064	173.5007
23.299999	111.034	173.0213
23.600000	111.004	172.5447
24.000000	110.965	171.9147
24.299999	110.937	171.4475
24.700001	110.901	170.8333
25.000000	110.875	170.3807
25.400000	110.842	169.7896
25.799999	110.811	169.2142
26.200001	110.780	168.6565
26.500000	110.757	168.2512
26.900000	110.726	167.7296
27.200001	110.702	167.3528
27.600000	110.670	166.8693
28.000000	110.637	166.4051
28.500000	110.594	165.8476
29.000000	110.548	165.3104
29.500000	110.500	164.7888
30.000000	110.450	164.2773
30.400000	110.409	163.8721
30.700001	110.378	163.5693
31.100000	110.336	163.1667
31.500000	110.293	162.7656
32.000000	110.239	162.2669
32.500000	110.186	161.7720
33.000000	110.134	161.2824
33.500000	110.084	160.8008
34.000000	110.034	160.3303
34.500000	109.986	159.8731
35.000000	109.938	159.4298
35.500000	109.891	159.0014
36.000000	109.844	158.5889
36.500000	109.796	158.1929
37.000000	109.748	157.8125
37.500000	109.699	157.4446
38.200001	109.630	156.9450
38.700001	109.580	156.5967
39.500000	109.498	156.0504
40.000000	109.447	155.7136
40.599998	109.385	155.3136
41.200001	109.324	154.9202
41.799999	109.262	154.5365
42.500000	109.192	154.1023
43.099998	109.133	153.7416
43.700001	109.074	153.3909
44.400002	109.006	152.9937
45.000000	108.948	152.6629
45.500000	108.900	152.3950
46.200001	108.832	152.0334
46.799999	108.773	151.7347
47.500000	108.706	151.3952
48.200001	108.639	151.0635
48.700001	108.591	150.8314
49.400002	108.525	150.5129
50.000000	108.469	150.2461
50.799999	108.393	149.9040
51.500000	108.328	149.6184
52.200001	108.263	149.3407
53.000000	108.188	149.0314
53.799999	108.113	148.7345
54.500000	108.048	148.4833
55.200001	107.984	148.2365
56.000000	107.911	147.9608
57.000000	107.821	147.6297
58.000000	107.733	147.3186
59.000000	107.647	147.0265
60.000000	107.562	146.7437
60.799999	107.494	146.5249
61.500000	107.434	146.3398
62.200001	107.375	146.1581
63.000000	107.306	145.9533
64.000000	107.221	145.7040
65.000000	107.137	145.4640
66.000000	107.054	145.2339
67.000000	106.972	145.0145
68.000000	106.890	144.8123
69.000000	106.809	144.6281
70.000000	106.729	144.4566
71.000000	106.649	144.2966
72.000000	106.569	144.1476
73.000000	106.491	144.0106
74.000000	106.414	143.8848
75.000000	106.339	143.7693
76.199997	106.252	143.6456
77.500000	106.163	143.5181
78.800003	106.078	143.3786
80.000000	106.000	143.2402
81.199997	105.922	143.0958
82.500000	105.835	142.9404
83.800003	105.749	142.7950
85.000000	105.668	142.6704
86.199997	105.587	142.5562
87.500000	105.500	142.4430
88.500000	105.434	142.3648
90.000000	105.337	142.2632
91.199997	105.261	142.1913
92.500000	105.180	142.1195
93.800003	105.098	142.0569
95.000000	105.023	142.0068
96.199997	104.949	141.9614
97.500000	104.871	141.9169
98.800003	104.794	141.8791
100.000000	104.725	141.8493
101.500000	104.639	141.8187
103.000000	104.554	141.7969
104.400002	104.475	141.7861
106.000000	104.388	141.7774
107.500000	104.307	141.7691
109.000000	104.227	141.7679
110.599998	104.142	141.7787
112.000000	104.070	141.7915
113.800003	103.977	141.8071
115.000000	103.917	141.8200
117.199997	103.811	141.8493
118.000000	103.773	141.8585
120.599998	103.648	141.9006
122.000000	103.580	141.9534
124.099998	103.482	142.0392
125.000000	103.441	142.0735
126.500000	103.372	142.1286
128.000000	103.304	142.1825
131.500000	103.151	142.3189
132.000000	103.129	142.3407
134.000000	103.044	142.4321
136.000000	102.961	142.5273
138.000000	102.878	142.6242
140.000000	102.797	142.7251
143.000000	102.677	142.8872
145.000000	102.599	142.9987
147.500000	102.504	143.1443
150.000000	102.410	143.2985
152.500000	102.318	143.4588
155.000000	102.227	143.6186
157.500000	102.138	143.7824
160.000000	102.050	143.9532
162.500000	101.963	144.1331
165.000000	101.877	144.3211
167.500000	101.793	144.5135
170.000000	101.710	144.7092
172.500000	101.628	144.9092
175.000000	101.547	145.1171
177.500000	101.467	145.3347
180.000000	101.386	145.5614
182.500000	101.306	145.8013
185.000000	101.227	146.0619
187.500000	101.147	146.3518
190.000000	101.067	146.6792
192.500000	100.989	147.0540
195.000000	100.916	147.4873
197.500000	100.851	147.9878
200.000000	100.800	148.5486
203.000000	100.768	149.2441
206.000000	100.770	149.8434
209.000000	100.795	150.2164
212.000000	100.819	150.3253
214.000000	100.824	150.2881
218.000000	100.797	150.1126
220.000000	100.768	150.0302
224.000000	100.693	149.9428
227.000000	100.629	149.9550
230.000000	100.563	150.0219
233.000000	100.498	150.1258
236.000000	100.434	150.2590
240.000000	100.352	150.4709
243.000000	100.292	150.6414
247.000000	100.215	150.8872
250.000000	100.160	151.0840
254.000000	100.088	151.3493
258.000000	100.018	151.6211
262.000000	99.951	151.9059
265.000000	99.903	152.1245
269.000000	99.841	152.4135
272.000000	99.795	152.6257
276.000000	99.736	152.9056
280.000000	99.677	153.1883
285.000000	99.606	153.5494
290.000000	99.537	153.9152
295.000000	99.471	154.2802
300.000000	99.405	154.6415
304.000000	99.355	154.9243
307.000000	99.317	155.1303
311.000000	99.269	155.3985
315.000000	99.222	155.6649
320.000000	99.166	156.0024
325.000000	99.113	156.3478
330.000000	99.059	156.6932
335.000000	99.006	157.0304
340.000000	98.954	157.3671
345.000000	98.903	157.7071
350.000000	98.853	158.0466
355.000000	98.804	158.3881
360.000000	98.756	158.7303
365.000000	98.709	159.0764
370.000000	98.662	159.4272
375.000000	98.616	159.7853
382.000000	98.553	160.3025
387.000000	98.510	160.6836
395.000000	98.445	161.3253
400.000000	98.408	161.7518
406.000000	98.370	162.2882
412.000000	98.342	162.8390
418.000000	98.326	163.3711
425.000000	98.321	163.9141
431.000000	98.320	164.2849
437.000000	98.317	164.5751
444.000000	98.304	164.8537
450.000000	98.286	165.0773
455.000000	98.267	165.2674
462.000000	98.236	165.5470
468.000000	98.208	165.8005
475.000000	98.175	166.1099
482.000000	98.144	166.4242
487.000000	98.122	166.6468
494.000000	98.091	166.9531
500.000000	98.064	167.2110
508.000000	98.027	167.5585
515.000000	97.992	167.8748
522.000000	97.958	168.2041
530.000000	97.920	168.5928
538.000000	97.884	168.9889
545.000000	97.853	169.3371
552.000000	97.824	169.6859
560.000000	97.792	170.0869
570.000000	97.753	170.5917
580.000000	97.716	171.0963
590.000000	97.680	171.6003
600.000000	97.646	172.1066
608.000000	97.619	172.5117
615.000000	97.597	172.8648
622.000000	97.575	173.2180
630.000000	97.550	173.6228
640.000000	97.521	174.1297
650.000000	97.493	174.6378
660.000000	97.466	175.1497
670.000000	97.440	175.6636
680.000000	97.415	176.1799
690.000000	97.392	176.6970
700.000000	97.370	177.2140
710.000000	97.349	177.7345
720.000000	97.329	178.2567
730.000000	97.311	178.7799
740.000000	97.295	179.3023
750.000000	97.279	179.8227
762.000000	97.262	-179.5611
775.000000	97.244	-178.9150
788.000000	97.221	-178.3069
800.000000	97.184	-177.7642
812.000000	97.119	-177.0538
825.000000	97.069	-175.8253
838.000000	97.107	-174.5678
850.000000	97.166	-173.7739
862.000000	97.207	-173.1634
875.000000	97.234	-172.5151
885.000000	97.252	-171.9943
900.000000	97.280	-171.1906
912.000000	97.306	-170.5437
925.000000	97.337	-169.8454
938.000000	97.372	-169.1534
950.000000	97.407	-168.5245
962.000000	97.445	-167.9075
975.000000	97.489	-167.2520
988.000000	97.537	-166.6122
1000.000000	97.583	-166.0393
1015.000000	97.644	-165.3495
1030.000000	97.708	-164.6886
1044.000000	97.770	-164.0964
1060.000000	97.843	-163.4507
1075.000000	97.912	-162.8770
1090.000000	97.983	-162.3329
1106.000000	98.058	-161.7823
1120.000000	98.125	-161.3234
1138.000000	98.209	-160.7621
1150.000000	98.265	-160.4050
1172.000000	98.366	-159.7818
1180.000000	98.403	-159.5634
1206.000000	98.519	-158.8786
1220.000000	98.581	-158.5242
1241.000000	98.672	-158.0058
1250.000000	98.710	-157.7869
1265.000000	98.774	-157.4265
1280.000000	98.838	-157.0710
1315.000000	98.987	-156.2527
1320.000000	99.008	-156.1370
1340.000000	99.094	-155.6779
1360.000000	99.182	-155.2273
1380.000000	99.272	-154.7889
1400.000000	99.363	-154.3665
1430.000000	99.502	-153.7559
1450.000000	99.600	-153.3712
1475.000000	99.725	-152.9457
1500.000000	99.850	-152.5541
1525.000000	99.969	-152.1646
1550.000000	100.083	-151.7958
1575.000000	100.195	-151.4417
1600.000000	100.305	-151.0854
1625.000000	100.416	-150.7253
1650.000000	100.528	-150.3605
1675.000000	100.642	-149.9898
1700.000000	100.760	-149.6130
1725.000000	100.882	-149.2367
1750.000000	101.009	-148.8686
1775.000000	101.140	-148.5153
1800.000000	101.277	-148.1828
1825.000000	101.419	-147.8754
1850.000000	101.566	-147.5973
1875.000000	101.718	-147.3521
1900.000000	101.873	-147.1434
1925.000000	102.032	-146.9753
1950.000000	102.195	-146.8518
1975.000000	102.360	-146.7756
2000.000000	102.528	-146.7486
2030.000000	102.731	-146.7849
2060.000000	102.937	-146.8993
2090.000000	103.143	-147.0950
2120.000000	103.349	-147.3750
2140.000000	103.485	-147.6091
2180.000000	103.755	-148.1922
2200.000000	103.887	-148.5409
2240.000000	104.147	-149.3560
2270.000000	104.335	-150.0717
2300.000000	104.516	-150.8771
2330.000000	104.687	-151.7707
2360.000000	104.848	-152.7479
2400.000000	105.042	-154.1677
2430.000000	105.172	-155.3088
2470.000000	105.320	-156.9138
2500.000000	105.412	-158.1638
2540.000000	105.509	-159.8693
2580.000000	105.577	-161.5966
2620.000000	105.613	-163.3206
2650.000000	105.621	-164.5948
2690.000000	105.605	-166.2451
2720.000000	105.576	-167.4304
2760.000000	105.515	-168.9216
2800.000000	105.434	-170.2967
2850.000000	105.308	-171.8380
2900.000000	105.159	-173.1655
2950.000000	104.995	-174.2618
3000.000000	104.822	-175.1189
3040.000000	104.683	-175.6357
3070.000000	104.579	-175.9293
3110.000000	104.446	-176.2020
3150.000000	104.321	-176.3474
3200.000000	104.179	-176.3689
3250.000000	104.059	-176.2433
3300.000000	103.968	-176.0229
3350.000000	103.906	-175.7830
3400.000000	103.870	-175.6064
3450.000000	103.849	-175.5530
3500.000000	103.827	-175.6221
3550.000000	103.794	-175.7503
3600.000000	103.750	-175.8534
3650.000000	103.704	-175.8824
3700.000000	103.665	-175.8447
3750.000000	103.638	-175.7830
3820.000000	103.621	-175.7485
3870.000000	103.616	-175.8077
3950.000000	103.606	-176.0728
4000.000000	103.589	-176.3211
4060.000000	103.551	-176.6461
4120.000000	103.494	-176.9305
4180.000000	103.421	-177.1081
4250.000000	103.330	-177.1262
4310.000000	103.257	-176.9736
4370.000000	103.200	-176.6922
4440.000000	103.161	-176.2612
4500.000000	103.155	-175.8643
4550.000000	103.168	-175.5499
4620.000000	103.213	-175.1794
4680.000000	103.272	-174.9598
4750.000000	103.363	-174.8539
4820.000000	103.471	-174.9500
4870.000000	103.555	-175.1660
4940.000000	103.672	-175.6945
5000.000000	103.764	-176.3547
5080.000000	103.862	-177.4974
5150.000000	103.914	-178.6802
5220.000000	103.928	-179.9469
5300.000000	103.899	178.6221
5380.000000	103.827	177.3343
5450.000000	103.743	176.4082
5520.000000	103.655	175.7125
5600.000000	103.574	175.1914
5700.000000	103.547	174.7766
5800.000000	103.647	174.1040
5900.000000	103.843	172.2545
6000.000000	103.953	168.4667
6080.000000	103.796	164.4273
6150.000000	103.416	161.1269
6220.000000	102.848	158.9106
6300.000000	102.094	158.1746
6400.000000	101.216	159.6046
6500.000000	100.556	162.6282
6600.000000	100.134	166.3402
6700.000000	99.915	170.2335
6800.000000	99.862	174.0626
6900.000000	99.953	177.7024
7000.000000	100.174	-178.9340
7100.000000	100.520	-175.9378
7200.000000	100.989	-173.4179
7300.000000	101.585	-171.5106
7400.000000	102.313	-170.4373
7500.000000	103.166	-170.5798
7620.000000	104.288	-173.0781
7750.000000	105.423	-179.5986
7880.000000	106.129	169.7037
8000.000000	106.130	157.7561
8120.000000	105.456	146.6889
8250.000000	104.182	138.1065
8380.000000	102.680	133.4590
8500.000000	101.322	131.8613
8620.000000	100.095	131.9503
8750.000000	98.941	133.1650
8850.000000	98.166	134.5298
9000.000000	97.143	136.9204
9120.000000	96.419	138.9751
9250.000000	95.702	141.2386
9380.000000	95.025	143.5523
9500.000000	94.418	145.8082
9620.000000	93.823	148.2635
9750.000000	93.201	151.2275
9880.000000	92.614	154.5496
10000.000000	92.121	157.9193
10150.000000	91.591	162.4613
10300.000000	91.173	167.2429
10440.000000	90.894	171.7761
10600.000000	90.711	176.8638
10750.000000	90.665	-178.6084
10900.000000	90.734	-174.4577
11060.000000	90.921	-170.6072
11200.000000	91.162	-167.8698
11380.000000	91.541	-165.4084
11500.000000	91.804	-164.5009
11720.000000	92.220	-164.3465
11800.000000	92.325	-164.7034
12060.000000	92.410	-166.6145
12200.000000	92.283	-167.5660
12410.000000	91.909	-168.0812
12500.000000	91.704	-167.8351
12650.000000	91.334	-166.7309
12800.000000	90.963	-164.7729
13150.000000	90.263	-157.3390
