* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Oct 13, 2023 9:51:35 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Delta Airlines Complementary L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	49.995	-35.1226
20.299999	50.415	-36.3014
20.600000	50.830	-38.5776
20.900000	51.125	-41.9609
21.200001	51.197	-46.0082
21.400000	51.086	-48.5152
21.799999	50.499	-51.4819
22.000000	50.101	-51.1774
22.400000	49.446	-46.1159
22.700001	49.546	-39.8093
23.000000	50.335	-34.2224
23.299999	51.397	-31.5516
23.600000	52.395	-32.1938
24.000000	53.284	-36.9813
24.299999	53.547	-41.6233
24.700001	53.407	-46.8727
25.000000	53.051	-48.9026
25.400000	52.494	-48.4600
25.799999	52.206	-45.4594
26.200001	52.347	-42.2263
26.500000	52.621	-40.8133
26.900000	52.990	-40.6494
27.200001	53.165	-41.4224
27.600000	53.217	-42.8116
28.000000	53.093	-43.7244
28.500000	52.828	-43.2856
29.000000	52.707	-41.0399
29.500000	52.957	-38.4028
30.000000	53.484	-37.5831
30.400000	53.865	-38.8320
30.700001	54.027	-40.5134
31.100000	54.047	-42.6784
31.500000	53.923	-43.7487
32.000000	53.842	-43.1113
32.500000	54.091	-41.7942
33.000000	54.546	-41.9691
33.500000	54.889	-43.9235
34.000000	54.977	-46.0320
34.500000	54.945	-46.7166
35.000000	55.034	-46.0653
35.500000	55.323	-45.4912
36.000000	55.648	-45.9510
36.500000	55.847	-46.9810
37.000000	55.932	-47.4762
37.500000	56.037	-47.1227
38.200001	56.324	-46.5826
38.700001	56.495	-46.8008
39.500000	56.559	-46.4270
40.000000	56.651	-45.1372
40.599998	56.948	-43.7962
41.200001	57.252	-43.8998
41.799999	57.388	-44.6583
42.500000	57.454	-44.9782
43.099998	57.576	-45.3793
43.700001	57.655	-46.5669
44.400002	57.597	-47.9183
45.000000	57.555	-48.3125
45.500000	57.603	-48.5793
46.200001	57.700	-49.3387
46.799999	57.754	-49.7034
47.500000	57.906	-49.3761
48.200001	58.163	-49.0697
48.700001	58.335	-48.8925
49.400002	58.579	-48.1046
50.000000	58.871	-47.2275
50.799999	59.272	-46.9476
51.500000	59.473	-47.2155
52.200001	59.578	-47.1630
53.000000	59.678	-47.0298
53.799999	59.711	-47.0474
54.500000	59.732	-46.6733
55.200001	59.874	-46.2186
56.000000	60.145	-46.6056
57.000000	60.456	-47.9537
58.000000	60.840	-49.5846
59.000000	61.059	-52.3879
60.000000	60.931	-53.1902
60.799999	60.982	-51.7129
61.500000	61.199	-50.6993
62.200001	61.400	-50.4238
63.000000	61.558	-50.2633
64.000000	61.757	-50.1484
65.000000	61.917	-50.6371
66.000000	62.001	-50.9983
67.000000	62.148	-50.9404
68.000000	62.335	-51.1749
69.000000	62.480	-51.0966
70.000000	62.705	-50.5321
71.000000	62.969	-50.4747
72.000000	63.133	-50.7824
73.000000	63.210	-50.7166
74.000000	63.306	-50.1595
75.000000	63.468	-49.6287
76.199997	63.695	-49.4091
77.500000	63.945	-49.4621
78.800003	64.197	-49.7615
80.000000	64.382	-50.2294
81.199997	64.513	-50.3677
82.500000	64.699	-50.1067
83.800003	64.915	-50.0787
85.000000	65.089	-50.0914
86.199997	65.265	-50.0699
87.500000	65.439	-50.0775
88.500000	65.567	-49.9995
90.000000	65.775	-49.9121
91.199997	65.935	-49.9802
92.500000	66.096	-49.9948
93.800003	66.289	-49.9528
95.000000	66.475	-50.1152
96.199997	66.637	-50.2964
97.500000	66.797	-50.3096
98.800003	66.965	-50.1288
100.000000	67.127	-49.9387
101.500000	67.331	-49.7371
103.000000	67.524	-49.7587
104.400002	67.682	-49.8185
106.000000	67.867	-49.8285
107.500000	68.062	-49.6661
109.000000	68.283	-49.4674
110.599998	68.522	-49.3274
112.000000	68.696	-49.5309
113.800003	68.819	-49.7805
115.000000	68.911	-49.6610
117.199997	69.225	-49.4990
118.000000	69.363	-49.6118
120.599998	69.692	-50.2069
122.000000	69.799	-50.0298
124.099998	69.989	-49.6236
125.000000	70.073	-49.5522
126.500000	70.224	-49.4864
128.000000	70.400	-49.4979
131.500000	70.800	-49.6555
132.000000	70.852	-49.6860
134.000000	71.048	-49.8473
136.000000	71.257	-50.0904
138.000000	71.486	-50.4135
140.000000	71.707	-50.6458
143.000000	72.021	-50.7668
145.000000	72.205	-50.9156
147.500000	72.425	-51.1302
150.000000	72.644	-51.3823
152.500000	72.848	-51.6862
155.000000	73.044	-51.9921
157.500000	73.245	-52.3762
160.000000	73.429	-52.8167
162.500000	73.590	-53.1906
165.000000	73.728	-53.5096
167.500000	73.839	-53.7216
170.000000	73.935	-53.7794
172.500000	74.029	-53.6691
175.000000	74.130	-53.3936
177.500000	74.239	-52.9719
180.000000	74.358	-52.4392
182.500000	74.495	-51.8242
185.000000	74.658	-51.2015
187.500000	74.840	-50.6342
190.000000	75.035	-50.0886
192.500000	75.244	-49.5598
195.000000	75.457	-49.0835
197.500000	75.667	-48.6888
200.000000	75.868	-48.3699
203.000000	76.099	-48.0588
206.000000	76.328	-47.7720
209.000000	76.567	-47.4368
212.000000	76.807	-47.0703
214.000000	76.959	-46.8070
218.000000	77.254	-46.2247
220.000000	77.408	-45.9240
224.000000	77.730	-45.3509
227.000000	77.983	-44.8874
230.000000	78.246	-44.3787
233.000000	78.513	-43.9097
236.000000	78.781	-43.5074
240.000000	79.147	-43.0591
243.000000	79.427	-42.7815
247.000000	79.803	-42.4914
250.000000	80.086	-42.3062
254.000000	80.464	-42.0891
258.000000	80.836	-41.9326
262.000000	81.206	-41.8472
265.000000	81.483	-41.8209
269.000000	81.851	-41.8021
272.000000	82.127	-41.8013
276.000000	82.494	-41.8303
280.000000	82.862	-41.8879
285.000000	83.319	-42.0048
290.000000	83.777	-42.1566
295.000000	84.239	-42.3489
300.000000	84.698	-42.6175
304.000000	85.065	-42.8848
307.000000	85.340	-43.1093
311.000000	85.712	-43.4274
315.000000	86.088	-43.7631
320.000000	86.558	-44.2221
325.000000	87.028	-44.7434
330.000000	87.502	-45.3417
335.000000	87.979	-46.0037
340.000000	88.459	-46.7380
345.000000	88.943	-47.5573
350.000000	89.431	-48.4568
355.000000	89.922	-49.4406
360.000000	90.416	-50.5173
365.000000	90.914	-51.7032
370.000000	91.413	-53.0054
375.000000	91.915	-54.4272
382.000000	92.618	-56.6357
387.000000	93.120	-58.3835
395.000000	93.920	-61.4888
400.000000	94.415	-63.6307
406.000000	95.003	-66.4252
412.000000	95.583	-69.4884
418.000000	96.148	-72.8518
425.000000	96.780	-77.1954
431.000000	97.284	-81.2926
437.000000	97.740	-85.7205
444.000000	98.196	-91.2433
450.000000	98.512	-96.1973
455.000000	98.717	-100.4101
462.000000	98.917	-106.3253
468.000000	99.009	-111.3096
475.000000	99.032	-116.9073
482.000000	98.977	-122.1791
487.000000	98.899	-125.7108
494.000000	98.747	-130.3013
500.000000	98.587	-133.9006
508.000000	98.346	-138.2351
515.000000	98.119	-141.6226
522.000000	97.888	-144.6669
530.000000	97.625	-147.7715
538.000000	97.369	-150.5286
545.000000	97.156	-152.6971
552.000000	96.953	-154.6750
560.000000	96.736	-156.7369
570.000000	96.486	-159.0627
580.000000	96.262	-161.1613
590.000000	96.061	-163.0808
600.000000	95.883	-164.8652
608.000000	95.754	-166.2142
615.000000	95.652	-167.3422
622.000000	95.559	-168.4283
630.000000	95.466	-169.6324
640.000000	95.365	-171.1101
650.000000	95.279	-172.5832
660.000000	95.205	-174.0611
670.000000	95.140	-175.5613
680.000000	95.079	-177.0879
690.000000	95.015	-178.6293
700.000000	94.939	179.8812
710.000000	94.855	178.6467
720.000000	94.825	177.8800
730.000000	94.960	177.0638
740.000000	95.201	174.8469
750.000000	95.291	170.9784
762.000000	94.991	166.4411
775.000000	94.488	164.5607
788.000000	94.295	163.9440
800.000000	94.266	162.5574
812.000000	94.220	160.5805
825.000000	94.123	158.2316
838.000000	93.989	155.8688
850.000000	93.841	153.7217
862.000000	93.671	151.6313
875.000000	93.467	149.4651
885.000000	93.299	147.8872
900.000000	93.037	145.6660
912.000000	92.821	144.0017
925.000000	92.581	142.3076
938.000000	92.340	140.7192
950.000000	92.116	139.3481
962.000000	91.890	138.0683
975.000000	91.650	136.7784
988.000000	91.416	135.5615
1000.000000	91.203	134.4885
1015.000000	90.942	133.2106
1030.000000	90.686	132.0018
1044.000000	90.455	130.9233
1060.000000	90.199	129.7284
1075.000000	89.967	128.6002
1090.000000	89.737	127.4580
1106.000000	89.490	126.2487
1120.000000	89.274	125.1938
1138.000000	88.997	123.8315
1150.000000	88.809	122.9056
1172.000000	88.453	121.2006
1180.000000	88.320	120.5873
1206.000000	87.869	118.6486
1220.000000	87.618	117.6446
1241.000000	87.231	116.1828
1250.000000	87.060	115.5808
1265.000000	86.768	114.6266
1280.000000	86.470	113.7341
1315.000000	85.756	111.8746
1320.000000	85.652	111.6367
1340.000000	85.235	110.7430
1360.000000	84.809	109.9554
1380.000000	84.378	109.2833
1400.000000	83.943	108.7236
1430.000000	83.289	108.1332
1450.000000	82.857	107.8815
1475.000000	82.324	107.6555
1500.000000	81.792	107.5320
1525.000000	81.262	107.4633
1550.000000	80.715	107.3989
1575.000000	80.130	107.5755
1600.000000	79.545	108.2180
1625.000000	79.006	109.0641
1650.000000	78.494	109.8691
1675.000000	77.979	110.6537
1700.000000	77.459	111.5078
1725.000000	76.940	112.4631
1750.000000	76.417	113.4940
1775.000000	75.891	114.5994
1800.000000	75.361	115.7741
1825.000000	74.823	117.0201
1850.000000	74.273	118.3289
1875.000000	73.703	119.7130
1900.000000	73.108	121.2247
1925.000000	72.489	122.9174
1950.000000	71.843	124.8159
1975.000000	71.167	126.9303
2000.000000	70.460	129.3115
2030.000000	69.561	132.5764
2060.000000	68.579	136.5084
2090.000000	67.515	141.4493
2120.000000	66.361	147.7979
2140.000000	65.546	153.1676
2180.000000	63.935	167.6961
2200.000000	63.268	177.1493
2240.000000	62.725	-160.5417
2270.000000	63.276	-143.2475
2300.000000	64.507	-127.8899
2330.000000	66.101	-115.6567
2360.000000	67.812	-106.5951
2400.000000	70.080	-98.5410
2430.000000	71.732	-94.8557
2470.000000	73.785	-93.1302
2500.000000	74.949	-94.1157
2540.000000	76.209	-93.6603
2580.000000	77.899	-92.5884
2620.000000	79.549	-94.9929
2650.000000	80.629	-98.3165
2690.000000	81.856	-104.0450
2720.000000	82.602	-109.1266
2760.000000	83.334	-116.6172
2800.000000	83.760	-124.3515
2850.000000	83.902	-133.3863
2900.000000	83.715	-140.9335
2950.000000	83.330	-146.6982
3000.000000	82.855	-150.8248
3040.000000	82.457	-153.1594
3070.000000	82.163	-154.4410
3110.000000	81.785	-155.6381
3150.000000	81.431	-156.3665
3200.000000	81.027	-156.7679
3250.000000	80.663	-156.7379
3300.000000	80.332	-156.3541
3350.000000	80.038	-155.6351
3400.000000	79.790	-154.6689
3450.000000	79.587	-153.5694
3500.000000	79.420	-152.3910
3550.000000	79.284	-151.1467
3600.000000	79.178	-149.8679
3650.000000	79.102	-148.5886
3700.000000	79.051	-147.3403
3750.000000	79.022	-146.1639
3820.000000	79.009	-144.7072
3870.000000	79.001	-143.8307
3950.000000	78.944	-142.5723
4000.000000	78.871	-141.6119
4060.000000	78.780	-139.9683
4120.000000	78.760	-137.8265
4180.000000	78.852	-135.6423
4250.000000	79.052	-133.5253
4310.000000	79.253	-132.0773
4370.000000	79.468	-130.7970
4440.000000	79.756	-129.4206
4500.000000	80.053	-128.3940
4550.000000	80.339	-127.7256
4620.000000	80.804	-127.2155
4680.000000	81.257	-127.3331
4750.000000	81.827	-128.3411
4820.000000	82.402	-130.4654
4870.000000	82.788	-132.7280
4940.000000	83.247	-136.9630
5000.000000	83.522	-141.5077
5080.000000	83.654	-148.5061
5150.000000	83.516	-154.9464
5220.000000	83.146	-161.0909
5300.000000	82.484	-167.1710
5380.000000	81.643	-171.8826
5450.000000	80.826	-174.8284
5520.000000	79.983	-176.7773
5600.000000	79.028	-177.9677
5700.000000	77.886	-178.2052
5800.000000	76.825	-177.3530
5900.000000	75.858	-175.6794
6000.000000	74.989	-173.4089
6080.000000	74.366	-171.2788
6150.000000	73.871	-169.2547
6220.000000	73.422	-167.1219
6300.000000	72.962	-164.5771
6400.000000	72.469	-161.3174
6500.000000	72.060	-158.0457
6600.000000	71.733	-154.8033
6700.000000	71.493	-151.7044
6800.000000	71.334	-148.8156
6900.000000	71.265	-146.1671
7000.000000	71.302	-143.9233
7100.000000	71.457	-142.3680
7200.000000	71.729	-141.9237
7300.000000	72.095	-143.1878
7400.000000	72.467	-147.1150
7500.000000	72.606	-154.5731
7620.000000	72.007	-166.0494
7750.000000	70.978	-177.1036
7880.000000	70.508	156.3666
8000.000000	69.138	110.8192
8120.000000	68.552	54.4717
8250.000000	70.675	-1.6447
8380.000000	73.116	-42.8254
8500.000000	74.496	-72.3514
8620.000000	74.899	-97.7172
8750.000000	74.434	-121.2344
8850.000000	73.641	-137.1500
9000.000000	71.985	-160.0232
9120.000000	70.279	-179.8699
9250.000000	67.929	155.2205
9380.000000	65.005	126.4802
9500.000000	62.108	97.8455
9620.000000	59.785	70.3762
9750.000000	58.595	46.7251
9880.000000	58.406	32.3706
10000.000000	58.635	26.7185
10150.000000	59.212	25.8489
10300.000000	59.866	28.1494
10440.000000	60.515	32.4607
10600.000000	61.624	39.1918
10750.000000	63.102	44.3849
10900.000000	64.676	45.5331
11060.000000	65.839	40.9373
11200.000000	65.945	34.6191
11380.000000	64.875	32.7236
11500.000000	64.094	37.9070
11720.000000	64.346	50.9281
11800.000000	64.813	53.6672
12060.000000	65.641	53.4109
12200.000000	65.345	53.3579
12410.000000	65.029	58.1365
12500.000000	65.164	59.7344
12650.000000	65.327	59.1572
12800.000000	64.887	57.0044
13150.000000	62.655	63.1284
13200.000000	62.404	64.6317
13400.000000	61.431	70.7271
13600.000000	60.484	78.2090
13800.000000	59.704	86.0117
14000.000000	58.973	94.2209
14300.000000	58.102	107.9966
14500.000000	57.859	117.7208
14750.000000	57.938	128.8922
15000.000000	58.365	139.4714
15250.000000	59.398	148.8564
15500.000000	60.907	154.9106
15750.000000	62.681	157.5223
16000.000000	64.710	156.4454
16250.000000	66.677	149.2471
16500.000000	67.825	134.8955
16750.000000	67.594	118.6234
17000.000000	66.127	108.7590
17250.000000	64.159	107.9934
17500.000000	62.379	113.6083
17750.000000	61.034	122.7361
18000.000000	60.084	133.8052
18250.000000	59.437	146.0695
18500.000000	59.037	159.2434
18750.000000	58.886	172.8748
19000.000000	58.942	-173.6799
19250.000000	59.128	-160.6589
19500.000000	59.385	-148.4368
19750.000000	59.659	-138.5217
