* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Oct 13, 2023 9:51:09 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Delta Airlines Complementary R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	43.146	-5.1478
20.299999	43.900	-1.6380
20.600000	44.833	-1.3027
20.900000	45.662	-4.3094
21.200001	46.247	-9.7976
21.400000	46.486	-14.2910
21.799999	46.589	-24.5801
22.000000	46.440	-30.0708
22.400000	45.687	-41.2995
22.700001	44.623	-48.6420
23.000000	42.972	-50.6352
23.299999	40.857	-41.7094
23.600000	40.139	-23.4889
24.000000	42.683	2.2897
24.299999	45.611	10.9838
24.700001	48.461	5.4635
25.000000	49.752	-5.5858
25.400000	50.485	-22.0007
25.799999	50.177	-35.8713
26.200001	48.959	-42.6265
26.500000	47.809	-41.0941
26.900000	46.962	-32.4408
27.200001	47.284	-25.8923
27.600000	48.278	-22.9782
28.000000	48.669	-26.3233
28.500000	47.850	-28.2521
29.000000	46.851	-17.9991
29.500000	47.940	-3.7797
30.000000	49.858	-0.5036
30.400000	50.686	-5.8426
30.700001	50.807	-11.1589
31.100000	50.473	-16.3728
31.500000	49.909	-18.2161
32.000000	49.491	-17.6186
32.500000	49.548	-17.6600
33.000000	49.708	-19.7809
33.500000	49.826	-22.9214
34.000000	49.950	-26.9515
34.500000	49.908	-32.2475
35.000000	49.439	-36.7300
35.500000	48.714	-36.3291
36.000000	48.627	-31.0282
36.500000	49.566	-26.6992
37.000000	50.567	-28.1073
37.500000	50.914	-32.9473
38.200001	50.514	-35.4227
38.700001	50.420	-32.5883
39.500000	51.102	-30.2167
40.000000	51.300	-31.7752
40.599998	51.098	-32.6380
41.200001	50.997	-30.8697
41.799999	51.277	-29.9794
42.500000	51.473	-32.6185
43.099998	51.181	-34.7915
43.700001	50.832	-33.9422
44.400002	51.027	-31.1836
45.000000	51.587	-30.9305
45.500000	51.953	-32.4394
46.200001	52.188	-34.3559
46.799999	52.393	-34.3271
47.500000	52.798	-34.0565
48.200001	53.035	-34.2759
48.700001	53.068	-33.1658
49.400002	53.411	-29.0707
50.000000	54.167	-26.3804
50.799999	55.083	-28.2715
51.500000	55.264	-33.0789
52.200001	54.913	-37.2962
53.000000	54.162	-39.6214
53.799999	53.443	-39.3226
54.500000	53.146	-38.8671
55.200001	53.000	-39.7787
56.000000	52.830	-40.1771
57.000000	53.403	-39.0875
58.000000	54.143	-43.7506
59.000000	53.801	-46.2206
60.000000	53.945	-39.6171
60.799999	54.710	-36.0201
61.500000	55.193	-35.1048
62.200001	55.555	-34.0905
63.000000	55.991	-33.5828
64.000000	56.233	-35.3640
65.000000	56.050	-37.6292
66.000000	55.559	-39.4933
67.000000	54.813	-38.0355
68.000000	54.650	-32.8694
69.000000	55.380	-28.9174
70.000000	56.439	-28.5662
71.000000	57.258	-31.7079
72.000000	57.588	-35.6780
73.000000	57.560	-37.8479
74.000000	57.491	-37.3839
75.000000	57.667	-36.3194
76.199997	57.872	-36.6303
77.500000	58.022	-36.9784
78.800003	58.251	-37.8335
80.000000	58.514	-38.8771
81.199997	58.763	-40.3388
82.500000	58.920	-41.4923
83.800003	58.986	-41.6626
85.000000	59.039	-40.6817
86.199997	59.195	-39.5614
87.500000	59.317	-38.9626
88.500000	59.412	-38.2555
90.000000	59.619	-37.8598
91.199997	59.677	-37.5841
92.500000	59.718	-36.3303
93.800003	59.873	-34.4805
95.000000	60.130	-33.6771
96.199997	60.310	-34.5034
97.500000	60.284	-35.7287
98.800003	60.358	-35.5855
100.000000	60.686	-35.9765
101.500000	61.028	-37.3249
103.000000	61.265	-37.5461
104.400002	61.436	-36.6627
106.000000	61.637	-35.5881
107.500000	61.736	-34.9092
109.000000	61.995	-34.6911
110.599998	62.198	-36.5044
112.000000	62.226	-37.0392
113.800003	62.481	-35.7519
115.000000	62.776	-34.7877
117.199997	63.204	-34.9676
118.000000	63.197	-35.4099
120.599998	63.067	-34.6130
122.000000	63.296	-34.4813
124.099998	63.793	-36.3449
125.000000	63.940	-37.3841
126.500000	64.056	-38.1117
128.000000	64.150	-37.0743
131.500000	64.769	-35.4538
132.000000	64.841	-35.7224
134.000000	65.088	-36.9438
136.000000	65.282	-37.8667
138.000000	65.370	-38.1495
140.000000	65.391	-37.4794
143.000000	65.730	-36.3173
145.000000	65.965	-35.4453
147.500000	66.250	-33.9869
150.000000	66.503	-34.2977
152.500000	66.715	-35.2339
155.000000	67.148	-34.1710
157.500000	67.674	-33.3236
160.000000	67.920	-33.1945
162.500000	67.947	-33.1957
165.000000	67.813	-33.6233
167.500000	67.865	-34.6749
170.000000	68.414	-36.6573
172.500000	69.222	-39.2750
175.000000	69.922	-42.1404
177.500000	70.409	-43.7272
180.000000	70.625	-43.5590
182.500000	70.368	-43.6616
185.000000	69.824	-46.3013
187.500000	69.525	-51.2214
190.000000	69.273	-54.0328
192.500000	68.679	-50.8353
195.000000	68.174	-45.2719
197.500000	68.265	-42.5955
200.000000	68.647	-41.9608
203.000000	68.814	-39.2559
206.000000	68.815	-35.3071
209.000000	69.094	-33.3503
212.000000	69.595	-32.7330
214.000000	69.916	-32.5261
218.000000	70.475	-32.2698
220.000000	70.783	-31.9268
224.000000	71.452	-30.2875
227.000000	71.886	-28.4476
230.000000	72.197	-26.9690
233.000000	72.452	-26.5927
236.000000	72.740	-26.9777
240.000000	73.142	-27.2436
243.000000	73.402	-27.2267
247.000000	73.766	-27.1892
250.000000	74.059	-26.9243
254.000000	74.428	-26.6986
258.000000	74.822	-26.8108
262.000000	75.247	-26.7719
265.000000	75.556	-26.5038
269.000000	75.953	-26.0051
272.000000	76.243	-25.7500
276.000000	76.604	-25.6935
280.000000	76.931	-25.9398
285.000000	77.335	-26.4166
290.000000	77.715	-26.5963
295.000000	78.115	-26.4896
300.000000	78.542	-26.3291
304.000000	78.897	-26.2676
307.000000	79.185	-26.2680
311.000000	79.593	-26.3854
315.000000	79.999	-26.6742
320.000000	80.470	-27.0164
325.000000	80.894	-27.0700
330.000000	81.308	-26.9105
335.000000	81.758	-26.6615
340.000000	82.243	-26.5332
345.000000	82.723	-26.6414
350.000000	83.197	-26.9479
355.000000	83.666	-27.3173
360.000000	84.135	-27.6605
365.000000	84.623	-28.0053
370.000000	85.144	-28.4165
375.000000	85.690	-28.8884
382.000000	86.484	-29.6941
387.000000	87.068	-30.4252
395.000000	88.024	-31.9038
400.000000	88.627	-33.0340
406.000000	89.360	-34.6026
412.000000	90.109	-36.4020
418.000000	90.876	-38.4761
425.000000	91.791	-41.3408
431.000000	92.587	-44.2562
437.000000	93.386	-47.6398
444.000000	94.306	-52.2601
450.000000	95.065	-56.8777
455.000000	95.662	-61.2171
462.000000	96.422	-68.0490
468.000000	96.974	-74.5668
475.000000	97.464	-82.7838
482.000000	97.764	-91.3613
487.000000	97.857	-97.4921
494.000000	97.826	-105.7749
500.000000	97.671	-112.3819
508.000000	97.327	-120.2712
515.000000	96.938	-126.2506
522.000000	96.503	-131.4001
530.000000	95.982	-136.3780
538.000000	95.461	-140.5241
545.000000	95.018	-143.5779
552.000000	94.595	-146.1853
560.000000	94.140	-148.7123
570.000000	93.620	-151.3110
580.000000	93.157	-153.4346
590.000000	92.746	-155.2199
600.000000	92.383	-156.7597
608.000000	92.121	-157.8482
615.000000	91.912	-158.7106
622.000000	91.721	-159.5037
630.000000	91.522	-160.3442
640.000000	91.299	-161.3205
650.000000	91.102	-162.2228
660.000000	90.933	-163.0723
670.000000	90.787	-163.8897
680.000000	90.663	-164.6989
690.000000	90.561	-165.5223
700.000000	90.481	-166.3998
710.000000	90.419	-167.3923
720.000000	90.362	-168.5645
730.000000	90.287	-169.8576
740.000000	90.197	-171.0842
750.000000	90.131	-172.3358
762.000000	90.039	-174.5319
775.000000	89.681	-176.9398
788.000000	89.228	-176.9125
800.000000	89.077	-176.0110
812.000000	89.083	-175.8101
825.000000	89.107	-176.2926
838.000000	89.114	-177.1127
850.000000	89.108	-178.0091
862.000000	89.091	-178.9748
875.000000	89.061	179.9496
885.000000	89.030	179.1130
900.000000	88.976	177.8653
912.000000	88.929	176.8860
925.000000	88.874	175.8391
938.000000	88.819	174.7998
950.000000	88.766	173.8524
962.000000	88.712	172.9243
975.000000	88.651	171.9577
988.000000	88.593	171.0263
1000.000000	88.544	170.1720
1015.000000	88.485	169.1031
1030.000000	88.427	168.0530
1044.000000	88.378	167.0874
1060.000000	88.328	165.9589
1075.000000	88.292	164.8455
1090.000000	88.261	163.6880
1106.000000	88.226	162.3985
1120.000000	88.195	161.2297
1138.000000	88.159	159.6649
1150.000000	88.134	158.5464
1172.000000	88.077	156.3401
1180.000000	88.051	155.4982
1206.000000	87.941	152.6641
1220.000000	87.868	151.0734
1241.000000	87.739	148.6075
1250.000000	87.674	147.5219
1265.000000	87.549	145.6928
1280.000000	87.406	143.8666
1315.000000	87.006	139.6640
1320.000000	86.941	139.0759
1340.000000	86.662	136.7587
1360.000000	86.351	134.5263
1380.000000	86.010	132.4449
1400.000000	85.646	130.5347
1430.000000	85.061	128.0167
1450.000000	84.660	126.5708
1475.000000	84.149	124.9842
1500.000000	83.624	123.6436
1525.000000	83.093	122.5654
1550.000000	82.561	121.7158
1575.000000	82.032	121.0745
1600.000000	81.503	120.6555
1625.000000	80.983	120.4539
1650.000000	80.478	120.3646
1675.000000	79.974	120.3791
1700.000000	79.472	120.5862
1725.000000	78.982	120.9262
1750.000000	78.500	121.3568
1775.000000	78.027	121.9045
1800.000000	77.565	122.5272
1825.000000	77.109	123.1920
1850.000000	76.653	123.9065
1875.000000	76.195	124.6965
1900.000000	75.736	125.5615
1925.000000	75.275	126.5112
1950.000000	74.813	127.5465
1975.000000	74.350	128.6530
2000.000000	73.881	129.8449
