* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Oct 13, 2023 9:48:36 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Delta Airlines 'Studio' IEMs L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	56.830	-40.4634
20.299999	56.992	-44.1418
20.600000	56.822	-47.5551
20.900000	56.392	-49.4589
21.200001	55.879	-48.9773
21.400000	55.672	-47.5704
21.799999	55.783	-44.1034
22.000000	56.096	-43.1435
22.400000	56.920	-44.6958
22.700001	57.396	-48.8295
23.000000	57.586	-54.3594
23.299999	57.469	-59.7577
23.600000	57.099	-63.7301
24.000000	56.444	-65.4091
24.299999	56.125	-64.0807
24.700001	56.230	-60.7965
25.000000	56.649	-58.9922
25.400000	57.313	-58.7009
25.799999	57.786	-60.0623
26.200001	58.016	-61.3400
26.500000	58.108	-61.5975
26.900000	58.232	-61.0665
27.200001	58.362	-60.4411
27.600000	58.546	-59.8151
28.000000	58.662	-59.4341
28.500000	58.701	-58.6038
29.000000	58.775	-57.1512
29.500000	58.988	-56.2068
30.000000	59.189	-56.9671
30.400000	59.191	-58.5229
30.700001	59.071	-59.6724
31.100000	58.812	-60.4360
31.500000	58.572	-60.1166
32.000000	58.504	-59.0232
32.500000	58.690	-58.6593
33.000000	58.926	-59.5616
33.500000	59.094	-60.9510
34.000000	59.234	-62.0023
34.500000	59.416	-62.6878
35.000000	59.628	-63.2846
35.500000	59.828	-63.7137
36.000000	60.032	-63.7228
36.500000	60.287	-63.4794
37.000000	60.570	-63.5189
37.500000	60.790	-64.0258
38.200001	60.892	-64.5548
38.700001	60.892	-64.0656
39.500000	61.038	-62.3769
40.000000	61.221	-61.7625
40.599998	61.415	-61.8845
41.200001	61.507	-62.4592
41.799999	61.529	-62.9133
42.500000	61.564	-63.2073
43.099998	61.625	-63.6226
43.700001	61.670	-64.2010
44.400002	61.711	-64.5285
45.000000	61.827	-64.4269
45.500000	61.996	-64.5297
46.200001	62.221	-65.2397
46.799999	62.334	-65.6865
47.500000	62.504	-65.4103
48.200001	62.771	-65.3384
48.700001	62.905	-65.7806
49.400002	62.920	-66.0219
50.000000	62.913	-65.1288
50.799999	63.065	-63.6951
51.500000	63.192	-63.1677
52.200001	63.275	-62.4133
53.000000	63.530	-61.5863
53.799999	63.823	-62.4590
54.500000	63.919	-63.7976
55.200001	63.967	-64.5071
56.000000	64.086	-64.8693
57.000000	64.302	-64.6900
58.000000	64.744	-64.1426
59.000000	65.150	-65.2275
60.000000	65.222	-65.9810
60.799999	65.254	-65.3529
61.500000	65.338	-64.7368
62.200001	65.410	-64.4011
63.000000	65.463	-64.0917
64.000000	65.550	-63.7656
65.000000	65.682	-63.7937
66.000000	65.839	-64.2048
67.000000	65.981	-64.7704
68.000000	66.115	-65.0936
69.000000	66.249	-65.2252
70.000000	66.366	-65.0664
71.000000	66.504	-64.6364
72.000000	66.669	-64.2770
73.000000	66.850	-64.1062
74.000000	67.030	-64.2288
75.000000	67.179	-64.4212
76.199997	67.359	-64.4321
77.500000	67.568	-64.3396
78.800003	67.768	-64.2735
80.000000	67.905	-64.2516
81.199997	68.019	-64.0961
82.500000	68.151	-63.9627
83.800003	68.284	-63.9504
85.000000	68.409	-63.8071
86.199997	68.585	-63.5351
87.500000	68.797	-63.5379
88.500000	68.923	-63.6338
90.000000	69.070	-63.4414
91.199997	69.211	-63.0210
92.500000	69.392	-62.7136
93.800003	69.555	-62.5458
95.000000	69.704	-62.3952
96.199997	69.843	-62.3776
97.500000	69.971	-62.3580
98.800003	70.110	-62.2929
100.000000	70.251	-62.2407
101.500000	70.447	-62.1181
103.000000	70.653	-61.8689
104.400002	70.860	-61.5810
106.000000	71.053	-61.5866
107.500000	71.158	-61.5719
109.000000	71.279	-61.5105
110.599998	71.436	-61.6631
112.000000	71.592	-61.7774
113.800003	71.803	-61.8488
115.000000	71.914	-61.7109
117.199997	72.104	-61.0125
118.000000	72.173	-60.7680
120.599998	72.444	-60.1038
122.000000	72.632	-60.1206
124.099998	72.873	-60.2704
125.000000	72.966	-60.2193
126.500000	73.114	-60.0151
128.000000	73.256	-59.7664
131.500000	73.589	-59.3622
132.000000	73.643	-59.3379
134.000000	73.861	-59.3470
136.000000	74.062	-59.2851
138.000000	74.257	-59.0912
140.000000	74.447	-58.9135
143.000000	74.729	-58.7240
145.000000	74.920	-58.6401
147.500000	75.155	-58.4928
150.000000	75.390	-58.3157
152.500000	75.627	-58.1594
155.000000	75.859	-57.9817
157.500000	76.092	-57.7417
160.000000	76.332	-57.5657
162.500000	76.572	-57.4801
165.000000	76.810	-57.4239
167.500000	77.037	-57.3132
170.000000	77.256	-57.1186
172.500000	77.477	-56.9417
175.000000	77.698	-56.8255
177.500000	77.924	-56.7412
180.000000	78.157	-56.6544
182.500000	78.394	-56.6114
185.000000	78.617	-56.5689
187.500000	78.832	-56.4463
190.000000	79.049	-56.3139
192.500000	79.267	-56.2301
195.000000	79.487	-56.1859
197.500000	79.710	-56.1551
200.000000	79.931	-56.1132
203.000000	80.189	-56.0791
206.000000	80.445	-56.0647
209.000000	80.706	-56.0580
212.000000	80.966	-56.0492
214.000000	81.138	-56.0397
218.000000	81.484	-56.0687
220.000000	81.656	-56.1108
224.000000	82.000	-56.1983
227.000000	82.257	-56.2652
230.000000	82.515	-56.3472
233.000000	82.773	-56.4646
236.000000	83.029	-56.6057
240.000000	83.371	-56.7906
243.000000	83.625	-56.9259
247.000000	83.966	-57.1351
250.000000	84.222	-57.3135
254.000000	84.562	-57.5757
258.000000	84.903	-57.8649
262.000000	85.243	-58.2003
265.000000	85.497	-58.4824
269.000000	85.837	-58.8933
272.000000	86.092	-59.2224
276.000000	86.428	-59.6829
280.000000	86.763	-60.1718
285.000000	87.183	-60.8492
290.000000	87.602	-61.5702
295.000000	88.022	-62.3380
300.000000	88.441	-63.1805
304.000000	88.774	-63.8988
307.000000	89.021	-64.4681
311.000000	89.349	-65.2831
315.000000	89.674	-66.1595
320.000000	90.080	-67.3193
325.000000	90.485	-68.5383
330.000000	90.884	-69.8335
335.000000	91.279	-71.2204
340.000000	91.669	-72.7036
345.000000	92.052	-74.2917
350.000000	92.427	-75.9906
355.000000	92.790	-77.8092
360.000000	93.138	-79.7561
365.000000	93.466	-81.8197
370.000000	93.765	-83.9905
375.000000	94.031	-86.2394
382.000000	94.333	-89.3923
387.000000	94.495	-91.5099
395.000000	94.683	-94.2954
400.000000	94.797	-95.5121
406.000000	94.985	-96.5079
412.000000	95.262	-97.3093
418.000000	95.620	-98.2879
425.000000	96.090	-99.9446
431.000000	96.497	-101.8333
437.000000	96.885	-104.0629
444.000000	97.302	-106.9618
450.000000	97.625	-109.6025
455.000000	97.874	-111.8631
462.000000	98.192	-115.0852
468.000000	98.438	-117.8711
475.000000	98.702	-121.1133
482.000000	98.945	-124.3352
487.000000	99.108	-126.6282
494.000000	99.325	-129.8349
500.000000	99.501	-132.5837
508.000000	99.722	-136.2541
515.000000	99.905	-139.4752
522.000000	100.080	-142.7136
530.000000	100.268	-146.4536
538.000000	100.442	-150.2613
545.000000	100.583	-153.6716
552.000000	100.713	-157.1620
560.000000	100.845	-161.2507
570.000000	100.979	-166.5288
580.000000	101.073	-171.9972
590.000000	101.116	-177.6537
600.000000	101.101	176.5297
608.000000	101.042	171.7935
615.000000	100.952	167.6153
622.000000	100.824	163.4328
630.000000	100.632	158.6893
640.000000	100.321	152.8857
650.000000	99.937	147.3018
660.000000	99.485	142.0211
670.000000	98.974	137.1163
680.000000	98.417	132.6284
690.000000	97.824	128.5719
700.000000	97.207	124.9428
710.000000	96.576	121.7201
720.000000	95.938	118.8920
730.000000	95.301	116.4432
740.000000	94.667	114.3300
750.000000	94.042	112.5140
762.000000	93.304	110.6916
775.000000	92.524	109.1083
788.000000	91.766	107.8880
800.000000	91.087	107.0425
812.000000	90.428	106.4318
825.000000	89.737	106.0065
838.000000	89.070	105.7915
850.000000	88.473	105.7591
862.000000	87.892	105.8779
875.000000	87.282	106.1575
885.000000	86.826	106.4677
900.000000	86.160	107.0911
912.000000	85.641	107.7191
925.000000	85.093	108.5002
938.000000	84.559	109.3823
950.000000	84.076	110.2925
962.000000	83.603	111.2979
975.000000	83.100	112.4962
988.000000	82.606	113.8093
1000.000000	82.157	115.1269
1015.000000	81.606	116.9203
1030.000000	81.061	118.8839
1044.000000	80.561	120.8952
1060.000000	79.999	123.4181
1075.000000	79.480	126.0177
1090.000000	78.970	128.9359
1106.000000	78.436	132.5853
1120.000000	78.015	136.4130
1138.000000	77.676	141.7865
1150.000000	77.568	144.7720
1172.000000	77.257	149.2182
1180.000000	77.102	151.0687
1206.000000	76.691	158.2234
1220.000000	76.570	162.4132
1241.000000	76.518	168.7499
1250.000000	76.539	171.4266
1265.000000	76.629	175.7738
1280.000000	76.782	179.9234
