* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Oct 13, 2023 9:48:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Delta Airlines 'Studio' IEMs R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	54.678	-53.9631
20.299999	54.972	-51.9786
20.600000	55.556	-49.9441
20.900000	56.348	-49.1292
21.200001	57.131	-50.3281
21.400000	57.548	-52.1122
21.799999	58.044	-57.0869
22.000000	58.100	-59.6552
22.400000	57.850	-63.5495
22.700001	57.439	-64.4612
23.000000	56.996	-63.2061
23.299999	56.713	-60.2900
23.600000	56.691	-56.6977
24.000000	57.039	-52.5386
24.299999	57.428	-50.7190
24.700001	57.921	-50.0444
25.000000	58.207	-50.4200
25.400000	58.464	-51.5391
25.799999	58.595	-53.0085
26.200001	58.605	-54.5775
26.500000	58.540	-55.6061
26.900000	58.386	-56.4712
27.200001	58.270	-56.6152
27.600000	58.191	-56.2634
28.000000	58.256	-55.8401
28.500000	58.483	-56.1406
29.000000	58.701	-57.6155
29.500000	58.795	-59.5196
30.000000	58.787	-60.8492
30.400000	58.779	-61.2083
30.700001	58.807	-61.1307
31.100000	58.910	-60.8118
31.500000	59.081	-60.5176
32.000000	59.340	-60.4906
32.500000	59.578	-60.8901
33.000000	59.743	-61.4200
33.500000	59.845	-61.6766
34.000000	59.946	-61.4962
34.500000	60.100	-61.1810
35.000000	60.295	-61.2021
35.500000	60.463	-61.7406
36.000000	60.553	-62.4823
36.500000	60.580	-62.9655
37.000000	60.612	-63.0112
37.500000	60.699	-62.8540
38.200001	60.895	-62.9152
38.700001	61.032	-63.2394
39.500000	61.205	-63.7296
40.000000	61.309	-63.8617
40.599998	61.448	-63.9419
41.200001	61.587	-64.0849
41.799999	61.694	-64.2430
42.500000	61.777	-64.0790
43.099998	61.885	-63.4565
