* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.5 dBFS with no timing reference
* Dated: Dec 20, 2023 11:17:56 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Dunu Falcon Ultra (Blue) R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 101.693 -130.4150
20.299999 101.762 -131.2237
20.600000 101.830 -132.0617
20.900000 101.892 -132.9207
21.200001 101.944 -133.7710
21.400000 101.974 -134.3139
21.799999 102.026 -135.3069
22.000000 102.052 -135.7544
22.400000 102.116 -136.5899
22.700001 102.172 -137.2196
23.000000 102.232 -137.8967
23.299999 102.287 -138.6306
23.600000 102.329 -139.3938
24.000000 102.362 -140.3651
24.299999 102.378 -141.0006
24.700001 102.404 -141.7165
25.000000 102.438 -142.2143
25.400000 102.501 -142.9542
25.799999 102.565 -143.8623
26.200001 102.609 -144.8930
26.500000 102.623 -145.6634
26.900000 102.630 -146.5982
27.200001 102.639 -147.2299
27.600000 102.664 -148.0635
28.000000 102.694 -148.9816
28.500000 102.706 -150.2071
29.000000 102.678 -151.2216
29.500000 102.662 -151.8005
30.000000 102.718 -152.1735
30.400000 102.808 -152.6337
30.700001 102.877 -153.1459
31.100000 102.942 -153.9542
31.500000 102.970 -154.6940
32.000000 102.994 -155.2941
32.500000 103.063 -155.6928
33.000000 103.172 -156.3306
33.500000 103.249 -157.3704
34.000000 103.240 -158.4808
34.500000 103.166 -159.1966
35.000000 103.105 -159.4015
35.500000 103.112 -159.4520
36.000000 103.168 -159.8000
36.500000 103.211 -160.5650
37.000000 103.203 -161.5202
37.500000 103.155 -162.3753
38.200001 103.087 -163.2647
38.700001 103.065 -163.8556
39.500000 103.043 -164.9664
40.000000 103.020 -165.6678
40.599998 102.997 -166.3961
41.200001 102.994 -167.0574
41.799999 103.006 -167.7620
42.500000 103.013 -168.6359
43.099998 103.010 -169.3537
43.700001 103.004 -170.0249
44.400002 102.992 -170.7658
45.000000 102.980 -171.3621
45.500000 102.972 -171.8464
46.200001 102.963 -172.5683
46.799999 102.948 -173.2330
47.500000 102.916 -173.9489
48.200001 102.890 -174.5395
48.700001 102.881 -174.9511
49.400002 102.866 -175.5639
50.000000 102.839 -176.0044
50.799999 102.819 -176.3314
51.500000 102.845 -176.6596
52.200001 102.864 -177.2882
53.000000 102.825 -178.0736
53.799999 102.759 -178.5870
54.500000 102.718 -178.9508
55.200001 102.684 -179.3882
56.000000 102.643 -179.9588
57.000000 102.591 179.2405
58.000000 102.530 178.4354
59.000000 102.479 177.7098
60.000000 102.434 176.9825
60.799999 102.390 176.4327
61.500000 102.347 176.0245
62.200001 102.302 175.7065
63.000000 102.260 175.4249
64.000000 102.222 175.0787
65.000000 102.192 174.6935
66.000000 102.172 174.2661
67.000000 102.159 173.7587
68.000000 102.146 173.1435
69.000000 102.115 172.4644
70.000000 102.067 171.8491
71.000000 102.016 171.3039
72.000000 101.960 170.7878
73.000000 101.902 170.2999
74.000000 101.845 169.8264
75.000000 101.787 169.3607
76.199997 101.715 168.8127
77.500000 101.631 168.2437
78.800003 101.535 167.7521
80.000000 101.442 167.3840
81.199997 101.349 167.0534
82.500000 101.245 166.7007
83.800003 101.132 166.3958
85.000000 101.023 166.2202
86.199997 100.911 166.1622
87.500000 100.782 166.2908
88.500000 100.687 166.6038
90.000000 100.575 167.4730
91.199997 100.564 168.4984
92.500000 100.661 169.4057
93.800003 100.822 169.7580
95.000000 100.982 169.5302
96.199997 101.113 168.8412
97.500000 101.194 167.7909
98.800003 101.208 166.6906
100.000000 101.179 165.7768
101.500000 101.111 164.7922
103.000000 101.024 164.0168
104.400002 100.941 163.4790
106.000000 100.856 163.0330
107.500000 100.788 162.6701
109.000000 100.725 162.3510
110.599998 100.665 162.0162
112.000000 100.617 161.7187
113.800003 100.560 161.3218
115.000000 100.523 161.0301
117.199997 100.444 160.4588
118.000000 100.412 160.2601
120.599998 100.302 159.6700
122.000000 100.243 159.3785
124.099998 100.153 158.9763
125.000000 100.115 158.8159
126.500000 100.050 158.5666
128.000000 99.984 158.3365
131.500000 99.834 157.8422
132.000000 99.813 157.7743
134.000000 99.728 157.5166
136.000000 99.642 157.2943
138.000000 99.557 157.1082
140.000000 99.474 156.9428
143.000000 99.353 156.7277
145.000000 99.275 156.6035
147.500000 99.177 156.4638
150.000000 99.081 156.3350
152.500000 98.986 156.2097
155.000000 98.891 156.0938
157.500000 98.798 155.9977
160.000000 98.706 155.9305
162.500000 98.617 155.8879
165.000000 98.532 155.8825
167.500000 98.452 155.9173
170.000000 98.378 155.9572
172.500000 98.309 155.9661
175.000000 98.242 155.9445
177.500000 98.172 155.9104
180.000000 98.098 155.8806
182.500000 98.024 155.8549
185.000000 97.949 155.8628
187.500000 97.874 155.9191
190.000000 97.803 156.0051
192.500000 97.737 156.0942
195.000000 97.677 156.1740
197.500000 97.617 156.2472
200.000000 97.557 156.3229
203.000000 97.489 156.4220
206.000000 97.427 156.5142
209.000000 97.369 156.5763
212.000000 97.310 156.6066
214.000000 97.270 156.6149
218.000000 97.183 156.6281
220.000000 97.137 156.6421
224.000000 97.042 156.6991
227.000000 96.972 156.7667
230.000000 96.902 156.8480
233.000000 96.833 156.9395
236.000000 96.765 157.0419
240.000000 96.678 157.1910
243.000000 96.615 157.3198
247.000000 96.530 157.5043
250.000000 96.468 157.6414
254.000000 96.387 157.8317
258.000000 96.310 158.0357
262.000000 96.233 158.2473
265.000000 96.177 158.4084
269.000000 96.104 158.6276
272.000000 96.051 158.8007
276.000000 95.980 159.0373
280.000000 95.911 159.2723
285.000000 95.827 159.5669
290.000000 95.747 159.8682
295.000000 95.668 160.1804
300.000000 95.591 160.5045
304.000000 95.531 160.7560
307.000000 95.487 160.9445
311.000000 95.429 161.2023
315.000000 95.372 161.4689
320.000000 95.303 161.8117
325.000000 95.236 162.1526
330.000000 95.171 162.4922
335.000000 95.107 162.8303
340.000000 95.045 163.1740
345.000000 94.985 163.5270
350.000000 94.927 163.8810
355.000000 94.870 164.2314
360.000000 94.814 164.5843
365.000000 94.759 164.9445
370.000000 94.705 165.3084
375.000000 94.654 165.6686
382.000000 94.584 166.1716
387.000000 94.535 166.5396
395.000000 94.460 167.1212
400.000000 94.415 167.4827
406.000000 94.362 167.9235
412.000000 94.311 168.3685
418.000000 94.262 168.8099
425.000000 94.205 169.3248
431.000000 94.158 169.7736
437.000000 94.112 170.2251
444.000000 94.061 170.7468
450.000000 94.019 171.1940
455.000000 93.985 171.5695
462.000000 93.939 172.0937
468.000000 93.900 172.5394
475.000000 93.857 173.0625
482.000000 93.815 173.5885
487.000000 93.786 173.9648
494.000000 93.747 174.4907
500.000000 93.715 174.9404
508.000000 93.673 175.5414
515.000000 93.638 176.0709
522.000000 93.605 176.6015
530.000000 93.569 177.2088
538.000000 93.534 177.8162
545.000000 93.505 178.3469
552.000000 93.477 178.8770
560.000000 93.447 179.4815
570.000000 93.413 -179.7598
580.000000 93.379 -178.9964
590.000000 93.349 -178.2383
600.000000 93.321 -177.4788
608.000000 93.299 -176.8635
615.000000 93.282 -176.3241
622.000000 93.267 -175.7850
630.000000 93.251 -175.1704
640.000000 93.232 -174.3987
650.000000 93.216 -173.6254
660.000000 93.203 -172.8537
670.000000 93.192 -172.0806
680.000000 93.183 -171.3044
690.000000 93.178 -170.5247
700.000000 93.174 -169.7444
710.000000 93.173 -168.9621
720.000000 93.175 -168.1820
730.000000 93.179 -167.4084
740.000000 93.186 -166.6279
750.000000 93.196 -165.8426
762.000000 93.211 -164.9059
775.000000 93.233 -163.8972
788.000000 93.259 -162.8904
800.000000 93.288 -161.9624
812.000000 93.321 -161.0415
825.000000 93.362 -160.0553
838.000000 93.407 -159.0749
850.000000 93.455 -158.1826
862.000000 93.506 -157.3043
875.000000 93.567 -156.3682
885.000000 93.618 -155.6624
900.000000 93.699 -154.6271
912.000000 93.767 -153.8219
925.000000 93.846 -152.9730
938.000000 93.929 -152.1502
950.000000 94.009 -151.4200
962.000000 94.091 -150.7159
975.000000 94.183 -149.9799
988.000000 94.278 -149.2793
1000.000000 94.368 -148.6660
1015.000000 94.482 -147.9429
1030.000000 94.598 -147.2630
1044.000000 94.707 -146.6659
1060.000000 94.832 -146.0351
1075.000000 94.948 -145.4881
1090.000000 95.063 -144.9735
1106.000000 95.185 -144.4663
1120.000000 95.290 -144.0599
1138.000000 95.422 -143.5737
1150.000000 95.508 -143.2644
1172.000000 95.662 -142.7242
1180.000000 95.718 -142.5372
1206.000000 95.898 -141.9691
1220.000000 95.996 -141.6911
1241.000000 96.139 -141.3233
1250.000000 96.199 -141.1849
1265.000000 96.294 -140.9720
1280.000000 96.386 -140.7711
1315.000000 96.588 -140.3220
1320.000000 96.616 -140.2606
1340.000000 96.725 -140.0274
1360.000000 96.828 -139.8051
1380.000000 96.926 -139.5718
1400.000000 97.020 -139.3134
1430.000000 97.158 -138.8915
1450.000000 97.250 -138.5872
1475.000000 97.369 -138.1821
1500.000000 97.490 -137.7708
1525.000000 97.615 -137.3706
1550.000000 97.741 -136.9775
1575.000000 97.870 -136.5882
1600.000000 98.001 -136.2189
1625.000000 98.135 -135.8721
1650.000000 98.271 -135.5352
1675.000000 98.409 -135.2149
1700.000000 98.549 -134.9179
1725.000000 98.691 -134.6425
1750.000000 98.833 -134.3831
1775.000000 98.977 -134.1416
1800.000000 99.122 -133.9176
1825.000000 99.272 -133.7154
1850.000000 99.427 -133.5594
1875.000000 99.582 -133.4323
1900.000000 99.736 -133.3076
1925.000000 99.887 -133.2044
1950.000000 100.039 -133.1422
1975.000000 100.192 -133.1067
2000.000000 100.344 -133.0992
2030.000000 100.528 -133.1316
2060.000000 100.711 -133.2077
2090.000000 100.893 -133.3298
2120.000000 101.074 -133.4957
2140.000000 101.195 -133.6299
2180.000000 101.433 -133.9641
2200.000000 101.551 -134.1630
2240.000000 101.784 -134.6171
2270.000000 101.956 -135.0128
2300.000000 102.126 -135.4573
2330.000000 102.292 -135.9517
2360.000000 102.454 -136.4978
2400.000000 102.661 -137.2971
2430.000000 102.809 -137.9530
2470.000000 102.995 -138.9073
2500.000000 103.126 -139.6677
2540.000000 103.284 -140.7268
2580.000000 103.424 -141.8256
2620.000000 103.547 -142.9423
2650.000000 103.628 -143.7770
2690.000000 103.721 -144.8668
2720.000000 103.783 -145.6581
2760.000000 103.855 -146.6701
2800.000000 103.921 -147.6130
2850.000000 104.004 -148.6978
2900.000000 104.100 -149.7985
2950.000000 104.202 -151.0702
3000.000000 104.280 -152.5314
3040.000000 104.313 -153.7586
3070.000000 104.321 -154.6656
3110.000000 104.313 -155.8161
3150.000000 104.291 -156.8814
3200.000000 104.249 -158.0914
3250.000000 104.193 -159.1561
3300.000000 104.131 -160.1083
3350.000000 104.068 -160.9651
3400.000000 104.000 -161.7103
3450.000000 103.931 -162.3568
3500.000000 103.863 -162.9241
3550.000000 103.801 -163.4332
3600.000000 103.742 -163.8891
3650.000000 103.685 -164.2872
3700.000000 103.632 -164.6537
3750.000000 103.585 -165.0134
3820.000000 103.524 -165.5020
3870.000000 103.478 -165.8494
3950.000000 103.399 -166.4208
4000.000000 103.341 -166.7691
4060.000000 103.258 -167.1101
4120.000000 103.167 -167.3009
4180.000000 103.084 -167.3201
4250.000000 103.015 -167.1838
4310.000000 102.985 -167.0356
4370.000000 102.976 -166.9451
4440.000000 102.985 -166.9650
4500.000000 103.001 -167.1041
4550.000000 103.015 -167.2975
4620.000000 103.031 -167.6679
4680.000000 103.040 -168.0696
4750.000000 103.042 -168.6228
4820.000000 103.034 -169.2467
4870.000000 103.020 -169.7247
4940.000000 102.989 -170.4251
5000.000000 102.950 -171.0424
5080.000000 102.880 -171.8738
5150.000000 102.802 -172.5845
5220.000000 102.708 -173.2590
5300.000000 102.583 -173.9661
5380.000000 102.436 -174.5671
5450.000000 102.291 -174.9664
