* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.5 dBFS with no timing reference
* Dated: Dec 20, 2023 11:23:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Dunu Falcon Ultra (Gold) R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 101.911 -128.8087
20.299999 101.975 -129.6407
20.600000 102.036 -130.4740
20.900000 102.092 -131.3027
21.200001 102.141 -132.1129
21.400000 102.170 -132.6348
21.799999 102.225 -133.6205
22.000000 102.252 -134.0832
22.400000 102.308 -134.9601
22.700001 102.353 -135.5926
23.000000 102.401 -136.2196
23.299999 102.450 -136.8515
23.600000 102.499 -137.4933
24.000000 102.561 -138.3652
24.299999 102.604 -139.0276
24.700001 102.656 -139.9120
25.000000 102.690 -140.5684
25.400000 102.731 -141.4258
25.799999 102.768 -142.2616
26.200001 102.801 -143.0821
26.500000 102.823 -143.6887
26.900000 102.848 -144.4771
27.200001 102.865 -145.0431
27.600000 102.888 -145.7612
28.000000 102.918 -146.4676
28.500000 102.964 -147.4244
29.000000 102.999 -148.5119
29.500000 102.998 -149.6050
30.000000 102.972 -150.4752
30.400000 102.960 -150.9511
30.700001 102.971 -151.2358
31.100000 103.014 -151.6507
31.500000 103.074 -152.2215
32.000000 103.137 -153.1556
32.500000 103.165 -154.1369
33.000000 103.174 -154.9701
33.500000 103.191 -155.6565
34.000000 103.223 -156.3205
34.500000 103.256 -157.0271
35.000000 103.282 -157.7402
35.500000 103.302 -158.4208
36.000000 103.320 -159.0755
36.500000 103.333 -159.7097
37.000000 103.342 -160.3013
37.500000 103.353 -160.8535
38.200001 103.378 -161.6773
38.700001 103.388 -162.3503
39.500000 103.368 -163.3981
40.000000 103.349 -163.9442
40.599998 103.337 -164.5598
41.200001 103.330 -165.2277
41.799999 103.315 -165.9141
42.500000 103.297 -166.6671
43.099998 103.289 -167.3305
43.700001 103.275 -168.0362
44.400002 103.244 -168.7899
45.000000 103.222 -169.3251
45.500000 103.214 -169.7506
46.200001 103.203 -170.3663
46.799999 103.189 -170.8469
47.500000 103.179 -171.3234
48.200001 103.176 -171.7897
48.700001 103.172 -172.0994
49.400002 103.173 -172.4475
50.000000 103.195 -172.7676
50.799999 103.226 -173.4481
51.500000 103.217 -174.1433
52.200001 103.191 -174.6984
53.000000 103.176 -175.2567
53.799999 103.166 -175.9151
54.500000 103.149 -176.5279
55.200001 103.130 -177.1446
56.000000 103.102 -177.8674
57.000000 103.055 -178.7004
58.000000 103.015 -179.4540
59.000000 102.973 179.8062
60.000000 102.925 179.1519
60.799999 102.887 178.6723
61.500000 102.852 178.2783
62.200001 102.817 177.9172
63.000000 102.778 177.5234
64.000000 102.728 177.0629
65.000000 102.688 176.6644
66.000000 102.664 176.2019
67.000000 102.636 175.6564
68.000000 102.604 175.0993
69.000000 102.569 174.5274
70.000000 102.527 173.9673
71.000000 102.481 173.4206
72.000000 102.429 172.8821
73.000000 102.369 172.3699
74.000000 102.305 171.8995
75.000000 102.240 171.4711
76.199997 102.164 170.9818
77.500000 102.078 170.4818
78.800003 101.987 170.0269
80.000000 101.897 169.6662
81.199997 101.799 169.3674
82.500000 101.685 169.1419
83.800003 101.563 169.0367
85.000000 101.446 169.1256
86.199997 101.340 169.4517
87.500000 101.256 170.1139
88.500000 101.235 170.8291
90.000000 101.310 171.8871
91.199997 101.436 172.3814
92.500000 101.607 172.4001
93.800003 101.759 171.7768
95.000000 101.846 170.8521
96.199997 101.881 169.8257
97.500000 101.874 168.7260
98.800003 101.832 167.7468
100.000000 101.776 166.9958
101.500000 101.698 166.2336
103.000000 101.615 165.6378
104.400002 101.538 165.1868
106.000000 101.454 164.7355
107.500000 101.376 164.3497
109.000000 101.303 164.0463
110.599998 101.240 163.7827
112.000000 101.197 163.5535
113.800003 101.149 163.2189
115.000000 101.116 162.9521
117.199997 101.043 162.4266
118.000000 101.013 162.2393
120.599998 100.913 161.6485
122.000000 100.856 161.3264
124.099998 100.766 160.9002
125.000000 100.727 160.7375
126.500000 100.664 160.4861
128.000000 100.600 160.2581
131.500000 100.454 159.7994
132.000000 100.434 159.7384
134.000000 100.351 159.5083
136.000000 100.268 159.3115
138.000000 100.188 159.1392
140.000000 100.112 158.9778
143.000000 100.003 158.7488
145.000000 99.930 158.6073
147.500000 99.839 158.4411
150.000000 99.748 158.2899
152.500000 99.658 158.1554
155.000000 99.568 158.0503
157.500000 99.478 157.9741
160.000000 99.391 157.9259
162.500000 99.308 157.8964
165.000000 99.229 157.8801
167.500000 99.152 157.8637
170.000000 99.077 157.8343
172.500000 99.001 157.7944
175.000000 98.926 157.7613
177.500000 98.853 157.7496
180.000000 98.782 157.7727
182.500000 98.713 157.8362
185.000000 98.647 157.9145
187.500000 98.583 157.9842
190.000000 98.525 158.0446
192.500000 98.472 158.0954
195.000000 98.420 158.1282
197.500000 98.368 158.1396
200.000000 98.314 158.1317
203.000000 98.248 158.1107
206.000000 98.179 158.1017
209.000000 98.107 158.1160
212.000000 98.034 158.1535
214.000000 97.986 158.1839
218.000000 97.891 158.2599
220.000000 97.845 158.3089
224.000000 97.753 158.4267
227.000000 97.685 158.5260
230.000000 97.619 158.6317
233.000000 97.554 158.7444
236.000000 97.491 158.8683
240.000000 97.409 159.0438
243.000000 97.348 159.1729
247.000000 97.269 159.3548
250.000000 97.210 159.5015
254.000000 97.134 159.7025
258.000000 97.060 159.9042
262.000000 96.988 160.1170
265.000000 96.936 160.2827
269.000000 96.867 160.5074
272.000000 96.816 160.6782
276.000000 96.749 160.9093
280.000000 96.684 161.1480
285.000000 96.605 161.4521
290.000000 96.528 161.7588
295.000000 96.453 162.0710
300.000000 96.380 162.3910
304.000000 96.324 162.6505
307.000000 96.283 162.8448
311.000000 96.230 163.1054
315.000000 96.177 163.3707
320.000000 96.112 163.7079
325.000000 96.050 164.0527
330.000000 95.988 164.3972
335.000000 95.929 164.7414
340.000000 95.872 165.0925
345.000000 95.816 165.4484
350.000000 95.761 165.8021
355.000000 95.709 166.1537
360.000000 95.657 166.5103
365.000000 95.607 166.8713
370.000000 95.559 167.2349
375.000000 95.512 167.6003
382.000000 95.448 168.1082
387.000000 95.404 168.4727
395.000000 95.336 169.0615
400.000000 95.295 169.4315
406.000000 95.248 169.8763
412.000000 95.202 170.3193
418.000000 95.158 170.7594
425.000000 95.108 171.2816
431.000000 95.068 171.7313
437.000000 95.028 172.1815
444.000000 94.983 172.7065
450.000000 94.947 173.1552
455.000000 94.917 173.5269
462.000000 94.878 174.0511
468.000000 94.845 174.5033
475.000000 94.808 175.0289
482.000000 94.774 175.5530
487.000000 94.750 175.9281
494.000000 94.718 176.4543
500.000000 94.692 176.9030
508.000000 94.658 177.5051
515.000000 94.631 178.0367
522.000000 94.605 178.5646
530.000000 94.577 179.1625
538.000000 94.550 179.7607
545.000000 94.529 -179.7109
552.000000 94.508 -179.1842
560.000000 94.487 -178.5803
570.000000 94.463 -177.8241
580.000000 94.441 -177.0723
590.000000 94.421 -176.3194
600.000000 94.405 -175.5591
608.000000 94.393 -174.9565
615.000000 94.385 -174.4281
622.000000 94.378 -173.9002
630.000000 94.371 -173.2969
640.000000 94.365 -172.5387
650.000000 94.360 -171.7805
660.000000 94.359 -171.0227
670.000000 94.360 -170.2641
680.000000 94.364 -169.5054
690.000000 94.370 -168.7463
700.000000 94.379 -167.9867
710.000000 94.390 -167.2293
720.000000 94.404 -166.4690
730.000000 94.421 -165.7133
740.000000 94.441 -164.9616
750.000000 94.464 -164.2095
762.000000 94.496 -163.3076
775.000000 94.534 -162.3348
788.000000 94.577 -161.3661
800.000000 94.622 -160.4818
812.000000 94.672 -159.6058
825.000000 94.730 -158.6643
838.000000 94.795 -157.7338
850.000000 94.858 -156.8929
862.000000 94.926 -156.0717
875.000000 95.005 -155.1983
885.000000 95.070 -154.5353
900.000000 95.172 -153.5693
912.000000 95.258 -152.8245
925.000000 95.355 -152.0463
938.000000 95.456 -151.2965
950.000000 95.553 -150.6294
962.000000 95.653 -149.9947
975.000000 95.764 -149.3447
988.000000 95.878 -148.7312
1000.000000 95.986 -148.1950
1015.000000 96.122 -147.5674
1030.000000 96.259 -146.9913
1044.000000 96.388 -146.5059
1060.000000 96.536 -146.0012
1075.000000 96.675 -145.5670
1090.000000 96.813 -145.1759
1106.000000 96.958 -144.8118
1120.000000 97.084 -144.5302
1138.000000 97.243 -144.2067
1150.000000 97.347 -144.0106
1172.000000 97.533 -143.6938
1180.000000 97.601 -143.5916
1206.000000 97.819 -143.2974
1220.000000 97.936 -143.1743
1241.000000 98.109 -143.0546
1250.000000 98.181 -143.0249
1265.000000 98.297 -142.9959
1280.000000 98.410 -142.9848
1315.000000 98.661 -143.0045
1320.000000 98.695 -143.0129
1340.000000 98.829 -143.0611
1360.000000 98.957 -143.1253
1380.000000 99.078 -143.1873
1400.000000 99.197 -143.2180
1430.000000 99.378 -143.2668
1450.000000 99.500 -143.3130
1475.000000 99.653 -143.3434
1500.000000 99.800 -143.3668
1525.000000 99.948 -143.4370
1550.000000 100.098 -143.5397
1575.000000 100.246 -143.6693
1600.000000 100.394 -143.8259
1625.000000 100.541 -144.0209
1650.000000 100.688 -144.2525
1675.000000 100.832 -144.5137
1700.000000 100.975 -144.8081
1725.000000 101.114 -145.1383
1750.000000 101.252 -145.5016
1775.000000 101.388 -145.8994
1800.000000 101.519 -146.3325
1825.000000 101.647 -146.7953
1850.000000 101.771 -147.2896
1875.000000 101.891 -147.8176
1900.000000 102.006 -148.3738
1925.000000 102.117 -148.9547
1950.000000 102.221 -149.5621
1975.000000 102.321 -150.1961
2000.000000 102.416 -150.8534
2030.000000 102.522 -151.6667
2060.000000 102.618 -152.4999
2090.000000 102.705 -153.3529
2120.000000 102.784 -154.2243
2140.000000 102.831 -154.8110
2180.000000 102.913 -155.9893
2200.000000 102.947 -156.5789
2240.000000 103.004 -157.7544
2270.000000 103.037 -158.6292
2300.000000 103.062 -159.4909
2330.000000 103.078 -160.3324
2360.000000 103.085 -161.1538
2400.000000 103.084 -162.2148
2430.000000 103.075 -162.9807
2470.000000 103.053 -163.9540
2500.000000 103.028 -164.6419
2540.000000 102.987 -165.5031
2580.000000 102.938 -166.2994
2620.000000 102.882 -167.0234
2650.000000 102.836 -167.5184
2690.000000 102.769 -168.1141
2720.000000 102.715 -168.5085
2760.000000 102.640 -168.9585
2800.000000 102.561 -169.3085
2850.000000 102.461 -169.5785
2900.000000 102.372 -169.6466
2950.000000 102.308 -169.5352
3000.000000 102.282 -169.3652
3040.000000 102.286 -169.3014
3070.000000 102.296 -169.3318
3110.000000 102.309 -169.4733
3150.000000 102.315 -169.6880
3200.000000 102.310 -169.9852
3250.000000 102.296 -170.2606
3300.000000 102.276 -170.4919
3350.000000 102.255 -170.6792
3400.000000 102.238 -170.8257
3450.000000 102.225 -170.9426
3500.000000 102.217 -171.0472
3550.000000 102.215 -171.1542
3600.000000 102.218 -171.2726
3650.000000 102.225 -171.4098
3700.000000 102.237 -171.5748
3750.000000 102.252 -171.7770
3820.000000 102.276 -172.1353
3870.000000 102.295 -172.4581
3950.000000 102.318 -173.1095
4000.000000 102.323 -173.6008
4060.000000 102.315 -174.2557
4120.000000 102.287 -174.9377
4180.000000 102.241 -175.5772
4250.000000 102.172 -176.2059
4310.000000 102.115 -176.6558
4370.000000 102.066 -177.0883
4440.000000 102.016 -177.6474
4500.000000 101.970 -178.2031
4550.000000 101.926 -178.7170
4620.000000 101.850 -179.4903
4680.000000 101.769 179.8237
4750.000000 101.655 179.0302
4820.000000 101.521 178.2737
4870.000000 101.413 177.7745
4940.000000 101.247 177.1524
5000.000000 101.092 176.7018
5080.000000 100.872 176.2401
5150.000000 100.668 175.9790
5220.000000 100.459 175.8563
5300.000000 100.216 175.8942
5380.000000 99.971 176.1262
5450.000000 99.758 176.5044
5520.000000 99.553 177.0675
