* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (3- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Sep 24, 2023 12:00:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Dunu Titan S L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	81.774	-155.3429
20.299999	81.779	-156.0957
20.600000	81.782	-156.8222
20.900000	81.786	-157.5255
21.200001	81.790	-158.2109
21.400000	81.793	-158.6611
21.799999	81.799	-159.5506
22.000000	81.801	-159.9914
22.400000	81.803	-160.8652
22.700001	81.802	-161.5090
23.000000	81.799	-162.1364
23.299999	81.794	-162.7422
23.600000	81.788	-163.3260
24.000000	81.781	-164.0762
24.299999	81.777	-164.6285
24.700001	81.772	-165.3652
25.000000	81.768	-165.9224
25.400000	81.758	-166.6662
25.799999	81.744	-167.3946
26.200001	81.726	-168.0926
26.500000	81.712	-168.5943
26.900000	81.693	-169.2397
27.200001	81.680	-169.7119
27.600000	81.662	-170.3303
28.000000	81.645	-170.9348
28.500000	81.622	-171.6667
29.000000	81.601	-172.3773
29.500000	81.581	-173.0795
30.000000	81.559	-173.7778
30.400000	81.539	-174.3256
30.700001	81.522	-174.7245
31.100000	81.499	-175.2374
31.500000	81.476	-175.7308
32.000000	81.448	-176.3282
32.500000	81.419	-176.9109
33.000000	81.390	-177.4798
33.500000	81.360	-178.0360
34.000000	81.330	-178.5845
34.500000	81.299	-179.1303
35.000000	81.266	-179.6719
35.500000	81.231	179.7982
36.000000	81.194	179.2887
36.500000	81.157	178.8048
37.000000	81.121	178.3456
37.500000	81.088	177.9040
38.200001	81.045	177.2955
38.700001	81.016	176.8594
39.500000	80.967	176.1667
40.000000	80.935	175.7465
40.599998	80.894	175.2617
41.200001	80.853	174.7990
41.799999	80.812	174.3531
42.500000	80.764	173.8408
43.099998	80.720	173.4037
43.700001	80.673	172.9810
44.400002	80.616	172.5277
45.000000	80.571	172.1709
45.500000	80.536	171.8745
46.200001	80.489	171.4369
46.799999	80.445	171.0557
47.500000	80.391	170.6489
48.200001	80.340	170.2817
48.700001	80.306	170.0235
49.400002	80.257	169.6653
50.000000	80.214	169.3787
50.799999	80.159	169.0154
51.500000	80.112	168.6890
52.200001	80.061	168.3670
53.000000	80.002	168.0214
53.799999	79.945	167.6758
54.500000	79.895	167.3662
55.200001	79.845	167.0582
56.000000	79.789	166.7057
57.000000	79.719	166.2747
58.000000	79.648	165.8962
59.000000	79.585	165.5584
60.000000	79.524	165.1854
60.799999	79.464	164.8959
61.500000	79.409	164.7064
62.200001	79.358	164.5490
63.000000	79.304	164.3464
64.000000	79.231	164.0908
65.000000	79.162	163.8300
66.000000	79.087	163.5523
67.000000	79.016	163.3177
68.000000	78.945	163.0578
69.000000	78.871	162.8687
70.000000	78.808	162.6946
71.000000	78.738	162.5089
72.000000	78.673	162.3975
73.000000	78.608	162.2120
