* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (3- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Sep 24, 2023 11:59:07 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Dunu Titan S R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	81.842	-139.3355
20.299999	81.874	-140.1610
20.600000	81.902	-140.9498
20.900000	81.929	-141.6956
21.200001	81.957	-142.4009
21.400000	81.978	-142.8570
21.799999	82.025	-143.7569
22.000000	82.050	-144.2113
22.400000	82.100	-145.1447
22.700001	82.135	-145.8644
23.000000	82.165	-146.5886
23.299999	82.189	-147.3005
23.600000	82.210	-147.9876
24.000000	82.233	-148.8549
24.299999	82.250	-149.4720
24.700001	82.273	-150.2656
25.000000	82.291	-150.8515
25.400000	82.315	-151.6300
25.799999	82.335	-152.4034
26.200001	82.351	-153.1601
26.500000	82.362	-153.7102
26.900000	82.374	-154.4189
27.200001	82.384	-154.9370
27.600000	82.399	-155.6205
28.000000	82.413	-156.3059
28.500000	82.427	-157.1644
29.000000	82.436	-158.0047
29.500000	82.443	-158.8090
30.000000	82.451	-159.5836
30.400000	82.457	-160.1964
30.700001	82.462	-160.6564
31.100000	82.466	-161.2666
31.500000	82.467	-161.8630
32.000000	82.467	-162.5766
32.500000	82.467	-163.2586
33.000000	82.467	-163.9287
33.500000	82.467	-164.5973
34.000000	82.463	-165.2549
34.500000	82.456	-165.8865
35.000000	82.450	-166.4917
35.500000	82.444	-167.0850
36.000000	82.440	-167.6794
36.500000	82.433	-168.2737
37.000000	82.424	-168.8566
37.500000	82.414	-169.4212
38.200001	82.401	-170.1893
38.700001	82.392	-170.7322
39.500000	82.374	-171.5850
40.000000	82.361	-172.0955
40.599998	82.345	-172.6865
41.200001	82.331	-173.2696
41.799999	82.314	-173.8491
42.500000	82.291	-174.5034
43.099998	82.271	-175.0391
43.700001	82.252	-175.5641
44.400002	82.230	-176.1733
45.000000	82.209	-176.6893
45.500000	82.191	-177.1118
46.200001	82.164	-177.6891
46.799999	82.141	-178.1652
47.500000	82.115	-178.6986
48.200001	82.090	-179.2229
48.700001	82.073	-179.5959
49.400002	82.047	179.8905
50.000000	82.024	179.4609
50.799999	81.991	178.8999
51.500000	81.960	178.4297
52.200001	81.929	177.9867
53.000000	81.894	177.5005
53.799999	81.860	177.0238
54.500000	81.832	176.6089
55.200001	81.803	176.1840
56.000000	81.767	175.6913
57.000000	81.716	175.1068
58.000000	81.664	174.5776
59.000000	81.616	174.1007
60.000000	81.578	173.6115
60.799999	81.545	173.1825
61.500000	81.511	172.8116
62.200001	81.476	172.4653
63.000000	81.436	172.0919
64.000000	81.386	171.6470
65.000000	81.337	171.2265
66.000000	81.289	170.8156
67.000000	81.240	170.4212
68.000000	81.191	170.0645
69.000000	81.148	169.7150
70.000000	81.105	169.3403
71.000000	81.058	168.9671
72.000000	81.010	168.6212
73.000000	80.962	168.3005
74.000000	80.917	167.9945
75.000000	80.872	167.6944
76.199997	80.818	167.3461
77.500000	80.761	166.9865
78.800003	80.705	166.6351
80.000000	80.654	166.3141
81.199997	80.603	165.9955
82.500000	80.547	165.6632
83.800003	80.491	165.3502
85.000000	80.438	165.0851
86.199997	80.388	164.8372
87.500000	80.336	164.5325
88.500000	80.288	164.2950
90.000000	80.221	164.0425
91.199997	80.179	163.8119
92.500000	80.131	163.5204
93.800003	80.078	163.2403
95.000000	80.028	163.0085
96.199997	79.977	162.7971
97.500000	79.922	162.5784
98.800003	79.866	162.3636
100.000000	79.814	162.1726
101.500000	79.749	161.9468
103.000000	79.686	161.7332
104.400002	79.626	161.5432
106.000000	79.557	161.3428
