* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Oct 13, 2023 9:23:54 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Dunu Zen Pro SD++ L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	90.386	-110.2197
20.299999	90.479	-110.8799
20.600000	90.571	-111.5367
20.900000	90.661	-112.1955
21.200001	90.750	-112.8581
21.400000	90.806	-113.2999
21.799999	90.915	-114.1751
22.000000	90.967	-114.6040
22.400000	91.067	-115.4367
22.700001	91.140	-116.0390
23.000000	91.212	-116.6271
23.299999	91.283	-117.2078
23.600000	91.353	-117.7853
24.000000	91.443	-118.5522
24.299999	91.508	-119.1219
24.700001	91.590	-119.8669
25.000000	91.649	-120.4110
25.400000	91.726	-121.1166
25.799999	91.800	-121.8032
26.200001	91.874	-122.4766
26.500000	91.928	-122.9759
26.900000	91.999	-123.6380
27.200001	92.052	-124.1344
27.600000	92.119	-124.7979
28.000000	92.183	-125.4594
28.500000	92.256	-126.2657
29.000000	92.325	-127.0254
29.500000	92.394	-127.7356
30.000000	92.468	-128.4250
30.400000	92.528	-128.9858
30.700001	92.573	-129.4174
31.100000	92.629	-130.0010
31.500000	92.680	-130.5788
32.000000	92.739	-131.2685
32.500000	92.796	-131.9142
33.000000	92.856	-132.5358
33.500000	92.917	-133.1620
34.000000	92.975	-133.8060
34.500000	93.026	-134.4528
35.000000	93.071	-135.0728
35.500000	93.114	-135.6468
36.000000	93.159	-136.1860
36.500000	93.208	-136.7222
37.000000	93.257	-137.2829
37.500000	93.303	-137.8689
38.200001	93.357	-138.6877
38.700001	93.389	-139.2404
39.500000	93.439	-140.0547
40.000000	93.473	-140.5352
40.599998	93.515	-141.1056
41.200001	93.559	-141.6871
41.799999	93.600	-142.2849
42.500000	93.644	-142.9909
43.099998	93.675	-143.5869
43.700001	93.703	-144.1599
44.400002	93.731	-144.7842
45.000000	93.755	-145.2775
45.500000	93.777	-145.6694
46.200001	93.812	-146.2155
46.799999	93.842	-146.6962
47.500000	93.876	-147.2661
48.200001	93.907	-147.8362
