* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Oct 13, 2023 9:22:36 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Dunu Zen Pro SD++ R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	94.468	-121.6507
20.299999	94.539	-122.4309
20.600000	94.607	-123.1947
20.900000	94.671	-123.9400
21.200001	94.734	-124.6670
21.400000	94.775	-125.1429
21.799999	94.854	-126.0757
22.000000	94.892	-126.5331
22.400000	94.966	-127.4297
22.700001	95.020	-128.0862
23.000000	95.073	-128.7311
23.299999	95.126	-129.3699
23.600000	95.177	-130.0077
24.000000	95.241	-130.8602
24.299999	95.284	-131.4954
24.700001	95.336	-132.3184
25.000000	95.371	-132.9029
25.400000	95.417	-133.6303
25.799999	95.467	-134.3156
26.200001	95.522	-134.9981
26.500000	95.564	-135.5294
26.900000	95.618	-136.2699
27.200001	95.653	-136.8360
27.600000	95.692	-137.5747
28.000000	95.725	-138.2659
28.500000	95.767	-139.0595
29.000000	95.815	-139.8196
29.500000	95.865	-140.5877
30.000000	95.912	-141.3641
30.400000	95.946	-141.9746
30.700001	95.972	-142.4215
31.100000	96.005	-143.0060
31.500000	96.038	-143.5855
32.000000	96.078	-144.3091
32.500000	96.114	-145.0255
33.000000	96.146	-145.7233
33.500000	96.177	-146.4009
34.000000	96.205	-147.0648
34.500000	96.231	-147.7190
35.000000	96.255	-148.3609
35.500000	96.275	-148.9863
36.000000	96.294	-149.5954
36.500000	96.311	-150.1911
37.000000	96.325	-150.7750
37.500000	96.337	-151.3434
38.200001	96.351	-152.1018
38.700001	96.359	-152.6139
39.500000	96.373	-153.3924
40.000000	96.381	-153.8544
40.599998	96.391	-154.3739
41.200001	96.405	-154.8499
41.799999	96.424	-155.2988
42.500000	96.456	-155.8279
43.099998	96.487	-156.3106
43.700001	96.519	-156.8265
44.400002	96.552	-157.4633
45.000000	96.577	-158.0239
45.500000	96.594	-158.4908
46.200001	96.615	-159.1395
46.799999	96.630	-159.6969
47.500000	96.645	-160.3518
48.200001	96.654	-161.0016
48.700001	96.659	-161.4566
49.400002	96.662	-162.0805
50.000000	96.662	-162.6023
50.799999	96.660	-163.2686
51.500000	96.657	-163.8222
52.200001	96.656	-164.3679
53.000000	96.651	-164.9935
53.799999	96.642	-165.5923
54.500000	96.634	-166.0822
55.200001	96.627	-166.5643
56.000000	96.618	-167.1223
57.000000	96.600	-167.7952
58.000000	96.582	-168.4244
59.000000	96.565	-169.0377
60.000000	96.547	-169.6406
60.799999	96.531	-170.1093
61.500000	96.517	-170.5063
62.200001	96.502	-170.8947
63.000000	96.485	-171.3331
64.000000	96.462	-171.8695
65.000000	96.438	-172.3902
66.000000	96.413	-172.8979
67.000000	96.386	-173.3893
68.000000	96.358	-173.8667
69.000000	96.329	-174.3243
70.000000	96.298	-174.7565
71.000000	96.266	-175.1672
72.000000	96.235	-175.5530
73.000000	96.203	-175.9256
74.000000	96.171	-176.2898
75.000000	96.138	-176.6417
76.199997	96.099	-177.0646
77.500000	96.054	-177.5268
78.800003	96.005	-177.9767
80.000000	95.958	-178.3508
81.199997	95.911	-178.6928
82.500000	95.858	-179.0141
83.800003	95.806	-179.2896
85.000000	95.758	-179.5107
86.199997	95.709	-179.7161
87.500000	95.653	-179.9142
88.500000	95.610	179.9783
90.000000	95.552	179.8565
91.199997	95.509	179.7872
92.500000	95.465	179.7544
93.800003	95.426	179.7669
95.000000	95.395	179.8195
96.199997	95.371	179.8974
97.500000	95.353	-179.9996
98.800003	95.346	-179.8924
100.000000	95.348	-179.8071
101.500000	95.359	-179.7152
103.000000	95.381	-179.6474
104.400002	95.413	-179.6452
106.000000	95.454	-179.7449
107.500000	95.495	-179.9385
109.000000	95.534	179.7668
110.599998	95.569	179.3584
112.000000	95.589	178.9398
113.800003	95.597	178.3658
115.000000	95.590	177.9955
117.199997	95.566	177.3766
118.000000	95.555	177.1602
120.599998	95.510	176.4547
122.000000	95.479	176.1285
124.099998	95.434	175.7135
125.000000	95.416	175.5460
126.500000	95.386	175.2711
128.000000	95.355	174.9982
131.500000	95.279	174.3671
132.000000	95.268	174.2795
134.000000	95.221	173.9382
136.000000	95.170	173.6172
138.000000	95.117	173.3315
140.000000	95.063	173.0822
143.000000	94.986	172.7367
145.000000	94.935	172.5245
147.500000	94.870	172.2956
150.000000	94.807	172.0975
152.500000	94.746	171.9192
155.000000	94.686	171.7565
157.500000	94.627	171.6102
160.000000	94.569	171.4806
162.500000	94.513	171.3708
165.000000	94.458	171.2732
