* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 11, 2023 10:21:54 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Humble Luna L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	109.892	-143.9323
20.299999	109.921	-144.6381
20.600000	109.950	-145.3308
20.900000	109.978	-146.0132
21.200001	110.004	-146.6872
21.400000	110.021	-147.1313
21.799999	110.052	-148.0044
22.000000	110.066	-148.4320
22.400000	110.093	-149.2670
22.700001	110.113	-149.8760
23.000000	110.131	-150.4729
23.299999	110.149	-151.0610
23.600000	110.167	-151.6421
24.000000	110.188	-152.4062
24.299999	110.202	-152.9684
24.700001	110.218	-153.6983
25.000000	110.229	-154.2285
25.400000	110.242	-154.9130
25.799999	110.256	-155.5775
26.200001	110.270	-156.2292
26.500000	110.279	-156.7118
26.900000	110.291	-157.3474
27.200001	110.299	-157.8166
27.600000	110.309	-158.4305
28.000000	110.317	-159.0308
28.500000	110.327	-159.7650
29.000000	110.335	-160.4851
29.500000	110.341	-161.1908
30.000000	110.346	-161.8785
30.400000	110.348	-162.4144
30.700001	110.350	-162.8085
31.100000	110.351	-163.3248
31.500000	110.352	-163.8317
32.000000	110.352	-164.4522
32.500000	110.351	-165.0573
33.000000	110.350	-165.6475
33.500000	110.348	-166.2252
34.000000	110.345	-166.7921
34.500000	110.341	-167.3475
35.000000	110.336	-167.8908
35.500000	110.331	-168.4223
36.000000	110.324	-168.9420
36.500000	110.317	-169.4492
37.000000	110.309	-169.9448
37.500000	110.300	-170.4321
38.200001	110.287	-171.1015
38.700001	110.276	-171.5634
39.500000	110.258	-172.2664
40.000000	110.249	-172.6962
40.599998	110.239	-173.2187
41.200001	110.226	-173.7440
41.799999	110.210	-174.2539
42.500000	110.191	-174.8204
43.099998	110.175	-175.2921
