* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 11, 2023 10:19:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Humble Luna R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	109.997	31.7942
20.299999	110.020	31.0926
20.600000	110.043	30.4058
20.900000	110.064	29.7313
21.200001	110.084	29.0669
21.400000	110.097	28.6298
21.799999	110.120	27.7704
22.000000	110.131	27.3491
22.400000	110.151	26.5236
22.700001	110.165	25.9180
23.000000	110.179	25.3208
23.299999	110.192	24.7289
23.600000	110.204	24.1411
24.000000	110.218	23.3656
24.299999	110.226	22.7950
24.700001	110.233	22.0568
25.000000	110.238	21.5234
25.400000	110.244	20.8379
25.799999	110.250	20.1737
26.200001	110.257	19.5210
26.500000	110.262	19.0366
26.900000	110.266	18.3995
27.200001	110.269	17.9314
27.600000	110.271	17.3229
28.000000	110.273	16.7310
28.500000	110.274	16.0067
29.000000	110.274	15.2935
29.500000	110.272	14.5960
30.000000	110.268	13.9221
30.400000	110.263	13.3998
30.700001	110.260	13.0151
31.100000	110.256	12.5071
31.500000	110.251	12.0030
32.000000	110.243	11.3815
32.500000	110.233	10.7778
33.000000	110.221	10.1972
33.500000	110.210	9.6360
34.000000	110.200	9.0848
34.500000	110.190	8.5364
35.000000	110.178	7.9917
35.500000	110.165	7.4575
36.000000	110.150	6.9403
36.500000	110.134	6.4408
37.000000	110.119	5.9564
37.500000	110.104	5.4846
38.200001	110.083	4.8386
38.700001	110.068	4.3810
39.500000	110.040	3.6537
40.000000	110.020	3.2178
40.599998	109.995	2.7292
41.200001	109.972	2.2682
41.799999	109.953	1.8073
42.500000	109.929	1.2563
43.099998	109.905	0.7908
43.700001	109.879	0.3471
44.400002	109.850	-0.1481
45.000000	109.825	-0.5635
45.500000	109.805	-0.9052
46.200001	109.777	-1.3762
46.799999	109.752	-1.7759
47.500000	109.723	-2.2384
48.200001	109.692	-2.6899
48.700001	109.669	-3.0017
49.400002	109.637	-3.4232
50.000000	109.609	-3.7729
50.799999	109.573	-4.2238
51.500000	109.540	-4.6040
52.200001	109.508	-4.9723
53.000000	109.471	-5.3782
53.799999	109.434	-5.7692
54.500000	109.402	-6.1025
55.200001	109.370	-6.4296
56.000000	109.333	-6.7963
57.000000	109.286	-7.2433
58.000000	109.239	-7.6732
59.000000	109.192	-8.0920
60.000000	109.143	-8.4995
60.799999	109.105	-8.8141
61.500000	109.071	-9.0850
62.200001	109.037	-9.3522
63.000000	108.999	-9.6500
64.000000	108.952	-10.0126
65.000000	108.905	-10.3644
66.000000	108.858	-10.6985
67.000000	108.812	-11.0116
68.000000	108.767	-11.3049
69.000000	108.722	-11.5851
70.000000	108.676	-11.8586
71.000000	108.630	-12.1283
72.000000	108.583	-12.3962
73.000000	108.536	-12.6664
74.000000	108.490	-12.9386
75.000000	108.444	-13.2044
76.199997	108.392	-13.5070
77.500000	108.338	-13.8116
78.800003	108.286	-14.0826
80.000000	108.237	-14.3152
81.199997	108.187	-14.5411
82.500000	108.129	-14.7776
83.800003	108.070	-15.0076
85.000000	108.016	-15.2109
86.199997	107.964	-15.3973
87.500000	107.910	-15.5844
88.500000	107.870	-15.7188
90.000000	107.809	-15.9046
91.199997	107.759	-16.0406
92.500000	107.705	-16.1801
93.800003	107.653	-16.3148
95.000000	107.607	-16.4308
96.199997	107.564	-16.5359
97.500000	107.523	-16.6515
98.800003	107.482	-16.7698
100.000000	107.445	-16.8865
101.500000	107.395	-17.0327
103.000000	107.343	-17.1678
104.400002	107.297	-17.2818
106.000000	107.246	-17.4396
107.500000	107.196	-17.5851
109.000000	107.149	-17.7239
110.599998	107.097	-17.8881
112.000000	107.050	-18.0094
113.800003	106.992	-18.1252
115.000000	106.952	-18.1849
117.199997	106.878	-18.2733
118.000000	106.851	-18.3047
120.599998	106.763	-18.4274
122.000000	106.717	-18.5123
124.099998	106.650	-18.6310
125.000000	106.621	-18.6742
126.500000	106.572	-18.7319
128.000000	106.523	-18.7729
131.500000	106.402	-18.8208
132.000000	106.384	-18.8208
134.000000	106.315	-18.8033
136.000000	106.246	-18.7510
138.000000	106.177	-18.6554
140.000000	106.112	-18.5179
143.000000	106.023	-18.2237
145.000000	105.970	-17.9583
147.500000	105.919	-17.5540
150.000000	105.895	-17.1091
152.500000	105.908	-16.7336
155.000000	105.947	-16.5739
157.500000	105.987	-16.6889
160.000000	106.001	-16.9999
162.500000	105.985	-17.3616
165.000000	105.949	-17.6805
167.500000	105.902	-17.9241
170.000000	105.852	-18.0945
172.500000	105.803	-18.2151
175.000000	105.757	-18.3141
177.500000	105.713	-18.4103
180.000000	105.668	-18.5096
182.500000	105.622	-18.6084
185.000000	105.574	-18.6971
187.500000	105.525	-18.7679
190.000000	105.474	-18.8221
192.500000	105.423	-18.8625
195.000000	105.373	-18.8907
197.500000	105.324	-18.9077
200.000000	105.276	-18.9119
203.000000	105.218	-18.9001
206.000000	105.160	-18.8749
209.000000	105.102	-18.8401
212.000000	105.046	-18.7932
214.000000	105.009	-18.7516
218.000000	104.934	-18.6421
220.000000	104.897	-18.5726
224.000000	104.825	-18.3882
227.000000	104.775	-18.1977
230.000000	104.733	-17.9670
233.000000	104.702	-17.7192
236.000000	104.685	-17.4948
240.000000	104.679	-17.3094
243.000000	104.676	-17.2780
247.000000	104.662	-17.3475
250.000000	104.641	-17.4371
254.000000	104.601	-17.5477
258.000000	104.553	-17.6212
262.000000	104.501	-17.6562
265.000000	104.461	-17.6611
269.000000	104.409	-17.6454
272.000000	104.370	-17.6212
276.000000	104.319	-17.5783
280.000000	104.270	-17.5249
285.000000	104.210	-17.4448
290.000000	104.151	-17.3553
295.000000	104.093	-17.2570
300.000000	104.037	-17.1532
304.000000	103.993	-17.0672
307.000000	103.960	-17.0004
311.000000	103.917	-16.9091
315.000000	103.875	-16.8152
320.000000	103.823	-16.6956
325.000000	103.772	-16.5732
330.000000	103.722	-16.4474
335.000000	103.672	-16.3182
340.000000	103.623	-16.1873
345.000000	103.575	-16.0545
350.000000	103.528	-15.9189
355.000000	103.482	-15.7809
360.000000	103.436	-15.6398
365.000000	103.390	-15.4971
370.000000	103.345	-15.3529
375.000000	103.301	-15.2069
382.000000	103.240	-14.9991
387.000000	103.197	-14.8468
395.000000	103.128	-14.5961
400.000000	103.086	-14.4349
406.000000	103.036	-14.2385
412.000000	102.987	-14.0393
418.000000	102.938	-13.8395
425.000000	102.882	-13.6056
431.000000	102.835	-13.4027
437.000000	102.788	-13.1962
444.000000	102.735	-12.9499
450.000000	102.689	-12.7349
455.000000	102.652	-12.5536
462.000000	102.601	-12.2966
468.000000	102.557	-12.0726
475.000000	102.507	-11.8079
482.000000	102.458	-11.5397
487.000000	102.423	-11.3454
494.000000	102.375	-11.0707
500.000000	102.335	-10.8328
508.000000	102.282	-10.5118
515.000000	102.236	-10.2258
522.000000	102.190	-9.9320
530.000000	102.139	-9.5876
538.000000	102.089	-9.2374
545.000000	102.045	-8.9277
552.000000	102.003	-8.6154
560.000000	101.956	-8.2557
570.000000	101.898	-7.8027
580.000000	101.843	-7.3408
590.000000	101.789	-6.8695
600.000000	101.736	-6.3906
608.000000	101.696	-6.0018
615.000000	101.661	-5.6567
622.000000	101.628	-5.3076
630.000000	101.590	-4.9039
640.000000	101.545	-4.3925
650.000000	101.502	-3.8735
660.000000	101.460	-3.3474
670.000000	101.420	-2.8137
680.000000	101.383	-2.2725
690.000000	101.347	-1.7247
700.000000	101.313	-1.1710
710.000000	101.281	-0.6093
720.000000	101.252	-0.0410
730.000000	101.226	0.5302
740.000000	101.202	1.1021
750.000000	101.180	1.6764
762.000000	101.158	2.3710
775.000000	101.138	3.1320
788.000000	101.123	3.9014
800.000000	101.111	4.6154
812.000000	101.103	5.3328
825.000000	101.098	6.1146
838.000000	101.097	6.8973
850.000000	101.100	7.6184
862.000000	101.107	8.3351
875.000000	101.119	9.1033
885.000000	101.131	9.6884
900.000000	101.156	10.5577
912.000000	101.179	11.2429
925.000000	101.209	11.9730
938.000000	101.243	12.6877
950.000000	101.279	13.3295
962.000000	101.318	13.9498
975.000000	101.364	14.5964
988.000000	101.413	15.2162
1000.000000	101.460	15.7623
1015.000000	101.521	16.4089
1030.000000	101.583	17.0199
1044.000000	101.643	17.5574
1060.000000	101.712	18.1306
1075.000000	101.776	18.6297
1090.000000	101.839	19.0958
1106.000000	101.906	19.5656
1120.000000	101.962	19.9545
1138.000000	102.033	20.4235
1150.000000	102.079	20.7192
1172.000000	102.161	21.2362
1180.000000	102.190	21.4176
1206.000000	102.281	21.9895
1220.000000	102.328	22.2919
1241.000000	102.398	22.7430
1250.000000	102.427	22.9355
1265.000000	102.477	23.2515
1280.000000	102.528	23.5626
1315.000000	102.661	24.2078
1320.000000	102.682	24.2913
1340.000000	102.765	24.6113
1360.000000	102.848	24.9382
1380.000000	102.928	25.3038
1400.000000	103.002	25.7089
1430.000000	103.103	26.3618
1450.000000	103.168	26.7926
1475.000000	103.250	27.3359
1500.000000	103.330	27.8677
1525.000000	103.407	28.4268
1550.000000	103.484	29.0213
1575.000000	103.565	29.6066
1600.000000	103.654	30.1172
1625.000000	103.748	30.6057
1650.000000	103.847	31.1066
1675.000000	103.948	31.5988
1700.000000	104.051	32.0456
1725.000000	104.159	32.4829
1750.000000	104.270	32.9102
1775.000000	104.386	33.3035
1800.000000	104.507	33.6552
1825.000000	104.634	33.9818
1850.000000	104.766	34.2777
1875.000000	104.903	34.5320
1900.000000	105.045	34.7405
1925.000000	105.191	34.9036
1950.000000	105.340	35.0326
1975.000000	105.491	35.1495
2000.000000	105.651	35.2197
2030.000000	105.849	35.1928
2060.000000	106.056	35.0859
2090.000000	106.262	34.9455
2120.000000	106.456	34.7755
2140.000000	106.582	34.6511
2180.000000	106.820	34.3447
2200.000000	106.936	34.1435
2240.000000	107.166	33.6514
2270.000000	107.335	33.2077
2300.000000	107.500	32.7067
2330.000000	107.660	32.1481
2360.000000	107.815	31.5312
2400.000000	108.010	30.6267
2430.000000	108.149	29.8914
2470.000000	108.320	28.8459
2500.000000	108.438	28.0183
2540.000000	108.580	26.8648
2580.000000	108.704	25.6787
2620.000000	108.809	24.4764
2650.000000	108.877	23.5751
2690.000000	108.952	22.3958
2720.000000	108.998	21.5458
2760.000000	109.049	20.4755
2800.000000	109.095	19.4846
2850.000000	109.154	18.3295
2900.000000	109.218	17.1772
2950.000000	109.275	15.9725
3000.000000	109.317	14.7017
3040.000000	109.336	13.6787
3070.000000	109.342	12.9590
3110.000000	109.344	12.0500
3150.000000	109.343	11.1805
3200.000000	109.338	10.2097
3250.000000	109.328	9.3483
3300.000000	109.324	8.5507
3350.000000	109.326	7.8179
3400.000000	109.334	7.1426
3450.000000	109.351	6.4807
3500.000000	109.373	5.8268
3550.000000	109.398	5.2035
3600.000000	109.437	4.5510
3650.000000	109.500	3.8386
3700.000000	109.581	3.0781
3750.000000	109.677	2.2511
3820.000000	109.825	0.9219
3870.000000	109.931	-0.1596
3950.000000	110.113	-2.2402
4000.000000	110.234	-3.8235
4060.000000	110.374	-5.9992
4120.000000	110.493	-8.4971
4180.000000	110.575	-11.2828
4250.000000	110.599	-14.8438
4310.000000	110.551	-18.0819
4370.000000	110.442	-21.4310
