* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.5 dBFS with no timing reference
* Dated: Dec 20, 2023 9:46:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Intime Sora Light L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 105.617 175.6674
20.299999 105.595 175.1183
20.600000 105.570 174.5804
20.900000 105.544 174.0587
21.200001 105.518 173.5540
21.400000 105.501 173.2252
21.799999 105.468 172.5789
22.000000 105.452 172.2581
22.400000 105.419 171.6175
22.700001 105.394 171.1390
23.000000 105.367 170.6659
23.299999 105.338 170.2026
23.600000 105.308 169.7523
24.000000 105.267 169.1739
24.299999 105.237 168.7554
24.700001 105.196 168.2134
25.000000 105.166 167.8159
25.400000 105.127 167.2943
25.799999 105.087 166.7809
26.200001 105.046 166.2763
26.500000 105.015 165.9048
26.900000 104.974 165.4197
27.200001 104.943 165.0627
27.600000 104.903 164.5922
28.000000 104.862 164.1234
28.500000 104.811 163.5383
29.000000 104.757 162.9645
29.500000 104.701 162.4163
30.000000 104.646 161.8938
30.400000 104.604 161.4868
30.700001 104.572 161.1852
31.100000 104.529 160.7902
31.500000 104.487 160.4071
32.000000 104.435 159.9432
32.500000 104.383 159.4825
33.000000 104.330 159.0225
33.500000 104.273 158.5905
34.000000 104.216 158.2116
34.500000 104.168 157.8580
35.000000 104.129 157.4592
35.500000 104.086 156.9794
36.000000 104.030 156.4664
36.500000 103.960 156.0060
37.000000 103.889 155.6342
37.500000 103.827 155.3123
38.200001 103.750 154.8452
38.700001 103.695 154.4921
39.500000 103.607 153.9446
40.000000 103.555 153.6096
40.599998 103.493 153.2004
41.200001 103.429 152.7998
41.799999 103.364 152.4273
42.500000 103.290 152.0214
43.099998 103.228 151.6865
43.700001 103.166 151.3636
44.400002 103.094 151.0005
45.000000 103.032 150.6948
45.500000 102.979 150.4435
46.200001 102.904 150.1035
46.799999 102.839 149.8318
47.500000 102.765 149.5398
48.200001 102.696 149.2504
48.700001 102.649 149.0255
49.400002 102.580 148.6837
50.000000 102.516 148.3947
50.799999 102.428 148.0657
51.500000 102.355 147.8293
52.200001 102.289 147.6006
53.000000 102.218 147.3142
53.799999 102.144 147.0133
54.500000 102.078 146.7563
55.200001 102.012 146.5064
56.000000 101.934 146.2312
57.000000 101.836 145.9155
58.000000 101.740 145.6245
59.000000 101.647 145.3465
60.000000 101.557 145.0692
60.799999 101.484 144.8482
61.500000 101.420 144.6673
62.200001 101.357 144.4980
63.000000 101.286 144.3114
64.000000 101.198 144.0887
65.000000 101.111 143.8745
66.000000 101.025 143.6639
67.000000 100.938 143.4669
68.000000 100.853 143.2839
69.000000 100.770 143.1069
70.000000 100.686 142.9340
71.000000 100.601 142.7873
72.000000 100.520 142.6625
73.000000 100.443 142.5255
74.000000 100.364 142.3790
75.000000 100.284 142.2446
76.199997 100.189 142.1086
77.500000 100.090 141.9639
78.800003 99.992 141.8152
80.000000 99.900 141.6948
81.199997 99.811 141.5879
82.500000 99.715 141.4809
83.800003 99.621 141.3831
85.000000 99.535 141.3064
86.199997 99.449 141.2432
87.500000 99.358 141.2020
88.500000 99.289 141.1869
90.000000 99.190 141.1675
91.199997 99.110 141.1307
92.500000 99.021 141.1094
93.800003 98.936 141.1054
95.000000 98.860 141.0949
96.199997 98.784 141.0940
97.500000 98.706 141.1031
98.800003 98.631 141.1018
100.000000 98.562 141.1005
101.500000 98.481 141.0964
103.000000 98.402 141.0590
104.400002 98.327 141.0250
106.000000 98.242 141.0200
107.500000 98.163 141.0282
109.000000 98.083 141.0454
110.599998 97.997 141.0549
112.000000 97.922 141.0627
113.800003 97.829 141.0720
115.000000 97.768 141.0838
117.199997 97.659 141.1373
118.000000 97.619 141.1694
120.599998 97.493 141.2702
122.000000 97.424 141.2961
124.099998 97.320 141.3410
125.000000 97.277 141.3660
126.500000 97.208 141.4143
128.000000 97.140 141.4742
131.500000 96.984 141.6487
132.000000 96.961 141.6765
134.000000 96.874 141.7839
136.000000 96.786 141.8896
138.000000 96.701 142.0199
140.000000 96.619 142.1589
143.000000 96.499 142.3419
145.000000 96.419 142.4655
147.500000 96.321 142.6395
150.000000 96.227 142.8249
152.500000 96.136 143.0063
155.000000 96.047 143.1960
157.500000 95.959 143.3987
160.000000 95.869 143.6059
162.500000 95.782 143.8211
165.000000 95.701 143.9987
167.500000 95.623 144.1816
170.000000 95.546 144.3834
172.500000 95.469 144.5991
175.000000 95.393 144.8134
177.500000 95.319 145.0318
180.000000 95.247 145.2453
182.500000 95.176 145.4536
185.000000 95.107 145.6678
187.500000 95.039 145.8892
190.000000 94.971 146.1106
192.500000 94.905 146.3308
195.000000 94.841 146.5532
197.500000 94.778 146.7795
200.000000 94.716 147.0035
203.000000 94.644 147.2733
206.000000 94.574 147.5472
209.000000 94.505 147.8226
212.000000 94.438 148.0914
214.000000 94.394 148.2724
218.000000 94.308 148.6429
220.000000 94.265 148.8250
224.000000 94.183 149.1786
227.000000 94.124 149.4507
230.000000 94.065 149.7274
233.000000 94.007 150.0038
236.000000 93.951 150.2819
240.000000 93.877 150.6575
243.000000 93.825 150.9284
247.000000 93.757 151.2836
250.000000 93.707 151.5537
254.000000 93.641 151.9167
258.000000 93.577 152.2797
262.000000 93.515 152.6415
265.000000 93.470 152.9108
269.000000 93.411 153.2642
272.000000 93.368 153.5282
276.000000 93.312 153.8827
280.000000 93.257 154.2336
285.000000 93.191 154.6731
290.000000 93.126 155.1016
295.000000 93.064 155.5135
300.000000 93.002 155.9268
304.000000 92.953 156.2896
307.000000 92.918 156.5654
311.000000 92.873 156.9192
315.000000 92.827 157.2558
320.000000 92.771 157.6822
325.000000 92.716 158.1280
330.000000 92.663 158.5828
335.000000 92.615 159.0633
340.000000 92.571 159.5465
345.000000 92.532 160.0448
350.000000 92.500 160.5032
355.000000 92.471 160.8792
360.000000 92.440 161.2344
365.000000 92.406 161.6369
370.000000 92.370 162.0732
375.000000 92.336 162.4964
382.000000 92.300 163.0785
387.000000 92.283 163.4823
395.000000 92.257 164.0214
400.000000 92.235 164.3067
406.000000 92.204 164.6514
412.000000 92.167 165.0200
418.000000 92.129 165.4198
425.000000 92.086 165.8970
431.000000 92.051 166.3104
437.000000 92.019 166.7391
444.000000 91.984 167.2532
450.000000 91.956 167.7047
455.000000 91.935 168.0914
462.000000 91.913 168.6435
468.000000 91.901 169.1063
475.000000 91.897 169.5756
482.000000 91.894 169.9788
487.000000 91.888 170.2554
494.000000 91.873 170.6461
500.000000 91.855 170.9535
508.000000 91.830 171.3713
515.000000 91.811 171.7512
522.000000 91.793 172.1352
530.000000 91.770 172.5866
538.000000 91.749 173.0485
545.000000 91.731 173.4570
552.000000 91.715 173.8663
560.000000 91.698 174.3360
570.000000 91.679 174.9239
580.000000 91.661 175.5034
590.000000 91.646 176.0774
600.000000 91.633 176.6461
608.000000 91.624 177.1023
615.000000 91.617 177.4984
622.000000 91.610 177.8917
630.000000 91.603 178.3405
640.000000 91.596 178.9041
650.000000 91.590 179.4695
660.000000 91.585 -179.9682
670.000000 91.583 -179.4102
680.000000 91.582 -178.8540
690.000000 91.584 -178.2980
700.000000 91.587 -177.7414
710.000000 91.591 -177.1918
720.000000 91.598 -176.6450
730.000000 91.606 -176.0931
740.000000 91.616 -175.5423
750.000000 91.628 -174.9937
762.000000 91.645 -174.3401
775.000000 91.666 -173.6349
788.000000 91.691 -172.9356
800.000000 91.717 -172.2968
812.000000 91.746 -171.6649
825.000000 91.782 -170.9886
838.000000 91.820 -170.3206
850.000000 91.858 -169.7099
862.000000 91.898 -169.1067
875.000000 91.946 -168.4628
885.000000 91.985 -167.9756
900.000000 92.048 -167.2575
912.000000 92.103 -166.6932
925.000000 92.166 -166.0924
938.000000 92.233 -165.5065
950.000000 92.299 -164.9787
962.000000 92.371 -164.4665
975.000000 92.455 -163.9389
988.000000 92.545 -163.4526
1000.000000 92.633 -163.0514
1015.000000 92.748 -162.6248
1030.000000 92.865 -162.2878
1044.000000 92.971 -162.0519
1060.000000 93.087 -161.8615
1075.000000 93.188 -161.7383
1090.000000 93.281 -161.6512
1106.000000 93.375 -161.5876
1120.000000 93.451 -161.5545
1138.000000 93.542 -161.5333
1150.000000 93.600 -161.5262
1172.000000 93.698 -161.5315
1180.000000 93.732 -161.5407
1206.000000 93.835 -161.5919
1220.000000 93.886 -161.6283
1241.000000 93.956 -161.6891
1250.000000 93.984 -161.7174
1265.000000 94.028 -161.7688
1280.000000 94.069 -161.8218
1315.000000 94.149 -161.9316
1320.000000 94.158 -161.9449
1340.000000 94.194 -161.9897
1360.000000 94.225 -162.0151
1380.000000 94.251 -162.0130
1400.000000 94.273 -161.9796
1430.000000 94.303 -161.8666
1450.000000 94.323 -161.7519
1475.000000 94.347 -161.5660
1500.000000 94.373 -161.3376
1525.000000 94.401 -161.0751
1550.000000 94.433 -160.7834
1575.000000 94.470 -160.4713
1600.000000 94.510 -160.1459
1625.000000 94.554 -159.8125
1650.000000 94.602 -159.4766
1675.000000 94.654 -159.1406
1700.000000 94.709 -158.8039
1725.000000 94.767 -158.4670
1750.000000 94.827 -158.1355
1775.000000 94.890 -157.8093
1800.000000 94.956 -157.4861
1825.000000 95.024 -157.1671
1850.000000 95.095 -156.8562
1875.000000 95.168 -156.5539
1900.000000 95.244 -156.2581
1925.000000 95.322 -155.9690
1950.000000 95.402 -155.6913
1975.000000 95.485 -155.4282
2000.000000 95.570 -155.1763
2030.000000 95.675 -154.8856
2060.000000 95.783 -154.6136
2090.000000 95.893 -154.3630
2120.000000 96.006 -154.1322
2140.000000 96.082 -153.9891
2180.000000 96.239 -153.7358
2200.000000 96.319 -153.6271
2240.000000 96.482 -153.4434
2270.000000 96.607 -153.3366
2300.000000 96.735 -153.2594
2330.000000 96.864 -153.2149
2360.000000 96.995 -153.2021
2400.000000 97.170 -153.2355
2430.000000 97.302 -153.3011
2470.000000 97.479 -153.4473
2500.000000 97.612 -153.6015
2540.000000 97.789 -153.8640
2580.000000 97.965 -154.1953
2620.000000 98.139 -154.5978
2650.000000 98.268 -154.9456
2690.000000 98.437 -155.4712
2720.000000 98.561 -155.9114
2760.000000 98.721 -156.5592
2800.000000 98.875 -157.2739
2850.000000 99.057 -158.2563
2900.000000 99.225 -159.3318
2950.000000 99.379 -160.4845
3000.000000 99.521 -161.7053
3040.000000 99.626 -162.7449
3070.000000 99.697 -163.5371
3110.000000 99.776 -164.5964
3150.000000 99.841 -165.6770
3200.000000 99.906 -167.0413
3250.000000 99.952 -168.4032
3300.000000 99.981 -169.7462
3350.000000 99.993 -171.0564
3400.000000 99.990 -172.3234
3450.000000 99.973 -173.5382
3500.000000 99.945 -174.6947
3550.000000 99.908 -175.7887
3600.000000 99.862 -176.8176
3650.000000 99.811 -177.7824
3700.000000 99.755 -178.6854
3750.000000 99.696 -179.5284
3820.000000 99.610 179.3800
3870.000000 99.547 178.6504
3950.000000 99.439 177.5777
4000.000000 99.373 176.9435
4060.000000 99.300 176.1930
4120.000000 99.232 175.4586
4180.000000 99.165 174.7267
4250.000000 99.087 173.8636
4310.000000 99.019 173.1061
4370.000000 98.949 172.3301
4440.000000 98.862 171.4029
4500.000000 98.782 170.5918
4550.000000 98.712 169.9023
4620.000000 98.608 168.9073
4680.000000 98.511 168.0229
4750.000000 98.384 166.9580
4820.000000 98.239 165.8721
4870.000000 98.123 165.0994
4940.000000 97.942 164.0485
5000.000000 97.768 163.2001
5080.000000 97.513 162.1774
5150.000000 97.270 161.4114
5220.000000 97.011 160.7876
5300.000000 96.698 160.2704
5380.000000 96.371 159.9830
5450.000000 96.076 159.9382
5520.000000 95.778 160.1050
5600.000000 95.438 160.5742
5700.000000 95.030 161.5650
5800.000000 94.649 162.9199
5900.000000 94.290 164.6297
6000.000000 93.955 166.7823
6080.000000 93.712 168.9101
6150.000000 93.530 171.1520
