* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.5 dBFS with no timing reference
* Dated: Dec 20, 2023 9:45:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Intime Sora Light R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 105.547 178.6702
20.299999 105.530 178.1309
20.600000 105.512 177.5984
20.900000 105.492 177.0750
21.200001 105.472 176.5630
21.400000 105.458 176.2288
21.799999 105.429 175.5779
22.000000 105.414 175.2606
22.400000 105.385 174.6389
22.700001 105.364 174.1812
23.000000 105.342 173.7291
23.299999 105.320 173.2814
23.600000 105.298 172.8379
24.000000 105.267 172.2534
24.299999 105.242 171.8218
24.700001 105.208 171.2592
25.000000 105.182 170.8496
25.400000 105.148 170.3204
25.799999 105.115 169.8057
26.200001 105.083 169.2953
26.500000 105.059 168.9108
26.900000 105.027 168.3961
27.200001 105.002 168.0135
27.600000 104.966 167.5164
28.000000 104.930 167.0391
28.500000 104.887 166.4643
29.000000 104.845 165.9016
29.500000 104.801 165.3509
30.000000 104.757 164.8195
30.400000 104.723 164.4049
30.700001 104.696 164.0952
31.100000 104.660 163.6829
31.500000 104.619 163.2809
32.000000 104.566 162.8156
32.500000 104.514 162.3896
33.000000 104.467 161.9576
33.500000 104.416 161.4884
34.000000 104.352 161.0308
34.500000 104.281 160.6744
35.000000 104.221 160.4320
35.500000 104.186 160.1901
36.000000 104.167 159.8144
36.500000 104.140 159.2888
37.000000 104.093 158.7180
37.500000 104.034 158.2104
38.200001 103.955 157.6198
38.700001 103.906 157.2144
39.500000 103.827 156.5668
40.000000 103.777 156.1979
40.599998 103.722 155.7874
41.200001 103.669 155.3792
41.799999 103.615 154.9734
42.500000 103.550 154.5290
43.099998 103.493 154.1703
43.700001 103.437 153.8193
44.400002 103.368 153.4183
45.000000 103.309 153.0855
45.500000 103.259 152.8151
46.200001 103.189 152.4448
46.799999 103.129 152.1337
47.500000 103.062 151.7739
48.200001 102.995 151.4138
48.700001 102.947 151.1593
49.400002 102.880 150.8146
50.000000 102.823 150.5317
50.799999 102.748 150.1656
51.500000 102.681 149.8577
52.200001 102.613 149.5713
53.000000 102.538 149.2616
53.799999 102.464 148.9492
54.500000 102.398 148.6749
55.200001 102.331 148.4096
56.000000 102.256 148.1183
57.000000 102.163 147.7664
58.000000 102.071 147.4281
59.000000 101.981 147.1138
60.000000 101.892 146.8173
60.799999 101.821 146.5884
61.500000 101.757 146.4079
62.200001 101.694 146.2490
63.000000 101.624 146.0794
64.000000 101.540 145.8791
65.000000 101.460 145.6963
66.000000 101.389 145.4900
67.000000 101.319 145.2362
68.000000 101.246 144.9545
69.000000 101.169 144.6767
70.000000 101.091 144.4224
71.000000 101.013 144.1859
72.000000 100.934 143.9647
73.000000 100.855 143.7635
74.000000 100.777 143.5868
75.000000 100.700 143.4258
76.199997 100.608 143.2330
77.500000 100.506 143.0471
78.800003 100.406 142.8971
80.000000 100.319 142.7542
81.199997 100.233 142.5964
82.500000 100.138 142.4184
83.800003 100.044 142.2630
85.000000 99.959 142.1370
86.199997 99.874 142.0146
87.500000 99.782 141.9005
88.500000 99.712 141.8280
90.000000 99.610 141.7314
91.199997 99.530 141.6483
92.500000 99.443 141.5649
93.800003 99.357 141.4887
95.000000 99.278 141.4276
96.199997 99.200 141.3802
97.500000 99.117 141.3361
98.800003 99.034 141.2971
100.000000 98.958 141.2685
101.500000 98.864 141.2382
103.000000 98.770 141.2191
104.400002 98.684 141.2098
106.000000 98.588 141.2059
107.500000 98.499 141.2164
109.000000 98.415 141.2569
110.599998 98.334 141.3285
112.000000 98.270 141.3948
113.800003 98.195 141.4498
115.000000 98.143 141.4537
117.199997 98.036 141.4233
118.000000 97.994 141.4125
120.599998 97.863 141.4124
122.000000 97.797 141.3966
124.099998 97.696 141.3957
125.000000 97.652 141.4149
126.500000 97.580 141.4677
128.000000 97.508 141.5255
131.500000 97.346 141.6232
132.000000 97.323 141.6393
134.000000 97.234 141.7173
136.000000 97.147 141.8127
138.000000 97.060 141.9174
140.000000 96.976 142.0190
143.000000 96.852 142.1658
145.000000 96.771 142.2750
147.500000 96.672 142.4154
150.000000 96.576 142.5573
152.500000 96.481 142.6972
155.000000 96.388 142.8559
157.500000 96.297 143.0248
160.000000 96.206 143.2018
162.500000 96.117 143.3875
165.000000 96.033 143.5635
167.500000 95.950 143.7355
170.000000 95.867 143.9232
172.500000 95.786 144.1140
175.000000 95.708 144.3023
177.500000 95.629 144.4998
180.000000 95.553 144.7119
182.500000 95.478 144.9232
185.000000 95.406 145.1284
187.500000 95.335 145.3339
190.000000 95.265 145.5404
192.500000 95.197 145.7506
195.000000 95.129 145.9684
197.500000 95.064 146.1903
200.000000 94.999 146.4143
203.000000 94.923 146.6812
206.000000 94.849 146.9442
209.000000 94.778 147.2047
212.000000 94.708 147.4671
214.000000 94.662 147.6443
218.000000 94.572 148.0002
220.000000 94.528 148.1781
224.000000 94.443 148.5323
227.000000 94.378 148.8091
230.000000 94.316 149.0878
233.000000 94.255 149.3583
236.000000 94.196 149.6238
240.000000 94.119 149.9813
243.000000 94.062 150.2601
247.000000 93.989 150.6343
250.000000 93.936 150.9094
254.000000 93.867 151.2751
258.000000 93.800 151.6399
262.000000 93.735 152.0059
265.000000 93.687 152.2798
269.000000 93.624 152.6414
272.000000 93.578 152.9115
276.000000 93.519 153.2757
280.000000 93.460 153.6341
285.000000 93.391 154.0768
290.000000 93.323 154.5208
295.000000 93.256 154.9724
300.000000 93.191 155.4316
304.000000 93.140 155.7866
307.000000 93.104 156.0496
311.000000 93.057 156.4019
315.000000 93.012 156.7513
320.000000 92.956 157.1971
325.000000 92.902 157.6485
330.000000 92.846 158.0915
335.000000 92.792 158.5401
340.000000 92.740 159.0026
345.000000 92.691 159.4631
350.000000 92.643 159.9509
355.000000 92.597 160.4416
360.000000 92.558 160.9257
365.000000 92.533 161.4415
370.000000 92.512 161.9261
375.000000 92.490 162.3677
382.000000 92.462 162.9375
387.000000 92.446 163.3288
395.000000 92.420 163.8566
400.000000 92.397 164.1443
406.000000 92.364 164.4951
412.000000 92.328 164.8744
418.000000 92.292 165.2815
425.000000 92.250 165.7857
431.000000 92.215 166.2277
437.000000 92.183 166.6734
444.000000 92.152 167.2003
450.000000 92.129 167.6524
455.000000 92.112 168.0277
462.000000 92.090 168.5461
468.000000 92.073 168.9730
475.000000 92.056 169.4544
482.000000 92.041 169.9186
487.000000 92.031 170.2458
494.000000 92.017 170.6832
500.000000 92.004 171.0472
508.000000 91.987 171.5268
515.000000 91.971 171.9387
522.000000 91.955 172.3489
530.000000 91.938 172.8215
538.000000 91.921 173.2970
545.000000 91.908 173.7108
552.000000 91.894 174.1216
560.000000 91.880 174.5932
570.000000 91.864 175.1826
580.000000 91.850 175.7745
590.000000 91.838 176.3624
600.000000 91.828 176.9478
608.000000 91.822 177.4101
615.000000 91.817 177.8136
622.000000 91.812 178.2164
630.000000 91.808 178.6726
640.000000 91.805 179.2392
650.000000 91.804 179.8019
660.000000 91.804 -179.6393
670.000000 91.806 -179.0818
680.000000 91.810 -178.5305
690.000000 91.815 -177.9822
700.000000 91.821 -177.4388
710.000000 91.829 -176.9019
720.000000 91.839 -176.3655
730.000000 91.850 -175.8388
740.000000 91.862 -175.3202
750.000000 91.875 -174.8069
762.000000 91.893 -174.1987
775.000000 91.911 -173.5537
788.000000 91.928 -172.9208
800.000000 91.941 -172.3315
812.000000 91.949 -171.6976
825.000000 91.958 -170.9011
838.000000 91.986 -169.9855
850.000000 92.040 -169.1495
862.000000 92.111 -168.4416
875.000000 92.187 -167.8203
885.000000 92.241 -167.3954
900.000000 92.315 -166.7762
912.000000 92.371 -166.2812
925.000000 92.430 -165.7382
938.000000 92.490 -165.1745
950.000000 92.550 -164.6333
962.000000 92.616 -164.0779
975.000000 92.698 -163.4806
988.000000 92.792 -162.9210
1000.000000 92.889 -162.4654
1015.000000 93.016 -162.0073
1030.000000 93.143 -161.6830
1044.000000 93.256 -161.4772
1060.000000 93.376 -161.3139
1075.000000 93.480 -161.2062
1090.000000 93.577 -161.1314
1106.000000 93.673 -161.0775
1120.000000 93.753 -161.0438
1138.000000 93.850 -161.0145
1150.000000 93.910 -161.0070
1172.000000 94.015 -161.0138
1180.000000 94.051 -161.0195
1206.000000 94.161 -161.0484
1220.000000 94.217 -161.0703
1241.000000 94.296 -161.1073
1250.000000 94.328 -161.1221
1265.000000 94.379 -161.1471
1280.000000 94.427 -161.1745
1315.000000 94.531 -161.2319
1320.000000 94.545 -161.2380
1340.000000 94.599 -161.2569
1360.000000 94.651 -161.2707
1380.000000 94.699 -161.2769
1400.000000 94.746 -161.2721
1430.000000 94.813 -161.2445
1450.000000 94.856 -161.2181
1475.000000 94.908 -161.1732
1500.000000 94.959 -161.1095
1525.000000 95.010 -161.0348
1550.000000 95.059 -160.9516
1575.000000 95.108 -160.8525
1600.000000 95.158 -160.7423
1625.000000 95.209 -160.6280
1650.000000 95.259 -160.5043
1675.000000 95.311 -160.3693
1700.000000 95.363 -160.2299
1725.000000 95.417 -160.0889
1750.000000 95.472 -159.9433
1775.000000 95.527 -159.7924
1800.000000 95.584 -159.6409
1825.000000 95.643 -159.4902
1850.000000 95.703 -159.3388
1875.000000 95.764 -159.1863
1900.000000 95.827 -159.0374
1925.000000 95.892 -158.8931
1950.000000 95.958 -158.7512
1975.000000 96.026 -158.6125
2000.000000 96.095 -158.4803
2030.000000 96.180 -158.3327
2060.000000 96.267 -158.1954
2090.000000 96.355 -158.0679
2120.000000 96.446 -157.9527
2140.000000 96.507 -157.8851
2180.000000 96.632 -157.7718
2200.000000 96.696 -157.7231
2240.000000 96.825 -157.6472
2270.000000 96.924 -157.6148
2300.000000 97.024 -157.6025
2330.000000 97.126 -157.6089
2360.000000 97.228 -157.6356
2400.000000 97.365 -157.7089
2430.000000 97.469 -157.7950
2470.000000 97.608 -157.9458
2500.000000 97.713 -158.0870
2540.000000 97.851 -158.3177
2580.000000 97.990 -158.5957
2620.000000 98.126 -158.9177
2650.000000 98.228 -159.1902
2690.000000 98.361 -159.5968
2720.000000 98.459 -159.9332
2760.000000 98.587 -160.4215
2800.000000 98.711 -160.9539
2850.000000 98.860 -161.6817
2900.000000 99.002 -162.4764
2950.000000 99.134 -163.3255
3000.000000 99.256 -164.2269
3040.000000 99.347 -164.9828
3070.000000 99.411 -165.5647
3110.000000 99.492 -166.3521
3150.000000 99.570 -167.1705
3200.000000 99.660 -168.2270
3250.000000 99.733 -169.2701
3300.000000 99.791 -170.3228
3350.000000 99.839 -171.3814
3400.000000 99.877 -172.4359
3450.000000 99.906 -173.4799
3500.000000 99.927 -174.5084
3550.000000 99.940 -175.5201
3600.000000 99.947 -176.5146
3650.000000 99.949 -177.4904
3700.000000 99.945 -178.4471
3750.000000 99.937 -179.3882
3820.000000 99.920 179.3131
3870.000000 99.904 178.3961
3950.000000 99.873 176.9349
4000.000000 99.850 176.0144
4060.000000 99.819 174.8956
4120.000000 99.783 173.7542
4180.000000 99.741 172.5823
4250.000000 99.683 171.1682
4310.000000 99.623 169.9141
4370.000000 99.549 168.6257
4440.000000 99.446 167.0870
4500.000000 99.342 165.7334
4550.000000 99.239 164.6155
4620.000000 99.071 163.0846
4680.000000 98.911 161.7856
4750.000000 98.708 160.3105
4820.000000 98.483 158.9015
4870.000000 98.307 157.9467
4940.000000 98.040 156.7029
5000.000000 97.794 155.7437
5080.000000 97.441 154.6541
5150.000000 97.114 153.9000
5220.000000 96.774 153.3418
5300.000000 96.371 152.9554
5380.000000 95.954 152.8605
5450.000000 95.578 153.0747
5520.000000 95.199 153.6834
5600.000000 94.808 154.9540
5700.000000 94.454 156.7655
5800.000000 94.144 158.0785
5900.000000 93.792 159.5037
6000.000000 93.442 161.4064
6080.000000 93.185 163.2452
6150.000000 92.984 165.0516
