* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Dec 30, 2023 11:47:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: KZ Ling Long L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 104.702 159.3775
20.600000 104.649 158.8810
20.900000 104.582 158.3289
21.200001 104.514 157.7766
21.400000 104.469 157.4095
21.799999 104.381 156.6780
22.000000 104.339 156.3163
22.400000 104.255 155.6111
22.700001 104.193 155.1050
23.000000 104.131 154.6212
23.299999 104.069 154.1578
23.600000 104.006 153.7098
24.000000 103.922 153.1267
24.299999 103.858 152.6954
24.700001 103.772 152.1273
25.000000 103.707 151.7087
25.400000 103.622 151.1649
25.799999 103.539 150.6403
26.200001 103.459 150.1347
26.500000 103.399 149.7668
26.900000 103.320 149.2910
27.200001 103.259 148.9453
27.600000 103.178 148.4996
28.000000 103.097 148.0707
28.500000 102.996 147.5538
29.000000 102.896 147.0525
29.500000 102.799 146.5643
30.000000 102.703 146.0918
30.400000 102.626 145.7275
30.700001 102.568 145.4627
31.100000 102.491 145.1197
31.500000 102.415 144.7859
32.000000 102.321 144.3777
32.500000 102.228 143.9787
33.000000 102.136 143.5919
33.500000 102.046 143.2228
34.000000 101.955 142.8744
34.500000 101.866 142.5450
35.000000 101.777 142.2294
35.500000 101.690 141.9223
36.000000 101.604 141.6211
36.500000 101.518 141.3268
37.000000 101.433 141.0423
37.500000 101.347 140.7696
38.200001 101.229 140.4063
38.700001 101.146 140.1585
39.500000 101.015 139.7840
40.000000 100.936 139.5644
40.599998 100.842 139.3112
41.200001 100.747 139.0659
41.799999 100.654 138.8274
42.500000 100.547 138.5536
43.099998 100.459 138.3235
43.700001 100.370 138.1110
44.400002 100.266 137.8893
45.000000 100.176 137.6980
45.500000 100.102 137.5291
46.200001 99.999 137.3060
46.799999 99.917 137.1445
47.500000 99.824 136.9821
48.200001 99.716 136.8917
48.700001 99.632 136.9081
49.400002 99.526 136.9621
50.000000 99.453 136.8697
50.799999 99.360 136.4968
51.500000 99.269 136.1744
52.200001 99.182 136.0061
53.000000 99.087 135.9061
53.799999 98.986 135.8033
54.500000 98.895 135.7080
55.200001 98.808 135.6055
56.000000 98.713 135.4948
57.000000 98.594 135.3935
58.000000 98.476 135.2936
59.000000 98.362 135.1793
60.000000 98.251 135.0793
60.799999 98.163 135.0226
61.500000 98.088 134.9789
62.200001 98.014 134.9317
63.000000 97.931 134.8802
64.000000 97.828 134.8364
65.000000 97.726 134.8094
66.000000 97.625 134.7867
67.000000 97.525 134.7665
68.000000 97.427 134.7469
69.000000 97.331 134.7298
70.000000 97.238 134.7214
71.000000 97.146 134.7297
72.000000 97.055 134.7483
73.000000 96.965 134.7614
74.000000 96.876 134.7704
75.000000 96.789 134.7874
76.199997 96.687 134.8254
77.500000 96.577 134.8748
78.800003 96.469 134.9225
80.000000 96.373 134.9704
81.199997 96.278 135.0263
82.500000 96.177 135.0921
83.800003 96.077 135.1682
85.000000 95.987 135.2445
86.199997 95.898 135.3166
87.500000 95.804 135.4011
88.500000 95.732 135.4674
90.000000 95.626 135.5619
91.199997 95.544 135.6546
92.500000 95.456 135.7608
93.800003 95.371 135.8676
95.000000 95.293 135.9693
96.199997 95.215 136.0718
97.500000 95.133 136.1781
98.800003 95.056 136.2887
100.000000 94.985 136.3923
101.500000 94.891 136.5464
103.000000 94.802 136.7112
104.400002 94.722 136.8502
106.000000 94.632 137.0100
107.500000 94.550 137.1658
109.000000 94.466 137.3069
110.599998 94.379 137.4620
112.000000 94.305 137.6046
113.800003 94.212 137.7946
115.000000 94.152 137.9250
117.199997 94.043 138.1697
118.000000 94.005 138.2560
120.599998 93.881 138.5323
122.000000 93.814 138.7026
124.099998 93.717 138.9523
125.000000 93.676 139.0514
126.500000 93.607 139.2159
128.000000 93.537 139.3874
131.500000 93.391 139.7828
132.000000 93.372 139.8381
134.000000 93.292 140.0611
136.000000 93.213 140.2920
138.000000 93.138 140.5277
140.000000 93.066 140.7451
143.000000 92.949 141.1128
145.000000 92.872 141.3599
147.500000 92.783 141.7008
150.000000 92.695 142.0141
152.500000 92.610 142.2585
155.000000 92.528 142.5273
157.500000 92.445 142.7938
160.000000 92.368 143.0884
162.500000 92.296 143.3881
165.000000 92.222 143.7022
167.500000 92.147 144.0144
170.000000 92.073 144.3135
172.500000 92.000 144.5826
175.000000 91.929 144.8469
177.500000 91.863 145.1099
180.000000 91.801 145.4192
182.500000 91.740 145.7419
185.000000 91.678 146.0349
187.500000 91.615 146.3017
190.000000 91.553 146.5833
192.500000 91.490 146.8783
195.000000 91.429 147.1504
197.500000 91.373 147.4075
200.000000 91.318 147.6802
203.000000 91.253 148.0117
206.000000 91.188 148.3529
209.000000 91.126 148.6868
212.000000 91.070 148.9878
214.000000 91.033 149.2051
218.000000 90.956 149.6552
220.000000 90.918 149.8703
224.000000 90.841 150.3046
227.000000 90.785 150.6237
230.000000 90.736 150.9357
233.000000 90.689 151.2507
236.000000 90.639 151.5605
240.000000 90.569 151.9895
243.000000 90.517 152.2849
247.000000 90.450 152.6792
250.000000 90.401 153.0167
254.000000 90.339 153.4354
258.000000 90.276 153.8617
262.000000 90.219 154.3107
265.000000 90.177 154.5911
269.000000 90.123 154.9335
272.000000 90.087 155.2271
276.000000 90.034 155.6186
280.000000 89.983 156.0132
285.000000 89.929 156.5526
290.000000 89.874 157.1207
295.000000 89.812 157.5617
300.000000 89.759 158.0634
304.000000 89.719 158.4282
307.000000 89.686 158.7032
311.000000 89.637 159.0607
315.000000 89.603 159.3860
320.000000 89.557 159.8033
325.000000 89.490 160.3442
330.000000 89.440 160.9151
335.000000 89.395 161.4783
340.000000 89.355 161.9819
345.000000 89.339 162.5064
350.000000 89.327 162.9548
355.000000 89.295 163.2667
360.000000 89.259 163.3862
365.000000 89.219 163.4040
370.000000 89.175 163.6944
375.000000 89.142 164.6540
382.000000 89.105 165.2890
387.000000 89.084 165.5832
395.000000 89.040 166.1900
400.000000 89.010 166.5696
406.000000 88.970 167.0389
412.000000 88.931 167.5329
418.000000 88.898 168.0597
425.000000 88.855 168.5585
431.000000 88.820 169.0060
437.000000 88.788 169.4817
444.000000 88.750 170.0414
450.000000 88.719 170.5220
455.000000 88.696 170.9232
462.000000 88.664 171.4691
468.000000 88.636 171.9318
475.000000 88.605 172.4683
482.000000 88.576 173.0106
487.000000 88.555 173.4059
494.000000 88.528 173.9608
500.000000 88.506 174.4369
508.000000 88.478 175.0760
515.000000 88.457 175.6475
522.000000 88.440 176.2153
530.000000 88.423 176.8448
538.000000 88.408 177.4600
545.000000 88.396 177.9890
552.000000 88.384 178.5082
560.000000 88.370 179.0894
570.000000 88.352 179.8131
580.000000 88.334 -179.4561
590.000000 88.318 -178.7142
600.000000 88.305 -177.9700
608.000000 88.294 -177.3720
615.000000 88.287 -176.8453
622.000000 88.280 -176.3171
630.000000 88.275 -175.7133
640.000000 88.270 -174.9604
650.000000 88.268 -174.2057
660.000000 88.267 -173.4512
670.000000 88.268 -172.6945
680.000000 88.273 -171.9365
690.000000 88.280 -171.1754
700.000000 88.288 -170.4115
710.000000 88.299 -169.6489
720.000000 88.312 -168.8885
730.000000 88.329 -168.1225
740.000000 88.348 -167.3565
750.000000 88.369 -166.5898
762.000000 88.397 -165.6651
775.000000 88.430 -164.6474
788.000000 88.466 -163.5935
800.000000 88.507 -162.5382
812.000000 88.576 -161.4029
825.000000 88.689 -160.3680
838.000000 88.789 -159.6469
850.000000 88.858 -158.9795
862.000000 88.927 -158.2350
875.000000 89.009 -157.3974
885.000000 89.079 -156.7557
900.000000 89.194 -155.8254
912.000000 89.295 -155.1277
925.000000 89.414 -154.4402
938.000000 89.541 -153.8625
950.000000 89.661 -153.4775
962.000000 89.769 -153.2774
975.000000 89.846 -153.2190
988.000000 89.867 -153.0489
1000.000000 89.867 -152.5025
1015.000000 89.912 -151.3975
1030.000000 90.024 -150.3069
1044.000000 90.156 -149.5124
1060.000000 90.308 -148.7919
1075.000000 90.449 -148.1841
1090.000000 90.594 -147.6272
1106.000000 90.752 -147.1177
1120.000000 90.891 -146.7531
1138.000000 91.064 -146.3782
1150.000000 91.175 -146.1676
1172.000000 91.372 -145.8434
1180.000000 91.441 -145.7443
1206.000000 91.660 -145.4737
1220.000000 91.774 -145.3583
1241.000000 91.939 -145.2209
1250.000000 92.008 -145.1747
1265.000000 92.122 -145.1154
1280.000000 92.233 -145.0782
1315.000000 92.475 -145.1490
1320.000000 92.506 -145.1776
1340.000000 92.609 -145.2874
1360.000000 92.691 -145.2450
1380.000000 92.782 -145.0141
1400.000000 92.893 -144.7526
1430.000000 93.074 -144.4695
1450.000000 93.195 -144.3284
1475.000000 93.345 -144.1755
1500.000000 93.494 -144.0386
1525.000000 93.642 -143.9141
1550.000000 93.790 -143.7993
1575.000000 93.939 -143.6934
1600.000000 94.088 -143.5985
1625.000000 94.240 -143.5179
1650.000000 94.393 -143.4537
1675.000000 94.547 -143.4089
1700.000000 94.703 -143.3906
1725.000000 94.859 -143.3991
1750.000000 95.014 -143.4200
1775.000000 95.171 -143.4418
1800.000000 95.331 -143.4788
1825.000000 95.494 -143.5453
1850.000000 95.661 -143.6482
1875.000000 95.828 -143.7865
1900.000000 95.996 -143.9612
1925.000000 96.166 -144.1736
1950.000000 96.336 -144.4230
1975.000000 96.506 -144.7123
2000.000000 96.676 -145.0423
2030.000000 96.880 -145.4933
2060.000000 97.083 -146.0070
2090.000000 97.284 -146.5850
2120.000000 97.482 -147.2289
2140.000000 97.612 -147.6937
2180.000000 97.865 -148.7085
2200.000000 97.988 -149.2556
2240.000000 98.226 -150.4199
2270.000000 98.397 -151.3510
2300.000000 98.562 -152.3285
2330.000000 98.721 -153.3521
2360.000000 98.874 -154.4194
2400.000000 99.069 -155.9127
2430.000000 99.210 -157.0949
2470.000000 99.390 -158.7668
2500.000000 99.520 -160.1248
2540.000000 99.672 -162.0512
2580.000000 99.790 -164.0509
2620.000000 99.872 -166.1221
2650.000000 99.911 -167.6903
2690.000000 99.934 -169.7631
2720.000000 99.932 -171.2839
2760.000000 99.906 -173.2469
2800.000000 99.855 -175.1202
2850.000000 99.764 -177.3175
2900.000000 99.646 -179.3452
2950.000000 99.508 178.7924
3000.000000 99.346 177.1100
3040.000000 99.206 175.8937
3070.000000 99.098 175.0353
3110.000000 98.954 173.9777
3150.000000 98.808 173.0265
3200.000000 98.621 171.9750
3250.000000 98.433 171.0662
3300.000000 98.247 170.2851
3350.000000 98.063 169.6210
3400.000000 97.883 169.0603
3450.000000 97.707 168.5903
3500.000000 97.535 168.2015
3550.000000 97.368 167.8847
3600.000000 97.206 167.6323
3650.000000 97.048 167.4370
3700.000000 96.894 167.2929
3750.000000 96.744 167.1956
3820.000000 96.538 167.1406
3870.000000 96.394 167.1653
3950.000000 96.174 167.3373
4000.000000 96.047 167.5133
4060.000000 95.906 167.7588
4120.000000 95.777 168.0161
4180.000000 95.655 168.2749
4250.000000 95.520 168.6073
4310.000000 95.416 168.9240
4370.000000 95.325 169.2184
4440.000000 95.226 169.4996
4500.000000 95.141 169.7048
4550.000000 95.069 169.8728
4620.000000 94.968 170.1453
4680.000000 94.886 170.4468
4750.000000 94.811 170.8571
4820.000000 94.766 171.1835
4870.000000 94.742 171.2751
4940.000000 94.695 171.2400
5000.000000 94.637 171.1667
5080.000000 94.545 171.1241
5150.000000 94.460 171.1401
5220.000000 94.374 171.1660
5300.000000 94.269 171.2285
5380.000000 94.161 171.3788
5450.000000 94.073 171.5766
5520.000000 93.994 171.7941
5600.000000 93.911 172.0156
5700.000000 93.801 172.2823
5800.000000 93.690 172.6760
5900.000000 93.600 173.1935
6000.000000 93.536 173.6721
6080.000000 93.490 174.0019
6150.000000 93.450 174.3075
6220.000000 93.413 174.6560
6300.000000 93.381 175.1102
