* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Dec 31, 2023 12:55:49 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: KZ Ling Long R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 104.078 169.0616
20.600000 104.043 168.5424
20.900000 103.997 167.9628
21.200001 103.950 167.3793
21.400000 103.919 166.9886
21.799999 103.860 166.2038
22.000000 103.831 165.8128
22.400000 103.774 165.0458
22.700001 103.731 164.4929
23.000000 103.687 163.9630
23.299999 103.644 163.4546
23.600000 103.600 162.9622
24.000000 103.541 162.3200
24.299999 103.495 161.8434
24.700001 103.433 161.2133
25.000000 103.386 160.7476
25.400000 103.323 160.1412
25.799999 103.261 159.5551
26.200001 103.200 158.9892
26.500000 103.155 158.5762
26.900000 103.095 158.0383
27.200001 103.049 157.6432
27.600000 102.987 157.1266
28.000000 102.924 156.6216
28.500000 102.844 156.0064
29.000000 102.765 155.4103
29.500000 102.688 154.8335
30.000000 102.612 154.2742
30.400000 102.552 153.8376
30.700001 102.506 153.5163
31.100000 102.445 153.0969
31.500000 102.383 152.6896
32.000000 102.306 152.1978
32.500000 102.230 151.7216
33.000000 102.155 151.2565
33.500000 102.080 150.8018
34.000000 102.005 150.3608
34.500000 101.930 149.9361
35.000000 101.855 149.5272
35.500000 101.781 149.1318
36.000000 101.708 148.7482
36.500000 101.636 148.3749
37.000000 101.563 148.0101
37.500000 101.491 147.6530
38.200001 101.390 147.1646
38.700001 101.320 146.8237
39.500000 101.208 146.3012
40.000000 101.137 145.9946
40.599998 101.052 145.6416
41.200001 100.967 145.2950
41.799999 100.883 144.9568
42.500000 100.792 144.5797
43.099998 100.716 144.2719
43.700001 100.636 143.9888
44.400002 100.538 143.6861
45.000000 100.458 143.3935
45.500000 100.394 143.1057
46.200001 100.305 142.7351
46.799999 100.235 142.5314
47.500000 100.150 142.3329
48.200001 100.022 142.0829
48.700001 99.897 141.9716
49.400002 99.740 141.9932
50.000000 99.677 141.9330
50.799999 99.662 141.3946
51.500000 99.626 140.8221
52.200001 99.556 140.5575
53.000000 99.468 140.4649
53.799999 99.370 140.2680
54.500000 99.282 140.0445
55.200001 99.205 139.8465
56.000000 99.123 139.6555
57.000000 99.009 139.4585
58.000000 98.894 139.2427
59.000000 98.785 139.0060
60.000000 98.680 138.8004
60.799999 98.595 138.6506
61.500000 98.521 138.5187
62.200001 98.449 138.3897
63.000000 98.368 138.2565
64.000000 98.270 138.1085
65.000000 98.174 137.9741
66.000000 98.079 137.8523
67.000000 97.983 137.7379
68.000000 97.886 137.6263
69.000000 97.792 137.5229
70.000000 97.700 137.4275
71.000000 97.609 137.3300
72.000000 97.519 137.2464
73.000000 97.432 137.1836
74.000000 97.344 137.1200
75.000000 97.257 137.0507
76.199997 97.156 136.9782
77.500000 97.049 136.9305
78.800003 96.941 136.8942
80.000000 96.845 136.8410
81.199997 96.751 136.8030
82.500000 96.650 136.7819
83.800003 96.549 136.7510
85.000000 96.458 136.7296
86.199997 96.369 136.7294
87.500000 96.274 136.7386
88.500000 96.202 136.7459
90.000000 96.096 136.7599
91.199997 96.013 136.7755
92.500000 95.924 136.7970
93.800003 95.837 136.8219
95.000000 95.758 136.8535
96.199997 95.680 136.8894
97.500000 95.595 136.9325
98.800003 95.510 136.9919
100.000000 95.435 137.0428
101.500000 95.343 137.0875
103.000000 95.252 137.1456
104.400002 95.169 137.2149
106.000000 95.075 137.2980
107.500000 94.989 137.3767
109.000000 94.904 137.4665
110.599998 94.815 137.5650
112.000000 94.739 137.6559
113.800003 94.643 137.7731
115.000000 94.579 137.8493
117.199997 94.466 137.9894
118.000000 94.426 138.0413
120.599998 94.297 138.2184
122.000000 94.226 138.3332
124.099998 94.123 138.5026
125.000000 94.080 138.5726
126.500000 94.009 138.6711
128.000000 93.940 138.7505
131.500000 93.784 139.0843
132.000000 93.763 139.1323
134.000000 93.676 139.3092
136.000000 93.592 139.4838
138.000000 93.512 139.6387
140.000000 93.437 139.7831
143.000000 93.315 140.0831
145.000000 93.233 140.2824
147.500000 93.128 140.5653
150.000000 93.032 140.8243
152.500000 92.951 141.0044
155.000000 92.863 141.2295
157.500000 92.773 141.4673
160.000000 92.685 141.7010
162.500000 92.602 141.9437
165.000000 92.519 142.1779
167.500000 92.432 142.4124
170.000000 92.352 142.6760
172.500000 92.288 142.9070
175.000000 92.218 143.1546
177.500000 92.148 143.4100
180.000000 92.075 143.6385
182.500000 92.001 143.8805
185.000000 91.932 144.1256
187.500000 91.867 144.3820
190.000000 91.802 144.6424
192.500000 91.735 144.8818
195.000000 91.667 145.1175
197.500000 91.600 145.3724
200.000000 91.538 145.6190
203.000000 91.471 145.8956
206.000000 91.404 146.1824
209.000000 91.334 146.4786
212.000000 91.265 146.7780
214.000000 91.220 146.9769
218.000000 91.133 147.3681
220.000000 91.086 147.5578
224.000000 90.993 147.9387
227.000000 90.936 148.2334
230.000000 90.882 148.5464
233.000000 90.826 148.8542
236.000000 90.766 149.1385
240.000000 90.690 149.5189
243.000000 90.637 149.8042
247.000000 90.565 150.1585
250.000000 90.517 150.4833
254.000000 90.454 150.9646
258.000000 90.382 151.3875
262.000000 90.315 151.8476
265.000000 90.269 152.2059
269.000000 90.212 152.6420
272.000000 90.178 152.9408
276.000000 90.132 153.2535
280.000000 90.088 153.5627
285.000000 90.036 154.0536
290.000000 89.977 154.4903
295.000000 89.920 154.9780
300.000000 89.864 155.3986
304.000000 89.822 155.6944
307.000000 89.788 155.9184
311.000000 89.744 156.2090
315.000000 89.706 156.5319
320.000000 89.653 156.9584
325.000000 89.587 157.3470
330.000000 89.528 157.7329
335.000000 89.468 158.1401
340.000000 89.412 158.5977
345.000000 89.366 159.0311
350.000000 89.321 159.4763
355.000000 89.278 159.9074
360.000000 89.242 160.2963
365.000000 89.225 160.7726
370.000000 89.201 161.2066
375.000000 89.153 161.4907
382.000000 89.086 162.0331
387.000000 89.044 162.4681
395.000000 88.975 163.0051
400.000000 88.934 163.3401
406.000000 88.890 163.7630
412.000000 88.845 164.2020
418.000000 88.803 164.6547
425.000000 88.756 165.2055
431.000000 88.718 165.6703
437.000000 88.680 166.1313
444.000000 88.636 166.6701
450.000000 88.601 167.1237
455.000000 88.573 167.5058
462.000000 88.535 168.0364
468.000000 88.504 168.4732
475.000000 88.468 169.0010
482.000000 88.434 169.5095
487.000000 88.410 169.8749
494.000000 88.377 170.4151
500.000000 88.350 170.8843
508.000000 88.318 171.4888
515.000000 88.292 171.9951
522.000000 88.266 172.5126
530.000000 88.237 173.1133
538.000000 88.208 173.6884
545.000000 88.182 174.1585
552.000000 88.154 174.6313
560.000000 88.121 175.2281
570.000000 88.089 176.0271
580.000000 88.065 176.8062
590.000000 88.044 177.5613
600.000000 88.025 178.3052
608.000000 88.011 178.9072
615.000000 87.999 179.4319
622.000000 87.988 179.9576
630.000000 87.978 -179.4415
640.000000 87.967 -178.6873
650.000000 87.960 -177.9324
660.000000 87.956 -177.1805
670.000000 87.955 -176.4411
680.000000 87.958 -175.7027
690.000000 87.964 -174.9644
700.000000 87.974 -174.2429
710.000000 87.988 -173.5422
720.000000 88.007 -172.8816
730.000000 88.027 -172.2851
740.000000 88.039 -171.7505
750.000000 88.038 -171.2191
762.000000 88.026 -170.5380
775.000000 87.995 -169.7229
788.000000 87.958 -168.6247
800.000000 87.954 -167.3886
812.000000 87.989 -166.1776
825.000000 88.048 -164.9897
838.000000 88.115 -163.9171
850.000000 88.179 -162.9815
862.000000 88.245 -162.0712
875.000000 88.320 -161.1163
885.000000 88.380 -160.3926
900.000000 88.473 -159.3050
912.000000 88.557 -158.4037
925.000000 88.667 -157.4352
938.000000 88.797 -156.6202
950.000000 88.914 -156.0415
962.000000 89.017 -155.5323
975.000000 89.120 -154.9759
988.000000 89.221 -154.4022
1000.000000 89.314 -153.8571
1015.000000 89.438 -153.1606
1030.000000 89.573 -152.5131
1044.000000 89.704 -151.9986
1060.000000 89.851 -151.4975
1075.000000 89.986 -151.0756
1090.000000 90.118 -150.6878
1106.000000 90.259 -150.3183
1120.000000 90.381 -150.0389
1138.000000 90.535 -149.7419
1150.000000 90.635 -149.5732
1172.000000 90.811 -149.3156
1180.000000 90.874 -149.2391
1206.000000 91.065 -149.0393
1220.000000 91.161 -148.9419
1241.000000 91.302 -148.7951
1250.000000 91.361 -148.7393
1265.000000 91.458 -148.6582
1280.000000 91.553 -148.5853
1315.000000 91.764 -148.4335
1320.000000 91.793 -148.4131
1340.000000 91.906 -148.3344
1360.000000 92.017 -148.2580
1380.000000 92.124 -148.1802
1400.000000 92.230 -148.1005
1430.000000 92.386 -147.9765
1450.000000 92.488 -147.8894
1475.000000 92.616 -147.7783
1500.000000 92.744 -147.6721
1525.000000 92.871 -147.5816
1550.000000 92.994 -147.4995
1575.000000 93.116 -147.3893
1600.000000 93.242 -147.2614
1625.000000 93.372 -147.1511
1650.000000 93.503 -147.0595
1675.000000 93.635 -146.9834
1700.000000 93.769 -146.9188
1725.000000 93.903 -146.8644
1750.000000 94.040 -146.8235
1775.000000 94.179 -146.8027
1800.000000 94.319 -146.8065
1825.000000 94.461 -146.8341
1850.000000 94.604 -146.8892
1875.000000 94.746 -146.9722
1900.000000 94.889 -147.0815
1925.000000 95.031 -147.2099
1950.000000 95.173 -147.3527
1975.000000 95.317 -147.5191
2000.000000 95.460 -147.7126
2030.000000 95.632 -147.9792
2060.000000 95.804 -148.2775
2090.000000 95.975 -148.5996
2120.000000 96.147 -148.9418
2140.000000 96.263 -149.1794
2180.000000 96.502 -149.6934
2200.000000 96.627 -149.9836
2240.000000 96.887 -150.6824
2270.000000 97.086 -151.3519
2300.000000 97.282 -152.1584
2330.000000 97.468 -153.0942
2360.000000 97.641 -154.1364
2400.000000 97.849 -155.6528
2430.000000 97.987 -156.8598
2470.000000 98.146 -158.5273
2500.000000 98.247 -159.8046
2540.000000 98.361 -161.5225
2580.000000 98.453 -163.2497
2620.000000 98.524 -164.9835
2650.000000 98.563 -166.2818
2690.000000 98.596 -168.0000
2720.000000 98.607 -169.2712
2760.000000 98.604 -170.9365
2800.000000 98.583 -172.5547
2850.000000 98.531 -174.4965
2900.000000 98.454 -176.3349
2950.000000 98.355 -178.0595
3000.000000 98.236 -179.6564
3040.000000 98.129 179.1650
3070.000000 98.043 178.3390
3110.000000 97.922 177.3167
3150.000000 97.796 176.3777
3200.000000 97.632 175.3113
3250.000000 97.460 174.3609
3300.000000 97.281 173.5258
3350.000000 97.097 172.8078
3400.000000 96.907 172.2104
3450.000000 96.711 171.7535
3500.000000 96.514 171.4448
3550.000000 96.318 171.2964
3600.000000 96.128 171.3272
3650.000000 95.955 171.5251
3700.000000 95.807 171.8223
3750.000000 95.681 172.1350
3820.000000 95.528 172.5267
3870.000000 95.428 172.7746
3950.000000 95.275 173.1622
4000.000000 95.183 173.4158
4060.000000 95.078 173.7469
4120.000000 94.982 174.0858
4180.000000 94.893 174.4070
4250.000000 94.792 174.7680
4310.000000 94.707 175.0720
4370.000000 94.622 175.3884
4440.000000 94.523 175.8005
4500.000000 94.443 176.2236
4550.000000 94.388 176.6130
4620.000000 94.330 177.0913
4680.000000 94.279 177.4242
4750.000000 94.217 177.8350
4820.000000 94.161 178.2806
4870.000000 94.126 178.6029
4940.000000 94.084 179.0468
5000.000000 94.054 179.4160
5080.000000 94.021 179.8853
5150.000000 93.999 -179.7275
5220.000000 93.980 -179.3627
5300.000000 93.964 -178.9675
5380.000000 93.952 -178.5906
5450.000000 93.946 -178.2736
5520.000000 93.946 -177.9685
5600.000000 93.953 -177.6520
5700.000000 93.971 -177.3272
5800.000000 93.994 -177.0947
5900.000000 94.016 -176.9484
6000.000000 94.032 -176.8348
6080.000000 94.042 -176.7287
6150.000000 94.052 -176.6063
6220.000000 94.065 -176.4465
