* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 12, 2023 11:09:09 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kinera Freya Show L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	100.747	-170.3713
20.299999	100.743	-170.8094
20.600000	100.739	-171.2328
20.900000	100.736	-171.6464
21.200001	100.735	-172.0562
21.400000	100.735	-172.3299
21.799999	100.735	-172.8817
22.000000	100.734	-173.1603
22.400000	100.730	-173.7209
22.700001	100.725	-174.1386
23.000000	100.717	-174.5445
23.299999	100.706	-174.9292
23.600000	100.695	-175.2866
24.000000	100.681	-175.7196
24.299999	100.674	-176.0222
24.700001	100.671	-176.4220
25.000000	100.671	-176.7389
25.400000	100.672	-177.1980
25.799999	100.667	-177.6871
26.200001	100.654	-178.1691
26.500000	100.639	-178.5007
26.900000	100.618	-178.8854
27.200001	100.605	-179.1346
27.600000	100.595	-179.4395
28.000000	100.594	-179.7556
28.500000	100.598	179.7817
29.000000	100.596	179.2415
29.500000	100.581	178.6828
30.000000	100.555	178.1802
30.400000	100.533	177.8349
30.700001	100.518	177.5984
31.100000	100.501	177.2902
31.500000	100.484	176.9793
32.000000	100.461	176.6057
32.500000	100.436	176.2862
33.000000	100.419	176.0156
33.500000	100.412	175.7368
34.000000	100.410	175.4085
34.500000	100.404	175.0566
35.000000	100.399	174.7210
35.500000	100.400	174.3794
36.000000	100.406	173.9647
36.500000	100.403	173.4637
37.000000	100.384	172.9580
37.500000	100.353	172.5377
38.200001	100.318	172.0796
38.700001	100.302	171.7466
39.500000	100.267	171.1676
40.000000	100.239	170.8628
40.599998	100.212	170.5688
41.200001	100.199	170.2493
41.799999	100.184	169.8481
42.500000	100.153	169.3591
43.099998	100.119	169.0055
43.700001	100.091	168.6971
44.400002	100.067	168.3251
45.000000	100.047	167.9726
45.500000	100.027	167.6705
46.200001	99.996	167.2714
46.799999	99.970	166.9707
47.500000	99.947	166.6489
48.200001	99.929	166.3131
48.700001	99.916	166.0528
49.400002	99.893	165.6765
50.000000	99.866	165.3723
50.799999	99.827	165.0305
51.500000	99.797	164.7779
52.200001	99.773	164.5125
53.000000	99.744	164.1631
53.799999	99.710	163.7913
54.500000	99.678	163.4590
55.200001	99.642	163.1372
56.000000	99.602	162.8088
57.000000	99.560	162.4093
58.000000	99.522	162.0032
59.000000	99.487	161.5957
60.000000	99.449	161.1559
60.799999	99.413	160.8364
61.500000	99.382	160.5656
62.200001	99.349	160.2901
63.000000	99.306	160.0181
64.000000	99.262	159.7213
65.000000	99.223	159.3744
66.000000	99.181	159.0401
67.000000	99.143	158.6980
68.000000	99.099	158.3341
69.000000	99.052	158.0323
70.000000	99.011	157.7346
71.000000	98.965	157.4202
72.000000	98.919	157.1415
73.000000	98.878	156.8426
74.000000	98.834	156.5142
75.000000	98.787	156.2210
76.199997	98.740	155.8693
77.500000	98.683	155.4624
78.800003	98.622	155.1406
80.000000	98.572	154.8592
81.199997	98.519	154.5719
82.500000	98.461	154.3146
83.800003	98.412	154.0496
85.000000	98.365	153.7781
86.199997	98.317	153.5433
87.500000	98.271	153.3078
88.500000	98.238	153.0956
90.000000	98.181	152.7546
91.199997	98.134	152.4999
92.500000	98.086	152.2198
93.800003	98.037	151.9266
95.000000	97.990	151.6743
96.199997	97.940	151.4678
97.500000	97.886	151.2871
98.800003	97.833	151.1108
100.000000	97.781	150.9369
101.500000	97.713	150.7098
103.000000	97.648	150.4908
104.400002	97.594	150.3093
106.000000	97.542	150.1298
107.500000	97.497	149.9897
109.000000	97.452	149.8797
110.599998	97.403	149.7854
112.000000	97.363	149.7012
113.800003	97.321	149.5654
115.000000	97.299	149.4492
117.199997	97.267	149.1751
118.000000	97.255	149.0573
120.599998	97.212	148.6147
122.000000	97.183	148.3409
124.099998	97.133	147.9060
125.000000	97.109	147.7208
126.500000	97.065	147.4263
128.000000	97.018	147.1516
131.500000	96.902	146.5963
132.000000	96.885	146.5263
134.000000	96.820	146.2702
136.000000	96.760	146.0463
138.000000	96.706	145.8430
140.000000	96.658	145.6309
143.000000	96.594	145.2484
145.000000	96.551	144.9471
147.500000	96.492	144.5398
150.000000	96.423	144.1364
152.500000	96.343	143.7547
155.000000	96.258	143.3922
157.500000	96.172	143.0507
160.000000	96.089	142.7426
162.500000	96.007	142.4769
165.000000	95.923	142.2405
167.500000	95.840	142.0155
170.000000	95.760	141.7988
172.500000	95.681	141.5999
175.000000	95.604	141.4199
177.500000	95.526	141.2475
180.000000	95.450	141.0797
182.500000	95.374	140.9230
185.000000	95.300	140.7773
187.500000	95.226	140.6407
190.000000	95.151	140.5121
192.500000	95.078	140.3895
195.000000	95.006	140.2733
197.500000	94.934	140.1650
200.000000	94.863	140.0634
203.000000	94.777	139.9540
206.000000	94.692	139.8613
209.000000	94.608	139.7741
212.000000	94.524	139.6920
214.000000	94.467	139.6452
218.000000	94.351	139.5840
220.000000	94.292	139.5722
224.000000	94.175	139.5859
227.000000	94.087	139.6276
230.000000	93.998	139.6996
233.000000	93.908	139.8170
236.000000	93.818	139.9984
240.000000	93.697	140.3755
243.000000	93.613	140.7891
247.000000	93.526	141.5348
250.000000	93.495	142.2033
254.000000	93.522	143.0520
258.000000	93.625	143.5072
