* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 12, 2023 11:07:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kinera Freya Show R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	100.917	10.0792
20.299999	100.919	9.6126
20.600000	100.919	9.1438
20.900000	100.918	8.6787
21.200001	100.914	8.2256
21.400000	100.911	7.9336
21.799999	100.905	7.3740
22.000000	100.902	7.1047
22.400000	100.897	6.5802
22.700001	100.894	6.1934
23.000000	100.891	5.8098
23.299999	100.887	5.4320
23.600000	100.883	5.0629
24.000000	100.876	4.5871
24.299999	100.872	4.2411
24.700001	100.866	3.7881
25.000000	100.861	3.4503
25.400000	100.855	3.0010
25.799999	100.846	2.5583
26.200001	100.835	2.1305
26.500000	100.827	1.8217
26.900000	100.816	1.4235
27.200001	100.809	1.1307
27.600000	100.801	0.7418
28.000000	100.792	0.3504
28.500000	100.781	-0.1406
29.000000	100.767	-0.6249
29.500000	100.752	-1.0940
30.000000	100.736	-1.5433
30.400000	100.724	-1.8898
30.700001	100.715	-2.1440
31.100000	100.704	-2.4790
31.500000	100.694	-2.8118
32.000000	100.680	-3.2251
32.500000	100.666	-3.6328
33.000000	100.651	-4.0321
33.500000	100.635	-4.4237
34.000000	100.619	-4.8077
34.500000	100.602	-5.1817
35.000000	100.584	-5.5438
35.500000	100.568	-5.8975
36.000000	100.552	-6.2494
36.500000	100.536	-6.6030
37.000000	100.518	-6.9548
37.500000	100.501	-7.2988
38.200001	100.476	-7.7659
38.700001	100.459	-8.0947
39.500000	100.432	-8.6167
40.000000	100.414	-8.9344
40.599998	100.392	-9.3033
41.200001	100.371	-9.6616
41.799999	100.349	-10.0113
42.500000	100.324	-10.4052
43.099998	100.303	-10.7319
43.700001	100.283	-11.0561
44.400002	100.260	-11.4366
45.000000	100.240	-11.7622
45.500000	100.222	-12.0310
46.200001	100.198	-12.4044
46.799999	100.178	-12.7228
47.500000	100.154	-13.0902
48.200001	100.130	-13.4545
48.700001	100.112	-13.7144
49.400002	100.087	-14.0757
50.000000	100.065	-14.3773
50.799999	100.035	-14.7639
51.500000	100.008	-15.0919
