* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 12, 2023 10:42:14 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kinera Hodur Show L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	103.952	48.3689
20.299999	104.008	47.6380
20.600000	104.062	46.9209
20.900000	104.115	46.2155
21.200001	104.167	45.5210
21.400000	104.200	45.0651
21.799999	104.263	44.1733
22.000000	104.293	43.7390
22.400000	104.350	42.8960
22.700001	104.391	42.2860
23.000000	104.431	41.6931
23.299999	104.470	41.1138
23.600000	104.507	40.5447
24.000000	104.555	39.7982
24.299999	104.589	39.2466
24.700001	104.631	38.5238
25.000000	104.661	37.9928
25.400000	104.697	37.3007
25.799999	104.731	36.6250
26.200001	104.763	35.9622
26.500000	104.787	35.4714
26.900000	104.816	34.8246
27.200001	104.837	34.3453
27.600000	104.864	33.7140
28.000000	104.889	33.0911
28.500000	104.920	32.3236
29.000000	104.949	31.5696
29.500000	104.977	30.8323
30.000000	105.004	30.1136
30.400000	105.025	29.5510
30.700001	105.040	29.1351
31.100000	105.060	28.5886
31.500000	105.079	28.0526
32.000000	105.102	27.4010
32.500000	105.123	26.7721
33.000000	105.144	26.1635
33.500000	105.164	25.5694
34.000000	105.183	24.9848
34.500000	105.200	24.4098
35.000000	105.216	23.8479
35.500000	105.230	23.3010
36.000000	105.244	22.7647
36.500000	105.257	22.2338
37.000000	105.268	21.7111
37.500000	105.278	21.2061
38.200001	105.295	20.5271
38.700001	105.310	20.0354
39.500000	105.329	19.2010
40.000000	105.334	18.6852
40.599998	105.334	18.1229
41.200001	105.337	17.6158
41.799999	105.344	17.1166
42.500000	105.352	16.5217
