* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 12, 2023 10:40:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kinera Hodur Show R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	103.683	50.2734
20.299999	103.739	49.5281
20.600000	103.793	48.7973
20.900000	103.845	48.0804
21.200001	103.895	47.3772
21.400000	103.927	46.9158
21.799999	103.990	46.0106
22.000000	104.020	45.5667
22.400000	104.079	44.6953
22.700001	104.121	44.0555
23.000000	104.163	43.4264
23.299999	104.203	42.8070
23.600000	104.242	42.1967
24.000000	104.291	41.3963
24.299999	104.327	40.8060
24.700001	104.373	40.0330
25.000000	104.405	39.4645
25.400000	104.446	38.7226
25.799999	104.486	37.9993
26.200001	104.524	37.2933
26.500000	104.551	36.7736
26.900000	104.587	36.0922
27.200001	104.612	35.5893
27.600000	104.645	34.9297
28.000000	104.676	34.2827
28.500000	104.713	33.4922
29.000000	104.748	32.7205
29.500000	104.782	31.9653
30.000000	104.814	31.2240
30.400000	104.838	30.6407
30.700001	104.855	30.2088
31.100000	104.877	29.6418
31.500000	104.898	29.0864
32.000000	104.922	28.4098
32.500000	104.945	27.7507
33.000000	104.968	27.1046
33.500000	104.989	26.4695
34.000000	105.009	25.8480
34.500000	105.027	25.2419
35.000000	105.044	24.6489
35.500000	105.060	24.0652
36.000000	105.074	23.4930
36.500000	105.087	22.9368
37.000000	105.100	22.3929
37.500000	105.112	21.8503
38.200001	105.124	21.0904
38.700001	105.128	20.5709
39.500000	105.136	19.8136
40.000000	105.147	19.3553
40.599998	105.163	18.7745
41.200001	105.175	18.1638
41.799999	105.181	17.5657
42.500000	105.186	16.9091
43.099998	105.192	16.3602
43.700001	105.197	15.8115
44.400002	105.199	15.1862
45.000000	105.200	14.6720
45.500000	105.200	14.2548
46.200001	105.198	13.6828
46.799999	105.194	13.2087
47.500000	105.187	12.6806
48.200001	105.179	12.1776
48.700001	105.173	11.8339
49.400002	105.162	11.3822
50.000000	105.155	11.0292
50.799999	105.151	10.5957
51.500000	105.156	10.2166
52.200001	105.167	9.8064
53.000000	105.179	9.2922
53.799999	105.188	8.7452
54.500000	105.191	8.2573
55.200001	105.190	7.7758
56.000000	105.186	7.2429
57.000000	105.177	6.5997
58.000000	105.165	5.9925
59.000000	105.155	5.4153
60.000000	105.145	4.8191
60.799999	105.133	4.3403
61.500000	105.120	3.9415
62.200001	105.108	3.5578
63.000000	105.095	3.1254
64.000000	105.078	2.5948
65.000000	105.060	2.0811
66.000000	105.041	1.5809
67.000000	105.022	1.0931
68.000000	105.002	0.6190
69.000000	104.982	0.1609
70.000000	104.961	-0.2852
71.000000	104.941	-0.7260
72.000000	104.919	-1.1605
73.000000	104.896	-1.5865
74.000000	104.872	-1.9976
75.000000	104.849	-2.3898
76.199997	104.821	-2.8483
77.500000	104.792	-3.3328
78.800003	104.763	-3.8041
80.000000	104.735	-4.2288
81.199997	104.708	-4.6375
82.500000	104.679	-5.0746
83.800003	104.649	-5.5032
85.000000	104.623	-5.8906
86.199997	104.597	-6.2769
87.500000	104.568	-6.6929
88.500000	104.545	-7.0110
90.000000	104.510	-7.4836
91.199997	104.481	-7.8523
92.500000	104.448	-8.2445
93.800003	104.415	-8.6278
95.000000	104.383	-8.9732
96.199997	104.351	-9.3107
97.500000	104.316	-9.6656
98.800003	104.279	-10.0078
100.000000	104.245	-10.3109
101.500000	104.203	-10.6721
103.000000	104.161	-11.0183
104.400002	104.121	-11.3311
106.000000	104.076	-11.6690
107.500000	104.034	-11.9653
109.000000	103.994	-12.2451
110.599998	103.954	-12.5306
112.000000	103.920	-12.7756
113.800003	103.880	-13.0886
115.000000	103.855	-13.3000
117.199997	103.812	-13.7062
118.000000	103.797	-13.8607
120.599998	103.742	-14.3807
122.000000	103.710	-14.6537
124.099998	103.661	-15.0580
125.000000	103.639	-15.2300
126.500000	103.602	-15.5112
128.000000	103.564	-15.7844
131.500000	103.473	-16.3899
132.000000	103.460	-16.4720
134.000000	103.408	-16.7930
136.000000	103.357	-17.1096
138.000000	103.305	-17.4191
140.000000	103.253	-17.7209
143.000000	103.173	-18.1552
145.000000	103.118	-18.4321
147.500000	103.050	-18.7640
150.000000	102.981	-19.0778
152.500000	102.913	-19.3765
155.000000	102.846	-19.6596
157.500000	102.779	-19.9263
160.000000	102.712	-20.1814
162.500000	102.643	-20.4209
165.000000	102.576	-20.6493
167.500000	102.509	-20.8707
170.000000	102.443	-21.0817
172.500000	102.377	-21.2796
175.000000	102.312	-21.4666
177.500000	102.247	-21.6496
180.000000	102.182	-21.8267
182.500000	102.117	-21.9866
185.000000	102.053	-22.1283
187.500000	101.990	-22.2633
190.000000	101.928	-22.3948
192.500000	101.865	-22.5214
195.000000	101.804	-22.6417
197.500000	101.742	-22.7533
200.000000	101.681	-22.8502
203.000000	101.608	-22.9470
206.000000	101.537	-23.0378
209.000000	101.467	-23.1256
212.000000	101.398	-23.2117
214.000000	101.352	-23.2673
218.000000	101.261	-23.3763
220.000000	101.216	-23.4263
224.000000	101.127	-23.5121
227.000000	101.060	-23.5679
230.000000	100.993	-23.6146
233.000000	100.926	-23.6534
236.000000	100.859	-23.6816
240.000000	100.771	-23.7081
243.000000	100.707	-23.7244
247.000000	100.621	-23.7313
250.000000	100.557	-23.7300
254.000000	100.473	-23.7151
258.000000	100.391	-23.6873
262.000000	100.309	-23.6529
265.000000	100.249	-23.6155
269.000000	100.171	-23.5576
272.000000	100.112	-23.5115
276.000000	100.035	-23.4407
280.000000	99.959	-23.3537
285.000000	99.870	-23.2380
290.000000	99.780	-23.1337
295.000000	99.691	-23.0177
300.000000	99.602	-22.8920
304.000000	99.532	-22.7852
307.000000	99.479	-22.6989
311.000000	99.409	-22.5798
315.000000	99.339	-22.4611
320.000000	99.253	-22.2926
325.000000	99.169	-22.1108
330.000000	99.087	-21.9401
335.000000	99.008	-21.7684
340.000000	98.931	-21.5782
345.000000	98.854	-21.3671
350.000000	98.778	-21.1542
355.000000	98.704	-20.9423
360.000000	98.632	-20.7173
365.000000	98.559	-20.4807
370.000000	98.488	-20.2404
375.000000	98.417	-19.9966
382.000000	98.320	-19.6448
387.000000	98.254	-19.3837
395.000000	98.149	-18.9553
400.000000	98.085	-18.6785
406.000000	98.010	-18.3400
412.000000	97.937	-17.9976
418.000000	97.867	-17.6434
425.000000	97.787	-17.2186
431.000000	97.720	-16.8604
437.000000	97.656	-16.5054
444.000000	97.582	-16.0844
450.000000	97.520	-15.7206
455.000000	97.469	-15.4170
462.000000	97.399	-14.9886
468.000000	97.339	-14.6147
475.000000	97.271	-14.1704
482.000000	97.204	-13.7242
487.000000	97.157	-13.4044
494.000000	97.093	-12.9494
500.000000	97.039	-12.5516
508.000000	96.970	-12.0156
515.000000	96.911	-11.5405
522.000000	96.854	-11.0601
530.000000	96.790	-10.5073
538.000000	96.728	-9.9482
545.000000	96.675	-9.4534
552.000000	96.624	-8.9550
560.000000	96.568	-8.3812
570.000000	96.500	-7.6554
580.000000	96.435	-6.9238
590.000000	96.373	-6.1880
600.000000	96.314	-5.4434
608.000000	96.268	-4.8425
615.000000	96.230	-4.3174
622.000000	96.194	-3.7895
630.000000	96.154	-3.1777
640.000000	96.106	-2.4050
650.000000	96.061	-1.6315
660.000000	96.018	-0.8528
670.000000	95.979	-0.0671
680.000000	95.942	0.7241
690.000000	95.909	1.5190
700.000000	95.878	2.3152
710.000000	95.850	3.1152
720.000000	95.825	3.9190
730.000000	95.803	4.7260
740.000000	95.784	5.5338
750.000000	95.767	6.3445
762.000000	95.751	7.3225
775.000000	95.740	8.3766
788.000000	95.734	9.4248
800.000000	95.732	10.3867
812.000000	95.735	11.3361
825.000000	95.742	12.3372
838.000000	95.752	13.2852
850.000000	95.754	14.0963
862.000000	95.735	14.9121
875.000000	95.693	16.0200
885.000000	95.674	17.0987
900.000000	95.702	18.8131
912.000000	95.756	20.0770
925.000000	95.825	21.3453
938.000000	95.904	22.5625
950.000000	95.987	23.6439
962.000000	96.081	24.6602
975.000000	96.193	25.6575
988.000000	96.308	26.5303
1000.000000	96.410	27.2354
1015.000000	96.529	28.0217
1030.000000	96.636	28.7505
1044.000000	96.726	29.4150
1060.000000	96.819	30.1854
1075.000000	96.900	30.9347
1090.000000	96.977	31.7252
1106.000000	97.059	32.6352
1120.000000	97.133	33.5041
1138.000000	97.243	34.7339
1150.000000	97.332	35.6127
1172.000000	97.545	37.2241
1180.000000	97.640	37.7594
1206.000000	97.983	39.0885
1220.000000	98.170	39.5049
1241.000000	98.422	39.8254
1250.000000	98.515	39.9009
1265.000000	98.650	40.0117
1280.000000	98.767	40.1545
1315.000000	99.008	40.7502
1320.000000	99.042	40.8627
1340.000000	99.182	41.3575
1360.000000	99.334	41.8773
1380.000000	99.491	42.3790
1400.000000	99.651	42.9109
1430.000000	99.918	43.8242
1450.000000	100.122	44.3699
1475.000000	100.389	44.7844
1500.000000	100.637	44.9505
1525.000000	100.850	45.0927
1550.000000	101.048	45.4288
1575.000000	101.268	46.0172
1600.000000	101.547	46.7176
1625.000000	101.897	47.2315
1650.000000	102.291	47.2628
1675.000000	102.679	46.7322
1700.000000	103.027	45.7791
1725.000000	103.325	44.5970
1750.000000	103.579	43.3380
1775.000000	103.800	42.0846
1800.000000	103.998	40.8544
1825.000000	104.180	39.6400
1850.000000	104.349	38.4313
1875.000000	104.507	37.2202
1900.000000	104.653	36.0029
1925.000000	104.788	34.7777
1950.000000	104.913	33.5429
1975.000000	105.027	32.3005
2000.000000	105.129	31.0626
2030.000000	105.238	29.6105
2060.000000	105.340	28.2175
2090.000000	105.445	26.8616
2120.000000	105.559	25.4553
2140.000000	105.638	24.4347
2180.000000	105.779	22.1284
2200.000000	105.831	20.8636
2240.000000	105.888	18.2274
2270.000000	105.891	16.2349
2300.000000	105.861	14.2760
2330.000000	105.801	12.3787
2360.000000	105.714	10.5674
2400.000000	105.558	8.3290
2430.000000	105.416	6.8132
2470.000000	105.198	5.0444
2500.000000	105.020	3.9239
2540.000000	104.771	2.7202
2580.000000	104.521	1.8550
2620.000000	104.285	1.2999
2650.000000	104.127	1.0378
2690.000000	103.945	0.7905
2720.000000	103.826	0.6100
2760.000000	103.679	0.3264
2800.000000	103.531	0.0201
2850.000000	103.339	-0.3013
2900.000000	103.145	-0.5052
2950.000000	102.951	-0.5923
3000.000000	102.758	-0.5484
3040.000000	102.607	-0.4016
3070.000000	102.496	-0.2209
3110.000000	102.357	0.1124
3150.000000	102.229	0.5400
3200.000000	102.089	1.1757
3250.000000	101.972	1.8837
3300.000000	101.875	2.6378
3350.000000	101.798	3.4268
3400.000000	101.739	4.2443
3450.000000	101.699	5.0864
3500.000000	101.678	5.9451
3550.000000	101.679	6.8043
3600.000000	101.700	7.6426
3650.000000	101.741	8.4437
3700.000000	101.800	9.1976
3750.000000	101.876	9.8952
3820.000000	102.011	10.7567
3870.000000	102.126	11.2776
3950.000000	102.337	11.9265
4000.000000	102.486	12.2112
4060.000000	102.682	12.4263
4120.000000	102.898	12.4795
4180.000000	103.137	12.3195
4250.000000	103.437	11.7748
4310.000000	103.702	10.9396
4370.000000	103.960	9.7380
4440.000000	104.234	7.8973
4500.000000	104.435	6.0161
4550.000000	104.580	4.2923
4620.000000	104.758	1.6653
4680.000000	104.898	-0.8876
4750.000000	105.029	-4.4801
4820.000000	105.056	-8.8792
4870.000000	104.964	-12.3579
4940.000000	104.641	-17.1301
5000.000000	104.203	-20.5590
5080.000000	103.501	-23.6592
5150.000000	102.896	-25.2838
5220.000000	102.327	-26.4996
5300.000000	101.658	-27.5217
5380.000000	100.945	-27.8007
