* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 12, 2023 9:46:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kinera Loki-Emerald Show L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	107.082	-157.1093
20.299999	107.097	-157.9604
20.600000	107.110	-158.7958
20.900000	107.122	-159.6157
21.200001	107.131	-160.4204
21.400000	107.137	-160.9487
21.799999	107.146	-161.9867
22.000000	107.150	-162.4967
22.400000	107.156	-163.5002
22.700001	107.159	-164.2385
23.000000	107.161	-164.9653
23.299999	107.162	-165.6809
23.600000	107.161	-166.3858
24.000000	107.160	-167.3098
24.299999	107.158	-167.9913
24.700001	107.154	-168.8844
25.000000	107.149	-169.5422
25.400000	107.143	-170.4027
25.799999	107.135	-171.2440
26.200001	107.127	-172.0669
26.500000	107.120	-172.6732
26.900000	107.110	-173.4684
27.200001	107.102	-174.0553
27.600000	107.090	-174.8248
28.000000	107.077	-175.5783
28.500000	107.060	-176.4969
29.000000	107.041	-177.3913
29.500000	107.020	-178.2650
30.000000	106.999	-179.1204
30.400000	106.980	-179.7916
30.700001	106.966	179.7125
31.100000	106.946	179.0610
31.500000	106.926	178.4191
32.000000	106.899	177.6289
32.500000	106.871	176.8527
33.000000	106.841	176.0919
33.500000	106.811	175.3464
34.000000	106.780	174.6149
34.500000	106.748	173.8976
35.000000	106.714	173.1965
35.500000	106.680	172.5131
36.000000	106.645	171.8472
36.500000	106.610	171.1975
37.000000	106.574	170.5630
37.500000	106.538	169.9427
38.200001	106.484	169.0982
38.700001	106.444	168.5181
39.500000	106.377	167.6454
40.000000	106.336	167.1343
40.599998	106.287	166.5519
41.200001	106.238	166.0140
41.799999	106.195	165.5306
42.500000	106.160	164.9981
43.099998	106.142	164.4984
43.700001	106.127	163.9233
44.400002	106.104	163.1847
45.000000	106.078	162.5300
45.500000	106.053	161.9783
46.200001	106.011	161.2025
46.799999	105.969	160.5521
47.500000	105.916	159.8326
48.200001	105.860	159.1539
48.700001	105.821	158.6863
49.400002	105.766	158.0482
50.000000	105.718	157.5161
50.799999	105.654	156.8297
51.500000	105.597	156.2508
52.200001	105.541	155.6889
53.000000	105.476	155.0635
53.799999	105.412	154.4561
54.500000	105.356	153.9397
55.200001	105.300	153.4362
56.000000	105.237	152.8728
57.000000	105.158	152.1845
58.000000	105.079	151.5190
59.000000	105.001	150.8755
60.000000	104.923	150.2477
60.799999	104.861	149.7578
61.500000	104.806	149.3388
62.200001	104.752	148.9281
63.000000	104.690	148.4685
64.000000	104.612	147.9079
65.000000	104.536	147.3607
66.000000	104.460	146.8278
67.000000	104.384	146.3098
68.000000	104.309	145.8061
69.000000	104.235	145.3167
70.000000	104.161	144.8386
71.000000	104.087	144.3690
72.000000	104.013	143.9100
73.000000	103.939	143.4658
74.000000	103.866	143.0368
75.000000	103.794	142.6172
76.199997	103.708	142.1202
77.500000	103.615	141.5970
78.800003	103.523	141.0956
80.000000	103.439	140.6477
81.199997	103.357	140.2127
82.500000	103.268	139.7533
83.800003	103.180	139.2993
85.000000	103.098	138.8906
86.199997	103.016	138.4974
87.500000	102.929	138.0885
88.500000	102.862	137.7844
90.000000	102.765	137.3396
91.199997	102.688	136.9911
92.500000	102.605	136.6208
93.800003	102.523	136.2593
95.000000	102.447	135.9346
96.199997	102.371	135.6173
97.500000	102.290	135.2815
98.800003	102.208	134.9566
100.000000	102.134	134.6681
101.500000	102.042	134.3229
103.000000	101.951	133.9932
104.400002	101.866	133.6971
106.000000	101.768	133.3751
107.500000	101.678	133.0966
109.000000	101.593	132.8298
110.599998	101.506	132.5251
112.000000	101.428	132.2518
113.800003	101.328	131.9181
115.000000	101.262	131.7054
117.199997	101.140	131.3388
118.000000	101.097	131.2128
120.599998	100.958	130.8107
122.000000	100.884	130.6107
124.099998	100.778	130.3404
125.000000	100.733	130.2333
126.500000	100.660	130.0679
128.000000	100.587	129.9219
131.500000	100.430	129.6180
132.000000	100.409	129.5735
134.000000	100.327	129.3988
136.000000	100.246	129.2499
138.000000	100.171	129.1617
140.000000	100.114	129.0815
143.000000	100.069	128.7642
145.000000	100.048	128.2696
147.500000	99.982	127.4273
150.000000	99.866	126.6195
152.500000	99.723	125.9991
155.000000	99.581	125.5618
157.500000	99.448	125.2285
160.000000	99.325	124.9523
162.500000	99.214	124.6830
165.000000	99.110	124.3950
167.500000	99.011	124.0583
170.000000	98.915	123.6531
172.500000	98.823	123.1186
175.000000	98.729	122.3026
177.500000	98.596	120.8747
180.000000	98.277	118.8376
182.500000	97.582	119.3174
185.000000	97.151	125.4078
187.500000	97.555	129.4565
190.000000	97.907	128.8430
192.500000	97.993	127.4627
195.000000	97.972	126.5437
197.500000	97.920	125.9549
200.000000	97.860	125.5333
203.000000	97.783	125.1450
206.000000	97.704	124.8294
209.000000	97.624	124.5640
212.000000	97.543	124.3387
214.000000	97.490	124.2074
218.000000	97.383	123.9780
220.000000	97.331	123.8732
224.000000	97.227	123.6801
227.000000	97.151	123.5513
230.000000	97.076	123.4349
233.000000	97.003	123.3245
236.000000	96.929	123.2118
240.000000	96.827	123.0693
243.000000	96.748	123.0333
247.000000	96.664	123.0318
250.000000	96.603	122.8999
254.000000	96.488	122.8503
258.000000	96.408	123.0638
262.000000	96.358	123.0388
265.000000	96.309	122.9469
269.000000	96.235	122.8553
272.000000	96.179	122.8083
276.000000	96.107	122.7618
280.000000	96.036	122.7293
285.000000	95.951	122.7062
290.000000	95.868	122.7010
295.000000	95.789	122.7095
300.000000	95.714	122.7322
304.000000	95.657	122.7668
307.000000	95.616	122.7982
311.000000	95.565	122.8449
315.000000	95.519	122.8987
