* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 12, 2023 9:45:36 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kinera Loki-Emerald Show R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	108.006	-166.9683
20.299999	108.002	-167.8422
20.600000	107.997	-168.6980
20.900000	107.991	-169.5360
21.200001	107.983	-170.3567
21.400000	107.977	-170.8946
21.799999	107.963	-171.9495
22.000000	107.955	-172.4672
22.400000	107.938	-173.4842
22.700001	107.925	-174.2319
23.000000	107.910	-174.9676
23.299999	107.895	-175.6913
23.600000	107.878	-176.4032
24.000000	107.855	-177.3337
24.299999	107.837	-178.0179
24.700001	107.813	-178.9127
25.000000	107.794	-179.5715
25.400000	107.768	179.5654
25.799999	107.741	178.7192
26.200001	107.713	177.8901
26.500000	107.692	177.2801
26.900000	107.663	176.4833
27.200001	107.640	175.8984
27.600000	107.609	175.1353
28.000000	107.578	174.3900
28.500000	107.539	173.4803
29.000000	107.498	172.5923
29.500000	107.456	171.7252
30.000000	107.413	170.8804
30.400000	107.378	170.2208
30.700001	107.351	169.7347
31.100000	107.315	169.0966
31.500000	107.279	168.4685
32.000000	107.233	167.6964
32.500000	107.186	166.9396
33.000000	107.138	166.1998
33.500000	107.090	165.4771
34.000000	107.041	164.7701
34.500000	106.993	164.0777
35.000000	106.944	163.3998
35.500000	106.895	162.7368
36.000000	106.845	162.0891
36.500000	106.796	161.4560
37.000000	106.746	160.8367
37.500000	106.695	160.2311
38.200001	106.624	159.4068
38.700001	106.573	158.8350
39.500000	106.491	157.9460
40.000000	106.439	157.4040
40.599998	106.377	156.7675
41.200001	106.314	156.1490
41.799999	106.252	155.5502
42.500000	106.180	154.8716
43.099998	106.119	154.3010
43.700001	106.058	153.7383
44.400002	105.986	153.0939
45.000000	105.924	152.5542
45.500000	105.872	152.1154
46.200001	105.798	151.5211
46.799999	105.735	151.0330
47.500000	105.661	150.4890
48.200001	105.587	149.9745
48.700001	105.536	149.6269
49.400002	105.466	149.1662
50.000000	105.410	148.7887
50.799999	105.341	148.2964
51.500000	105.286	147.8604
52.200001	105.234	147.4012
53.000000	105.175	146.8407
53.799999	105.113	146.2601
54.500000	105.055	145.7526
55.200001	104.995	145.2502
56.000000	104.924	144.6854
57.000000	104.832	144.0062
58.000000	104.738	143.3605
59.000000	104.645	142.7407
60.000000	104.551	142.1466
60.799999	104.476	141.6902
61.500000	104.411	141.3022
62.200001	104.345	140.9237
63.000000	104.271	140.5042
64.000000	104.179	139.9998
