* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 12, 2023 10:03:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kinera Nanna 2.0 Show L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	93.103	3.7664
20.299999	93.101	3.0268
20.600000	93.098	2.3014
20.900000	93.094	1.5925
21.200001	93.089	0.9019
21.400000	93.086	0.4511
21.799999	93.080	-0.4309
22.000000	93.078	-0.8649
22.400000	93.074	-1.7257
22.700001	93.072	-2.3700
23.000000	93.069	-3.0153
23.299999	93.065	-3.6593
23.600000	93.059	-4.2974
24.000000	93.050	-5.1312
24.299999	93.042	-5.7397
24.700001	93.032	-6.5305
25.000000	93.025	-7.1138
25.400000	93.017	-7.8882
25.799999	93.009	-8.6651
26.200001	92.998	-9.4406
26.500000	92.989	-10.0142
26.900000	92.974	-10.7603
27.200001	92.963	-11.3040
27.600000	92.949	-12.0116
28.000000	92.936	-12.7092
28.500000	92.921	-13.5801
29.000000	92.904	-14.4512
29.500000	92.884	-15.3114
30.000000	92.862	-16.1486
30.400000	92.843	-16.7988
30.700001	92.830	-17.2761
31.100000	92.812	-17.9026
31.500000	92.796	-18.5228
32.000000	92.776	-19.2964
32.500000	92.755	-20.0706
33.000000	92.733	-20.8385
33.500000	92.709	-21.5898
34.000000	92.684	-22.3207
34.500000	92.661	-23.0373
35.000000	92.639	-23.7493
35.500000	92.616	-24.4608
36.000000	92.592	-25.1671
36.500000	92.567	-25.8622
37.000000	92.542	-26.5448
37.500000	92.517	-27.2177
38.200001	92.481	-28.1449
38.700001	92.455	-28.7947
39.500000	92.414	-29.8174
40.000000	92.388	-30.4506
40.599998	92.356	-31.2013
41.200001	92.323	-31.9340
41.799999	92.291	-32.6509
42.500000	92.255	-33.4829
43.099998	92.224	-34.1984
43.700001	92.192	-34.9104
44.400002	92.152	-35.7288
45.000000	92.117	-36.4164
45.500000	92.088	-36.9778
46.200001	92.048	-37.7452
46.799999	92.015	-38.3915
47.500000	91.978	-39.1436
48.200001	91.941	-39.8953
48.700001	91.913	-40.4263
49.400002	91.874	-41.1530
50.000000	91.841	-41.7601
50.799999	91.798	-42.5522
51.500000	91.760	-43.2313
52.200001	91.724	-43.9008
53.000000	91.681	-44.6559
53.799999	91.638	-45.3901
54.500000	91.604	-46.0187
55.200001	91.571	-46.6544
56.000000	91.534	-47.3955
57.000000	91.484	-48.3087
58.000000	91.436	-49.2014
59.000000	91.389	-50.0981
60.000000	91.340	-50.9811
60.799999	91.301	-51.6655
61.500000	91.268	-52.2560
62.200001	91.236	-52.8458
63.000000	91.199	-53.5174
64.000000	91.152	-54.3458
65.000000	91.106	-55.1638
66.000000	91.061	-55.9797
67.000000	91.014	-56.7925
68.000000	90.967	-57.5920
69.000000	90.919	-58.3785
70.000000	90.872	-59.1560
71.000000	90.824	-59.9250
72.000000	90.777	-60.6849
73.000000	90.728	-61.4351
74.000000	90.680	-62.1708
75.000000	90.632	-62.8905
76.199997	90.575	-63.7444
77.500000	90.513	-64.6546
78.800003	90.451	-65.5341
80.000000	90.397	-66.3339
81.199997	90.341	-67.1309
82.500000	90.279	-67.9634
83.800003	90.219	-68.7596
85.000000	90.165	-69.4830
86.199997	90.112	-70.1965
87.500000	90.054	-70.9454
88.500000	90.011	-71.5015
90.000000	89.951	-72.3171
91.199997	89.906	-72.9589
92.500000	89.858	-73.6357
93.800003	89.815	-74.2911
95.000000	89.780	-74.8998
96.199997	89.748	-75.5278
97.500000	89.712	-76.2231
98.800003	89.677	-76.9227
100.000000	89.644	-77.5667
101.500000	89.605	-78.3777
103.000000	89.563	-79.1903
104.400002	89.523	-79.9330
106.000000	89.476	-80.7648
107.500000	89.433	-81.5275
109.000000	89.392	-82.2833
110.599998	89.350	-83.0889
112.000000	89.313	-83.7925
113.800003	89.268	-84.6959
115.000000	89.237	-85.2983
117.199997	89.179	-86.3969
118.000000	89.157	-86.7925
120.599998	89.081	-88.0556
122.000000	89.040	-88.7233
124.099998	88.976	-89.7010
125.000000	88.949	-90.1058
126.500000	88.904	-90.7611
128.000000	88.860	-91.3989
131.500000	88.760	-92.8378
132.000000	88.746	-93.0381
134.000000	88.692	-93.8359
136.000000	88.639	-94.6267
138.000000	88.585	-95.3951
140.000000	88.533	-96.1396
143.000000	88.460	-97.2206
145.000000	88.413	-97.9218
147.500000	88.355	-98.7867
150.000000	88.295	-99.6321
152.500000	88.238	-100.4601
155.000000	88.186	-101.2684
157.500000	88.134	-102.0577
160.000000	88.083	-102.8258
162.500000	88.033	-103.5799
165.000000	87.985	-104.3151
167.500000	87.938	-105.0341
170.000000	87.892	-105.7426
172.500000	87.848	-106.4360
175.000000	87.806	-107.1106
177.500000	87.764	-107.7696
180.000000	87.722	-108.4155
182.500000	87.680	-109.0530
185.000000	87.639	-109.6792
187.500000	87.599	-110.2932
190.000000	87.559	-110.8912
192.500000	87.521	-111.4715
195.000000	87.483	-112.0367
197.500000	87.445	-112.5880
200.000000	87.407	-113.1271
203.000000	87.361	-113.7593
206.000000	87.315	-114.3677
209.000000	87.270	-114.9366
212.000000	87.224	-115.4642
214.000000	87.194	-115.7944
218.000000	87.139	-116.3948
220.000000	87.116	-116.6592
224.000000	87.083	-117.1417
227.000000	87.071	-117.5094
230.000000	87.071	-117.9210
233.000000	87.074	-118.3905
236.000000	87.076	-118.9193
240.000000	87.070	-119.6874
243.000000	87.057	-120.2706
247.000000	87.033	-121.0215
250.000000	87.012	-121.5565
254.000000	86.980	-122.2325
258.000000	86.948	-122.8689
262.000000	86.915	-123.4694
265.000000	86.892	-123.9010
269.000000	86.862	-124.4559
272.000000	86.840	-124.8563
276.000000	86.811	-125.3718
280.000000	86.784	-125.8763
285.000000	86.753	-126.4844
290.000000	86.723	-127.0531
295.000000	86.696	-127.6033
300.000000	86.670	-128.1427
304.000000	86.649	-128.5654
307.000000	86.634	-128.8757
311.000000	86.615	-129.2781
315.000000	86.598	-129.6689
320.000000	86.576	-130.1490
325.000000	86.553	-130.6233
330.000000	86.531	-131.0842
335.000000	86.509	-131.5298
340.000000	86.489	-131.9663
345.000000	86.468	-132.3910
350.000000	86.448	-132.8044
355.000000	86.427	-133.2098
360.000000	86.406	-133.6073
365.000000	86.387	-134.0036
370.000000	86.367	-134.3974
375.000000	86.344	-134.7825
382.000000	86.309	-135.3162
387.000000	86.282	-135.6943
395.000000	86.231	-136.2791
400.000000	86.197	-136.6190
406.000000	86.154	-136.9968
412.000000	86.106	-137.3370
418.000000	86.057	-137.6411
425.000000	85.996	-137.9601
431.000000	85.939	-138.2014
437.000000	85.879	-138.3998
444.000000	85.805	-138.5543
450.000000	85.742	-138.6060
455.000000	85.691	-138.5912
462.000000	85.624	-138.4917
468.000000	85.575	-138.3445
475.000000	85.527	-138.1216
482.000000	85.491	-137.8762
487.000000	85.471	-137.6973
494.000000	85.447	-137.4406
500.000000	85.433	-137.2187
508.000000	85.419	-136.9161
515.000000	85.410	-136.6472
522.000000	85.405	-136.3798
530.000000	85.405	-136.0624
538.000000	85.410	-135.7321
545.000000	85.419	-135.4363
552.000000	85.431	-135.1360
560.000000	85.451	-134.7875
570.000000	85.486	-134.3634
580.000000	85.529	-133.9688
590.000000	85.578	-133.5935
600.000000	85.632	-133.2457
608.000000	85.677	-132.9933
615.000000	85.718	-132.7888
622.000000	85.761	-132.5950
630.000000	85.811	-132.3835
640.000000	85.876	-132.1431
650.000000	85.944	-131.9451
660.000000	86.012	-131.7931
670.000000	86.075	-131.6783
680.000000	86.132	-131.5814
690.000000	86.184	-131.4832
700.000000	86.232	-131.3793
710.000000	86.278	-131.2611
720.000000	86.322	-131.1171
730.000000	86.365	-130.9471
740.000000	86.408	-130.7601
750.000000	86.452	-130.5620
762.000000	86.506	-130.3069
775.000000	86.567	-130.0062
788.000000	86.629	-129.6801
800.000000	86.690	-129.3682
812.000000	86.755	-129.0422
825.000000	86.828	-128.6733
838.000000	86.905	-128.2976
850.000000	86.980	-127.9473
862.000000	87.059	-127.5950
875.000000	87.148	-127.2139
885.000000	87.221	-126.9244
900.000000	87.333	-126.4994
912.000000	87.427	-126.1693
925.000000	87.533	-125.8235
938.000000	87.644	-125.4886
950.000000	87.749	-125.1911
962.000000	87.857	-124.9124
975.000000	87.977	-124.6379
988.000000	88.100	-124.3914
1000.000000	88.216	-124.1859
1015.000000	88.364	-123.9615
