* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 12, 2023 10:05:56 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kinera Nanna 2.0 Show R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	94.620	-12.5423
20.299999	94.601	-13.2909
20.600000	94.582	-14.0297
20.900000	94.562	-14.7610
21.200001	94.542	-15.4865
21.400000	94.528	-15.9663
21.799999	94.499	-16.9144
22.000000	94.483	-17.3809
22.400000	94.451	-18.2959
22.700001	94.428	-18.9663
23.000000	94.404	-19.6251
23.299999	94.381	-20.2761
23.600000	94.358	-20.9216
24.000000	94.328	-21.7764
24.299999	94.305	-22.4122
24.700001	94.274	-23.2495
25.000000	94.250	-23.8674
25.400000	94.218	-24.6775
25.799999	94.185	-25.4739
26.200001	94.153	-26.2593
26.500000	94.129	-26.8416
26.900000	94.095	-27.6071
27.200001	94.070	-28.1716
27.600000	94.036	-28.9104
28.000000	94.002	-29.6348
28.500000	93.960	-30.5262
29.000000	93.919	-31.4089
29.500000	93.877	-32.2836
30.000000	93.834	-33.1467
30.400000	93.799	-33.8256
30.700001	93.772	-34.3274
31.100000	93.736	-34.9861
31.500000	93.701	-35.6345
32.000000	93.658	-36.4342
32.500000	93.615	-37.2279
33.000000	93.573	-38.0194
33.500000	93.529	-38.8059
34.000000	93.484	-39.5782
34.500000	93.438	-40.3299
35.000000	93.393	-41.0623
35.500000	93.349	-41.7823
36.000000	93.305	-42.4951
36.500000	93.262	-43.2006
37.000000	93.219	-43.8981
37.500000	93.176	-44.5898
38.200001	93.116	-45.5511
38.700001	93.072	-46.2286
39.500000	93.000	-47.2845
40.000000	92.956	-47.9286
40.599998	92.904	-48.6922
41.200001	92.852	-49.4484
41.799999	92.801	-50.1969
42.500000	92.741	-51.0612
43.099998	92.689	-51.7932
43.700001	92.637	-52.5134
44.400002	92.577	-53.3389
45.000000	92.526	-54.0366
45.500000	92.483	-54.6110
46.200001	92.424	-55.4005
46.799999	92.373	-56.0646
47.500000	92.316	-56.8334
48.200001	92.259	-57.6001
48.700001	92.218	-58.1425
49.400002	92.160	-58.8873
50.000000	92.110	-59.5119
50.799999	92.045	-60.3295
51.500000	91.990	-61.0351
52.200001	91.935	-61.7350
53.000000	91.872	-62.5294
53.799999	91.809	-63.3110
54.500000	91.754	-63.9825
55.200001	91.700	-64.6475
56.000000	91.638	-65.4000
57.000000	91.561	-66.3229
58.000000	91.485	-67.2281
59.000000	91.410	-68.1125
60.000000	91.337	-68.9823
60.799999	91.278	-69.6720
61.500000	91.226	-70.2633
62.200001	91.174	-70.8430
63.000000	91.116	-71.4979
64.000000	91.043	-72.3040
65.000000	90.971	-73.0948
66.000000	90.899	-73.8721
67.000000	90.828	-74.6328
68.000000	90.759	-75.3917
69.000000	90.690	-76.1422
70.000000	90.620	-76.8701
71.000000	90.551	-77.5751
72.000000	90.484	-78.2579
73.000000	90.419	-78.9327
74.000000	90.352	-79.5967
75.000000	90.286	-80.2294
76.199997	90.210	-80.9628
77.500000	90.132	-81.7527
78.800003	90.055	-82.5042
80.000000	89.993	-83.1812
81.199997	89.933	-83.8756
82.500000	89.868	-84.6086
83.800003	89.808	-85.3479
85.000000	89.749	-86.0410
86.199997	89.689	-86.7131
87.500000	89.626	-87.4278
88.500000	89.577	-87.9730
90.000000	89.503	-88.7407
91.199997	89.452	-89.3119
92.500000	89.406	-89.9664
93.800003	89.356	-90.6702
95.000000	89.304	-91.3068
96.199997	89.251	-91.9236
97.500000	89.192	-92.5798
98.800003	89.129	-93.2103
100.000000	89.069	-93.7417
101.500000	89.000	-94.3300
103.000000	88.941	-94.8768
104.400002	88.893	-95.3839
106.000000	88.843	-95.9551
107.500000	88.805	-96.4893
109.000000	88.777	-97.0546
110.599998	88.756	-97.7114
112.000000	88.739	-98.3416
113.800003	88.707	-99.1864
115.000000	88.676	-99.7480
117.199997	88.607	-100.7780
118.000000	88.579	-101.1536
120.599998	88.490	-102.3069
122.000000	88.445	-102.8461
124.099998	88.376	-103.5388
125.000000	88.343	-103.8088
126.500000	88.284	-104.2593
128.000000	88.223	-104.7479
131.500000	88.117	-105.9695
132.000000	88.109	-106.1169
134.000000	88.102	-106.5804
136.000000	88.121	-106.8728
138.000000	88.154	-107.1283
140.000000	88.193	-107.5630
143.000000	88.234	-108.7603
145.000000	88.234	-109.8079
147.500000	88.200	-111.1062
150.000000	88.151	-112.2090
152.500000	88.110	-113.1923
155.000000	88.061	-114.2014
157.500000	87.989	-115.1705
160.000000	87.908	-116.0438
162.500000	87.827	-116.8186
165.000000	87.758	-117.4827
167.500000	87.701	-118.0848
170.000000	87.653	-118.7004
172.500000	87.602	-119.3566
175.000000	87.550	-119.9684
177.500000	87.502	-120.5449
180.000000	87.455	-121.1117
182.500000	87.410	-121.6722
185.000000	87.370	-122.2145
187.500000	87.330	-122.7266
190.000000	87.289	-123.2181
192.500000	87.249	-123.7020
195.000000	87.213	-124.1718
197.500000	87.178	-124.6204
200.000000	87.143	-125.0559
203.000000	87.101	-125.5697
206.000000	87.062	-126.0637
209.000000	87.025	-126.5408
212.000000	86.989	-127.0035
214.000000	86.964	-127.3037
218.000000	86.915	-127.8820
220.000000	86.891	-128.1592
224.000000	86.844	-128.6759
227.000000	86.809	-129.0209
230.000000	86.774	-129.3303
233.000000	86.741	-129.5944
236.000000	86.713	-129.8007
240.000000	86.689	-130.0144
243.000000	86.683	-130.1485
247.000000	86.699	-130.3411
250.000000	86.726	-130.5784
254.000000	86.771	-131.0590
258.000000	86.806	-131.7028
262.000000	86.816	-132.4277
265.000000	86.810	-132.9686
269.000000	86.788	-133.6283
272.000000	86.768	-134.0675
276.000000	86.740	-134.5986
280.000000	86.711	-135.0843
285.000000	86.676	-135.6365
290.000000	86.643	-136.1310
295.000000	86.613	-136.5941
300.000000	86.587	-137.0236
304.000000	86.566	-137.3464
307.000000	86.551	-137.5803
311.000000	86.532	-137.8782
315.000000	86.514	-138.1655
320.000000	86.494	-138.5195
325.000000	86.476	-138.8586
330.000000	86.460	-139.1815
335.000000	86.445	-139.4930
340.000000	86.432	-139.7938
345.000000	86.419	-140.1010
350.000000	86.407	-140.4033
355.000000	86.395	-140.6881
360.000000	86.382	-140.9700
365.000000	86.366	-141.2505
370.000000	86.351	-141.5161
375.000000	86.337	-141.7589
382.000000	86.318	-142.0941
387.000000	86.307	-142.3373
395.000000	86.288	-142.7239
400.000000	86.274	-142.9580
406.000000	86.256	-143.2438
412.000000	86.235	-143.5262
418.000000	86.210	-143.8011
425.000000	86.173	-144.0973
431.000000	86.136	-144.3057
437.000000	86.096	-144.4684
444.000000	86.050	-144.5944
450.000000	86.013	-144.6373
455.000000	85.984	-144.6398
462.000000	85.950	-144.6068
468.000000	85.926	-144.5509
475.000000	85.904	-144.4784
482.000000	85.889	-144.4000
487.000000	85.879	-144.3417
