* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 12, 2023 10:36:27 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kinera Norn Show L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	51.045	-130.7840
20.299999	51.470	-130.9521
20.600000	51.831	-131.8168
20.900000	52.100	-133.0072
21.200001	52.286	-134.1194
21.400000	52.385	-134.6906
21.799999	52.565	-135.4264
22.000000	52.663	-135.6371
22.400000	52.894	-135.9451
22.700001	53.090	-136.2256
23.000000	53.290	-136.6238
23.299999	53.479	-137.1275
23.600000	53.649	-137.6893
24.000000	53.836	-138.4076
24.299999	53.949	-138.8008
24.700001	54.085	-138.9925
25.000000	54.203	-138.8721
25.400000	54.417	-138.5190
25.799999	54.703	-138.3315
26.200001	55.016	-138.6688
26.500000	55.226	-139.2886
26.900000	55.433	-140.3630
27.200001	55.536	-141.0775
27.600000	55.641	-141.6217
28.000000	55.784	-141.7063
28.500000	56.082	-141.7592
29.000000	56.452	-142.5293
29.500000	56.776	-144.0748
30.000000	57.006	-145.7540
30.400000	57.158	-146.8255
30.700001	57.280	-147.4621
31.100000	57.470	-148.2541
31.500000	57.678	-149.1422
32.000000	57.922	-150.4284
32.500000	58.128	-151.7094
33.000000	58.310	-152.8112
33.500000	58.482	-153.7723
34.000000	58.636	-154.6772
34.500000	58.757	-155.4971
35.000000	58.844	-156.1450
35.500000	58.902	-156.5295
36.000000	58.954	-156.5519
36.500000	59.049	-156.2508
37.000000	59.230	-156.0847
37.500000	59.445	-156.7075
38.200001	59.540	-158.8366
38.700001	59.378	-159.7249
39.500000	59.257	-157.5353
40.000000	59.637	-155.7770
40.599998	60.338	-156.4103
41.200001	60.800	-160.0668
41.799999	60.889	-164.0300
42.500000	60.821	-166.5828
43.099998	60.893	-167.6539
43.700001	61.056	-168.9347
44.400002	61.209	-170.6649
45.000000	61.306	-171.7689
45.500000	61.408	-172.4081
46.200001	61.588	-173.2391
46.799999	61.744	-174.0416
47.500000	61.903	-174.9914
