* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 12, 2023 10:29:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kinera Norn Show R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	98.387	-114.1057
20.299999	98.473	-114.9845
20.600000	98.549	-115.8090
20.900000	98.621	-116.5573
21.200001	98.696	-117.2288
21.400000	98.750	-117.6494
21.799999	98.871	-118.4718
22.000000	98.937	-118.8986
22.400000	99.074	-119.8256
22.700001	99.176	-120.5938
23.000000	99.272	-121.4119
23.299999	99.359	-122.2545
23.600000	99.438	-123.0987
24.000000	99.534	-124.1994
24.299999	99.601	-124.9978
24.700001	99.688	-126.0303
25.000000	99.751	-126.7882
25.400000	99.833	-127.7841
25.799999	99.912	-128.7644
26.200001	99.987	-129.7258
26.500000	100.042	-130.4327
26.900000	100.112	-131.3564
27.200001	100.163	-132.0363
27.600000	100.230	-132.9281
28.000000	100.294	-133.8050
28.500000	100.370	-134.8825
29.000000	100.443	-135.9414
29.500000	100.510	-136.9820
30.000000	100.574	-138.0026
30.400000	100.622	-138.8031
30.700001	100.656	-139.3945
31.100000	100.701	-140.1729
31.500000	100.744	-140.9420
32.000000	100.796	-141.8926
32.500000	100.845	-142.8306
33.000000	100.891	-143.7535
33.500000	100.935	-144.6607
34.000000	100.978	-145.5531
34.500000	101.018	-146.4319
35.000000	101.058	-147.2964
35.500000	101.095	-148.1450
36.000000	101.131	-148.9778
36.500000	101.167	-149.7968
37.000000	101.201	-150.6054
37.500000	101.234	-151.4060
38.200001	101.277	-152.5149
38.700001	101.306	-153.2981
39.500000	101.348	-154.5360
40.000000	101.371	-155.3004
40.599998	101.396	-156.2065
41.200001	101.418	-157.0966
41.799999	101.438	-157.9694
42.500000	101.459	-158.9693
43.099998	101.476	-159.8130
43.700001	101.491	-160.6437
44.400002	101.506	-161.5947
45.000000	101.517	-162.3949
45.500000	101.526	-163.0515
46.200001	101.535	-163.9543
46.799999	101.542	-164.7132
47.500000	101.549	-165.5842
48.200001	101.553	-166.4413
48.700001	101.556	-167.0442
49.400002	101.557	-167.8744
50.000000	101.557	-168.5741
50.799999	101.556	-169.4921
51.500000	101.554	-170.2828
52.200001	101.550	-171.0623
53.000000	101.544	-171.9391
53.799999	101.536	-172.7992
54.500000	101.528	-173.5370
55.200001	101.518	-174.2610
56.000000	101.506	-175.0726
57.000000	101.489	-176.0644
58.000000	101.470	-177.0327
59.000000	101.449	-177.9838
60.000000	101.426	-178.9168
60.799999	101.406	-179.6452
61.500000	101.388	179.7300
62.200001	101.370	179.1141
63.000000	101.348	178.4197
64.000000	101.320	177.5684
65.000000	101.290	176.7391
66.000000	101.259	175.9295
67.000000	101.227	175.1353
68.000000	101.193	174.3583
69.000000	101.158	173.6011
70.000000	101.123	172.8620
71.000000	101.087	172.1370
