* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 12, 2023 9:59:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kinera Odin Show L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	106.960	-147.4859
20.299999	106.989	-148.0083
20.600000	107.017	-148.5190
20.900000	107.044	-149.0190
21.200001	107.071	-149.5097
21.400000	107.088	-149.8319
21.799999	107.122	-150.4648
22.000000	107.138	-150.7752
22.400000	107.169	-151.3835
22.700001	107.191	-151.8285
23.000000	107.213	-152.2639
23.299999	107.234	-152.6907
23.600000	107.255	-153.1096
24.000000	107.281	-153.6569
24.299999	107.300	-154.0592
24.700001	107.324	-154.5844
25.000000	107.342	-154.9696
25.400000	107.364	-155.4716
25.799999	107.385	-155.9615
26.200001	107.406	-156.4412
26.500000	107.421	-156.7948
26.900000	107.440	-157.2581
27.200001	107.453	-157.5990
27.600000	107.471	-158.0442
28.000000	107.487	-158.4789
28.500000	107.508	-159.0090
29.000000	107.527	-159.5270
29.500000	107.546	-160.0329
30.000000	107.564	-160.5243
30.400000	107.577	-160.9059
30.700001	107.588	-161.1856
31.100000	107.601	-161.5514
31.500000	107.615	-161.9109
32.000000	107.633	-162.3536
32.500000	107.650	-162.7901
33.000000	107.667	-163.2212
33.500000	107.683	-163.6484
34.000000	107.699	-164.0730
34.500000	107.713	-164.4944
35.000000	107.726	-164.9104
35.500000	107.737	-165.3182
36.000000	107.748	-165.7171
36.500000	107.758	-166.1082
37.000000	107.767	-166.4925
37.500000	107.776	-166.8703
38.200001	107.787	-167.3872
38.700001	107.795	-167.7475
39.500000	107.806	-168.3103
40.000000	107.813	-168.6550
40.599998	107.821	-169.0621
41.200001	107.828	-169.4617
41.799999	107.835	-169.8529
42.500000	107.842	-170.2983
43.099998	107.848	-170.6708
43.700001	107.853	-171.0369
44.400002	107.859	-171.4581
45.000000	107.864	-171.8137
45.500000	107.867	-172.1049
46.200001	107.871	-172.5052
46.799999	107.874	-172.8431
47.500000	107.878	-173.2320
48.200001	107.880	-173.6139
48.700001	107.882	-173.8818
49.400002	107.884	-174.2508
50.000000	107.885	-174.5623
50.799999	107.887	-174.9707
51.500000	107.888	-175.3208
52.200001	107.889	-175.6647
53.000000	107.890	-176.0533
53.799999	107.890	-176.4384
54.500000	107.890	-176.7706
55.200001	107.889	-177.0972
56.000000	107.888	-177.4641
57.000000	107.887	-177.9152
58.000000	107.885	-178.3595
59.000000	107.882	-178.7956
60.000000	107.878	-179.2226
60.799999	107.875	-179.5587
61.500000	107.873	-179.8488
62.200001	107.870	179.8639
63.000000	107.867	179.5380
64.000000	107.861	179.1366
65.000000	107.856	178.7433
66.000000	107.850	178.3562
67.000000	107.843	177.9748
68.000000	107.836	177.5997
69.000000	107.828	177.2306
70.000000	107.821	176.8666
71.000000	107.812	176.5075
72.000000	107.804	176.1541
73.000000	107.795	175.8060
74.000000	107.785	175.4619
75.000000	107.776	175.1215
76.199997	107.764	174.7195
77.500000	107.750	174.2913
78.800003	107.737	173.8692
80.000000	107.724	173.4857
81.199997	107.710	173.1092
82.500000	107.695	172.7080
83.800003	107.679	172.3127
85.000000	107.664	171.9526
86.199997	107.648	171.5967
87.500000	107.631	171.2171
88.500000	107.617	170.9293
90.000000	107.596	170.5008
91.199997	107.579	170.1625
92.500000	107.560	169.8036
93.800003	107.540	169.4506
95.000000	107.522	169.1296
96.199997	107.503	168.8140
97.500000	107.483	168.4766
98.800003	107.461	168.1435
100.000000	107.441	167.8413
101.500000	107.416	167.4726
103.000000	107.389	167.1133
104.400002	107.364	166.7866
106.000000	107.335	166.4249
107.500000	107.307	166.0974
109.000000	107.279	165.7832
110.599998	107.249	165.4655
112.000000	107.224	165.2011
113.800003	107.194	164.8774
115.000000	107.176	164.6703
117.199997	107.147	164.2963
118.000000	107.138	164.1578
120.599998	107.113	163.6772
122.000000	107.101	163.3935
124.099998	107.079	162.9391
125.000000	107.069	162.7363
126.500000	107.049	162.3935
128.000000	107.027	162.0505
131.500000	106.966	161.2791
132.000000	106.956	161.1741
134.000000	106.917	160.7679
136.000000	106.877	160.3828
138.000000	106.837	160.0162
140.000000	106.797	159.6650
143.000000	106.739	159.1619
145.000000	106.701	158.8405
147.500000	106.656	158.4462
150.000000	106.614	158.0475
152.500000	106.572	157.6378
155.000000	106.528	157.2189
157.500000	106.483	156.7972
160.000000	106.434	156.3824
162.500000	106.383	155.9799
165.000000	106.330	155.5924
167.500000	106.276	155.2214
170.000000	106.223	154.8654
172.500000	106.169	154.5240
175.000000	106.115	154.1958
177.500000	106.061	153.8784
180.000000	106.007	153.5713
182.500000	105.955	153.2741
185.000000	105.903	152.9862
187.500000	105.851	152.7056
190.000000	105.800	152.4296
192.500000	105.749	152.1582
195.000000	105.698	151.8922
197.500000	105.647	151.6305
200.000000	105.596	151.3727
203.000000	105.535	151.0671
206.000000	105.472	150.7685
209.000000	105.410	150.4826
212.000000	105.347	150.2095
214.000000	105.304	150.0332
218.000000	105.220	149.6947
220.000000	105.178	149.5329
224.000000	105.095	149.2232
227.000000	105.032	149.0027
230.000000	104.971	148.7921
233.000000	104.909	148.5905
236.000000	104.848	148.3969
240.000000	104.767	148.1506
243.000000	104.706	147.9749
247.000000	104.625	147.7545
250.000000	104.564	147.6005
254.000000	104.482	147.4140
258.000000	104.401	147.2560
262.000000	104.321	147.1306
265.000000	104.263	147.0603
269.000000	104.190	146.9979
272.000000	104.140	146.9688
276.000000	104.081	146.9332
280.000000	104.030	146.8717
285.000000	103.975	146.7220
290.000000	103.917	146.4870
295.000000	103.852	146.2032
300.000000	103.777	145.9159
304.000000	103.712	145.7014
307.000000	103.661	145.5539
311.000000	103.592	145.3768
315.000000	103.522	145.2208
320.000000	103.434	145.0523
325.000000	103.346	144.9105
330.000000	103.259	144.7946
335.000000	103.173	144.6995
340.000000	103.088	144.6212
345.000000	103.004	144.5589
350.000000	102.921	144.5107
355.000000	102.840	144.4749
360.000000	102.759	144.4518
365.000000	102.680	144.4415
370.000000	102.601	144.4433
375.000000	102.523	144.4572
382.000000	102.416	144.4946
387.000000	102.341	144.5346
395.000000	102.224	144.6198
400.000000	102.151	144.6854
406.000000	102.065	144.7758
412.000000	101.981	144.8798
418.000000	101.898	144.9973
425.000000	101.803	145.1502
431.000000	101.723	145.2950
437.000000	101.645	145.4517
444.000000	101.555	145.6491
450.000000	101.480	145.8299
455.000000	101.418	145.9885
462.000000	101.333	146.2227
468.000000	101.261	146.4352
475.000000	101.179	146.6965
482.000000	101.099	146.9716
487.000000	101.043	147.1770
494.000000	100.966	147.4771
500.000000	100.901	147.7445
508.000000	100.817	148.1146
515.000000	100.744	148.4535
522.000000	100.674	148.8070
530.000000	100.595	149.2264
538.000000	100.519	149.6619
545.000000	100.454	150.0575
552.000000	100.392	150.4655
560.000000	100.322	150.9464
570.000000	100.238	151.5695
580.000000	100.158	152.2144
590.000000	100.082	152.8821
600.000000	100.008	153.5730
608.000000	99.952	154.1422
615.000000	99.905	154.6522
622.000000	99.860	155.1736
630.000000	99.810	155.7842
640.000000	99.752	156.5681
650.000000	99.698	157.3723
660.000000	99.647	158.1978
670.000000	99.601	159.0457
680.000000	99.559	159.9152
690.000000	99.521	160.8047
700.000000	99.487	161.7131
710.000000	99.458	162.6406
720.000000	99.434	163.5872
730.000000	99.414	164.5512
740.000000	99.399	165.5310
750.000000	99.389	166.5263
762.000000	99.384	167.7409
775.000000	99.387	169.0784
788.000000	99.398	170.4368
800.000000	99.417	171.7059
812.000000	99.444	172.9870
825.000000	99.483	174.3875
838.000000	99.531	175.7971
850.000000	99.584	177.1038
862.000000	99.645	178.4124
875.000000	99.721	179.8267
885.000000	99.786	-179.0896
900.000000	99.894	-177.4746
912.000000	99.990	-176.1953
925.000000	100.104	-174.8264
938.000000	100.226	-173.4788
950.000000	100.347	-172.2559
962.000000	100.476	-171.0567
975.000000	100.623	-169.7881
988.000000	100.778	-168.5547
1000.000000	100.928	-167.4488
1015.000000	101.123	-166.1125
1030.000000	101.326	-164.8302
1044.000000	101.523	-163.6856
1060.000000	101.755	-162.4427
1075.000000	101.979	-161.3415
1090.000000	102.209	-160.3033
1106.000000	102.459	-159.2642
1120.000000	102.681	-158.4113
1138.000000	102.971	-157.3927
1150.000000	103.167	-156.7630
1172.000000	103.530	-155.7089
1180.000000	103.662	-155.3572
1206.000000	104.097	-154.3319
1220.000000	104.332	-153.8559
1241.000000	104.685	-153.2376
1250.000000	104.837	-153.0069
1265.000000	105.090	-152.6684
1280.000000	105.343	-152.3883
1315.000000	105.930	-151.9763
1320.000000	106.013	-151.9458
1340.000000	106.343	-151.8936
1360.000000	106.668	-151.9515
1380.000000	106.985	-152.1178
1400.000000	107.294	-152.3887
1430.000000	107.738	-152.9863
1450.000000	108.018	-153.5034
1475.000000	108.349	-154.2728
1500.000000	108.654	-155.1640
1525.000000	108.932	-156.1511
1550.000000	109.179	-157.2103
1575.000000	109.397	-158.3137
1600.000000	109.583	-159.4330
1625.000000	109.738	-160.5439
1650.000000	109.863	-161.6214
1675.000000	109.960	-162.6436
1700.000000	110.032	-163.5957
1725.000000	110.082	-164.4642
1750.000000	110.112	-165.2398
1775.000000	110.125	-165.9153
1800.000000	110.125	-166.4874
1825.000000	110.113	-166.9567
1850.000000	110.092	-167.3244
1875.000000	110.064	-167.5956
1900.000000	110.033	-167.7756
1925.000000	109.998	-167.8722
1950.000000	109.962	-167.8937
1975.000000	109.924	-167.8458
2000.000000	109.888	-167.7366
2030.000000	109.846	-167.5377
2060.000000	109.807	-167.2772
2090.000000	109.770	-166.9672
2120.000000	109.737	-166.6186
2140.000000	109.717	-166.3699
2180.000000	109.679	-165.8485
2200.000000	109.662	-165.5807
2240.000000	109.629	-165.0399
2270.000000	109.604	-164.6332
2300.000000	109.579	-164.2252
2330.000000	109.552	-163.8133
2360.000000	109.524	-163.3922
2400.000000	109.486	-162.8056
2430.000000	109.460	-162.3434
2470.000000	109.434	-161.7184
2500.000000	109.424	-161.2896
2540.000000	109.418	-160.8661
2580.000000	109.402	-160.6675
2620.000000	109.354	-160.6447
2650.000000	109.293	-160.6757
2690.000000	109.176	-160.6994
2720.000000	109.064	-160.6680
2760.000000	108.890	-160.5319
2800.000000	108.689	-160.2744
2850.000000	108.406	-159.7674
2900.000000	108.089	-159.0391
2950.000000	107.742	-158.0679
3000.000000	107.364	-156.8159
3040.000000	107.039	-155.5699
3070.000000	106.784	-154.4604
3110.000000	106.432	-152.6964
3150.000000	106.076	-150.5464
3200.000000	105.649	-147.2465
3250.000000	105.283	-143.2603
3300.000000	105.031	-138.7305
3350.000000	104.941	-134.0417
3400.000000	105.017	-129.8016
3450.000000	105.191	-126.5721
3500.000000	105.350	-124.4921
3550.000000	105.405	-123.1806
3600.000000	105.331	-122.0157
3650.000000	105.161	-120.4813
3700.000000	104.953	-118.3383
3750.000000	104.769	-115.6132
3820.000000	104.627	-111.1827
3870.000000	104.631	-107.8868
3950.000000	104.824	-102.9310
4000.000000	105.052	-100.2753
4060.000000	105.418	-97.7587
4120.000000	105.864	-96.1670
4180.000000	106.361	-95.6843
4250.000000	106.959	-96.7429
4310.000000	107.439	-99.1858
4370.000000	107.828	-103.0817
4440.000000	108.093	-109.2583
4500.000000	108.105	-115.5141
4550.000000	107.952	-120.9960
4620.000000	107.512	-128.4593
4680.000000	106.978	-134.2415
4750.000000	106.264	-140.0224
4820.000000	105.552	-144.8183
4870.000000	105.089	-147.7704
4940.000000	104.547	-151.4247
5000.000000	104.203	-154.2352
5080.000000	103.937	-157.6682
5150.000000	103.890	-160.4740
5220.000000	104.010	-163.1582
5300.000000	104.329	-166.1471
5380.000000	104.810	-169.1536
5450.000000	105.324	-171.8922
5520.000000	105.885	-174.8095
5600.000000	106.533	-178.4305
5700.000000	107.262	176.5990
5800.000000	107.801	171.3502
5900.000000	108.084	166.3170
6000.000000	108.107	162.0776
6080.000000	107.965	159.5182
6150.000000	107.746	157.9411
6220.000000	107.449	156.9872
6300.000000	107.014	156.7113
6400.000000	106.318	158.0869
6500.000000	105.571	162.2445
6600.000000	105.043	168.6337
6700.000000	104.808	175.6454
6800.000000	104.754	-177.5306
6900.000000	104.788	-170.9334
7000.000000	104.881	-164.4229
7100.000000	105.034	-157.9710
7200.000000	105.249	-151.6554
7300.000000	105.522	-145.5725
7400.000000	105.846	-139.8025
7500.000000	106.218	-134.4397
7620.000000	106.720	-128.7433
7750.000000	107.295	-123.8400
7880.000000	107.824	-120.6252
8000.000000	108.168	-119.2901
8120.000000	108.266	-119.2965
8250.000000	108.001	-120.0751
8380.000000	107.312	-120.5469
8500.000000	106.325	-119.8063
8620.000000	105.056	-117.3703
8750.000000	103.427	-112.5584
8850.000000	102.000	-107.1922
9000.000000	99.469	-94.7921
9120.000000	97.049	-77.1845
9250.000000	94.857	-44.8096
9380.000000	96.274	-4.5505
9500.000000	99.824	22.7660
9620.000000	102.951	34.4730
9750.000000	105.310	35.8506
9880.000000	106.699	33.0683
10000.000000	107.350	30.7477
10150.000000	107.669	30.1331
10300.000000	107.759	31.8128
10440.000000	107.779	34.4871
10600.000000	107.748	37.8876
10750.000000	107.614	40.9791
10900.000000	107.313	44.0790
11060.000000	106.777	47.8847
11200.000000	106.141	52.0814
11380.000000	105.164	59.0990
11500.000000	104.466	64.8727
11720.000000	103.229	77.5994
11800.000000	102.831	82.7434
12060.000000	101.784	100.2558
12200.000000	101.372	109.9460
12410.000000	101.001	124.2183
12500.000000	100.933	129.9396
12650.000000	100.905	138.5627
12800.000000	100.924	145.7164
13150.000000	100.585	155.5761
13200.000000	100.428	156.3292
13400.000000	99.401	158.9654
13600.000000	97.710	163.0078
13800.000000	95.424	171.0601
14000.000000	92.788	-174.6864
14300.000000	89.536	-147.3073
14500.000000	87.817	-128.8807
14750.000000	85.698	-103.5356
15000.000000	83.858	-74.5613
15250.000000	82.545	-43.5465
15500.000000	81.899	-10.0906
15750.000000	82.367	23.3918
16000.000000	83.639	52.6088
16250.000000	84.998	76.5231
16500.000000	86.113	97.0885
16750.000000	87.030	116.6353
17000.000000	87.985	135.9958
