* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 12, 2023 9:57:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kinera Odin Show R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	106.810	-150.4447
20.299999	106.829	-150.9327
20.600000	106.848	-151.4018
20.900000	106.867	-151.8526
21.200001	106.887	-152.2897
21.400000	106.901	-152.5774
21.799999	106.930	-153.1484
22.000000	106.944	-153.4328
22.400000	106.971	-153.9965
22.700001	106.989	-154.4084
23.000000	107.008	-154.8052
23.299999	107.026	-155.1868
23.600000	107.046	-155.5576
24.000000	107.075	-156.0477
24.299999	107.098	-156.4220
24.700001	107.128	-156.9363
25.000000	107.149	-157.3308
25.400000	107.172	-157.8572
25.799999	107.191	-158.3688
26.200001	107.206	-158.8558
26.500000	107.217	-159.2040
26.900000	107.232	-159.6487
27.200001	107.242	-159.9700
27.600000	107.257	-160.3846
28.000000	107.272	-160.7855
28.500000	107.293	-161.2725
29.000000	107.316	-161.7553
29.500000	107.340	-162.2466
30.000000	107.363	-162.7514
30.400000	107.379	-163.1617
30.700001	107.390	-163.4699
31.100000	107.403	-163.8766
31.500000	107.414	-164.2746
32.000000	107.426	-164.7569
32.500000	107.437	-165.2224
33.000000	107.447	-165.6741
33.500000	107.456	-166.1152
34.000000	107.465	-166.5471
34.500000	107.473	-166.9693
35.000000	107.481	-167.3817
35.500000	107.488	-167.7857
36.000000	107.494	-168.1829
36.500000	107.500	-168.5730
37.000000	107.505	-168.9541
37.500000	107.509	-169.3251
38.200001	107.514	-169.8302
38.700001	107.517	-170.1837
39.500000	107.522	-170.7383
40.000000	107.525	-171.0769
40.599998	107.527	-171.4749
41.200001	107.530	-171.8646
41.799999	107.532	-172.2468
42.500000	107.534	-172.6838
43.099998	107.536	-173.0515
43.700001	107.537	-173.4125
44.400002	107.538	-173.8250
45.000000	107.539	-174.1714
45.500000	107.539	-174.4557
46.200001	107.540	-174.8474
46.799999	107.540	-175.1766
47.500000	107.540	-175.5534
48.200001	107.540	-175.9260
48.700001	107.539	-176.1903
49.400002	107.538	-176.5556
50.000000	107.537	-176.8626
50.799999	107.535	-177.2651
51.500000	107.533	-177.6130
52.200001	107.531	-177.9558
53.000000	107.528	-178.3416
53.799999	107.525	-178.7223
54.500000	107.521	-179.0504
55.200001	107.518	-179.3731
56.000000	107.513	-179.7377
57.000000	107.506	179.8127
58.000000	107.498	179.3753
59.000000	107.491	178.9487
60.000000	107.483	178.5281
60.799999	107.477	178.1944
61.500000	107.471	177.9048
62.200001	107.465	177.6187
63.000000	107.457	177.2980
64.000000	107.447	176.9069
65.000000	107.437	176.5235
66.000000	107.427	176.1433
67.000000	107.416	175.7686
68.000000	107.404	175.4016
69.000000	107.393	175.0389
70.000000	107.380	174.6805
71.000000	107.368	174.3295
72.000000	107.355	173.9858
73.000000	107.342	173.6460
74.000000	107.328	173.3099
75.000000	107.314	172.9811
76.199997	107.297	172.5976
77.500000	107.278	172.1945
78.800003	107.261	171.8040
80.000000	107.246	171.4477
81.199997	107.233	171.0837
82.500000	107.217	170.6757
83.800003	107.199	170.2647
85.000000	107.179	169.8941
86.199997	107.159	169.5338
87.500000	107.137	169.1512
88.500000	107.119	168.8626
90.000000	107.092	168.4415
91.199997	107.071	168.1123
92.500000	107.047	167.7611
93.800003	107.024	167.4143
95.000000	107.002	167.0980
96.199997	106.979	166.7865
97.500000	106.954	166.4551
98.800003	106.929	166.1291
100.000000	106.905	165.8331
101.500000	106.875	165.4690
103.000000	106.844	165.1110
104.400002	106.814	164.7828
106.000000	106.780	164.4156
107.500000	106.748	164.0798
109.000000	106.714	163.7538
110.599998	106.678	163.4202
112.000000	106.646	163.1409
113.800003	106.608	162.7816
115.000000	106.583	162.5307
117.199997	106.531	162.0711
118.000000	106.511	161.9129
120.599998	106.442	161.4391
122.000000	106.405	161.2067
124.099998	106.347	160.8854
125.000000	106.322	160.7595
126.500000	106.281	160.5689
128.000000	106.241	160.4076
131.500000	106.156	160.1758
132.000000	106.146	160.1567
134.000000	106.118	160.0793
136.000000	106.105	159.9286
138.000000	106.092	159.6497
140.000000	106.060	159.3312
143.000000	105.996	159.1214
145.000000	105.981	159.1325
147.500000	106.002	159.0245
150.000000	106.035	158.6215
152.500000	106.048	158.0023
155.000000	106.034	157.3162
157.500000	106.000	156.6487
160.000000	105.952	156.0313
162.500000	105.896	155.4738
165.000000	105.834	154.9739
167.500000	105.770	154.5254
170.000000	105.704	154.1223
172.500000	105.638	153.7607
175.000000	105.573	153.4376
177.500000	105.509	153.1499
180.000000	105.449	152.8945
182.500000	105.393	152.6642
185.000000	105.342	152.4463
187.500000	105.294	152.2242
190.000000	105.250	151.9863
192.500000	105.206	151.7313
195.000000	105.159	151.4666
197.500000	105.111	151.2032
200.000000	105.061	150.9515
203.000000	105.001	150.6754
206.000000	104.942	150.4274
209.000000	104.886	150.1977
212.000000	104.833	149.9775
214.000000	104.801	149.8308
218.000000	104.741	149.5148
220.000000	104.712	149.3372
224.000000	104.653	148.9423
227.000000	104.603	148.6254
230.000000	104.550	148.3079
233.000000	104.492	148.0023
236.000000	104.432	147.7146
240.000000	104.350	147.3621
243.000000	104.287	147.1192
247.000000	104.204	146.8185
250.000000	104.141	146.6090
254.000000	104.059	146.3503
258.000000	103.977	146.1107
262.000000	103.896	145.8882
265.000000	103.837	145.7313
269.000000	103.757	145.5344
272.000000	103.698	145.3964
276.000000	103.621	145.2238
280.000000	103.544	145.0618
285.000000	103.449	144.8740
290.000000	103.355	144.7023
295.000000	103.263	144.5449
300.000000	103.171	144.4034
304.000000	103.099	144.3035
307.000000	103.045	144.2359
311.000000	102.974	144.1552
315.000000	102.903	144.0842
320.000000	102.817	144.0083
325.000000	102.732	143.9456
330.000000	102.649	143.8906
335.000000	102.567	143.8417
340.000000	102.486	143.8033
345.000000	102.405	143.7769
350.000000	102.325	143.7647
355.000000	102.245	143.7680
360.000000	102.167	143.7862
365.000000	102.091	143.8185
370.000000	102.017	143.8625
375.000000	101.945	143.9120
382.000000	101.847	143.9924
387.000000	101.780	144.0597
395.000000	101.677	144.1541
400.000000	101.613	144.2017
406.000000	101.535	144.2571
412.000000	101.454	144.3203
418.000000	101.373	144.4002
425.000000	101.277	144.5196
431.000000	101.196	144.6458
437.000000	101.115	144.7927
444.000000	101.023	144.9869
450.000000	100.944	145.1722
455.000000	100.880	145.3396
462.000000	100.792	145.5918
468.000000	100.719	145.8236
475.000000	100.635	146.1126
482.000000	100.554	146.4200
487.000000	100.497	146.6503
494.000000	100.419	146.9871
500.000000	100.354	147.2895
508.000000	100.269	147.7129
515.000000	100.197	148.1042
522.000000	100.127	148.5165
530.000000	100.051	149.0140
538.000000	99.979	149.5389
545.000000	99.919	150.0179
552.000000	99.864	150.5117
560.000000	99.806	151.0919
570.000000	99.741	151.8345
580.000000	99.684	152.5881
590.000000	99.635	153.3458
600.000000	99.592	154.0992
608.000000	99.561	154.6964
615.000000	99.536	155.2145
622.000000	99.512	155.7278
630.000000	99.485	156.3100
640.000000	99.453	157.0389
650.000000	99.421	157.7750
660.000000	99.390	158.5216
670.000000	99.360	159.2838
680.000000	99.331	160.0655
690.000000	99.305	160.8692
700.000000	99.280	161.6930
710.000000	99.259	162.5407
720.000000	99.241	163.4142
730.000000	99.227	164.3015
740.000000	99.215	165.2068
750.000000	99.206	166.1418
762.000000	99.201	167.2979
775.000000	99.202	168.5886
788.000000	99.215	169.9012
800.000000	99.239	171.1055
812.000000	99.274	172.3177
825.000000	99.320	173.6564
838.000000	99.375	175.0205
850.000000	99.432	176.2993
862.000000	99.495	177.5755
875.000000	99.574	178.9465
885.000000	99.642	-179.9998
900.000000	99.754	-178.4267
912.000000	99.853	-177.1794
925.000000	99.969	-175.8438
938.000000	100.094	-174.5273
950.000000	100.219	-173.3342
962.000000	100.350	-172.1665
975.000000	100.501	-170.9331
988.000000	100.659	-169.7342
1000.000000	100.812	-168.6604
1015.000000	101.011	-167.3661
1030.000000	101.218	-166.1275
1044.000000	101.418	-165.0234
1060.000000	101.654	-163.8250
1075.000000	101.882	-162.7649
1090.000000	102.114	-161.7666
1106.000000	102.368	-160.7693
1120.000000	102.593	-159.9541
1138.000000	102.886	-158.9866
1150.000000	103.083	-158.3908
1172.000000	103.449	-157.4008
1180.000000	103.583	-157.0732
1206.000000	104.020	-156.1267
1220.000000	104.258	-155.6910
1241.000000	104.614	-155.1348
1250.000000	104.767	-154.9324
1265.000000	105.021	-154.6411
1280.000000	105.274	-154.4069
1315.000000	105.860	-154.0892
1320.000000	105.943	-154.0709
1340.000000	106.273	-154.0655
1360.000000	106.597	-154.1657
1380.000000	106.915	-154.3748
1400.000000	107.224	-154.6924
1430.000000	107.668	-155.3623
1450.000000	107.948	-155.9271
1475.000000	108.277	-156.7510
1500.000000	108.579	-157.6899
1525.000000	108.854	-158.7188
1550.000000	109.098	-159.8150
1575.000000	109.313	-160.9560
1600.000000	109.496	-162.1127
1625.000000	109.649	-163.2575
1650.000000	109.772	-164.3681
1675.000000	109.867	-165.4235
1700.000000	109.938	-166.4070
1725.000000	109.986	-167.3048
1750.000000	110.015	-168.1092
1775.000000	110.027	-168.8113
1800.000000	110.027	-169.4072
1825.000000	110.014	-169.9012
1850.000000	109.994	-170.2972
1875.000000	109.966	-170.5979
1900.000000	109.935	-170.8082
1925.000000	109.900	-170.9360
1950.000000	109.864	-170.9902
1975.000000	109.826	-170.9764
2000.000000	109.790	-170.9018
2030.000000	109.747	-170.7445
2060.000000	109.707	-170.5251
2090.000000	109.669	-170.2552
2120.000000	109.634	-169.9454
2140.000000	109.613	-169.7219
2180.000000	109.573	-169.2458
2200.000000	109.554	-168.9974
2240.000000	109.518	-168.4877
2270.000000	109.491	-168.0966
2300.000000	109.464	-167.6960
2330.000000	109.437	-167.2814
2360.000000	109.410	-166.8457
2400.000000	109.379	-166.2266
2430.000000	109.364	-165.7511
2470.000000	109.358	-165.1744
2500.000000	109.360	-164.8482
2540.000000	109.354	-164.5998
2580.000000	109.321	-164.5098
2620.000000	109.253	-164.4680
2650.000000	109.180	-164.4134
2690.000000	109.060	-164.2737
2720.000000	108.956	-164.1138
2760.000000	108.802	-163.8314
2800.000000	108.628	-163.4716
2850.000000	108.384	-162.8945
2900.000000	108.108	-162.1320
2950.000000	107.803	-161.1356
3000.000000	107.472	-159.8574
3040.000000	107.191	-158.5905
3070.000000	106.975	-157.4705
3110.000000	106.683	-155.7127
3150.000000	106.400	-153.6145
3200.000000	106.085	-150.4961
3250.000000	105.854	-146.9244
3300.000000	105.745	-143.1872
3350.000000	105.768	-139.7513
3400.000000	105.879	-137.0983
3450.000000	105.989	-135.4311
3500.000000	106.014	-134.5163
3550.000000	105.916	-133.8419
3600.000000	105.710	-132.9046
3650.000000	105.443	-131.3869
3700.000000	105.172	-129.1916
3750.000000	104.950	-126.4100
3820.000000	104.790	-121.9514
3870.000000	104.804	-118.7153
3950.000000	105.042	-114.0812
4000.000000	105.306	-111.8044
4060.000000	105.713	-109.9383
4120.000000	106.186	-109.2100
4180.000000	106.688	-109.7924
4250.000000	107.246	-112.2907
4310.000000	107.639	-116.0248
4370.000000	107.890	-121.0780
4440.000000	107.943	-128.1489
4500.000000	107.760	-134.6138
4550.000000	107.460	-139.8795
4620.000000	106.866	-146.6115
4680.000000	106.261	-151.5784
4750.000000	105.530	-156.4120
4820.000000	104.848	-160.3498
4870.000000	104.427	-162.7318
4940.000000	103.960	-165.6259
5000.000000	103.689	-167.8091
5080.000000	103.521	-170.4373
5150.000000	103.550	-172.5726
5220.000000	103.729	-174.6189
5300.000000	104.091	-176.9103
5380.000000	104.589	-179.2347
5450.000000	105.102	178.6205
5520.000000	105.653	176.2978
5600.000000	106.288	173.3508
5700.000000	107.008	169.1929
5800.000000	107.554	164.6790
5900.000000	107.861	160.2381
6000.000000	107.914	156.3940
6080.000000	107.789	154.0356
6150.000000	107.571	152.6034
6220.000000	107.258	151.8505
6300.000000	106.793	152.0956
6400.000000	106.152	154.6776
6500.000000	105.684	159.0333
6600.000000	105.321	163.8402
6700.000000	105.035	169.7076
6800.000000	104.912	175.9498
6900.000000	104.883	-177.8327
7000.000000	104.923	-171.6113
7100.000000	105.026	-165.4324
7200.000000	105.190	-159.3810
7300.000000	105.403	-153.5487
7400.000000	105.656	-147.9870
7500.000000	105.944	-142.7048
7620.000000	106.356	-136.8099
7750.000000	106.898	-131.5307
7880.000000	107.441	-128.2082
8000.000000	107.797	-127.1147
8120.000000	107.884	-127.6455
8250.000000	107.558	-129.2188
8380.000000	106.738	-130.5354
8500.000000	105.559	-130.4281
8620.000000	104.021	-128.3719
