* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 12, 2023 9:55:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kinera Skuld Show L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	98.667	-136.2922
20.299999	98.701	-137.0076
20.600000	98.733	-137.7090
20.900000	98.763	-138.3951
21.200001	98.791	-139.0643
21.400000	98.810	-139.5002
21.799999	98.844	-140.3470
22.000000	98.861	-140.7584
22.400000	98.894	-141.5595
22.700001	98.918	-142.1441
23.000000	98.941	-142.7173
23.299999	98.964	-143.2800
23.600000	98.986	-143.8324
24.000000	99.014	-144.5516
24.299999	99.033	-145.0773
24.700001	99.058	-145.7595
25.000000	99.076	-146.2580
25.400000	99.099	-146.9074
25.799999	99.121	-147.5418
26.200001	99.142	-148.1625
26.500000	99.157	-148.6186
26.900000	99.175	-149.2129
27.200001	99.188	-149.6475
27.600000	99.205	-150.2124
28.000000	99.221	-150.7623
28.500000	99.240	-151.4320
29.000000	99.258	-152.0844
29.500000	99.275	-152.7189
30.000000	99.291	-153.3344
30.400000	99.303	-153.8136
30.700001	99.312	-154.1664
31.100000	99.323	-154.6287
31.500000	99.333	-155.0823
32.000000	99.346	-155.6357
32.500000	99.357	-156.1726
33.000000	99.367	-156.6928
33.500000	99.376	-157.1976
34.000000	99.384	-157.6870
34.500000	99.391	-158.1594
35.000000	99.398	-158.6137
35.500000	99.404	-159.0507
36.000000	99.411	-159.4720
36.500000	99.417	-159.8784
37.000000	99.424	-160.2687
37.500000	99.431	-160.6426
38.200001	99.445	-161.1432
38.700001	99.457	-161.4919
39.500000	99.480	-162.0521
40.000000	99.496	-162.4109
40.599998	99.515	-162.8534
41.200001	99.533	-163.3067
41.799999	99.550	-163.7645
42.500000	99.565	-164.2941
43.099998	99.577	-164.7379
43.700001	99.588	-165.1719
44.400002	99.600	-165.6718
45.000000	99.610	-166.1006
45.500000	99.617	-166.4590
46.200001	99.625	-166.9582
46.799999	99.629	-167.3794
47.500000	99.632	-167.8598
48.200001	99.633	-168.3255
48.700001	99.632	-168.6471
49.400002	99.631	-169.0809
50.000000	99.629	-169.4392
50.799999	99.626	-169.9009
51.500000	99.624	-170.2913
52.200001	99.621	-170.6694
53.000000	99.619	-171.0889
53.799999	99.616	-171.4976
54.500000	99.613	-171.8473
55.200001	99.611	-172.1896
56.000000	99.608	-172.5739
57.000000	99.604	-173.0483
58.000000	99.599	-173.5122
59.000000	99.593	-173.9578
60.000000	99.587	-174.3864
60.799999	99.583	-174.7210
61.500000	99.580	-175.0097
62.200001	99.576	-175.2941
63.000000	99.570	-175.6118
64.000000	99.563	-175.9973
65.000000	99.556	-176.3704
66.000000	99.548	-176.7318
67.000000	99.542	-177.0852
68.000000	99.536	-177.4331
69.000000	99.531	-177.7791
70.000000	99.527	-178.1260
71.000000	99.523	-178.4735
72.000000	99.518	-178.8225
73.000000	99.513	-179.1687
74.000000	99.506	-179.5091
75.000000	99.499	-179.8436
76.199997	99.489	179.7621
77.500000	99.477	179.3403
78.800003	99.462	178.9311
80.000000	99.449	178.5681
81.199997	99.435	178.2171
82.500000	99.419	177.8494
83.800003	99.403	177.4966
85.000000	99.387	177.1851
86.199997	99.371	176.8898
87.500000	99.354	176.5879
88.500000	99.341	176.3671
90.000000	99.322	176.0587
91.199997	99.309	175.8339
92.500000	99.297	175.6125
93.800003	99.291	175.4022
95.000000	99.289	175.2050
96.199997	99.293	174.9934
97.500000	99.300	174.7313
98.800003	99.309	174.4237
100.000000	99.315	174.1045
101.500000	99.315	173.6837
103.000000	99.308	173.2669
104.400002	99.297	172.8938
106.000000	99.282	172.4897
107.500000	99.267	172.1287
109.000000	99.254	171.7761
110.599998	99.241	171.4038
112.000000	99.229	171.0742
113.800003	99.212	170.6364
115.000000	99.197	170.3455
117.199997	99.167	169.8361
