* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 12, 2023 9:52:27 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kinera Skuld Show R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	97.045	-123.6769
20.299999	97.091	-124.5090
20.600000	97.136	-125.3160
20.900000	97.180	-126.1024
21.200001	97.225	-126.8744
21.400000	97.254	-127.3839
21.799999	97.310	-128.3905
22.000000	97.336	-128.8859
22.400000	97.385	-129.8536
22.700001	97.420	-130.5532
23.000000	97.453	-131.2281
23.299999	97.486	-131.8812
23.600000	97.518	-132.5176
24.000000	97.561	-133.3471
24.299999	97.591	-133.9573
24.700001	97.630	-134.7511
25.000000	97.657	-135.3279
25.400000	97.692	-136.0704
25.799999	97.726	-136.7889
26.200001	97.758	-137.4915
26.500000	97.782	-138.0090
26.900000	97.810	-138.6801
27.200001	97.830	-139.1633
27.600000	97.856	-139.7773
28.000000	97.883	-140.3650
28.500000	97.921	-141.0869
29.000000	97.958	-141.8103
29.500000	97.992	-142.5216
30.000000	98.026	-143.2014
30.400000	98.054	-143.7273
30.700001	98.077	-144.1202
31.100000	98.107	-144.6510
31.500000	98.136	-145.1872
32.000000	98.168	-145.8459
32.500000	98.200	-146.4769
33.000000	98.233	-147.0936
33.500000	98.268	-147.7229
34.000000	98.299	-148.3708
34.500000	98.324	-149.0137
35.000000	98.344	-149.6276
35.500000	98.363	-150.2104
36.000000	98.383	-150.7776
36.500000	98.401	-151.3413
37.000000	98.417	-151.8998
37.500000	98.430	-152.4430
38.200001	98.447	-153.1663
38.700001	98.458	-153.6617
39.500000	98.478	-154.4426
40.000000	98.489	-154.9268
40.599998	98.499	-155.4919
41.200001	98.508	-156.0300
41.799999	98.517	-156.5436
42.500000	98.526	-157.1149
43.099998	98.535	-157.5737
43.700001	98.548	-158.0164
44.400002	98.566	-158.5543
45.000000	98.579	-159.0466
45.500000	98.585	-159.4565
46.200001	98.589	-160.0010
46.799999	98.592	-160.4493
47.500000	98.593	-160.9684
48.200001	98.589	-161.4551
