* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 12, 2023 11:02:32 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kinera Thing Show L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	96.340	-122.3712
20.299999	96.420	-123.1306
20.600000	96.498	-123.8832
20.900000	96.574	-124.6277
21.200001	96.648	-125.3627
21.400000	96.697	-125.8475
21.799999	96.791	-126.8062
22.000000	96.837	-127.2810
22.400000	96.927	-128.2227
22.700001	96.991	-128.9216
23.000000	97.053	-129.6119
23.299999	97.113	-130.2906
23.600000	97.170	-130.9554
24.000000	97.244	-131.8192
24.299999	97.298	-132.4521
24.700001	97.368	-133.2814
25.000000	97.420	-133.8963
25.400000	97.487	-134.7096
25.799999	97.551	-135.5143
26.200001	97.611	-136.3059
26.500000	97.654	-136.8891
26.900000	97.710	-137.6524
27.200001	97.751	-138.2161
27.600000	97.804	-138.9591
28.000000	97.855	-139.6943
28.500000	97.915	-140.6004
29.000000	97.972	-141.4873
29.500000	98.027	-142.3551
30.000000	98.080	-143.2097
30.400000	98.120	-143.8862
30.700001	98.148	-144.3871
31.100000	98.184	-145.0402
31.500000	98.217	-145.6700
32.000000	98.258	-146.4215
32.500000	98.301	-147.1426
33.000000	98.345	-147.8509
33.500000	98.391	-148.5577
34.000000	98.435	-149.2649
34.500000	98.479	-149.9705
35.000000	98.522	-150.6762
35.500000	98.564	-151.3863
36.000000	98.604	-152.1027
36.500000	98.640	-152.8221
37.000000	98.672	-153.5374
37.500000	98.701	-154.2413
38.200001	98.737	-155.1965
38.700001	98.761	-155.8561
39.500000	98.799	-156.8879
40.000000	98.822	-157.5265
40.599998	98.846	-158.2838
41.200001	98.868	-159.0208
41.799999	98.888	-159.7334
42.500000	98.911	-160.5412
43.099998	98.930	-161.2177
43.700001	98.949	-161.8787
44.400002	98.972	-162.6344
45.000000	98.992	-163.2796
45.500000	99.008	-163.8202
46.200001	99.029	-164.5779
46.799999	99.045	-165.2231
47.500000	99.063	-165.9737
48.200001	99.078	-166.7265
48.700001	99.086	-167.2612
49.400002	99.095	-167.9950
50.000000	99.101	-168.6078
50.799999	99.108	-169.4091
51.500000	99.113	-170.0989
52.200001	99.116	-170.7752
53.000000	99.118	-171.5321
53.799999	99.119	-172.2767
54.500000	99.119	-172.9199
55.200001	99.118	-173.5562
56.000000	99.114	-174.2733
57.000000	99.107	-175.1453
58.000000	99.098	-175.9887
59.000000	99.087	-176.8124
60.000000	99.075	-177.6107
60.799999	99.065	-178.2323
61.500000	99.057	-178.7705
62.200001	99.048	-179.3049
63.000000	99.037	-179.9069
64.000000	99.022	179.3549
65.000000	99.007	178.6272
66.000000	98.990	177.9091
67.000000	98.972	177.2030
68.000000	98.952	176.5096
69.000000	98.930	175.8304
70.000000	98.907	175.1674
71.000000	98.883	174.5179
72.000000	98.858	173.8756
73.000000	98.830	173.2489
74.000000	98.803	172.6435
75.000000	98.776	172.0487
76.199997	98.745	171.3483
77.500000	98.713	170.6047
78.800003	98.681	169.8611
80.000000	98.648	169.1889
81.199997	98.613	168.5341
82.500000	98.573	167.8380
83.800003	98.530	167.1541
85.000000	98.488	166.5356
86.199997	98.444	165.9328
87.500000	98.396	165.3080
88.500000	98.358	164.8470
90.000000	98.300	164.1954
91.199997	98.254	163.7154
92.500000	98.207	163.2161
93.800003	98.163	162.7260
95.000000	98.124	162.2713
96.199997	98.084	161.8152
97.500000	98.041	161.3285
98.800003	97.994	160.8522
100.000000	97.948	160.4561
101.500000	97.891	160.0165
103.000000	97.838	159.6393
104.400002	97.798	159.3242
106.000000	97.765	158.9885
107.500000	97.751	158.6337
109.000000	97.745	158.1950
110.599998	97.737	157.6262
112.000000	97.724	157.0777
113.800003	97.697	156.3218
115.000000	97.672	155.8129
117.199997	97.614	154.9083
118.000000	97.591	154.5945
120.599998	97.510	153.6269
122.000000	97.463	153.1307
124.099998	97.394	152.4252
125.000000	97.365	152.1267
126.500000	97.316	151.6413
128.000000	97.268	151.1696
131.500000	97.154	150.0946
132.000000	97.137	149.9443
134.000000	97.072	149.3385
136.000000	97.006	148.7392
138.000000	96.939	148.1390
140.000000	96.869	147.5273
143.000000	96.756	146.6170
145.000000	96.672	146.0272
147.500000	96.557	145.3712
150.000000	96.440	144.8239
152.500000	96.327	144.3710
155.000000	96.223	143.9834
157.500000	96.131	143.6089
160.000000	96.044	143.2228
