* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 12, 2023 10:16:58 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kinera Urd Show L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	101.787	1.0804
20.299999	101.766	0.5235
20.600000	101.743	-0.0233
20.900000	101.719	-0.5571
21.200001	101.695	-1.0749
21.400000	101.678	-1.4106
21.799999	101.645	-2.0615
22.000000	101.629	-2.3790
22.400000	101.597	-3.0032
22.700001	101.574	-3.4657
23.000000	101.550	-3.9243
23.299999	101.525	-4.3768
23.600000	101.498	-4.8204
24.000000	101.462	-5.3943
24.299999	101.435	-5.8102
24.700001	101.398	-6.3463
25.000000	101.370	-6.7373
25.400000	101.334	-7.2474
25.799999	101.298	-7.7481
26.200001	101.262	-8.2407
26.500000	101.235	-8.6047
26.900000	101.197	-9.0817
27.200001	101.169	-9.4323
27.600000	101.131	-9.8887
28.000000	101.093	-10.3318
28.500000	101.046	-10.8688
29.000000	101.000	-11.3927
29.500000	100.955	-11.9104
30.000000	100.909	-12.4239
30.400000	100.870	-12.8282
30.700001	100.841	-13.1250
31.100000	100.801	-13.5089
31.500000	100.761	-13.8788
32.000000	100.712	-14.3246
32.500000	100.663	-14.7570
33.000000	100.614	-15.1799
33.500000	100.565	-15.5939
34.000000	100.516	-15.9980
34.500000	100.467	-16.3918
35.000000	100.417	-16.7755
35.500000	100.368	-17.1490
36.000000	100.318	-17.5120
36.500000	100.268	-17.8639
37.000000	100.218	-18.2051
37.500000	100.169	-18.5370
38.200001	100.100	-18.9890
38.700001	100.051	-19.3028
39.500000	99.973	-19.7852
