* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 12, 2023 10:16:09 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kinera Urd Show R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	100.294	2.8405
20.299999	100.279	2.3932
20.600000	100.266	1.9511
20.900000	100.253	1.5066
21.200001	100.240	1.0552
21.400000	100.230	0.7518
21.799999	100.208	0.1451
22.000000	100.196	-0.1544
22.400000	100.169	-0.7395
22.700001	100.148	-1.1659
23.000000	100.126	-1.5853
23.299999	100.104	-2.0015
23.600000	100.081	-2.4140
24.000000	100.048	-2.9520
24.299999	100.021	-3.3378
24.700001	99.986	-3.8201
25.000000	99.961	-4.1605
25.400000	99.932	-4.6004
25.799999	99.906	-5.0444
26.200001	99.880	-5.4999
26.500000	99.858	-5.8408
26.900000	99.828	-6.2781
27.200001	99.805	-6.5850
27.600000	99.776	-6.9691
28.000000	99.750	-7.3430
28.500000	99.721	-7.8239
29.000000	99.690	-8.3181
29.500000	99.655	-8.7980
30.000000	99.620	-9.2528
30.400000	99.594	-9.6151
30.700001	99.574	-9.8966
31.100000	99.546	-10.2877
31.500000	99.513	-10.6840
32.000000	99.466	-11.1547
32.500000	99.414	-11.5751
33.000000	99.364	-11.9535
33.500000	99.317	-12.3124
34.000000	99.271	-12.6614
34.500000	99.225	-12.9931
35.000000	99.181	-13.3040
35.500000	99.141	-13.6066
36.000000	99.103	-13.9172
36.500000	99.065	-14.2377
37.000000	99.025	-14.5564
37.500000	98.986	-14.8667
38.200001	98.932	-15.3014
38.700001	98.891	-15.6188
39.500000	98.821	-16.1036
40.000000	98.777	-16.3780
40.599998	98.725	-16.6943
41.200001	98.674	-17.0095
41.799999	98.620	-17.3024
42.500000	98.560	-17.5952
43.099998	98.515	-17.8392
43.700001	98.473	-18.1117
44.400002	98.418	-18.4444
45.000000	98.369	-18.7061
45.500000	98.328	-18.9066
46.200001	98.272	-19.1818
46.799999	98.223	-19.4139
47.500000	98.165	-19.6652
48.200001	98.110	-19.9018
48.700001	98.071	-20.0731
49.400002	98.016	-20.3160
50.000000	97.968	-20.5151
50.799999	97.905	-20.7667
51.500000	97.851	-20.9865
52.200001	97.795	-21.2009
53.000000	97.731	-21.4192
53.799999	97.670	-21.6127
54.500000	97.620	-21.7784
55.200001	97.571	-21.9483
