* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.5 dBFS with no timing reference
* Dated: Dec 22, 2023 8:18:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kiwi Ears Cadenza L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 103.766 -160.7771
20.600000 103.767 -161.3387
20.900000 103.766 -161.9828
21.200001 103.762 -162.6475
21.400000 103.759 -163.0984
21.799999 103.753 -164.0100
22.000000 103.750 -164.4642
22.400000 103.743 -165.3502
22.700001 103.737 -165.9820
23.000000 103.731 -166.5784
23.299999 103.725 -167.1398
23.600000 103.719 -167.6729
24.000000 103.711 -168.3590
24.299999 103.707 -168.8699
24.700001 103.700 -169.5598
25.000000 103.693 -170.0842
25.400000 103.683 -170.7825
25.799999 103.670 -171.4648
26.200001 103.658 -172.1217
26.500000 103.648 -172.5982
26.900000 103.636 -173.2169
27.200001 103.626 -173.6707
27.600000 103.610 -174.2607
28.000000 103.591 -174.8294
28.500000 103.567 -175.5116
29.000000 103.545 -176.1797
29.500000 103.522 -176.8537
30.000000 103.497 -177.5304
30.400000 103.473 -178.0575
30.700001 103.455 -178.4377
31.100000 103.432 -178.9246
31.500000 103.413 -179.3989
32.000000 103.391 -179.9932
32.500000 103.370 179.4053
33.000000 103.345 178.8151
33.500000 103.316 178.2595
34.000000 103.286 177.7433
34.500000 103.255 177.2488
35.000000 103.227 176.7540
35.500000 103.198 176.2484
36.000000 103.170 175.7357
36.500000 103.142 175.2253
37.000000 103.114 174.7273
37.500000 103.084 174.2520
38.200001 103.040 173.6339
38.700001 103.009 173.2129
39.500000 102.961 172.5235
40.000000 102.928 172.0834
40.599998 102.886 171.5830
41.200001 102.846 171.1295
41.799999 102.811 170.6900
42.500000 102.771 170.1493
43.099998 102.731 169.6729
43.700001 102.689 169.2126
44.400002 102.643 168.6998
45.000000 102.605 168.2773
45.500000 102.572 167.9445
46.200001 102.525 167.5089
46.799999 102.484 167.1433
47.500000 102.437 166.7066
48.200001 102.389 166.2697
48.700001 102.355 165.9649
49.400002 102.310 165.5456
50.000000 102.271 165.1929
50.799999 102.216 164.7416
51.500000 102.169 164.3618
52.200001 102.122 163.9885
53.000000 102.068 163.5775
53.799999 102.015 163.1874
54.500000 101.968 162.8501
55.200001 101.921 162.5104
56.000000 101.868 162.1266
57.000000 101.801 161.6661
58.000000 101.736 161.2357
59.000000 101.672 160.8192
60.000000 101.605 160.4022
60.799999 101.551 160.0855
61.500000 101.506 159.8202
62.200001 101.461 159.5562
63.000000 101.408 159.2577
64.000000 101.341 158.9066
65.000000 101.278 158.5743
66.000000 101.215 158.2459
67.000000 101.151 157.9283
68.000000 101.087 157.6273
69.000000 101.026 157.3315
70.000000 100.964 157.0353
71.000000 100.901 156.7627
72.000000 100.838 156.5096
73.000000 100.774 156.2600
74.000000 100.708 156.0269
75.000000 100.647 155.7831
76.199997 100.573 155.4848
77.500000 100.495 155.2008
78.800003 100.418 154.9074
80.000000 100.347 154.6583
81.199997 100.281 154.4381
82.500000 100.207 154.2116
83.800003 100.132 153.9905
85.000000 100.065 153.7707
86.199997 99.999 153.5550
87.500000 99.926 153.3421
88.500000 99.870 153.1920
90.000000 99.791 152.9799
91.199997 99.727 152.8242
92.500000 99.653 152.6591
93.800003 99.579 152.4904
95.000000 99.514 152.3479
96.199997 99.449 152.2329
97.500000 99.377 152.1268
98.800003 99.307 152.0282
100.000000 99.246 151.9515
101.500000 99.170 151.8364
103.000000 99.092 151.7030
104.400002 99.018 151.5964
106.000000 98.940 151.4911
107.500000 98.871 151.3756
109.000000 98.800 151.2734
110.599998 98.724 151.1837
112.000000 98.659 151.1127
113.800003 98.580 151.0505
115.000000 98.527 151.0102
117.199997 98.423 150.9469
118.000000 98.383 150.9331
120.599998 98.262 150.8726
122.000000 98.209 150.8242
124.099998 98.126 150.7890
125.000000 98.089 150.7811
126.500000 98.027 150.7630
128.000000 97.966 150.7324
131.500000 97.827 150.7054
132.000000 97.806 150.7036
134.000000 97.725 150.7179
136.000000 97.647 150.7481
138.000000 97.570 150.7656
140.000000 97.495 150.7859
143.000000 97.388 150.8283
145.000000 97.318 150.8705
147.500000 97.226 150.9397
150.000000 97.136 151.0084
152.500000 97.052 151.0797
155.000000 96.967 151.1505
157.500000 96.885 151.2516
160.000000 96.804 151.3604
162.500000 96.724 151.4731
165.000000 96.644 151.6016
167.500000 96.565 151.7219
170.000000 96.489 151.8350
172.500000 96.414 151.9575
175.000000 96.340 152.0945
177.500000 96.268 152.2278
180.000000 96.196 152.3663
182.500000 96.124 152.5175
185.000000 96.053 152.6713
187.500000 95.983 152.8326
190.000000 95.913 152.9916
192.500000 95.845 153.1566
195.000000 95.777 153.3359
197.500000 95.709 153.5146
200.000000 95.642 153.6954
203.000000 95.564 153.9411
206.000000 95.485 154.1977
209.000000 95.406 154.4703
212.000000 95.326 154.7771
214.000000 95.274 155.0068
218.000000 95.172 155.5273
220.000000 95.125 155.8193
224.000000 95.045 156.4658
227.000000 95.001 156.9746
230.000000 94.971 157.4609
233.000000 94.954 157.8791
236.000000 94.941 158.2105
240.000000 94.922 158.5350
243.000000 94.906 158.6996
247.000000 94.879 158.8820
250.000000 94.853 159.0064
254.000000 94.813 159.1873
258.000000 94.768 159.3813
262.000000 94.722 159.5738
265.000000 94.687 159.7067
269.000000 94.638 159.8977
272.000000 94.600 160.0465
276.000000 94.551 160.2569
280.000000 94.501 160.4611
285.000000 94.434 160.7321
290.000000 94.368 161.0222
295.000000 94.302 161.3160
300.000000 94.239 161.6522
304.000000 94.190 161.9131
307.000000 94.154 162.1109
311.000000 94.108 162.3749
315.000000 94.063 162.6467
320.000000 94.007 162.9965
325.000000 93.953 163.3487
330.000000 93.902 163.7076
335.000000 93.851 164.0570
340.000000 93.802 164.3961
345.000000 93.752 164.7485
350.000000 93.703 165.0918
355.000000 93.659 165.4271
360.000000 93.616 165.7687
365.000000 93.571 166.1401
370.000000 93.525 166.5059
375.000000 93.482 166.8674
382.000000 93.423 167.3801
387.000000 93.381 167.7550
395.000000 93.313 168.3550
400.000000 93.275 168.7503
406.000000 93.229 169.2423
412.000000 93.183 169.7566
418.000000 93.142 170.3074
425.000000 93.107 170.9858
431.000000 93.090 171.5588
437.000000 93.083 172.0791
444.000000 93.080 172.5728
450.000000 93.077 172.9252
455.000000 93.070 173.1964
462.000000 93.050 173.5394
468.000000 93.026 173.8352
475.000000 92.993 174.1982
482.000000 92.959 174.5966
487.000000 92.936 174.8963
494.000000 92.904 175.3254
500.000000 92.877 175.7052
508.000000 92.843 176.2193
515.000000 92.815 176.6746
522.000000 92.788 177.1344
530.000000 92.759 177.6571
538.000000 92.730 178.1766
545.000000 92.707 178.6385
552.000000 92.686 179.1040
560.000000 92.663 179.6366
570.000000 92.635 -179.6982
580.000000 92.609 -179.0337
590.000000 92.585 -178.3683
600.000000 92.564 -177.7026
608.000000 92.547 -177.1612
615.000000 92.533 -176.6869
622.000000 92.519 -176.2144
630.000000 92.505 -175.6758
640.000000 92.489 -174.9972
650.000000 92.474 -174.3111
660.000000 92.461 -173.6213
670.000000 92.448 -172.9225
680.000000 92.436 -172.2115
690.000000 92.425 -171.4884
700.000000 92.415 -170.7486
710.000000 92.406 -169.9804
720.000000 92.402 -169.1715
730.000000 92.407 -168.3089
740.000000 92.426 -167.4355
750.000000 92.456 -166.6281
762.000000 92.487 -165.7701
775.000000 92.506 -164.7225
788.000000 92.562 -163.4487
800.000000 92.664 -162.5042
812.000000 92.757 -161.9164
825.000000 92.823 -161.3707
838.000000 92.868 -160.7359
850.000000 92.905 -160.0692
862.000000 92.945 -159.3622
875.000000 92.995 -158.5742
885.000000 93.037 -157.9594
900.000000 93.107 -157.0348
912.000000 93.168 -156.2982
925.000000 93.240 -155.5072
938.000000 93.318 -154.7294
950.000000 93.395 -154.0256
962.000000 93.477 -153.3382
975.000000 93.571 -152.6134
988.000000 93.671 -151.9117
1000.000000 93.768 -151.2907
1015.000000 93.896 -150.5558
1030.000000 94.033 -149.8817
1044.000000 94.167 -149.3190
1060.000000 94.324 -148.7656
1075.000000 94.474 -148.3447
1090.000000 94.621 -148.0137
1106.000000 94.775 -147.7596
1120.000000 94.903 -147.6074
1138.000000 95.056 -147.4775
1150.000000 95.152 -147.4219
1172.000000 95.314 -147.3568
1180.000000 95.369 -147.3406
1206.000000 95.536 -147.3030
1220.000000 95.620 -147.2861
1241.000000 95.737 -147.2533
1250.000000 95.786 -147.2358
1265.000000 95.863 -147.2049
1280.000000 95.939 -147.1728
1315.000000 96.107 -147.0829
1320.000000 96.130 -147.0680
1340.000000 96.220 -147.0037
1360.000000 96.308 -146.9341
1380.000000 96.394 -146.8576
1400.000000 96.478 -146.7740
1430.000000 96.603 -146.6379
1450.000000 96.684 -146.5428
1475.000000 96.785 -146.4149
1500.000000 96.886 -146.2815
1525.000000 96.986 -146.1447
1550.000000 97.087 -146.0061
1575.000000 97.189 -145.8690
1600.000000 97.290 -145.7337
1625.000000 97.393 -145.5977
1650.000000 97.496 -145.4655
1675.000000 97.600 -145.3394
1700.000000 97.706 -145.2198
1725.000000 97.812 -145.1091
1750.000000 97.919 -145.0068
1775.000000 98.028 -144.9127
1800.000000 98.138 -144.8306
1825.000000 98.248 -144.7612
1850.000000 98.360 -144.7050
1875.000000 98.472 -144.6641
1900.000000 98.586 -144.6374
1925.000000 98.700 -144.6261
1950.000000 98.814 -144.6325
1975.000000 98.930 -144.6561
2000.000000 99.046 -144.6981
2030.000000 99.185 -144.7727
2060.000000 99.326 -144.8720
2090.000000 99.469 -144.9908
2120.000000 99.617 -145.1624
2140.000000 99.717 -145.3004
2180.000000 99.909 -145.5850
2200.000000 100.002 -145.7446
2240.000000 100.185 -146.1175
2270.000000 100.321 -146.4356
2300.000000 100.456 -146.7846
2330.000000 100.589 -147.1674
2360.000000 100.720 -147.5848
2400.000000 100.892 -148.1928
2430.000000 101.017 -148.6873
2470.000000 101.179 -149.3973
2500.000000 101.297 -149.9684
2540.000000 101.448 -150.7795
2580.000000 101.591 -151.6458
2620.000000 101.726 -152.5632
2650.000000 101.821 -153.2837
2690.000000 101.939 -154.2846
2720.000000 102.021 -155.0611
2760.000000 102.119 -156.1246
2800.000000 102.206 -157.2145
2850.000000 102.297 -158.6041
2900.000000 102.369 -160.0065
2950.000000 102.423 -161.4047
3000.000000 102.457 -162.7819
3040.000000 102.472 -163.8585
3070.000000 102.476 -164.6447
3110.000000 102.473 -165.6555
3150.000000 102.461 -166.6127
3200.000000 102.438 -167.7204
3250.000000 102.411 -168.7238
3300.000000 102.391 -169.6478
3350.000000 102.379 -170.5561
3400.000000 102.373 -171.5177
3450.000000 102.361 -172.5546
3500.000000 102.337 -173.6366
3550.000000 102.298 -174.7252
3600.000000 102.245 -175.7911
3650.000000 102.180 -176.8150
3700.000000 102.105 -177.7883
3750.000000 102.024 -178.7092
3820.000000 101.902 -179.9226
3870.000000 101.810 179.2573
3950.000000 101.654 178.0125
4000.000000 101.551 177.2721
4060.000000 101.423 176.4185
4120.000000 101.288 175.5994
4180.000000 101.148 174.8118
4250.000000 100.977 173.9260
4310.000000 100.821 173.1910
4370.000000 100.656 172.4797
4440.000000 100.446 171.6952
4500.000000 100.249 171.0953
4550.000000 100.074 170.6795
4620.000000 99.817 170.2694
4680.000000 99.594 170.0901
4750.000000 99.337 170.0503
4820.000000 99.083 170.1542
4870.000000 98.906 170.2862
4940.000000 98.661 170.5400
5000.000000 98.447 170.8725
5080.000000 98.146 171.6792
5150.000000 97.910 173.0781
5220.000000 97.825 174.9875
5300.000000 97.922 176.0553
5380.000000 97.931 175.5878
5450.000000 97.803 175.2077
5520.000000 97.629 175.2410
5600.000000 97.428 175.6422
5700.000000 97.196 176.4481
5800.000000 96.987 177.4623
5900.000000 96.800 178.6356
6000.000000 96.635 179.9549
