* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.5 dBFS with no timing reference
* Dated: Dec 22, 2023 8:20:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kiwi Ears Cadenza R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 104.292 -162.8977
20.600000 104.288 -163.4765
20.900000 104.281 -164.1217
21.200001 104.273 -164.7700
21.400000 104.268 -165.2036
21.799999 104.259 -166.0754
22.000000 104.256 -166.5110
22.400000 104.249 -167.3695
22.700001 104.243 -167.9925
23.000000 104.238 -168.5928
23.299999 104.233 -169.1726
23.600000 104.228 -169.7386
24.000000 104.220 -170.4846
24.299999 104.211 -171.0419
24.700001 104.194 -171.7767
25.000000 104.179 -172.3137
25.400000 104.158 -173.0031
25.799999 104.138 -173.6665
26.200001 104.121 -174.3194
26.500000 104.110 -174.8085
26.900000 104.093 -175.4549
27.200001 104.078 -175.9243
27.600000 104.058 -176.5155
28.000000 104.039 -177.0685
28.500000 104.020 -177.7431
29.000000 104.001 -178.4474
29.500000 103.974 -179.1794
30.000000 103.937 -179.8884
30.400000 103.906 179.5847
30.700001 103.885 179.2079
31.100000 103.861 178.7119
31.500000 103.840 178.2079
32.000000 103.812 177.5736
32.500000 103.781 176.9669
33.000000 103.749 176.4033
33.500000 103.719 175.8601
34.000000 103.690 175.3105
34.500000 103.657 174.7576
35.000000 103.621 174.2262
35.500000 103.585 173.7296
36.000000 103.552 173.2569
36.500000 103.519 172.7893
37.000000 103.486 172.3176
37.500000 103.451 171.8430
38.200001 103.400 171.1818
38.700001 103.365 170.7154
39.500000 103.312 169.9857
40.000000 103.279 169.5461
40.599998 103.238 169.0418
41.200001 103.194 168.5604
41.799999 103.148 168.0903
42.500000 103.094 167.5469
43.099998 103.049 167.0878
43.700001 103.007 166.6350
44.400002 102.957 166.1155
45.000000 102.913 165.6933
45.500000 102.875 165.3651
46.200001 102.824 164.9178
46.799999 102.782 164.5182
47.500000 102.730 164.0437
48.200001 102.677 163.6028
48.700001 102.641 163.3124
49.400002 102.592 162.9168
50.000000 102.548 162.5783
50.799999 102.488 162.1349
51.500000 102.437 161.7526
52.200001 102.387 161.3725
53.000000 102.329 160.9525
53.799999 102.271 160.5521
54.500000 102.220 160.2094
55.200001 102.170 159.8726
56.000000 102.112 159.5010
57.000000 102.039 159.0580
58.000000 101.967 158.6235
59.000000 101.893 158.1957
60.000000 101.820 157.7990
60.799999 101.766 157.4911
61.500000 101.719 157.2165
62.200001 101.670 156.9497
63.000000 101.612 156.6723
64.000000 101.542 156.3438
65.000000 101.473 156.0028
66.000000 101.404 155.6656
67.000000 101.336 155.3470
68.000000 101.269 155.0413
69.000000 101.201 154.7477
70.000000 101.132 154.4697
71.000000 101.066 154.2021
72.000000 101.000 153.9350
73.000000 100.936 153.6723
74.000000 100.872 153.4167
75.000000 100.808 153.1727
76.199997 100.728 152.9127
77.500000 100.645 152.6595
78.800003 100.564 152.3919
80.000000 100.489 152.1367
81.199997 100.413 151.8991
82.500000 100.331 151.6833
83.800003 100.250 151.4849
85.000000 100.180 151.2888
86.199997 100.111 151.0878
87.500000 100.035 150.8841
88.500000 99.977 150.7155
90.000000 99.893 150.4859
91.199997 99.825 150.3408
92.500000 99.745 150.1896
93.800003 99.667 150.0241
95.000000 99.599 149.8908
96.199997 99.535 149.7952
97.500000 99.464 149.6946
98.800003 99.392 149.5787
100.000000 99.325 149.4820
101.500000 99.242 149.3851
103.000000 99.160 149.2817
104.400002 99.086 149.1802
106.000000 99.002 149.0775
107.500000 98.925 148.9814
109.000000 98.851 148.8916
110.599998 98.774 148.8053
112.000000 98.707 148.7316
113.800003 98.622 148.6454
115.000000 98.567 148.6021
117.199997 98.465 148.5551
118.000000 98.429 148.5279
120.599998 98.312 148.4298
122.000000 98.246 148.4252
124.099998 98.155 148.4070
125.000000 98.116 148.4009
126.500000 98.051 148.3994
128.000000 97.985 148.3979
131.500000 97.838 148.3961
132.000000 97.817 148.4030
134.000000 97.734 148.4363
136.000000 97.653 148.4650
138.000000 97.575 148.4918
140.000000 97.499 148.5130
143.000000 97.383 148.5756
145.000000 97.305 148.6265
147.500000 97.212 148.6990
150.000000 97.121 148.7717
152.500000 97.032 148.8579
155.000000 96.947 148.9405
157.500000 96.864 149.0415
160.000000 96.781 149.1499
162.500000 96.699 149.2509
165.000000 96.617 149.3714
167.500000 96.535 149.4950
170.000000 96.455 149.6197
172.500000 96.378 149.7470
175.000000 96.304 149.8899
177.500000 96.231 150.0631
180.000000 96.159 150.2031
182.500000 96.083 150.3220
185.000000 96.009 150.4698
187.500000 95.939 150.6291
190.000000 95.871 150.7981
192.500000 95.802 150.9759
195.000000 95.733 151.1547
197.500000 95.666 151.3361
200.000000 95.600 151.5258
203.000000 95.525 151.7673
206.000000 95.448 152.0148
209.000000 95.371 152.2707
212.000000 95.296 152.5378
214.000000 95.248 152.7276
218.000000 95.156 153.1409
220.000000 95.112 153.3490
224.000000 95.030 153.7623
227.000000 94.974 154.0779
230.000000 94.923 154.3990
233.000000 94.875 154.7032
236.000000 94.829 154.9959
240.000000 94.771 155.3833
243.000000 94.722 155.6371
247.000000 94.657 155.9972
250.000000 94.611 156.2791
254.000000 94.550 156.6450
258.000000 94.493 157.0268
262.000000 94.442 157.4306
265.000000 94.408 157.7281
269.000000 94.370 158.1223
272.000000 94.344 158.4017
276.000000 94.315 158.7021
280.000000 94.288 158.9595
285.000000 94.248 159.2601
290.000000 94.202 159.5023
295.000000 94.150 159.7144
300.000000 94.089 159.9560
304.000000 94.041 160.1663
307.000000 94.004 160.3280
311.000000 93.956 160.5610
315.000000 93.906 160.8111
320.000000 93.846 161.1399
325.000000 93.787 161.4821
330.000000 93.730 161.8350
335.000000 93.674 162.2073
340.000000 93.620 162.5825
345.000000 93.570 162.9614
350.000000 93.522 163.3526
355.000000 93.478 163.7472
360.000000 93.436 164.1490
365.000000 93.399 164.5385
370.000000 93.364 164.9168
375.000000 93.331 165.2768
382.000000 93.288 165.7393
387.000000 93.255 166.0596
395.000000 93.199 166.5518
400.000000 93.164 166.8571
406.000000 93.119 167.2489
412.000000 93.075 167.6648
418.000000 93.033 168.0893
425.000000 92.989 168.6070
431.000000 92.957 169.0543
437.000000 92.928 169.4902
444.000000 92.898 169.9714
450.000000 92.873 170.3569
455.000000 92.851 170.6575
462.000000 92.818 171.0791
468.000000 92.788 171.4284
475.000000 92.753 171.8368
482.000000 92.719 172.2774
487.000000 92.693 172.5963
494.000000 92.659 173.0378
500.000000 92.631 173.4202
508.000000 92.595 173.9406
515.000000 92.565 174.3935
522.000000 92.536 174.8482
530.000000 92.504 175.3735
538.000000 92.473 175.8983
545.000000 92.448 176.3455
552.000000 92.423 176.7940
560.000000 92.397 177.3178
570.000000 92.366 177.9702
580.000000 92.336 178.6180
590.000000 92.308 179.2674
600.000000 92.282 179.9152
608.000000 92.261 -179.5678
615.000000 92.244 -179.1112
622.000000 92.228 -178.6525
630.000000 92.210 -178.1383
640.000000 92.189 -177.5009
650.000000 92.169 -176.8574
660.000000 92.149 -176.2119
670.000000 92.129 -175.5694
680.000000 92.111 -174.9331
690.000000 92.092 -174.3093
700.000000 92.071 -173.6972
710.000000 92.045 -173.1040
720.000000 92.009 -172.5277
730.000000 91.952 -171.9308
740.000000 91.865 -171.1432
750.000000 91.782 -169.8522
762.000000 91.784 -167.9916
775.000000 91.840 -166.5337
788.000000 91.862 -165.0312
800.000000 91.938 -163.1461
812.000000 92.152 -161.4741
825.000000 92.423 -160.8892
838.000000 92.585 -160.9493
850.000000 92.656 -160.8698
862.000000 92.702 -160.5234
875.000000 92.746 -159.9499
885.000000 92.778 -159.4438
900.000000 92.832 -158.6462
912.000000 92.881 -157.9885
925.000000 92.940 -157.2614
938.000000 93.006 -156.5307
950.000000 93.073 -155.8563
962.000000 93.145 -155.1865
975.000000 93.229 -154.4691
988.000000 93.320 -153.7677
1000.000000 93.410 -153.1406
1015.000000 93.532 -152.3908
1030.000000 93.664 -151.6973
1044.000000 93.796 -151.1158
1060.000000 93.955 -150.5522
1075.000000 94.106 -150.1395
1090.000000 94.255 -149.8382
1106.000000 94.409 -149.6287
1120.000000 94.534 -149.5238
1138.000000 94.683 -149.4627
1150.000000 94.773 -149.4485
1172.000000 94.924 -149.4484
1180.000000 94.974 -149.4526
1206.000000 95.125 -149.4654
1220.000000 95.199 -149.4665
1241.000000 95.304 -149.4567
1250.000000 95.346 -149.4477
1265.000000 95.415 -149.4283
1280.000000 95.482 -149.4043
1315.000000 95.628 -149.3252
1320.000000 95.648 -149.3115
1340.000000 95.727 -149.2493
1360.000000 95.803 -149.1792
1380.000000 95.878 -149.1019
1400.000000 95.950 -149.0148
1430.000000 96.057 -148.8671
1450.000000 96.127 -148.7627
1475.000000 96.214 -148.6251
1500.000000 96.300 -148.4789
1525.000000 96.386 -148.3239
1550.000000 96.472 -148.1635
1575.000000 96.558 -147.9987
1600.000000 96.645 -147.8346
1625.000000 96.733 -147.6671
1650.000000 96.821 -147.4972
1675.000000 96.911 -147.3302
1700.000000 97.001 -147.1663
1725.000000 97.092 -147.0052
1750.000000 97.185 -146.8483
1775.000000 97.279 -146.6964
1800.000000 97.373 -146.5512
1825.000000 97.469 -146.4131
1850.000000 97.566 -146.2838
1875.000000 97.664 -146.1649
1900.000000 97.764 -146.0554
1925.000000 97.864 -145.9558
1950.000000 97.965 -145.8683
1975.000000 98.067 -145.7928
2000.000000 98.169 -145.7299
2030.000000 98.294 -145.6711
2060.000000 98.419 -145.6332
2090.000000 98.546 -145.6159
2120.000000 98.673 -145.6194
2140.000000 98.758 -145.6343
2180.000000 98.928 -145.6929
2200.000000 99.014 -145.7381
2240.000000 99.186 -145.8596
2270.000000 99.317 -145.9713
2300.000000 99.453 -146.1250
2330.000000 99.589 -146.3157
2360.000000 99.722 -146.5129
2400.000000 99.892 -146.8114
2430.000000 100.017 -147.0720
2470.000000 100.183 -147.4591
2500.000000 100.306 -147.7805
2540.000000 100.469 -148.2527
2580.000000 100.628 -148.7737
2620.000000 100.784 -149.3419
2650.000000 100.898 -149.7993
2690.000000 101.047 -150.4519
2720.000000 101.155 -150.9725
2760.000000 101.296 -151.7053
2800.000000 101.431 -152.4816
2850.000000 101.591 -153.5141
2900.000000 101.741 -154.6106
2950.000000 101.880 -155.7675
3000.000000 102.008 -156.9814
3040.000000 102.102 -157.9887
3070.000000 102.166 -158.7632
3110.000000 102.245 -159.8202
3150.000000 102.315 -160.9012
3200.000000 102.389 -162.2789
3250.000000 102.448 -163.6781
3300.000000 102.491 -165.0881
3350.000000 102.519 -166.4995
3400.000000 102.531 -167.8961
3450.000000 102.528 -169.2618
3500.000000 102.513 -170.5807
3550.000000 102.488 -171.8434
3600.000000 102.459 -173.0601
3650.000000 102.428 -174.2583
3700.000000 102.393 -175.4686
3750.000000 102.351 -176.7084
3820.000000 102.272 -178.4868
3870.000000 102.197 -179.7562
3950.000000 102.044 178.2819
4000.000000 101.930 177.1222
4060.000000 101.780 175.8091
4120.000000 101.615 174.5862
4180.000000 101.440 173.4556
4250.000000 101.223 172.2532
4310.000000 101.029 171.3168
4370.000000 100.828 170.4637
4440.000000 100.587 169.5673
4500.000000 100.374 168.8796
4550.000000 100.191 168.3617
4620.000000 99.927 167.7220
4680.000000 99.692 167.2631
4750.000000 99.405 166.8578
4820.000000 99.104 166.6424
4870.000000 98.884 166.6322
4940.000000 98.584 166.7979
5000.000000 98.341 167.0883
5080.000000 98.033 167.6353
5150.000000 97.769 168.2529
5220.000000 97.506 169.1244
5300.000000 97.255 170.6910
5380.000000 97.155 172.2490
5450.000000 97.100 172.7814
5520.000000 96.975 173.0644
5600.000000 96.786 173.6657
5700.000000 96.555 174.7859
5800.000000 96.351 176.1290
5900.000000 96.176 177.5988
6000.000000 96.030 179.1581
6080.000000 95.935 -179.5454
