* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -15.0 dBFS with no timing reference
* Dated: Jan 11, 2024 8:49:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Letshuoer Aoshida E20 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 104.301 -149.6249
20.600000 104.319 -150.3304
20.900000 104.338 -151.1180
21.200001 104.358 -151.9059
21.400000 104.372 -152.4291
21.799999 104.403 -153.4740
22.000000 104.421 -153.9966
22.400000 104.456 -155.0403
22.700001 104.481 -155.8163
23.000000 104.501 -156.5779
23.299999 104.516 -157.3159
23.600000 104.527 -158.0235
24.000000 104.537 -158.9180
24.299999 104.544 -159.5612
24.700001 104.557 -160.4062
25.000000 104.568 -161.0468
25.400000 104.584 -161.9200
25.799999 104.597 -162.8039
26.200001 104.607 -163.6742
26.500000 104.614 -164.3070
26.900000 104.621 -165.1264
27.200001 104.627 -165.7326
27.600000 104.633 -166.5435
28.000000 104.632 -167.3571
28.500000 104.622 -168.3457
29.000000 104.605 -169.2600
29.500000 104.594 -170.1050
30.000000 104.592 -170.9372
30.400000 104.592 -171.6246
30.700001 104.590 -172.1506
31.100000 104.582 -172.8466
31.500000 104.569 -173.5139
32.000000 104.552 -174.3018
32.500000 104.539 -175.0724
33.000000 104.527 -175.8666
33.500000 104.510 -176.6833
34.000000 104.486 -177.4859
34.500000 104.461 -178.2471
35.000000 104.438 -178.9750
35.500000 104.418 -179.6943
36.000000 104.396 179.5881
36.500000 104.371 178.8867
37.000000 104.344 178.2118
37.500000 104.317 177.5531
38.200001 104.279 176.6296
38.700001 104.249 175.9733
39.500000 104.199 174.9630
40.000000 104.168 174.3504
40.599998 104.131 173.6157
41.200001 104.089 172.8881
41.799999 104.044 172.1879
42.500000 103.994 171.4091
43.099998 103.951 170.7674
43.700001 103.907 170.1502
44.400002 103.855 169.4485
45.000000 103.810 168.8334
45.500000 103.770 168.3016
46.200001 103.712 167.5519
46.799999 103.661 166.9365
47.500000 103.604 166.2651
48.200001 103.548 165.6283
48.700001 103.508 165.1806
49.400002 103.448 164.5552
50.000000 103.394 164.0282
50.799999 103.321 163.3538
51.500000 103.260 162.7855
52.200001 103.199 162.2274
53.000000 103.126 161.6021
53.799999 103.051 160.9893
54.500000 102.986 160.4589
55.200001 102.922 159.9380
56.000000 102.848 159.3643
57.000000 102.753 158.6875
58.000000 102.657 158.0343
59.000000 102.559 157.3841
60.000000 102.460 156.7708
60.799999 102.383 156.3116
61.500000 102.316 155.9213
62.200001 102.246 155.5378
63.000000 102.167 155.0992
64.000000 102.068 154.5555
65.000000 101.973 154.0574
66.000000 101.881 153.5970
67.000000 101.782 153.1425
68.000000 101.677 152.7000
69.000000 101.573 152.2784
70.000000 101.472 151.8693
71.000000 101.371 151.4770
72.000000 101.273 151.1222
73.000000 101.177 150.7913
74.000000 101.079 150.4659
75.000000 100.979 150.1353
76.199997 100.858 149.7385
77.500000 100.728 149.3651
78.800003 100.599 149.0520
80.000000 100.482 148.7654
81.199997 100.363 148.5101
82.500000 100.234 148.2762
83.800003 100.107 148.0365
85.000000 99.995 147.8109
86.199997 99.882 147.5993
87.500000 99.751 147.4132
88.500000 99.646 147.2836
90.000000 99.494 147.0865
91.199997 99.382 146.9667
92.500000 99.266 146.8701
93.800003 99.146 146.8018
95.000000 99.034 146.7656
96.199997 98.923 146.7686
97.500000 98.803 146.7999
98.800003 98.683 146.8267
100.000000 98.577 146.8151
101.500000 98.443 146.7714
103.000000 98.310 146.7594
104.400002 98.191 146.8079
106.000000 98.057 146.9239
107.500000 97.934 147.0450
109.000000 97.809 147.1642
110.599998 97.676 147.3210
112.000000 97.562 147.4696
113.800003 97.419 147.6709
115.000000 97.326 147.8135
117.199997 97.165 148.1215
118.000000 97.111 148.2559
120.599998 96.924 148.6775
122.000000 96.797 148.8375
124.099998 96.620 149.1541
125.000000 96.549 149.2849
126.500000 96.428 149.4932
128.000000 96.309 149.7372
131.500000 96.007 150.4560
132.000000 95.962 150.5564
134.000000 95.767 150.9323
136.000000 95.536 151.4489
138.000000 95.277 152.1298
140.000000 94.972 153.2485
143.000000 94.547 156.6595
145.000000 94.395 160.0657
147.500000 94.532 164.9119
150.000000 94.944 167.5126
152.500000 95.332 168.2659
155.000000 95.610 168.0328
157.500000 95.740 167.3200
160.000000 95.779 167.1086
162.500000 95.808 167.0715
165.000000 95.813 167.0281
167.500000 95.788 167.0801
170.000000 95.755 167.3099
172.500000 95.733 167.5739
175.000000 95.727 167.8852
177.500000 95.728 168.2619
180.000000 95.721 168.5521
182.500000 95.710 168.7659
185.000000 95.706 169.0089
187.500000 95.704 169.3219
190.000000 95.703 169.6831
192.500000 95.706 170.0495
195.000000 95.715 170.3586
197.500000 95.724 170.6326
200.000000 95.735 170.9000
203.000000 95.746 171.2034
206.000000 95.755 171.4823
209.000000 95.765 171.7469
212.000000 95.776 171.9925
214.000000 95.786 172.1446
218.000000 95.804 172.4993
220.000000 95.816 172.6917
224.000000 95.848 173.0348
227.000000 95.872 173.1991
230.000000 95.890 173.3260
233.000000 95.903 173.4616
236.000000 95.915 173.5672
240.000000 95.934 173.6908
243.000000 95.948 173.7689
247.000000 95.960 173.8773
250.000000 95.970 173.9657
254.000000 95.979 174.0760
258.000000 95.982 174.1651
262.000000 95.982 174.2393
265.000000 95.980 174.3067
269.000000 95.980 174.4142
272.000000 95.982 174.5005
276.000000 95.986 174.6319
280.000000 95.991 174.7839
285.000000 96.004 174.9480
290.000000 96.022 175.0270
295.000000 96.037 175.0238
300.000000 96.042 174.9792
304.000000 96.040 174.9503
307.000000 96.038 174.9238
311.000000 96.032 174.8828
315.000000 96.022 174.8524
320.000000 96.005 174.8348
325.000000 95.986 174.8300
330.000000 95.965 174.8236
335.000000 95.944 174.8068
340.000000 95.919 174.8060
345.000000 95.888 174.8168
350.000000 95.852 174.8356
355.000000 95.810 174.9044
360.000000 95.764 175.0208
365.000000 95.710 175.2039
370.000000 95.658 175.5187
375.000000 95.622 175.9864
382.000000 95.632 176.7702
387.000000 95.682 177.1471
395.000000 95.762 177.1277
400.000000 95.780 176.9389
406.000000 95.773 176.7279
412.000000 95.747 176.5815
418.000000 95.710 176.5140
425.000000 95.663 176.4990
431.000000 95.622 176.5313
437.000000 95.582 176.6020
444.000000 95.535 176.7173
450.000000 95.495 176.8301
455.000000 95.461 176.9417
462.000000 95.416 177.1210
468.000000 95.379 177.2910
475.000000 95.335 177.5071
482.000000 95.294 177.7099
487.000000 95.264 177.8564
494.000000 95.223 178.0906
500.000000 95.190 178.3047
508.000000 95.145 178.6059
515.000000 95.107 178.8794
522.000000 95.070 179.1536
530.000000 95.028 179.4720
538.000000 94.989 179.8087
545.000000 94.953 -179.8815
552.000000 94.918 -179.5682
560.000000 94.880 -179.1992
570.000000 94.834 -178.7263
580.000000 94.791 -178.2378
590.000000 94.751 -177.7399
600.000000 94.711 -177.2370
608.000000 94.681 -176.8157
615.000000 94.655 -176.4370
622.000000 94.631 -176.0520
630.000000 94.604 -175.6085
640.000000 94.573 -175.0489
650.000000 94.544 -174.4765
660.000000 94.518 -173.8886
670.000000 94.494 -173.2883
680.000000 94.473 -172.6829
690.000000 94.454 -172.0676
700.000000 94.438 -171.4412
710.000000 94.425 -170.8092
720.000000 94.414 -170.1688
730.000000 94.406 -169.5161
740.000000 94.401 -168.8566
750.000000 94.399 -168.1927
762.000000 94.401 -167.3895
775.000000 94.409 -166.5135
788.000000 94.422 -165.6326
800.000000 94.439 -164.8162
812.000000 94.462 -164.0000
825.000000 94.491 -163.1140
838.000000 94.527 -162.2291
850.000000 94.566 -161.4250
862.000000 94.610 -160.6301
875.000000 94.663 -159.7805
885.000000 94.708 -159.1378
900.000000 94.782 -158.1931
912.000000 94.846 -157.4613
925.000000 94.921 -156.6935
938.000000 95.001 -155.9522
950.000000 95.078 -155.2952
962.000000 95.159 -154.6644
975.000000 95.251 -154.0154
988.000000 95.345 -153.4033
1000.000000 95.434 -152.8694
1015.000000 95.549 -152.2460
1030.000000 95.664 -151.6774
1044.000000 95.773 -151.1937
1060.000000 95.898 -150.6886
1075.000000 96.014 -150.2619
1090.000000 96.130 -149.8793
1106.000000 96.251 -149.5157
1120.000000 96.354 -149.2322
1138.000000 96.484 -148.9118
1150.000000 96.569 -148.7220
1172.000000 96.719 -148.4140
1180.000000 96.771 -148.3138
1206.000000 96.936 -148.0258
1220.000000 97.021 -147.8890
1241.000000 97.142 -147.6969
1250.000000 97.193 -147.6194
1265.000000 97.274 -147.4962
1280.000000 97.353 -147.3776
1315.000000 97.528 -147.1060
1320.000000 97.552 -147.0669
1340.000000 97.646 -146.9084
1360.000000 97.737 -146.7455
1380.000000 97.826 -146.5760
1400.000000 97.913 -146.4012
1430.000000 98.041 -146.1242
1450.000000 98.125 -145.9301
1475.000000 98.230 -145.6797
1500.000000 98.334 -145.4194
1525.000000 98.438 -145.1498
1550.000000 98.543 -144.8750
1575.000000 98.650 -144.5940
1600.000000 98.757 -144.3090
1625.000000 98.866 -144.0246
1650.000000 98.976 -143.7415
1675.000000 99.089 -143.4584
1700.000000 99.202 -143.1753
1725.000000 99.321 -142.8864
1750.000000 99.447 -142.6299
1775.000000 99.575 -142.3929
1800.000000 99.702 -142.1383
1825.000000 99.826 -141.8887
1850.000000 99.951 -141.6617
1875.000000 100.078 -141.4480
1900.000000 100.207 -141.2487
1925.000000 100.337 -141.0638
1950.000000 100.469 -140.8960
1975.000000 100.603 -140.7461
2000.000000 100.738 -140.6144
2030.000000 100.902 -140.4824
2060.000000 101.067 -140.3802
2090.000000 101.234 -140.3083
2120.000000 101.401 -140.2682
2140.000000 101.513 -140.2596
2180.000000 101.739 -140.2889
2200.000000 101.852 -140.3276
2240.000000 102.077 -140.4524
2270.000000 102.246 -140.5888
2300.000000 102.414 -140.7627
2330.000000 102.581 -140.9754
2360.000000 102.746 -141.2258
2400.000000 102.964 -141.6185
2430.000000 103.124 -141.9580
2470.000000 103.334 -142.4708
2500.000000 103.488 -142.8983
2540.000000 103.687 -143.5240
2580.000000 103.878 -144.2120
2620.000000 104.062 -144.9595
2650.000000 104.194 -145.5564
2690.000000 104.361 -146.3967
2720.000000 104.480 -147.0581
2760.000000 104.628 -147.9763
2800.000000 104.766 -148.9310
2850.000000 104.921 -150.1651
2900.000000 105.057 -151.4282
2950.000000 105.175 -152.7105
3000.000000 105.274 -153.9984
3040.000000 105.339 -155.0229
3070.000000 105.381 -155.7838
3110.000000 105.427 -156.7835
3150.000000 105.462 -157.7607
3200.000000 105.492 -158.9403
3250.000000 105.508 -160.0656
3300.000000 105.512 -161.1303
3350.000000 105.505 -162.1307
3400.000000 105.488 -163.0641
3450.000000 105.464 -163.9295
3500.000000 105.434 -164.7267
3550.000000 105.398 -165.4596
3600.000000 105.359 -166.1288
3650.000000 105.317 -166.7370
3700.000000 105.273 -167.2855
3750.000000 105.229 -167.7793
3820.000000 105.166 -168.3919
3870.000000 105.122 -168.7811
3950.000000 105.055 -169.3374
4000.000000 105.013 -169.6584
4060.000000 104.962 -170.0133
4120.000000 104.910 -170.3256
4180.000000 104.858 -170.5888
4250.000000 104.800 -170.8371
4310.000000 104.755 -171.0022
4370.000000 104.716 -171.1286
4440.000000 104.681 -171.2508
4500.000000 104.660 -171.3605
4550.000000 104.648 -171.4713
4620.000000 104.636 -171.6630
4680.000000 104.630 -171.8614
4750.000000 104.625 -172.1299
4820.000000 104.623 -172.4388
4870.000000 104.623 -172.6864
4940.000000 104.623 -173.0768
5000.000000 104.622 -173.4561
5080.000000 104.618 -174.0224
5150.000000 104.608 -174.5655
5220.000000 104.592 -175.1432
5300.000000 104.564 -175.8345
5380.000000 104.526 -176.5432
5450.000000 104.483 -177.1626
5520.000000 104.432 -177.7672
5600.000000 104.364 -178.4228
5700.000000 104.269 -179.1606
