* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -15.0 dBFS with no timing reference
* Dated: Jan 11, 2024 8:52:43 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Letshuoer Aoshida E20 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 104.400 -148.9577
20.600000 104.422 -149.6620
20.900000 104.446 -150.4498
21.200001 104.470 -151.2446
21.400000 104.487 -151.7772
21.799999 104.519 -152.8467
22.000000 104.535 -153.3786
22.400000 104.564 -154.4194
22.700001 104.585 -155.1699
23.000000 104.606 -155.8941
23.299999 104.628 -156.6000
23.600000 104.649 -157.2997
24.000000 104.675 -158.2385
24.299999 104.691 -158.9485
24.700001 104.707 -159.8895
25.000000 104.716 -160.5780
25.400000 104.728 -161.4621
25.799999 104.740 -162.3122
26.200001 104.754 -163.1456
26.500000 104.762 -163.7678
26.900000 104.769 -164.5918
27.200001 104.769 -165.1978
27.600000 104.764 -165.9785
28.000000 104.758 -166.7273
28.500000 104.755 -167.6433
29.000000 104.759 -168.5743
29.500000 104.765 -169.5284
30.000000 104.769 -170.4784
30.400000 104.768 -171.2185
30.700001 104.767 -171.7622
31.100000 104.763 -172.4794
31.500000 104.755 -173.1941
32.000000 104.740 -174.0777
32.500000 104.719 -174.9306
33.000000 104.700 -175.7433
33.500000 104.685 -176.5293
34.000000 104.671 -177.3053
34.500000 104.654 -178.0708
35.000000 104.633 -178.8168
35.500000 104.610 -179.5452
36.000000 104.586 179.7306
36.500000 104.562 179.0041
37.000000 104.537 178.2850
37.500000 104.512 177.5848
38.200001 104.477 176.6324
38.700001 104.451 175.9620
39.500000 104.404 174.9101
40.000000 104.372 174.2716
40.599998 104.334 173.5206
41.200001 104.295 172.7862
41.799999 104.255 172.0769
42.500000 104.207 171.2718
43.099998 104.165 170.5759
43.700001 104.121 169.8716
44.400002 104.065 169.0717
45.000000 104.019 168.4184
45.500000 103.981 167.8875
46.200001 103.929 167.1549
46.799999 103.883 166.5430
47.500000 103.829 165.8492
48.200001 103.774 165.1647
48.700001 103.733 164.6841
49.400002 103.672 164.0374
50.000000 103.619 163.5033
50.799999 103.549 162.7898
51.500000 103.486 162.1600
52.200001 103.421 161.5479
53.000000 103.347 160.8819
53.799999 103.274 160.2378
54.500000 103.210 159.6837
55.200001 103.145 159.1401
56.000000 103.070 158.5329
57.000000 102.975 157.7906
58.000000 102.878 157.0757
59.000000 102.782 156.3955
60.000000 102.686 155.7311
60.799999 102.607 155.2073
61.500000 102.536 154.7640
62.200001 102.463 154.3383
63.000000 102.381 153.8673
64.000000 102.281 153.2877
65.000000 102.183 152.7065
66.000000 102.083 152.1488
67.000000 101.978 151.6533
68.000000 101.872 151.1885
69.000000 101.766 150.7256
70.000000 101.663 150.2709
71.000000 101.559 149.8201
72.000000 101.455 149.3789
73.000000 101.352 148.9402
74.000000 101.248 148.5286
75.000000 101.142 148.1760
76.199997 101.015 147.7748
77.500000 100.879 147.3683
78.800003 100.750 146.9896
80.000000 100.625 146.6490
81.199997 100.493 146.3333
82.500000 100.359 146.0295
83.800003 100.233 145.7272
85.000000 100.106 145.4725
86.199997 99.966 145.2354
87.500000 99.814 145.0038
88.500000 99.704 144.8744
90.000000 99.548 144.7925
91.199997 99.427 144.6734
92.500000 99.295 144.5076
93.800003 99.171 144.3724
95.000000 99.053 144.2458
96.199997 98.931 144.1725
97.500000 98.800 144.1690
98.800003 98.668 144.1892
100.000000 98.545 144.1917
101.500000 98.393 144.2122
103.000000 98.247 144.2686
104.400002 98.111 144.3234
106.000000 97.960 144.4016
107.500000 97.827 144.5316
109.000000 97.692 144.7115
110.599998 97.548 144.8997
112.000000 97.426 145.1070
113.800003 97.269 145.4015
115.000000 97.166 145.6039
117.199997 96.991 146.0287
118.000000 96.931 146.2064
120.599998 96.732 146.8239
122.000000 96.612 147.1362
124.099998 96.448 147.6178
125.000000 96.380 147.8453
126.500000 96.268 148.2625
128.000000 96.167 148.6862
131.500000 95.950 149.6831
132.000000 95.917 149.8456
134.000000 95.791 150.4894
136.000000 95.665 151.1336
138.000000 95.545 151.8091
140.000000 95.439 152.5264
143.000000 95.297 153.5522
145.000000 95.205 154.2245
147.500000 95.095 155.1788
150.000000 94.999 156.1209
152.500000 94.908 157.0156
155.000000 94.813 157.9325
157.500000 94.733 158.7664
160.000000 94.651 159.6754
162.500000 94.549 160.6633
165.000000 94.422 161.7803
167.500000 94.312 163.2892
170.000000 94.283 165.2769
172.500000 94.367 167.2427
175.000000 94.523 168.5067
177.500000 94.663 169.0595
180.000000 94.746 169.3757
182.500000 94.792 169.7412
185.000000 94.828 170.0863
187.500000 94.855 170.4468
190.000000 94.879 170.8610
192.500000 94.901 171.3335
195.000000 94.926 171.8054
197.500000 94.954 172.2150
200.000000 94.983 172.6022
203.000000 95.017 173.0733
206.000000 95.053 173.4745
209.000000 95.098 173.8436
212.000000 95.143 174.2188
214.000000 95.171 174.4634
218.000000 95.224 174.9323
220.000000 95.249 175.1433
224.000000 95.300 175.5252
227.000000 95.337 175.7671
230.000000 95.373 175.9791
233.000000 95.409 176.1859
236.000000 95.443 176.3820
240.000000 95.486 176.6055
243.000000 95.514 176.7189
247.000000 95.551 176.8536
250.000000 95.582 176.9510
254.000000 95.621 177.0811
258.000000 95.654 177.2057
262.000000 95.681 177.2745
265.000000 95.699 177.3187
269.000000 95.728 177.3885
272.000000 95.747 177.4132
276.000000 95.770 177.4302
280.000000 95.789 177.4679
285.000000 95.805 177.4994
290.000000 95.816 177.5073
295.000000 95.827 177.5413
300.000000 95.837 177.5816
304.000000 95.845 177.6091
307.000000 95.853 177.6275
311.000000 95.864 177.6396
315.000000 95.872 177.6449
320.000000 95.875 177.6315
325.000000 95.873 177.6038
330.000000 95.869 177.5801
335.000000 95.862 177.5432
340.000000 95.855 177.5202
345.000000 95.843 177.5155
350.000000 95.830 177.5335
355.000000 95.815 177.5482
360.000000 95.800 177.5634
365.000000 95.785 177.5715
370.000000 95.768 177.5875
375.000000 95.749 177.6211
382.000000 95.722 177.6785
387.000000 95.701 177.7314
395.000000 95.664 177.8180
400.000000 95.642 177.8719
406.000000 95.616 177.9534
412.000000 95.589 178.0632
418.000000 95.559 178.1879
425.000000 95.523 178.3112
431.000000 95.494 178.4315
437.000000 95.464 178.5674
444.000000 95.429 178.7394
450.000000 95.399 178.8959
455.000000 95.374 179.0288
462.000000 95.339 179.2210
468.000000 95.309 179.3931
475.000000 95.274 179.6089
482.000000 95.240 179.8427
487.000000 95.217 -179.9878
494.000000 95.184 -179.7425
500.000000 95.155 -179.5252
508.000000 95.119 -179.2353
515.000000 95.088 -178.9667
522.000000 95.058 -178.6824
530.000000 95.023 -178.3537
538.000000 94.990 -178.0229
545.000000 94.961 -177.7219
552.000000 94.934 -177.4116
560.000000 94.903 -177.0531
570.000000 94.867 -176.5954
580.000000 94.832 -176.1227
590.000000 94.799 -175.6444
600.000000 94.767 -175.1514
608.000000 94.742 -174.7455
615.000000 94.721 -174.3844
622.000000 94.700 -174.0203
630.000000 94.678 -173.5999
640.000000 94.652 -173.0616
650.000000 94.629 -172.5094
660.000000 94.607 -171.9448
670.000000 94.587 -171.3722
680.000000 94.570 -170.7863
690.000000 94.555 -170.1891
700.000000 94.543 -169.5826
710.000000 94.532 -168.9655
720.000000 94.525 -168.3407
730.000000 94.520 -167.7112
740.000000 94.519 -167.0726
750.000000 94.521 -166.4250
762.000000 94.527 -165.6429
775.000000 94.538 -164.7918
788.000000 94.555 -163.9356
800.000000 94.576 -163.1401
812.000000 94.602 -162.3448
825.000000 94.635 -161.4840
838.000000 94.675 -160.6286
850.000000 94.716 -159.8454
862.000000 94.763 -159.0717
875.000000 94.819 -158.2478
885.000000 94.865 -157.6248
900.000000 94.942 -156.7121
912.000000 95.008 -156.0036
925.000000 95.085 -155.2629
938.000000 95.167 -154.5500
950.000000 95.246 -153.9179
962.000000 95.328 -153.3127
975.000000 95.419 -152.6884
988.000000 95.514 -152.1041
1000.000000 95.604 -151.5981
1015.000000 95.718 -151.0049
1030.000000 95.832 -150.4600
1044.000000 95.940 -149.9958
1060.000000 96.062 -149.5136
1075.000000 96.177 -149.1065
1090.000000 96.290 -148.7386
1106.000000 96.408 -148.3836
1120.000000 96.510 -148.1031
1138.000000 96.638 -147.7798
1150.000000 96.720 -147.5873
1172.000000 96.867 -147.2727
1180.000000 96.919 -147.1694
1206.000000 97.083 -146.8618
1220.000000 97.167 -146.7119
1241.000000 97.289 -146.5045
1250.000000 97.339 -146.4210
1265.000000 97.421 -146.2854
1280.000000 97.501 -146.1511
1315.000000 97.679 -145.8441
1320.000000 97.704 -145.8008
1340.000000 97.801 -145.6263
1360.000000 97.895 -145.4481
1380.000000 97.988 -145.2674
1400.000000 98.079 -145.0844
1430.000000 98.213 -144.7979
1450.000000 98.301 -144.6001
1475.000000 98.411 -144.3478
1500.000000 98.520 -144.0872
1525.000000 98.629 -143.8201
1550.000000 98.739 -143.5499
1575.000000 98.851 -143.2763
1600.000000 98.962 -142.9985
1625.000000 99.075 -142.7209
1650.000000 99.189 -142.4424
1675.000000 99.306 -142.1540
1700.000000 99.431 -141.8711
1725.000000 99.560 -141.6272
1750.000000 99.691 -141.3823
1775.000000 99.818 -141.1178
1800.000000 99.944 -140.8739
1825.000000 100.072 -140.6470
1850.000000 100.202 -140.4337
1875.000000 100.334 -140.2336
1900.000000 100.468 -140.0485
1925.000000 100.603 -139.8819
1950.000000 100.740 -139.7341
1975.000000 100.878 -139.6047
2000.000000 101.017 -139.4946
2030.000000 101.186 -139.3902
2060.000000 101.356 -139.3154
2090.000000 101.527 -139.2711
2120.000000 101.699 -139.2594
2140.000000 101.814 -139.2704
2180.000000 102.045 -139.3396
2200.000000 102.160 -139.3980
2240.000000 102.391 -139.5648
2270.000000 102.564 -139.7339
2300.000000 102.735 -139.9398
2330.000000 102.906 -140.1841
2360.000000 103.075 -140.4685
2400.000000 103.297 -140.9109
2430.000000 103.462 -141.2894
2470.000000 103.676 -141.8545
2500.000000 103.832 -142.3233
2540.000000 104.035 -143.0072
2580.000000 104.230 -143.7538
2620.000000 104.416 -144.5598
2650.000000 104.549 -145.2022
2690.000000 104.718 -146.1049
2720.000000 104.838 -146.8131
2760.000000 104.988 -147.7936
2800.000000 105.126 -148.8091
2850.000000 105.281 -150.1146
2900.000000 105.417 -151.4521
2950.000000 105.534 -152.8082
3000.000000 105.632 -154.1678
3040.000000 105.697 -155.2513
3070.000000 105.737 -156.0563
3110.000000 105.782 -157.1135
3150.000000 105.816 -158.1485
3200.000000 105.844 -159.4069
3250.000000 105.858 -160.6202
3300.000000 105.858 -161.7814
3350.000000 105.846 -162.8823
3400.000000 105.821 -163.9169
3450.000000 105.785 -164.8785
3500.000000 105.740 -165.7579
3550.000000 105.689 -166.5495
3600.000000 105.633 -167.2569
3650.000000 105.575 -167.8837
3700.000000 105.516 -168.4345
3750.000000 105.456 -168.9189
3820.000000 105.376 -169.4980
3870.000000 105.320 -169.8491
3950.000000 105.237 -170.3184
4000.000000 105.189 -170.5647
4060.000000 105.136 -170.8231
4120.000000 105.087 -171.0498
4180.000000 105.044 -171.2553
4250.000000 105.000 -171.4781
4310.000000 104.967 -171.6622
4370.000000 104.938 -171.8474
4440.000000 104.909 -172.0741
4500.000000 104.888 -172.2815
4550.000000 104.871 -172.4636
4620.000000 104.851 -172.7322
4680.000000 104.835 -172.9751
4750.000000 104.819 -173.2747
4820.000000 104.806 -173.5981
4870.000000 104.799 -173.8494
4940.000000 104.790 -174.2405
5000.000000 104.783 -174.6179
5080.000000 104.771 -175.1811
5150.000000 104.756 -175.7238
5220.000000 104.734 -176.3048
5300.000000 104.699 -177.0036
5380.000000 104.652 -177.7215
5450.000000 104.600 -178.3469
5520.000000 104.537 -178.9524
5600.000000 104.454 -179.6009
5700.000000 104.333 179.7025
