* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 12, 2023 10:53:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Mich Celest Wyvern Pro R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	101.356	-160.3058
20.299999	101.356	-161.0653
20.600000	101.355	-161.8148
20.900000	101.352	-162.5521
21.200001	101.346	-163.2718
21.400000	101.341	-163.7387
21.799999	101.329	-164.6396
22.000000	101.323	-165.0746
22.400000	101.312	-165.9206
22.700001	101.304	-166.5431
23.000000	101.297	-167.1627
23.299999	101.288	-167.7811
23.600000	101.278	-168.3959
24.000000	101.261	-169.2019
24.299999	101.246	-169.7890
24.700001	101.224	-170.5432
25.000000	101.208	-171.0884
25.400000	101.186	-171.7942
25.799999	101.165	-172.4844
26.200001	101.144	-173.1656
26.500000	101.127	-173.6715
26.900000	101.104	-174.3378
27.200001	101.086	-174.8288
27.600000	101.060	-175.4679
28.000000	101.032	-176.0856
28.500000	100.997	-176.8259
29.000000	100.962	-177.5361
29.500000	100.929	-178.2258
30.000000	100.896	-178.9025
30.400000	100.869	-179.4354
30.700001	100.849	-179.8293
31.100000	100.821	179.6537
31.500000	100.793	179.1460
32.000000	100.757	178.5235
32.500000	100.719	177.9159
33.000000	100.680	177.3262
33.500000	100.641	176.7557
34.000000	100.600	176.2032
34.500000	100.559	175.6693
35.000000	100.517	175.1568
35.500000	100.476	174.6670
36.000000	100.436	174.1937
36.500000	100.397	173.7260
37.000000	100.358	173.2573
37.500000	100.317	172.7925
38.200001	100.255	172.1724
38.700001	100.212	171.7602
39.500000	100.146	171.1302
40.000000	100.107	170.7343
40.599998	100.060	170.2519
41.200001	100.011	169.7747
41.799999	99.961	169.3146
42.500000	99.902	168.7999
43.099998	99.852	168.3738
43.700001	99.802	167.9606
44.400002	99.744	167.4930
45.000000	99.693	167.1057
45.500000	99.650	166.7968
46.200001	99.589	166.3906
46.799999	99.538	166.0621
47.500000	99.480	165.6934
48.200001	99.421	165.3389
48.700001	99.379	165.0936
49.400002	99.320	164.7581
50.000000	99.270	164.4796
50.799999	99.203	164.1246
51.500000	99.145	163.8217
52.200001	99.089	163.5193
53.000000	99.023	163.1815
53.799999	98.959	162.8599
54.500000	98.904	162.5893
55.200001	98.851	162.3245
56.000000	98.792	162.0224
57.000000	98.718	161.6382
58.000000	98.642	161.2659
59.000000	98.564	160.9368
60.000000	98.490	160.6424
60.799999	98.434	160.4092
61.500000	98.384	160.2043
62.200001	98.335	160.0054
63.000000	98.277	159.7906
64.000000	98.205	159.5400
65.000000	98.134	159.3085
66.000000	98.064	159.0918
67.000000	97.995	158.8809
68.000000	97.927	158.6782
69.000000	97.859	158.4844
70.000000	97.792	158.2946
71.000000	97.725	158.1125
72.000000	97.659	157.9444
73.000000	97.593	157.7911
74.000000	97.528	157.6547
75.000000	97.466	157.5308
76.199997	97.392	157.3892
77.500000	97.314	157.2397
78.800003	97.235	157.0981
80.000000	97.165	156.9798
81.199997	97.095	156.8622
82.500000	97.019	156.7482
83.800003	96.944	156.6509
85.000000	96.877	156.5666
86.199997	96.811	156.4878
87.500000	96.740	156.4115
88.500000	96.686	156.3588
90.000000	96.606	156.2883
91.199997	96.543	156.2411
92.500000	96.476	156.2017
93.800003	96.409	156.1726
95.000000	96.348	156.1523
96.199997	96.288	156.1340
97.500000	96.224	156.1174
98.800003	96.162	156.1023
100.000000	96.106	156.0935
101.500000	96.037	156.0934
103.000000	95.970	156.1034
104.400002	95.909	156.1185
106.000000	95.838	156.1419
107.500000	95.773	156.1700
109.000000	95.709	156.2032
110.599998	95.643	156.2430
112.000000	95.586	156.2801
113.800003	95.515	156.3345
115.000000	95.467	156.3749
117.199997	95.381	156.4631
118.000000	95.351	156.4981
120.599998	95.254	156.6185
122.000000	95.203	156.6836
124.099998	95.128	156.7828
125.000000	95.096	156.8292
126.500000	95.044	156.9076
128.000000	94.992	156.9868
131.500000	94.875	157.1924
132.000000	94.859	157.2230
134.000000	94.794	157.3456
136.000000	94.731	157.4733
138.000000	94.670	157.6049
140.000000	94.610	157.7420
143.000000	94.522	157.9575
145.000000	94.464	158.0999
147.500000	94.393	158.2877
150.000000	94.326	158.4774
152.500000	94.260	158.6632
155.000000	94.194	158.8599
157.500000	94.131	159.0638
160.000000	94.071	159.2657
162.500000	94.013	159.4637
165.000000	93.955	159.6677
167.500000	93.897	159.8814
170.000000	93.841	160.0980
172.500000	93.787	160.3116
175.000000	93.735	160.5262
177.500000	93.684	160.7429
180.000000	93.634	160.9594
182.500000	93.584	161.1764
185.000000	93.534	161.3928
187.500000	93.488	161.6072
190.000000	93.442	161.8226
192.500000	93.397	162.0433
195.000000	93.354	162.2688
197.500000	93.312	162.4959
200.000000	93.271	162.7191
203.000000	93.223	162.9790
206.000000	93.175	163.2398
209.000000	93.128	163.5092
212.000000	93.082	163.7795
214.000000	93.053	163.9576
218.000000	92.995	164.3119
220.000000	92.967	164.4877
224.000000	92.912	164.8373
227.000000	92.873	165.1056
230.000000	92.833	165.3750
233.000000	92.795	165.6343
236.000000	92.758	165.8907
240.000000	92.711	166.2402
243.000000	92.675	166.4988
247.000000	92.629	166.8448
250.000000	92.595	167.1044
254.000000	92.552	167.4505
258.000000	92.508	167.7963
262.000000	92.466	168.1436
265.000000	92.436	168.4059
269.000000	92.395	168.7534
272.000000	92.366	169.0121
276.000000	92.328	169.3556
280.000000	92.290	169.7037
285.000000	92.244	170.1505
290.000000	92.200	170.5933
295.000000	92.155	171.0442
300.000000	92.109	171.5193
304.000000	92.076	171.9195
307.000000	92.052	172.2328
311.000000	92.021	172.6654
315.000000	91.994	173.1083
320.000000	91.970	173.6979
325.000000	91.959	174.3379
330.000000	91.963	174.9487
335.000000	91.982	175.4446
340.000000	92.002	175.7928
345.000000	92.015	176.0295
350.000000	92.014	176.2151
355.000000	92.001	176.3913
360.000000	91.982	176.5872
365.000000	91.959	176.8285
370.000000	91.935	177.1015
375.000000	91.910	177.3909
382.000000	91.877	177.8239
387.000000	91.855	178.1450
395.000000	91.820	178.6645
400.000000	91.800	178.9946
406.000000	91.777	179.3982
412.000000	91.755	179.7999
418.000000	91.735	-179.7936
425.000000	91.713	-179.3136
431.000000	91.696	-178.9067
437.000000	91.679	-178.4992
444.000000	91.661	-178.0256
450.000000	91.646	-177.6221
455.000000	91.634	-177.2843
462.000000	91.619	-176.8084
468.000000	91.606	-176.4015
475.000000	91.593	-175.9278
482.000000	91.581	-175.4578
487.000000	91.572	-175.1237
494.000000	91.560	-174.6535
500.000000	91.550	-174.2478
508.000000	91.539	-173.7055
515.000000	91.530	-173.2305
522.000000	91.522	-172.7570
530.000000	91.513	-172.2202
538.000000	91.506	-171.6817
545.000000	91.500	-171.2072
552.000000	91.495	-170.7305
560.000000	91.490	-170.1808
570.000000	91.486	-169.4943
580.000000	91.483	-168.8089
590.000000	91.481	-168.1131
600.000000	91.482	-167.4106
608.000000	91.483	-166.8457
615.000000	91.486	-166.3488
622.000000	91.490	-165.8489
630.000000	91.496	-165.2744
640.000000	91.505	-164.5505
650.000000	91.517	-163.8192
660.000000	91.531	-163.0797
670.000000	91.548	-162.3312
680.000000	91.567	-161.5706
690.000000	91.591	-160.7973
700.000000	91.619	-160.0174
710.000000	91.653	-159.2341
720.000000	91.693	-158.4525
730.000000	91.738	-157.6801
740.000000	91.789	-156.9246
750.000000	91.845	-156.1896
762.000000	91.916	-155.3334
775.000000	92.000	-154.4405
788.000000	92.091	-153.5909
800.000000	92.178	-152.8523
812.000000	92.268	-152.1620
825.000000	92.367	-151.4634
838.000000	92.465	-150.8110
850.000000	92.555	-150.2423
862.000000	92.643	-149.6989
875.000000	92.737	-149.1291
885.000000	92.808	-148.7006
900.000000	92.915	-148.0695
912.000000	93.001	-147.5714
925.000000	93.094	-147.0394
938.000000	93.189	-146.5165
950.000000	93.278	-146.0444
962.000000	93.368	-145.5859
975.000000	93.467	-145.1054
988.000000	93.568	-144.6420
1000.000000	93.663	-144.2326
1015.000000	93.784	-143.7485
1030.000000	93.906	-143.2965
1044.000000	94.021	-142.9031
1060.000000	94.152	-142.4873
1075.000000	94.275	-142.1323
1090.000000	94.398	-141.8100
1106.000000	94.528	-141.4971
1120.000000	94.640	-141.2464
1138.000000	94.785	-140.9576
1150.000000	94.881	-140.7961
1172.000000	95.049	-140.5722
1180.000000	95.105	-140.4982
1206.000000	95.284	-140.2034
1220.000000	95.383	-140.0302
1241.000000	95.535	-139.8114
1250.000000	95.599	-139.7336
1265.000000	95.705	-139.6182
1280.000000	95.809	-139.5153
1315.000000	96.044	-139.3056
1320.000000	96.077	-139.2782
1340.000000	96.208	-139.1739
1360.000000	96.337	-139.0794
1380.000000	96.465	-138.9916
1400.000000	96.592	-138.9084
1430.000000	96.781	-138.7936
1450.000000	96.907	-138.7267
1475.000000	97.063	-138.6544
1500.000000	97.221	-138.5942
1525.000000	97.378	-138.5480
1550.000000	97.537	-138.5170
1575.000000	97.696	-138.5037
1600.000000	97.857	-138.5107
1625.000000	98.018	-138.5385
1650.000000	98.181	-138.5894
1675.000000	98.345	-138.6659
1700.000000	98.510	-138.7701
1725.000000	98.676	-138.9041
1750.000000	98.843	-139.0695
1775.000000	99.011	-139.2680
1800.000000	99.178	-139.5005
1825.000000	99.347	-139.7596
1850.000000	99.520	-140.0607
1875.000000	99.694	-140.4202
1900.000000	99.868	-140.8182
1925.000000	100.037	-141.2388
1950.000000	100.201	-141.6984
1975.000000	100.363	-142.2078
2000.000000	100.523	-142.7608
2030.000000	100.712	-143.4806
2060.000000	100.896	-144.2608
2090.000000	101.074	-145.1007
2120.000000	101.246	-145.9994
2140.000000	101.356	-146.6302
2180.000000	101.567	-147.9628
2200.000000	101.667	-148.6621
