* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (3- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Sep 24, 2023 12:09:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop Blessing 2: Dusk L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	81.896	17.2049
20.299999	81.883	16.7545
20.600000	81.874	16.3720
20.900000	81.874	16.0428
21.200001	81.886	15.7294
21.400000	81.900	15.5020
21.799999	81.937	14.9686
22.000000	81.956	14.6541
22.400000	81.985	13.9431
22.700001	81.997	13.3776
23.000000	81.998	12.8281
23.299999	81.994	12.3193
23.600000	81.987	11.8546
24.000000	81.981	11.2854
24.299999	81.979	10.8707
24.700001	81.979	10.3090
25.000000	81.977	9.8792
25.400000	81.971	9.3098
25.799999	81.960	8.7687
26.200001	81.948	8.2650
26.500000	81.940	7.9050
26.900000	81.932	7.4341
27.200001	81.927	7.0797
27.600000	81.919	6.6031
28.000000	81.909	6.1284
28.500000	81.893	5.5510
29.000000	81.876	4.9985
29.500000	81.859	4.4685
30.000000	81.842	3.9542
30.400000	81.830	3.5493
30.700001	81.821	3.2473
31.100000	81.809	2.8450
31.500000	81.796	2.4446
32.000000	81.779	1.9530
32.500000	81.762	1.4792
33.000000	81.745	1.0226
33.500000	81.730	0.5739
34.000000	81.716	0.1243
34.500000	81.700	-0.3228
35.000000	81.683	-0.7557
35.500000	81.665	-1.1675
36.000000	81.648	-1.5656
36.500000	81.633	-1.9635
37.000000	81.615	-2.3651
37.500000	81.595	-2.7589
38.200001	81.564	-3.2734
38.700001	81.542	-3.6180
39.500000	81.510	-4.1650
40.000000	81.490	-4.5079
40.599998	81.463	-4.9105
41.200001	81.437	-5.3016
41.799999	81.412	-5.6892
42.500000	81.382	-6.1387
43.099998	81.355	-6.5157
43.700001	81.328	-6.8835
44.400002	81.297	-7.3000
45.000000	81.270	-7.6434
45.500000	81.249	-7.9201
46.200001	81.220	-8.2993
46.799999	81.195	-8.6187
47.500000	81.166	-8.9791
48.200001	81.138	-9.3254
48.700001	81.118	-9.5684
49.400002	81.090	-9.9069
50.000000	81.067	-10.1943
50.799999	81.035	-10.5771
51.500000	81.006	-10.9193
52.200001	80.975	-11.2628
53.000000	80.937	-11.6422
53.799999	80.901	-12.0140
54.500000	80.869	-12.3400
55.200001	80.838	-12.6602
56.000000	80.804	-13.0187
57.000000	80.762	-13.4536
58.000000	80.726	-13.8768
59.000000	80.688	-14.3560
60.000000	80.633	-14.8033
60.799999	80.589	-15.0625
61.500000	80.557	-15.2721
62.200001	80.528	-15.5081
63.000000	80.492	-15.7941
64.000000	80.444	-16.1451
65.000000	80.396	-16.4962
66.000000	80.346	-16.8417
67.000000	80.297	-17.1718
68.000000	80.250	-17.4920
69.000000	80.202	-17.8038
70.000000	80.155	-18.1083
71.000000	80.106	-18.4061
72.000000	80.057	-18.6924
73.000000	80.007	-18.9698
74.000000	79.958	-19.2416
75.000000	79.908	-19.5081
76.199997	79.849	-19.8179
77.500000	79.786	-20.1412
