* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (3- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Sep 24, 2023 12:08:13 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop  Blessing 2: Dusk R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	82.548	16.2516
20.299999	82.547	15.6910
20.600000	82.547	15.1460
20.900000	82.546	14.6133
21.200001	82.544	14.0916
21.400000	82.543	13.7499
21.799999	82.539	13.0823
22.000000	82.537	12.7561
22.400000	82.533	12.1173
22.700001	82.529	11.6470
23.000000	82.525	11.1823
23.299999	82.520	10.7237
23.600000	82.514	10.2736
24.000000	82.504	9.6915
24.299999	82.496	9.2704
24.700001	82.486	8.7256
25.000000	82.479	8.3214
25.400000	82.471	7.7760
25.799999	82.461	7.2173
26.200001	82.444	6.6589
26.500000	82.427	6.2603
26.900000	82.402	5.7823
27.200001	82.384	5.4728
27.600000	82.367	5.1117
28.000000	82.364	4.7589
28.500000	82.373	4.2345
29.000000	82.380	3.5735
29.500000	82.365	2.8501
30.000000	82.330	2.2066
30.400000	82.297	1.8062
30.700001	82.276	1.5667
31.100000	82.258	1.2869
31.500000	82.250	1.0061
32.000000	82.247	0.6106
32.500000	82.243	0.1688
33.000000	82.236	-0.2910
33.500000	82.223	-0.7510
34.000000	82.206	-1.2015
34.500000	82.185	-1.6297
35.000000	82.161	-2.0255
35.500000	82.139	-2.3937
36.000000	82.119	-2.7531
36.500000	82.101	-3.1210
37.000000	82.083	-3.5032
37.500000	82.064	-3.8944
38.200001	82.034	-4.4424
38.700001	82.012	-4.8315
39.500000	81.977	-5.4602
40.000000	81.952	-5.8463
40.599998	81.919	-6.2689
41.200001	81.891	-6.6345
41.799999	81.872	-6.9869
42.500000	81.856	-7.4440
43.099998	81.837	-7.8596
43.700001	81.815	-8.2542
44.400002	81.789	-8.6899
45.000000	81.766	-9.0654
45.500000	81.744	-9.3730
46.200001	81.712	-9.7764
46.799999	81.685	-10.1084
47.500000	81.653	-10.5022
48.200001	81.620	-10.8885
48.700001	81.596	-11.1535
49.400002	81.566	-11.5273
50.000000	81.540	-11.8615
50.799999	81.502	-12.3059
51.500000	81.469	-12.6766
52.200001	81.435	-13.0334
53.000000	81.398	-13.4261
53.799999	81.361	-13.8014
54.500000	81.330	-14.1203
55.200001	81.298	-14.4360
56.000000	81.259	-14.7822
57.000000	81.214	-15.1655
58.000000	81.178	-15.5974
59.000000	81.126	-16.1135
60.000000	81.060	-16.4962
60.799999	81.020	-16.7455
61.500000	80.991	-17.0093
62.200001	80.958	-17.2976
63.000000	80.917	-17.6122
64.000000	80.868	-17.9865
65.000000	80.818	-18.3500
66.000000	80.768	-18.6926
67.000000	80.719	-19.0199
68.000000	80.671	-19.3417
69.000000	80.622	-19.6546
70.000000	80.574	-19.9662
71.000000	80.524	-20.2800
72.000000	80.474	-20.5876
73.000000	80.424	-20.8883
74.000000	80.375	-21.1825
75.000000	80.325	-21.4733
76.199997	80.265	-21.8154
77.500000	80.199	-22.1676
78.800003	80.133	-22.4979
80.000000	80.073	-22.7884
81.199997	80.014	-23.0784
82.500000	79.947	-23.3822
83.800003	79.881	-23.6622
85.000000	79.821	-23.9261
86.199997	79.758	-24.1820
87.500000	79.692	-24.4408
88.500000	79.643	-24.6310
90.000000	79.572	-24.9265
91.199997	79.514	-25.1661
92.500000	79.449	-25.4126
93.800003	79.383	-25.6410
95.000000	79.321	-25.8382
96.199997	79.261	-26.0323
97.500000	79.197	-26.2452
98.800003	79.132	-26.4498
100.000000	79.072	-26.6260
101.500000	78.998	-26.8349
103.000000	78.923	-27.0231
104.400002	78.853	-27.1906
106.000000	78.773	-27.3854
107.500000	78.697	-27.5494
109.000000	78.622	-27.6858
110.599998	78.543	-27.8131
112.000000	78.475	-27.9030
113.800003	78.391	-28.0214
115.000000	78.336	-28.1182
117.199997	78.236	-28.2828
118.000000	78.201	-28.3340
120.599998	78.083	-28.5088
122.000000	78.012	-28.5621
124.099998	77.909	-28.6205
125.000000	77.865	-28.6561
126.500000	77.793	-28.7200
128.000000	77.721	-28.7662
131.500000	77.559	-28.7844
132.000000	77.535	-28.7803
134.000000	77.443	-28.7499
136.000000	77.354	-28.7100
138.000000	77.268	-28.6267
140.000000	77.191	-28.4697
143.000000	77.096	-28.2507
145.000000	77.038	-28.1819
147.500000	76.970	-28.1768
150.000000	76.898	-28.2289
152.500000	76.816	-28.2856
155.000000	76.725	-28.3263
157.500000	76.634	-28.3411
160.000000	76.544	-28.3406
162.500000	76.452	-28.3162
165.000000	76.360	-28.2675
167.500000	76.265	-28.2022
170.000000	76.171	-28.1038
