* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Oct 13, 2023 10:20:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop Chu S2 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	98.918	-156.0062
20.299999	98.904	-156.7399
20.600000	98.888	-157.4364
20.900000	98.872	-158.1092
21.200001	98.856	-158.7790
21.400000	98.843	-159.2333
21.799999	98.807	-160.1584
22.000000	98.781	-160.6195
22.400000	98.710	-161.4964
22.700001	98.639	-162.0616
23.000000	98.555	-162.4929
23.299999	98.467	-162.7505
23.600000	98.382	-162.8137
24.000000	98.293	-162.5968
24.299999	98.261	-162.2566
24.700001	98.282	-161.7013
25.000000	98.349	-161.3526
25.400000	98.495	-161.1788
25.799999	98.672	-161.4985
26.200001	98.837	-162.3193
26.500000	98.931	-163.1685
26.900000	99.010	-164.4362
27.200001	99.037	-165.3683
27.600000	99.047	-166.4910
28.000000	99.044	-167.4688
28.500000	99.037	-168.5728
29.000000	99.024	-169.6179
29.500000	99.000	-170.5758
30.000000	98.973	-171.4096
30.400000	98.957	-172.0213
30.700001	98.948	-172.4803
31.100000	98.935	-173.1139
31.500000	98.915	-173.7541
32.000000	98.878	-174.4982
32.500000	98.838	-175.1393
33.000000	98.806	-175.7203
33.500000	98.780	-176.3083
34.000000	98.752	-176.9186
34.500000	98.719	-177.5153
35.000000	98.684	-178.0744
35.500000	98.652	-178.6078
36.000000	98.621	-179.1368
36.500000	98.590	-179.6628
37.000000	98.557	179.8273
37.500000	98.522	179.3417
38.200001	98.476	178.6982
38.700001	98.443	178.2563
39.500000	98.392	177.5673
40.000000	98.359	177.1479
40.599998	98.318	176.6603
41.200001	98.277	176.1881
41.799999	98.236	175.7239
42.500000	98.187	175.1957
43.099998	98.144	174.7657
43.700001	98.103	174.3525
44.400002	98.057	173.8729
45.000000	98.018	173.4606
45.500000	97.985	173.1241
46.200001	97.939	172.6692
46.799999	97.900	172.2904
47.500000	97.852	171.8634
48.200001	97.805	171.4641
48.700001	97.771	171.1947
49.400002	97.726	170.8243
50.000000	97.688	170.5047
50.799999	97.634	170.0862
51.500000	97.586	169.7356
52.200001	97.539	169.3933
53.000000	97.484	169.0105
53.799999	97.428	168.6449
54.500000	97.381	168.3366
55.200001	97.333	168.0369
56.000000	97.279	167.7100
57.000000	97.212	167.3231
58.000000	97.146	166.9512
59.000000	97.080	166.6003
60.000000	97.014	166.2723
60.799999	96.963	166.0230
61.500000	96.918	165.8154
62.200001	96.875	165.6180
63.000000	96.828	165.3972
64.000000	96.772	165.1144
65.000000	96.715	164.8256
66.000000	96.656	164.5401
67.000000	96.597	164.2707
68.000000	96.537	164.0142
69.000000	96.477	163.7654
70.000000	96.417	163.5319
71.000000	96.358	163.3058
72.000000	96.298	163.0887
73.000000	96.239	162.8842
74.000000	96.180	162.6847
75.000000	96.121	162.4943
76.199997	96.051	162.2839
77.500000	95.976	162.0716
78.800003	95.901	161.8669
80.000000	95.832	161.6937
81.199997	95.764	161.5366
82.500000	95.691	161.3705
83.800003	95.617	161.2109
85.000000	95.549	161.0859
86.199997	95.484	160.9671
87.500000	95.413	160.8301
88.500000	95.356	160.7364
90.000000	95.273	160.6171
91.199997	95.207	160.5248
92.500000	95.134	160.4355
93.800003	95.061	160.3519
95.000000	94.994	160.2841
96.199997	94.926	160.2274
97.500000	94.851	160.1770
98.800003	94.776	160.1399
100.000000	94.706	160.1158
101.500000	94.617	160.0988
103.000000	94.525	160.1019
104.400002	94.437	160.1264
106.000000	94.332	160.1949
107.500000	94.230	160.3026
109.000000	94.124	160.4557
110.599998	94.004	160.6873
112.000000	93.894	160.9799
113.800003	93.752	161.5288
115.000000	93.659	162.0166
117.199997	93.504	163.2279
118.000000	93.460	163.7815
120.599998	93.406	165.8523
122.000000	93.445	166.9905
124.099998	93.587	168.5209
125.000000	93.674	169.0482
126.500000	93.844	169.6652
128.000000	94.027	169.8667
131.500000	94.364	168.7100
132.000000	94.393	168.4250
134.000000	94.460	167.2233
136.000000	94.461	166.1223
138.000000	94.418	165.2639
140.000000	94.354	164.6216
143.000000	94.241	163.9229
145.000000	94.164	163.5948
147.500000	94.069	163.3196
150.000000	93.979	163.1410
152.500000	93.892	163.0239
155.000000	93.810	162.9553
157.500000	93.731	162.9294
160.000000	93.657	162.9420
162.500000	93.586	162.9730
165.000000	93.519	163.0161
167.500000	93.454	163.0765
170.000000	93.392	163.1513
172.500000	93.333	163.2375
175.000000	93.276	163.3331
177.500000	93.220	163.4384
180.000000	93.166	163.5506
182.500000	93.113	163.6664
185.000000	93.063	163.7881
187.500000	93.014	163.9164
190.000000	92.968	164.0486
192.500000	92.922	164.1823
195.000000	92.878	164.3166
197.500000	92.834	164.4529
200.000000	92.792	164.5927
203.000000	92.743	164.7641
206.000000	92.695	164.9406
209.000000	92.649	165.1188
212.000000	92.604	165.2963
214.000000	92.575	165.4157
218.000000	92.518	165.6576
220.000000	92.490	165.7805
224.000000	92.437	166.0287
227.000000	92.398	166.2137
230.000000	92.360	166.3971
233.000000	92.324	166.5822
236.000000	92.289	166.7693
240.000000	92.242	167.0226
243.000000	92.208	167.2168
247.000000	92.165	167.4774
250.000000	92.135	167.6718
254.000000	92.096	167.9283
258.000000	92.058	168.1801
262.000000	92.022	168.4284
265.000000	91.995	168.6122
269.000000	91.960	168.8564
272.000000	91.935	169.0379
276.000000	91.902	169.2755
280.000000	91.870	169.5114
285.000000	91.830	169.8094
290.000000	91.792	170.1085
295.000000	91.756	170.4051
300.000000	91.721	170.7027
304.000000	91.694	170.9424
307.000000	91.673	171.1213
311.000000	91.646	171.3567
315.000000	91.621	171.5923
320.000000	91.591	171.8850
325.000000	91.561	172.1734
330.000000	91.532	172.4637
335.000000	91.504	172.7542
340.000000	91.478	173.0403
345.000000	91.452	173.3232
350.000000	91.427	173.6088
355.000000	91.403	173.8954
360.000000	91.380	174.1778
365.000000	91.357	174.4561
370.000000	91.335	174.7339
375.000000	91.314	175.0098
382.000000	91.286	175.3933
387.000000	91.266	175.6640
395.000000	91.236	176.0999
400.000000	91.217	176.3739
406.000000	91.197	176.7001
412.000000	91.177	177.0231
418.000000	91.157	177.3401
425.000000	91.135	177.7095
431.000000	91.117	178.0304
437.000000	91.101	178.3523
444.000000	91.083	178.7212
450.000000	91.066	179.0298
455.000000	91.053	179.2838
462.000000	91.035	179.6430
468.000000	91.021	179.9586
475.000000	91.006	-179.6702
482.000000	90.991	-179.3062
487.000000	90.980	-179.0516
494.000000	90.965	-178.6998
500.000000	90.954	-178.3964
