* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Oct 13, 2023 10:20:29 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop Chu S2 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	98.760	-153.3632
20.299999	98.765	-154.1135
20.600000	98.768	-154.8336
20.900000	98.769	-155.5231
21.200001	98.771	-156.1875
21.400000	98.773	-156.6221
21.799999	98.776	-157.4783
22.000000	98.777	-157.9012
22.400000	98.776	-158.7322
22.700001	98.774	-159.3342
23.000000	98.772	-159.9133
23.299999	98.771	-160.4744
23.600000	98.772	-161.0281
24.000000	98.776	-161.7744
24.299999	98.779	-162.3492
24.700001	98.780	-163.1313
25.000000	98.776	-163.7165
25.400000	98.766	-164.4757
25.799999	98.754	-165.2001
26.200001	98.741	-165.8935
26.500000	98.731	-166.3991
26.900000	98.718	-167.0574
27.200001	98.708	-167.5388
27.600000	98.695	-168.1637
28.000000	98.683	-168.7749
28.500000	98.668	-169.5345
29.000000	98.650	-170.2905
29.500000	98.627	-171.0163
30.000000	98.603	-171.6864
30.400000	98.586	-172.1903
30.700001	98.576	-172.5634
31.100000	98.563	-173.0703
31.500000	98.549	-173.5888
32.000000	98.525	-174.2304
32.500000	98.496	-174.8333
33.000000	98.467	-175.3928
33.500000	98.441	-175.9322
34.000000	98.414	-176.4735
34.500000	98.386	-177.0176
35.000000	98.354	-177.5536
35.500000	98.319	-178.0732
36.000000	98.282	-178.5732
36.500000	98.244	-179.0529
37.000000	98.207	-179.5170
37.500000	98.170	-179.9774
38.200001	98.118	179.3660
38.700001	98.075	178.9039
39.500000	97.997	178.2730
40.000000	97.951	177.9822
40.599998	97.909	177.7126
41.200001	97.884	177.4582
41.799999	97.870	177.1699
42.500000	97.859	176.7858
