* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Oct 13, 2023 9:45:34 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop Quarks L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	89.403	-152.3406
20.299999	89.418	-152.7808
20.600000	89.433	-153.2135
20.900000	89.448	-153.6389
21.200001	89.463	-154.0572
21.400000	89.473	-154.3323
21.799999	89.494	-154.8733
22.000000	89.504	-155.1387
22.400000	89.524	-155.6574
22.700001	89.539	-156.0335
23.000000	89.552	-156.3964
23.299999	89.566	-156.7456
23.600000	89.579	-157.0821
24.000000	89.596	-157.5131
24.299999	89.609	-157.8253
24.700001	89.624	-158.2282
25.000000	89.635	-158.5206
25.400000	89.649	-158.8974
25.799999	89.662	-159.2610
26.200001	89.674	-159.6160
26.500000	89.682	-159.8790
26.900000	89.693	-160.2271
27.200001	89.700	-160.4859
27.600000	89.709	-160.8266
28.000000	89.717	-161.1613
28.500000	89.727	-161.5737
29.000000	89.737	-161.9837
29.500000	89.746	-162.3917
30.000000	89.755	-162.7919
30.400000	89.762	-163.1021
30.700001	89.768	-163.3285
31.100000	89.776	-163.6242
31.500000	89.784	-163.9156
32.000000	89.794	-164.2748
32.500000	89.803	-164.6227
33.000000	89.810	-164.9502
33.500000	89.818	-165.2559
34.000000	89.827	-165.5496
34.500000	89.837	-165.8446
35.000000	89.846	-166.1460
35.500000	89.853	-166.4482
36.000000	89.857	-166.7427
36.500000	89.860	-167.0262
37.000000	89.863	-167.3014
37.500000	89.866	-167.5721
38.200001	89.870	-167.9462
38.700001	89.873	-168.2087
39.500000	89.878	-168.6199
40.000000	89.881	-168.8711
40.599998	89.884	-169.1658
41.200001	89.888	-169.4534
41.799999	89.892	-169.7353
42.500000	89.896	-170.0582
43.099998	89.899	-170.3283
43.700001	89.902	-170.5915
44.400002	89.904	-170.8913
45.000000	89.906	-171.1438
45.500000	89.907	-171.3516
46.200001	89.909	-171.6385
46.799999	89.909	-171.8810
47.500000	89.910	-172.1594
48.200001	89.909	-172.4307
48.700001	89.909	-172.6195
49.400002	89.910	-172.8789
50.000000	89.910	-173.0984
