* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Oct 13, 2023 9:43:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop Quarks R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	88.488	-131.8345
20.299999	88.523	-132.4878
20.600000	88.559	-133.1084
20.900000	88.595	-133.7055
21.200001	88.632	-134.2859
21.400000	88.656	-134.6635
21.799999	88.705	-135.3936
22.000000	88.730	-135.7462
22.400000	88.782	-136.4324
22.700001	88.824	-136.9432
23.000000	88.867	-137.4640
23.299999	88.908	-137.9988
23.600000	88.946	-138.5416
24.000000	88.989	-139.2566
24.299999	89.017	-139.7671
24.700001	89.052	-140.4012
25.000000	89.080	-140.8488
25.400000	89.118	-141.4330
25.799999	89.158	-142.0311
26.200001	89.194	-142.6479
26.500000	89.215	-143.1078
26.900000	89.238	-143.6905
27.200001	89.254	-144.0918
27.600000	89.276	-144.5825
28.000000	89.304	-145.0507
28.500000	89.345	-145.6567
29.000000	89.384	-146.3051
29.500000	89.415	-146.9598
30.000000	89.441	-147.5721
30.400000	89.461	-148.0244
30.700001	89.479	-148.3502
31.100000	89.504	-148.7817
31.500000	89.529	-149.2190
32.000000	89.560	-149.7724
32.500000	89.586	-150.3192
33.000000	89.610	-150.8471
33.500000	89.633	-151.3554
34.000000	89.655	-151.8529
34.500000	89.675	-152.3476
35.000000	89.691	-152.8344
35.500000	89.703	-153.2930
36.000000	89.714	-153.7086
36.500000	89.730	-154.0945
37.000000	89.750	-154.4891
37.500000	89.771	-154.9169
38.200001	89.792	-155.5373
38.700001	89.801	-155.9487
39.500000	89.820	-156.5468
40.000000	89.834	-156.9237
40.599998	89.849	-157.3873
