* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.5 dBFS with no timing reference
* Dated: Dec 21, 2023 8:33:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Narmoo R1M (Black) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 106.014 -175.9891
20.299999 106.005 -176.5015
20.600000 105.995 -177.0040
20.900000 105.985 -177.4955
21.200001 105.974 -177.9767
21.400000 105.967 -178.2926
21.799999 105.954 -178.9156
22.000000 105.947 -179.2238
22.400000 105.932 -179.8342
22.700001 105.920 179.7154
23.000000 105.907 179.2734
23.299999 105.895 178.8411
23.600000 105.882 178.4180
24.000000 105.865 177.8643
24.299999 105.852 177.4537
24.700001 105.835 176.9104
25.000000 105.821 176.5071
25.400000 105.801 175.9787
25.799999 105.780 175.4644
26.200001 105.759 174.9642
26.500000 105.743 174.5966
26.900000 105.721 174.1143
27.200001 105.705 173.7578
27.600000 105.683 173.2903
28.000000 105.660 172.8327
28.500000 105.632 172.2733
29.000000 105.603 171.7238
29.500000 105.575 171.1817
30.000000 105.545 170.6491
30.400000 105.521 170.2318
30.700001 105.502 169.9239
31.100000 105.478 169.5192
31.500000 105.453 169.1202
32.000000 105.421 168.6308
32.500000 105.388 168.1548
33.000000 105.356 167.6942
33.500000 105.323 167.2461
34.000000 105.291 166.8052
34.500000 105.260 166.3678
35.000000 105.227 165.9341
35.500000 105.194 165.5072
36.000000 105.160 165.0902
36.500000 105.125 164.6834
37.000000 105.091 164.2843
37.500000 105.057 163.8898
38.200001 105.008 163.3456
38.700001 104.973 162.9660
39.500000 104.917 162.3770
40.000000 104.882 162.0175
40.599998 104.840 161.5920
41.200001 104.798 161.1738
41.799999 104.755 160.7661
42.500000 104.704 160.3072
43.099998 104.662 159.9254
43.700001 104.619 159.5472
44.400002 104.569 159.1091
45.000000 104.525 158.7451
45.500000 104.488 158.4530
46.200001 104.438 158.0502
46.799999 104.395 157.7008
47.500000 104.343 157.2954
48.200001 104.290 156.9074
48.700001 104.253 156.6403
49.400002 104.202 156.2737
50.000000 104.158 155.9666
50.799999 104.100 155.5721
51.500000 104.051 155.2345
52.200001 104.001 154.8981
53.000000 103.943 154.5298
53.799999 103.886 154.1904
54.500000 103.840 153.8953
55.200001 103.793 153.5847
56.000000 103.736 153.2310
57.000000 103.664 152.8156
58.000000 103.592 152.4108
59.000000 103.520 152.0192
60.000000 103.447 151.6478
60.799999 103.392 151.3709
61.500000 103.346 151.1277
62.200001 103.300 150.8698
63.000000 103.244 150.5790
64.000000 103.174 150.2534
65.000000 103.107 149.9386
66.000000 103.039 149.6260
67.000000 102.971 149.3242
68.000000 102.904 149.0374
69.000000 102.839 148.7501
70.000000 102.772 148.4532
71.000000 102.704 148.1730
72.000000 102.637 147.9120
73.000000 102.572 147.6583
74.000000 102.507 147.4118
75.000000 102.443 147.1743
76.199997 102.366 146.8989
77.500000 102.284 146.6183
78.800003 102.205 146.3516
80.000000 102.132 146.1034
81.199997 102.058 145.8621
82.500000 101.978 145.6234
83.800003 101.898 145.3973
85.000000 101.827 145.1924
86.199997 101.755 144.9868
87.500000 101.677 144.7751
88.500000 101.619 144.6219
90.000000 101.532 144.4020
91.199997 101.464 144.2328
92.500000 101.391 144.0547
93.800003 101.319 143.8840
95.000000 101.253 143.7341
96.199997 101.187 143.5883
97.500000 101.117 143.4361
98.800003 101.047 143.2916
100.000000 100.983 143.1706
101.500000 100.904 143.0246
103.000000 100.826 142.8812
104.400002 100.754 142.7500
106.000000 100.671 142.6062
107.500000 100.595 142.4872
109.000000 100.522 142.3752
110.599998 100.445 142.2547
112.000000 100.378 142.1541
113.800003 100.293 142.0335
115.000000 100.236 141.9637
117.199997 100.133 141.8580
118.000000 100.097 141.8230
120.599998 99.983 141.6895
122.000000 99.920 141.6073
124.099998 99.827 141.4982
125.000000 99.788 141.4552
126.500000 99.723 141.3882
128.000000 99.658 141.3294
131.500000 99.507 141.2150
132.000000 99.486 141.2020
134.000000 99.403 141.1550
136.000000 99.321 141.1141
138.000000 99.241 141.0823
140.000000 99.161 141.0570
143.000000 99.044 141.0229
145.000000 98.967 141.0027
147.500000 98.872 140.9797
150.000000 98.780 140.9513
152.500000 98.690 140.9197
155.000000 98.603 140.8943
157.500000 98.519 140.8874
160.000000 98.435 140.9046
162.500000 98.352 140.9283
165.000000 98.269 140.9428
167.500000 98.188 140.9520
170.000000 98.110 140.9696
172.500000 98.032 140.9980
175.000000 97.955 141.0239
177.500000 97.879 141.0453
180.000000 97.804 141.0766
182.500000 97.731 141.1191
185.000000 97.660 141.1606
187.500000 97.589 141.2037
190.000000 97.519 141.2481
192.500000 97.449 141.2982
195.000000 97.380 141.3497
197.500000 97.311 141.4009
200.000000 97.244 141.4527
203.000000 97.164 141.5173
206.000000 97.085 141.5858
209.000000 97.007 141.6603
212.000000 96.928 141.7378
214.000000 96.877 141.7906
218.000000 96.774 141.9054
220.000000 96.723 141.9665
224.000000 96.619 142.0961
227.000000 96.541 142.2000
230.000000 96.462 142.3133
233.000000 96.382 142.4367
236.000000 96.300 142.5681
240.000000 96.187 142.7811
243.000000 96.098 143.0050
247.000000 95.974 143.4023
250.000000 95.878 143.8104
254.000000 95.758 144.5991
258.000000 95.678 145.7551
262.000000 95.698 147.1334
265.000000 95.794 147.9445
269.000000 95.971 148.1735
272.000000 96.072 147.7331
276.000000 96.118 146.8358
280.000000 96.081 146.0424
285.000000 95.982 145.4040
290.000000 95.868 145.0667
295.000000 95.758 144.9021
300.000000 95.655 144.8413
304.000000 95.574 144.8474
307.000000 95.516 144.8692
311.000000 95.441 144.9120
315.000000 95.369 144.9744
320.000000 95.282 145.0717
325.000000 95.198 145.1868
330.000000 95.116 145.3196
335.000000 95.037 145.4743
340.000000 94.962 145.6501
345.000000 94.892 145.8516
350.000000 94.830 146.0680
355.000000 94.777 146.2604
360.000000 94.730 146.3939
365.000000 94.681 146.4686
370.000000 94.627 146.5117
375.000000 94.568 146.5557
382.000000 94.480 146.6496
387.000000 94.417 146.7367
395.000000 94.317 146.9008
400.000000 94.256 147.0162
406.000000 94.186 147.1604
412.000000 94.117 147.3065
418.000000 94.051 147.4542
425.000000 93.972 147.6273
431.000000 93.904 147.7769
437.000000 93.838 147.9299
444.000000 93.762 148.1131
450.000000 93.698 148.2712
455.000000 93.645 148.4043
462.000000 93.572 148.5937
468.000000 93.511 148.7597
475.000000 93.439 148.9551
482.000000 93.369 149.1525
487.000000 93.320 149.2942
494.000000 93.251 149.4932
500.000000 93.194 149.6663
508.000000 93.118 149.9047
515.000000 93.052 150.1172
522.000000 92.987 150.3320
530.000000 92.913 150.5792
538.000000 92.840 150.8298
545.000000 92.778 151.0510
552.000000 92.717 151.2758
560.000000 92.648 151.5376
570.000000 92.562 151.8708
580.000000 92.477 152.2096
590.000000 92.395 152.5608
600.000000 92.314 152.9275
608.000000 92.249 153.2146
615.000000 92.194 153.4679
622.000000 92.140 153.7277
630.000000 92.079 154.0301
640.000000 92.004 154.4167
650.000000 91.932 154.8125
660.000000 91.860 155.2177
670.000000 91.792 155.6252
680.000000 91.725 156.0410
690.000000 91.661 156.4657
700.000000 91.598 156.8967
710.000000 91.538 157.3288
720.000000 91.481 157.7631
730.000000 91.427 158.2144
740.000000 91.375 158.6695
750.000000 91.326 159.1233
762.000000 91.271 159.6634
775.000000 91.218 160.2416
788.000000 91.169 160.8083
800.000000 91.129 161.3134
812.000000 91.094 161.7810
825.000000 91.057 162.2294
838.000000 91.017 162.6089
850.000000 90.972 162.9016
862.000000 90.914 163.1855
875.000000 90.836 163.5582
885.000000 90.769 163.9298
900.000000 90.673 164.6461
912.000000 90.608 165.3332
925.000000 90.555 166.1285
938.000000 90.518 166.9240
950.000000 90.497 167.6334
962.000000 90.483 168.3135
975.000000 90.476 169.0160
988.000000 90.474 169.6710
1000.000000 90.477 170.2352
1015.000000 90.484 170.8928
1030.000000 90.491 171.5066
1044.000000 90.500 172.0418
1060.000000 90.510 172.6113
1075.000000 90.520 173.1078
1090.000000 90.530 173.5717
1106.000000 90.539 174.0342
1120.000000 90.546 174.4159
1138.000000 90.554 174.8816
1150.000000 90.557 175.1721
1172.000000 90.558 175.6755
1180.000000 90.558 175.8536
1206.000000 90.552 176.4206
1220.000000 90.546 176.7189
1241.000000 90.534 177.1604
1250.000000 90.528 177.3492
1265.000000 90.516 177.6675
1280.000000 90.502 177.9902
1315.000000 90.466 178.7650
1320.000000 90.460 178.8788
1340.000000 90.435 179.3430
1360.000000 90.410 179.8251
1380.000000 90.384 -179.6760
1400.000000 90.358 -179.1608
1430.000000 90.318 -178.3527
1450.000000 90.291 -177.7872
1475.000000 90.259 -177.0543
1500.000000 90.230 -176.2959
1525.000000 90.203 -175.5094
1550.000000 90.178 -174.7000
1575.000000 90.157 -173.8614
1600.000000 90.140 -172.9970
1625.000000 90.127 -172.1108
1650.000000 90.117 -171.2083
1675.000000 90.113 -170.2856
1700.000000 90.113 -169.3472
1725.000000 90.117 -168.3960
1750.000000 90.126 -167.4316
1775.000000 90.139 -166.4553
1800.000000 90.159 -165.4683
1825.000000 90.183 -164.4747
1850.000000 90.213 -163.4743
1875.000000 90.248 -162.4648
1900.000000 90.288 -161.4510
1925.000000 90.333 -160.4349
1950.000000 90.384 -159.4190
1975.000000 90.440 -158.4048
2000.000000 90.503 -157.3889
2030.000000 90.585 -156.1729
2060.000000 90.675 -154.9689
2090.000000 90.773 -153.7796
2120.000000 90.877 -152.6026
2140.000000 90.951 -151.8256
2180.000000 91.108 -150.2929
2200.000000 91.192 -149.5367
2240.000000 91.370 -148.0466
2270.000000 91.512 -146.9535
2300.000000 91.661 -145.8839
2330.000000 91.817 -144.8396
2360.000000 91.981 -143.8243
2400.000000 92.211 -142.5213
2430.000000 92.391 -141.5866
2470.000000 92.642 -140.4002
2500.000000 92.838 -139.5574
2540.000000 93.108 -138.4987
2580.000000 93.390 -137.5227
2620.000000 93.681 -136.6359
2650.000000 93.906 -136.0319
2690.000000 94.213 -135.3132
2720.000000 94.449 -134.8422
2760.000000 94.770 -134.3086
2800.000000 95.096 -133.8891
2850.000000 95.511 -133.5305
2900.000000 95.930 -133.3612
2950.000000 96.350 -133.3818
3000.000000 96.768 -133.5911
3040.000000 97.100 -133.8900
3070.000000 97.345 -134.1831
3110.000000 97.669 -134.6554
3150.000000 97.989 -135.2130
3200.000000 98.389 -136.0347
3250.000000 98.791 -137.0397
3300.000000 99.190 -138.2879
3350.000000 99.575 -139.8241
3400.000000 99.928 -141.5775
3450.000000 100.239 -143.4323
3500.000000 100.513 -145.3513
3550.000000 100.757 -147.2892
3600.000000 100.976 -149.2186
3650.000000 101.175 -151.1238
3700.000000 101.358 -152.9966
3750.000000 101.528 -154.8338
3820.000000 101.750 -157.3350
3870.000000 101.903 -159.0364
3950.000000 102.184 -161.6477
4000.000000 102.385 -163.5045
4060.000000 102.612 -165.9533
4120.000000 102.834 -168.5303
4180.000000 103.058 -171.3084
4250.000000 103.318 -174.9255
4310.000000 103.523 -178.4270
4370.000000 103.696 177.6589
4440.000000 103.827 172.5803
4500.000000 103.854 167.8698
4550.000000 103.803 163.7983
4620.000000 103.610 158.0956
4680.000000 103.343 153.3918
4750.000000 102.937 148.2537
4820.000000 102.450 143.5074
4870.000000 102.055 140.3601
4940.000000 101.438 136.3535
5000.000000 100.856 133.3730
5080.000000 100.027 130.1544
5150.000000 99.279 128.0652
5220.000000 98.530 126.6124
5300.000000 97.690 125.6583
5380.000000 96.889 125.3151
5450.000000 96.230 125.4315
5520.000000 95.610 125.8763
5600.000000 94.947 126.7130
5700.000000 94.185 128.1646
5800.000000 93.496 129.9899
5900.000000 92.879 132.1243
6000.000000 92.335 134.5052
6080.000000 91.954 136.5410
6150.000000 91.657 138.3929
6220.000000 91.395 140.2920
6300.000000 91.137 142.4957
