* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.5 dBFS with no timing reference
* Dated: Dec 21, 2023 8:31:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Narmoo R1M (Black) R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 105.737 -172.8746
20.299999 105.736 -173.3672
20.600000 105.735 -173.8515
20.900000 105.732 -174.3274
21.200001 105.729 -174.7956
21.400000 105.727 -175.1037
21.799999 105.721 -175.7094
22.000000 105.717 -176.0059
22.400000 105.709 -176.5833
22.700001 105.703 -177.0012
23.000000 105.697 -177.4069
23.299999 105.693 -177.8035
23.600000 105.689 -178.1953
24.000000 105.686 -178.7170
24.299999 105.683 -179.1107
24.700001 105.679 -179.6384
25.000000 105.675 179.9661
25.400000 105.668 179.4436
25.799999 105.659 178.9309
26.200001 105.648 178.4322
26.500000 105.638 178.0698
26.900000 105.624 177.6050
27.200001 105.614 177.2707
27.600000 105.601 176.8410
28.000000 105.590 176.4223
28.500000 105.579 175.8996
29.000000 105.567 175.3673
29.500000 105.554 174.8278
30.000000 105.537 174.2931
30.400000 105.522 173.8766
30.700001 105.510 173.5727
31.100000 105.494 173.1777
31.500000 105.479 172.7910
32.000000 105.461 172.3131
32.500000 105.443 171.8380
33.000000 105.424 171.3679
33.500000 105.405 170.9067
34.000000 105.386 170.4533
34.500000 105.368 170.0020
35.000000 105.349 169.5501
35.500000 105.329 169.1032
36.000000 105.307 168.6696
36.500000 105.285 168.2516
37.000000 105.263 167.8435
37.500000 105.242 167.4392
38.200001 105.212 166.8784
38.700001 105.190 166.4838
39.500000 105.155 165.8564
40.000000 105.133 165.4626
40.599998 105.103 164.9962
41.200001 105.073 164.5469
41.799999 105.044 164.1110
42.500000 105.011 163.6015
43.099998 104.982 163.1656
43.700001 104.951 162.7459
44.400002 104.918 162.2769
45.000000 104.891 161.8762
45.500000 104.869 161.5402
46.200001 104.836 161.0794
46.799999 104.808 160.6970
47.500000 104.776 160.2539
48.200001 104.742 159.8125
48.700001 104.716 159.5046
49.400002 104.680 159.0855
50.000000 104.650 158.7317
50.799999 104.608 158.2598
51.500000 104.571 157.8458
52.200001 104.532 157.4365
53.000000 104.487 156.9851
53.799999 104.443 156.5429
54.500000 104.405 156.1541
55.200001 104.366 155.7737
56.000000 104.322 155.3581
57.000000 104.269 154.8457
58.000000 104.216 154.3413
59.000000 104.163 153.8478
60.000000 104.110 153.3428
60.799999 104.065 152.9437
61.500000 104.024 152.6053
62.200001 103.983 152.2744
63.000000 103.937 151.9082
64.000000 103.880 151.4695
65.000000 103.827 151.0286
66.000000 103.774 150.5798
67.000000 103.719 150.1414
68.000000 103.664 149.7188
69.000000 103.607 149.3167
70.000000 103.553 148.9292
71.000000 103.498 148.5419
72.000000 103.442 148.1576
73.000000 103.386 147.7726
74.000000 103.329 147.3896
75.000000 103.272 147.0170
76.199997 103.205 146.5756
77.500000 103.132 146.1038
78.800003 103.059 145.6530
80.000000 102.992 145.2522
81.199997 102.925 144.8760
82.500000 102.854 144.4727
83.800003 102.782 144.0648
85.000000 102.715 143.6972
86.199997 102.649 143.3351
87.500000 102.579 142.9418
88.500000 102.526 142.6411
90.000000 102.445 142.1975
91.199997 102.379 141.8633
92.500000 102.308 141.5215
93.800003 102.237 141.1910
95.000000 102.172 140.8863
96.199997 102.107 140.5833
97.500000 102.035 140.2650
98.800003 101.965 139.9588
100.000000 101.901 139.6862
101.500000 101.822 139.3531
103.000000 101.745 139.0174
104.400002 101.672 138.6983
106.000000 101.587 138.3417
107.500000 101.507 138.0320
109.000000 101.427 137.7351
110.599998 101.344 137.4298
112.000000 101.273 137.1585
113.800003 101.180 136.8196
115.000000 101.120 136.6013
117.199997 101.011 136.2062
118.000000 100.971 136.0647
120.599998 100.840 135.6199
122.000000 100.770 135.4049
124.099998 100.667 135.0813
125.000000 100.623 134.9407
126.500000 100.550 134.7087
128.000000 100.476 134.4849
131.500000 100.303 134.0150
132.000000 100.279 133.9539
134.000000 100.185 133.7021
136.000000 100.092 133.4387
138.000000 99.998 133.1766
140.000000 99.904 132.9321
143.000000 99.763 132.5847
145.000000 99.668 132.3609
147.500000 99.551 132.0961
150.000000 99.435 131.8613
152.500000 99.321 131.6469
155.000000 99.207 131.4507
157.500000 99.097 131.2531
160.000000 98.988 131.0632
162.500000 98.879 130.8766
165.000000 98.770 130.6891
167.500000 98.662 130.4980
170.000000 98.558 130.3149
172.500000 98.457 130.1420
175.000000 98.358 129.9870
177.500000 98.258 129.8495
180.000000 98.157 129.7107
182.500000 98.054 129.5516
185.000000 97.950 129.4102
187.500000 97.851 129.2931
190.000000 97.754 129.1857
192.500000 97.655 129.0794
195.000000 97.555 128.9786
197.500000 97.457 128.8911
200.000000 97.361 128.8169
203.000000 97.244 128.7411
206.000000 97.129 128.6707
209.000000 97.015 128.6047
212.000000 96.902 128.5430
214.000000 96.827 128.5056
218.000000 96.676 128.4343
220.000000 96.600 128.4021
224.000000 96.449 128.3656
227.000000 96.335 128.3554
230.000000 96.219 128.3639
233.000000 96.102 128.3945
236.000000 95.983 128.4514
240.000000 95.822 128.5992
243.000000 95.699 128.7927
247.000000 95.539 129.1866
250.000000 95.432 129.6099
254.000000 95.326 130.3027
258.000000 95.275 130.9330
262.000000 95.260 131.2279
265.000000 95.244 131.1904
269.000000 95.190 130.9673
272.000000 95.127 130.8166
276.000000 95.029 130.7325
280.000000 94.932 130.7839
285.000000 94.832 130.9087
290.000000 94.751 130.8996
295.000000 94.663 130.6884
300.000000 94.548 130.4152
304.000000 94.439 130.2643
307.000000 94.353 130.1944
311.000000 94.237 130.1451
315.000000 94.121 130.1417
320.000000 93.982 130.1872
325.000000 93.847 130.2649
330.000000 93.715 130.3624
335.000000 93.582 130.4781
340.000000 93.451 130.6168
345.000000 93.323 130.7808
350.000000 93.199 130.9681
355.000000 93.078 131.1650
360.000000 92.960 131.3620
365.000000 92.842 131.5610
370.000000 92.725 131.7646
375.000000 92.610 131.9763
382.000000 92.450 132.2990
387.000000 92.338 132.5528
395.000000 92.160 132.9732
400.000000 92.052 133.2575
406.000000 91.926 133.6030
412.000000 91.803 133.9485
418.000000 91.681 134.3023
425.000000 91.544 134.7148
431.000000 91.428 135.0754
437.000000 91.311 135.4482
444.000000 91.177 135.8998
450.000000 91.064 136.2998
455.000000 90.970 136.6393
462.000000 90.842 137.1226
468.000000 90.737 137.5419
475.000000 90.617 138.0488
482.000000 90.497 138.5652
487.000000 90.414 138.9402
494.000000 90.299 139.4821
500.000000 90.203 139.9528
508.000000 90.077 140.5908
515.000000 89.969 141.1588
522.000000 89.865 141.7339
530.000000 89.748 142.4037
538.000000 89.634 143.0906
545.000000 89.538 143.6929
552.000000 89.445 144.3005
560.000000 89.343 145.0125
570.000000 89.220 145.9139
580.000000 89.100 146.8275
590.000000 88.988 147.7535
600.000000 88.881 148.6861
608.000000 88.799 149.4582
615.000000 88.729 150.1407
622.000000 88.663 150.8201
630.000000 88.591 151.5967
640.000000 88.508 152.5731
650.000000 88.431 153.5546
660.000000 88.359 154.5470
670.000000 88.292 155.5481
680.000000 88.232 156.5446
690.000000 88.179 157.5312
700.000000 88.132 158.5122
710.000000 88.093 159.4896
720.000000 88.060 160.4616
730.000000 88.033 161.4316
740.000000 88.013 162.3825
750.000000 88.000 163.3115
762.000000 87.995 164.3883
775.000000 88.002 165.4971
788.000000 88.022 166.5295
800.000000 88.051 167.3767
812.000000 88.087 168.0715
825.000000 88.125 168.5978
838.000000 88.140 168.8486
850.000000 88.103 168.8726
862.000000 87.995 168.9332
875.000000 87.809 169.4644
885.000000 87.656 170.4028
900.000000 87.500 172.5187
912.000000 87.468 174.3756
925.000000 87.505 176.1893
938.000000 87.579 177.7105
950.000000 87.660 178.8887
962.000000 87.743 179.9064
975.000000 87.831 -179.1189
988.000000 87.918 -178.2487
1000.000000 87.997 -177.5191
1015.000000 88.092 -176.6857
1030.000000 88.183 -175.9224
1044.000000 88.265 -175.2736
1060.000000 88.356 -174.5991
1075.000000 88.438 -174.0213
1090.000000 88.517 -173.4923
1106.000000 88.596 -172.9690
1120.000000 88.661 -172.5442
1138.000000 88.741 -172.0440
1150.000000 88.791 -171.7292
1172.000000 88.877 -171.1882
1180.000000 88.906 -171.0013
1206.000000 88.992 -170.4209
1220.000000 89.034 -170.1218
1241.000000 89.091 -169.6886
1250.000000 89.114 -169.5057
1265.000000 89.149 -169.1973
1280.000000 89.181 -168.8855
1315.000000 89.248 -168.1562
1320.000000 89.256 -168.0491
1340.000000 89.290 -167.6136
1360.000000 89.320 -167.1692
1380.000000 89.348 -166.7145
1400.000000 89.375 -166.2451
1430.000000 89.415 -165.5052
1450.000000 89.441 -164.9942
1475.000000 89.473 -164.3431
1500.000000 89.506 -163.6690
1525.000000 89.541 -162.9724
1550.000000 89.578 -162.2574
1575.000000 89.618 -161.5220
1600.000000 89.661 -160.7722
1625.000000 89.707 -160.0135
1650.000000 89.756 -159.2434
1675.000000 89.810 -158.4617
1700.000000 89.868 -157.6734
1725.000000 89.930 -156.8821
1750.000000 89.997 -156.0890
1775.000000 90.068 -155.2957
1800.000000 90.143 -154.5035
1825.000000 90.223 -153.7170
1850.000000 90.308 -152.9389
1875.000000 90.397 -152.1719
1900.000000 90.491 -151.4163
1925.000000 90.590 -150.6766
1950.000000 90.693 -149.9579
1975.000000 90.800 -149.2611
2000.000000 90.911 -148.5834
2030.000000 91.048 -147.8029
2060.000000 91.189 -147.0634
2090.000000 91.333 -146.3681
2120.000000 91.480 -145.7144
2140.000000 91.579 -145.3042
2180.000000 91.774 -144.5452
2200.000000 91.871 -144.1911
2240.000000 92.058 -143.5181
2270.000000 92.194 -143.0271
2300.000000 92.326 -142.5296
2330.000000 92.456 -142.0079
2360.000000 92.585 -141.4482
2400.000000 92.760 -140.6382
2430.000000 92.900 -139.9836
2470.000000 93.100 -139.0703
2500.000000 93.264 -138.3742
2540.000000 93.501 -137.4621
2580.000000 93.759 -136.6043
2620.000000 94.036 -135.8330
2650.000000 94.254 -135.3231
2690.000000 94.558 -134.7499
2720.000000 94.794 -134.4056
2760.000000 95.116 -134.0643
2800.000000 95.445 -133.8641
2850.000000 95.862 -133.8148
2900.000000 96.282 -133.9904
2950.000000 96.700 -134.3916
3000.000000 97.112 -135.0123
3040.000000 97.435 -135.6601
3070.000000 97.672 -136.2317
3110.000000 97.979 -137.1034
3150.000000 98.275 -138.0912
3200.000000 98.627 -139.4694
3250.000000 98.957 -140.9806
3300.000000 99.267 -142.5996
3350.000000 99.558 -144.3202
3400.000000 99.821 -146.0713
3450.000000 100.058 -147.8450
3500.000000 100.275 -149.6411
3550.000000 100.474 -151.4382
3600.000000 100.658 -153.2213
3650.000000 100.832 -154.9829
3700.000000 100.997 -156.7224
3750.000000 101.158 -158.4473
3820.000000 101.382 -160.8671
3870.000000 101.542 -162.6253
3950.000000 101.796 -165.4706
4000.000000 101.970 -167.2540
4060.000000 102.205 -169.6019
4120.000000 102.447 -172.2801
4180.000000 102.685 -175.3104
4250.000000 102.941 -179.3414
4310.000000 103.126 176.7401
4370.000000 103.256 172.3918
4440.000000 103.310 166.8494
4500.000000 103.248 161.8411
4550.000000 103.112 157.6270
4620.000000 102.796 151.9084
4680.000000 102.425 147.3539
4750.000000 101.909 142.5416
4820.000000 101.325 138.2501
4870.000000 100.873 135.4936
4940.000000 100.193 132.1040
5000.000000 99.577 129.6859
5080.000000 98.728 127.2029
5150.000000 97.979 125.7115
5220.000000 97.242 124.7952
5300.000000 96.439 124.3257
5380.000000 95.684 124.3837
5450.000000 95.065 124.7902
5520.000000 94.484 125.4647
5600.000000 93.867 126.4980
5700.000000 93.160 128.1056
5800.000000 92.521 130.0137
5900.000000 91.946 132.2063
6000.000000 91.443 134.6525
6080.000000 91.098 136.7372
6150.000000 90.836 138.6105
