* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.5 dBFS with no timing reference
* Dated: Dec 21, 2023 8:21:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Narmoo R1M (Gray) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 106.207 -174.3156
20.299999 106.203 -174.8311
20.600000 106.197 -175.3336
20.900000 106.191 -175.8205
21.200001 106.185 -176.2924
21.400000 106.182 -176.6003
21.799999 106.176 -177.2063
22.000000 106.174 -177.5067
22.400000 106.168 -178.1036
22.700001 106.162 -178.5450
23.000000 106.155 -178.9765
23.299999 106.147 -179.3956
23.600000 106.140 -179.8030
24.000000 106.130 179.6655
24.299999 106.123 179.2707
24.700001 106.111 178.7489
25.000000 106.101 178.3658
25.400000 106.086 177.8739
25.799999 106.071 177.4006
26.200001 106.059 176.9281
26.500000 106.049 176.5630
26.900000 106.032 176.0639
27.200001 106.014 175.6969
27.600000 105.985 175.2521
28.000000 105.957 174.8790
28.500000 105.937 174.4718
29.000000 105.937 174.0067
29.500000 105.940 173.3944
30.000000 105.924 172.6882
30.400000 105.894 172.1497
30.700001 105.867 171.7987
31.100000 105.833 171.4045
31.500000 105.807 171.0615
32.000000 105.786 170.6324
32.500000 105.771 170.1615
33.000000 105.754 169.6601
33.500000 105.732 169.1564
34.000000 105.707 168.6664
34.500000 105.680 168.2006
35.000000 105.652 167.7665
35.500000 105.626 167.3556
36.000000 105.604 166.9415
36.500000 105.582 166.5042
37.000000 105.554 166.0521
37.500000 105.521 165.6151
38.200001 105.471 165.0654
38.700001 105.439 164.7057
39.500000 105.394 164.1248
40.000000 105.368 163.7389
40.599998 105.334 163.2610
41.200001 105.296 162.7901
41.799999 105.257 162.3423
42.500000 105.214 161.8436
43.099998 105.179 161.4185
43.700001 105.142 160.9923
44.400002 105.096 160.5171
45.000000 105.057 160.1439
45.500000 105.026 159.8474
46.200001 104.987 159.4263
46.799999 104.952 159.0560
47.500000 104.909 158.6309
48.200001 104.867 158.2120
48.700001 104.836 157.9088
49.400002 104.790 157.4866
50.000000 104.749 157.1422
50.799999 104.696 156.7049
51.500000 104.650 156.3294
52.200001 104.605 155.9635
53.000000 104.555 155.5532
53.799999 104.506 155.1351
54.500000 104.461 154.7712
55.200001 104.415 154.4211
56.000000 104.364 154.0315
57.000000 104.299 153.5516
58.000000 104.234 153.0787
59.000000 104.168 152.6173
60.000000 104.103 152.1771
60.799999 104.052 151.8321
61.500000 104.007 151.5365
62.200001 103.962 151.2499
63.000000 103.911 150.9290
64.000000 103.848 150.5355
65.000000 103.784 150.1535
66.000000 103.721 149.7744
67.000000 103.657 149.3989
68.000000 103.593 149.0323
69.000000 103.529 148.6696
70.000000 103.465 148.3116
71.000000 103.400 147.9669
72.000000 103.336 147.6364
73.000000 103.271 147.3157
74.000000 103.207 147.0067
75.000000 103.144 146.7096
76.199997 103.068 146.3536
77.500000 102.986 145.9699
78.800003 102.903 145.6050
80.000000 102.828 145.2819
81.199997 102.753 144.9740
82.500000 102.674 144.6630
83.800003 102.597 144.3574
85.000000 102.524 144.0869
86.199997 102.450 143.8412
87.500000 102.371 143.5778
88.500000 102.310 143.3875
90.000000 102.222 143.1195
91.199997 102.155 142.8901
92.500000 102.082 142.6500
93.800003 102.013 142.4250
95.000000 101.950 142.2036
96.199997 101.888 141.9816
97.500000 101.819 141.7388
98.800003 101.749 141.4980
100.000000 101.683 141.2840
101.500000 101.602 141.0383
103.000000 101.523 140.7893
104.400002 101.448 140.5678
106.000000 101.362 140.3257
107.500000 101.282 140.1034
109.000000 101.200 139.8962
110.599998 101.115 139.6923
112.000000 101.043 139.5132
113.800003 100.949 139.2826
115.000000 100.886 139.1471
117.199997 100.775 138.9359
118.000000 100.737 138.8618
120.599998 100.615 138.5888
122.000000 100.546 138.4309
124.099998 100.437 138.2347
125.000000 100.391 138.1624
126.500000 100.316 138.0388
128.000000 100.243 137.9027
131.500000 100.073 137.6180
132.000000 100.050 137.5889
134.000000 99.962 137.4696
136.000000 99.873 137.3563
138.000000 99.784 137.2508
140.000000 99.693 137.1458
143.000000 99.558 136.9990
145.000000 99.469 136.9119
147.500000 99.358 136.8175
150.000000 99.250 136.7415
152.500000 99.144 136.6751
155.000000 99.039 136.6138
157.500000 98.936 136.5595
160.000000 98.834 136.5051
162.500000 98.734 136.4404
165.000000 98.636 136.3865
167.500000 98.542 136.3550
170.000000 98.450 136.3436
172.500000 98.358 136.3466
175.000000 98.267 136.3452
177.500000 98.177 136.3434
180.000000 98.089 136.3508
182.500000 98.002 136.3599
185.000000 97.915 136.3764
187.500000 97.829 136.3927
190.000000 97.746 136.4140
192.500000 97.664 136.4438
195.000000 97.582 136.4818
197.500000 97.502 136.5222
200.000000 97.422 136.5636
203.000000 97.328 136.6230
206.000000 97.235 136.6937
209.000000 97.143 136.7699
212.000000 97.053 136.8506
214.000000 96.994 136.9081
218.000000 96.878 137.0272
220.000000 96.821 137.0895
224.000000 96.710 137.2325
227.000000 96.628 137.3430
230.000000 96.549 137.4437
233.000000 96.471 137.5479
236.000000 96.394 137.6606
240.000000 96.293 137.8083
243.000000 96.216 137.9259
247.000000 96.114 138.0902
250.000000 96.039 138.2136
254.000000 95.941 138.3867
258.000000 95.845 138.5645
262.000000 95.750 138.7550
265.000000 95.680 138.9062
269.000000 95.589 139.1201
272.000000 95.522 139.2924
276.000000 95.434 139.5355
280.000000 95.350 139.7891
285.000000 95.252 140.1201
290.000000 95.159 140.4428
295.000000 95.070 140.7389
300.000000 94.982 141.0325
304.000000 94.917 141.2891
307.000000 94.870 141.4820
311.000000 94.810 141.7300
315.000000 94.752 141.9618
320.000000 94.680 142.2266
325.000000 94.607 142.4753
330.000000 94.534 142.7467
335.000000 94.465 143.0396
340.000000 94.402 143.3186
345.000000 94.345 143.5600
350.000000 94.289 143.7631
355.000000 94.229 143.9426
360.000000 94.167 144.1285
365.000000 94.104 144.3312
370.000000 94.041 144.5353
375.000000 93.978 144.7327
382.000000 93.892 145.0148
387.000000 93.831 145.2227
395.000000 93.735 145.5619
400.000000 93.675 145.7806
406.000000 93.605 146.0442
412.000000 93.536 146.3150
418.000000 93.469 146.5917
425.000000 93.395 146.9390
431.000000 93.333 147.2393
437.000000 93.274 147.5270
444.000000 93.209 147.8498
450.000000 93.154 148.1147
455.000000 93.110 148.3322
462.000000 93.048 148.6368
468.000000 92.995 148.8989
475.000000 92.936 149.2021
482.000000 92.879 149.4997
487.000000 92.838 149.7112
494.000000 92.781 150.0010
500.000000 92.734 150.2444
508.000000 92.672 150.5703
515.000000 92.619 150.8532
522.000000 92.567 151.1329
530.000000 92.508 151.4490
538.000000 92.450 151.7679
545.000000 92.400 152.0396
552.000000 92.352 152.3088
560.000000 92.297 152.6208
570.000000 92.228 153.0103
580.000000 92.162 153.3997
590.000000 92.096 153.7900
600.000000 92.032 154.1761
608.000000 91.983 154.4881
615.000000 91.941 154.7614
622.000000 91.899 155.0341
630.000000 91.851 155.3462
640.000000 91.793 155.7404
650.000000 91.736 156.1367
660.000000 91.679 156.5336
670.000000 91.626 156.9315
680.000000 91.574 157.3361
690.000000 91.523 157.7424
700.000000 91.474 158.1509
710.000000 91.428 158.5655
720.000000 91.383 158.9865
730.000000 91.341 159.3988
740.000000 91.300 159.8097
750.000000 91.261 160.2216
762.000000 91.219 160.7131
775.000000 91.177 161.2364
788.000000 91.141 161.7440
800.000000 91.111 162.1992
812.000000 91.085 162.6229
825.000000 91.059 163.0234
838.000000 91.032 163.3592
850.000000 90.998 163.6133
862.000000 90.953 163.8418
875.000000 90.889 164.1133
885.000000 90.832 164.3801
900.000000 90.742 164.9302
912.000000 90.676 165.4969
925.000000 90.618 166.1907
938.000000 90.577 166.9163
950.000000 90.552 167.5809
962.000000 90.537 168.2179
975.000000 90.530 168.8654
988.000000 90.528 169.4725
1000.000000 90.530 169.9998
1015.000000 90.536 170.6124
1030.000000 90.545 171.1683
1044.000000 90.554 171.6449
1060.000000 90.565 172.1471
1075.000000 90.575 172.5830
1090.000000 90.584 172.9882
1106.000000 90.592 173.3927
1120.000000 90.597 173.7224
1138.000000 90.601 174.1160
1150.000000 90.602 174.3659
1172.000000 90.601 174.7998
1180.000000 90.600 174.9529
1206.000000 90.590 175.4368
1220.000000 90.582 175.6898
1241.000000 90.566 176.0726
1250.000000 90.557 176.2391
1265.000000 90.542 176.5168
1280.000000 90.524 176.7971
1315.000000 90.478 177.4859
1320.000000 90.471 177.5883
1340.000000 90.441 178.0071
1360.000000 90.410 178.4427
1380.000000 90.378 178.8974
1400.000000 90.346 179.3740
1430.000000 90.299 -179.8684
1450.000000 90.268 -179.3392
1475.000000 90.228 -178.6492
1500.000000 90.191 -177.9266
1525.000000 90.157 -177.1745
1550.000000 90.126 -176.3934
1575.000000 90.098 -175.5874
1600.000000 90.073 -174.7555
1625.000000 90.053 -173.9017
1650.000000 90.037 -173.0248
1675.000000 90.026 -172.1266
1700.000000 90.018 -171.2104
1725.000000 90.016 -170.2803
1750.000000 90.018 -169.3336
1775.000000 90.025 -168.3736
1800.000000 90.037 -167.4042
1825.000000 90.055 -166.4218
1850.000000 90.078 -165.4291
1875.000000 90.106 -164.4333
1900.000000 90.140 -163.4346
1925.000000 90.179 -162.4320
1950.000000 90.223 -161.4255
1975.000000 90.273 -160.4203
2000.000000 90.327 -159.4137
2030.000000 90.400 -158.2066
2060.000000 90.481 -157.0009
2090.000000 90.570 -155.8026
2120.000000 90.667 -154.6169
2140.000000 90.736 -153.8341
2180.000000 90.885 -152.2829
2200.000000 90.964 -151.5164
2240.000000 91.132 -150.0117
2270.000000 91.268 -148.9115
2300.000000 91.410 -147.8313
2330.000000 91.560 -146.7740
2360.000000 91.717 -145.7449
2400.000000 91.939 -144.4253
2430.000000 92.114 -143.4778
2470.000000 92.357 -142.2703
2500.000000 92.546 -141.4070
2540.000000 92.809 -140.3177
2580.000000 93.082 -139.3087
2620.000000 93.367 -138.3859
2650.000000 93.586 -137.7517
2690.000000 93.886 -136.9878
2720.000000 94.117 -136.4832
2760.000000 94.433 -135.9057
2800.000000 94.756 -135.4373
2850.000000 95.167 -135.0136
2900.000000 95.584 -134.7811
2950.000000 96.004 -134.7507
3000.000000 96.425 -134.9225
3040.000000 96.761 -135.2079
3070.000000 97.010 -135.5091
3110.000000 97.338 -136.0250
3150.000000 97.659 -136.6685
3200.000000 98.047 -137.6433
3250.000000 98.419 -138.7958
3300.000000 98.770 -140.1019
3350.000000 99.101 -141.5326
3400.000000 99.412 -143.0863
3450.000000 99.697 -144.7002
3500.000000 99.951 -146.3252
3550.000000 100.182 -147.9598
3600.000000 100.397 -149.5811
3650.000000 100.603 -151.1945
3700.000000 100.801 -152.8239
3750.000000 100.988 -154.4870
3820.000000 101.226 -156.8378
3870.000000 101.379 -158.4558
3950.000000 101.645 -160.8785
4000.000000 101.830 -162.5490
4060.000000 102.035 -164.7002
4120.000000 102.234 -166.8819
4180.000000 102.443 -169.1525
4250.000000 102.698 -172.0324
4310.000000 102.921 -174.7849
4370.000000 103.137 -177.8663
4440.000000 103.363 178.0652
4500.000000 103.514 174.1617
4550.000000 103.596 170.6409
4620.000000 103.627 165.4001
4680.000000 103.566 160.7347
4750.000000 103.386 155.2282
4820.000000 103.090 149.7893
4870.000000 102.804 146.0380
4940.000000 102.307 141.1229
5000.000000 101.800 137.3499
5080.000000 101.039 133.0978
5150.000000 100.325 130.1587
5220.000000 99.594 127.9283
5300.000000 98.762 126.1658
5380.000000 97.951 125.1412
5450.000000 97.271 124.7582
5520.000000 96.629 124.7603
5600.000000 95.946 125.1700
5700.000000 95.167 126.1794
5800.000000 94.468 127.6171
5900.000000 93.850 129.3779
6000.000000 93.310 131.3794
6080.000000 92.931 133.1085
6150.000000 92.638 134.6887
6220.000000 92.381 136.3149
6300.000000 92.130 138.2084
