* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.5 dBFS with no timing reference
* Dated: Dec 21, 2023 8:19:10 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Narmoo R1M (Gray) R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 106.132 -174.7883
20.299999 106.129 -175.2601
20.600000 106.127 -175.7340
20.900000 106.126 -176.2144
21.200001 106.123 -176.7001
21.400000 106.120 -177.0241
21.799999 106.110 -177.6630
22.000000 106.105 -177.9739
22.400000 106.092 -178.5747
22.700001 106.083 -179.0097
23.000000 106.076 -179.4376
23.299999 106.069 -179.8642
23.600000 106.061 179.7076
24.000000 106.050 179.1376
24.299999 106.040 178.7171
24.700001 106.025 178.1737
25.000000 106.013 177.7798
25.400000 105.999 177.2669
25.799999 105.985 176.7614
26.200001 105.970 176.2643
26.500000 105.958 175.9022
26.900000 105.943 175.4387
27.200001 105.933 175.1021
27.600000 105.922 174.6538
28.000000 105.912 174.1909
28.500000 105.896 173.5929
29.000000 105.872 173.0141
29.500000 105.845 172.4957
30.000000 105.823 172.0258
30.400000 105.812 171.6490
30.700001 105.804 171.3512
31.100000 105.791 170.9341
31.500000 105.774 170.5113
32.000000 105.746 170.0089
32.500000 105.714 169.5546
33.000000 105.684 169.1417
33.500000 105.657 168.7531
34.000000 105.633 168.3743
34.500000 105.612 167.9924
35.000000 105.594 167.5946
35.500000 105.576 167.1715
36.000000 105.557 166.7186
36.500000 105.536 166.2369
37.000000 105.509 165.7387
37.500000 105.476 165.2480
38.200001 105.427 164.6091
38.700001 105.395 164.1778
39.500000 105.347 163.4777
40.000000 105.315 163.0371
40.599998 105.274 162.5417
41.200001 105.235 162.0969
41.799999 105.203 161.6810
42.500000 105.170 161.1944
43.099998 105.142 160.7656
43.700001 105.112 160.3340
44.400002 105.072 159.8458
45.000000 105.036 159.4478
45.500000 105.006 159.1262
46.200001 104.963 158.6816
46.799999 104.926 158.3021
47.500000 104.881 157.8611
48.200001 104.834 157.4305
48.700001 104.801 157.1361
49.400002 104.758 156.7343
50.000000 104.725 156.3791
50.799999 104.680 155.8804
51.500000 104.638 155.4458
52.200001 104.593 155.0344
53.000000 104.542 154.5975
53.799999 104.493 154.1855
54.500000 104.452 153.8263
55.200001 104.410 153.4615
56.000000 104.360 153.0486
57.000000 104.296 152.5435
58.000000 104.233 152.0463
59.000000 104.171 151.5441
60.000000 104.105 151.0468
60.799999 104.052 150.6807
61.500000 104.008 150.3734
62.200001 103.965 150.0644
63.000000 103.915 149.7148
64.000000 103.852 149.2896
65.000000 103.788 148.8703
66.000000 103.724 148.4644
67.000000 103.661 148.0640
68.000000 103.598 147.6635
69.000000 103.535 147.2689
70.000000 103.472 146.8839
71.000000 103.409 146.5117
72.000000 103.347 146.1490
73.000000 103.285 145.7938
74.000000 103.222 145.4414
75.000000 103.157 145.0981
76.199997 103.079 144.7185
77.500000 102.998 144.3117
78.800003 102.915 143.9002
80.000000 102.839 143.5425
81.199997 102.765 143.1886
82.500000 102.682 142.8120
83.800003 102.600 142.4787
85.000000 102.529 142.1756
86.199997 102.458 141.8604
87.500000 102.378 141.5478
88.500000 102.319 141.3279
90.000000 102.233 140.9943
91.199997 102.162 140.7294
92.500000 102.086 140.4748
93.800003 102.015 140.2170
95.000000 101.948 139.9756
96.199997 101.884 139.7531
97.500000 101.818 139.5100
98.800003 101.753 139.2410
100.000000 101.692 138.9901
101.500000 101.615 138.6778
103.000000 101.537 138.3438
104.400002 101.461 138.0363
106.000000 101.373 137.7056
107.500000 101.292 137.4172
109.000000 101.210 137.1412
110.599998 101.121 136.8647
112.000000 101.045 136.6314
113.800003 100.947 136.3413
115.000000 100.883 136.1503
117.199997 100.765 135.8163
118.000000 100.722 135.7033
120.599998 100.584 135.3691
122.000000 100.513 135.1813
124.099998 100.408 134.8914
125.000000 100.363 134.7722
126.500000 100.289 134.5947
128.000000 100.214 134.4390
131.500000 100.038 134.0859
132.000000 100.012 134.0344
134.000000 99.910 133.8262
136.000000 99.811 133.6202
138.000000 99.713 133.4207
140.000000 99.614 133.2444
143.000000 99.470 132.9923
145.000000 99.376 132.8294
147.500000 99.260 132.6628
150.000000 99.144 132.5114
152.500000 99.026 132.3660
155.000000 98.912 132.2290
157.500000 98.800 132.0944
160.000000 98.688 131.9761
162.500000 98.579 131.8610
165.000000 98.471 131.7444
167.500000 98.364 131.6444
170.000000 98.259 131.5527
172.500000 98.158 131.4610
175.000000 98.057 131.3854
177.500000 97.957 131.3249
180.000000 97.855 131.2661
182.500000 97.756 131.2045
185.000000 97.659 131.1487
187.500000 97.564 131.1133
190.000000 97.467 131.0820
192.500000 97.372 131.0453
195.000000 97.278 131.0133
197.500000 97.185 130.9974
200.000000 97.092 130.9918
203.000000 96.983 130.9875
206.000000 96.875 130.9920
209.000000 96.769 131.0057
212.000000 96.664 131.0224
214.000000 96.594 131.0369
218.000000 96.455 131.0813
220.000000 96.387 131.1074
224.000000 96.253 131.1636
227.000000 96.153 131.2191
230.000000 96.055 131.2855
233.000000 95.957 131.3539
236.000000 95.860 131.4226
240.000000 95.732 131.5336
243.000000 95.639 131.6191
247.000000 95.516 131.7351
250.000000 95.425 131.8321
254.000000 95.304 131.9762
258.000000 95.186 132.1388
262.000000 95.069 132.3129
265.000000 94.983 132.4515
269.000000 94.872 132.6528
272.000000 94.791 132.8152
276.000000 94.688 133.0361
280.000000 94.588 133.2384
285.000000 94.465 133.4600
290.000000 94.342 133.6803
295.000000 94.217 133.9164
300.000000 94.092 134.1792
304.000000 93.994 134.3835
307.000000 93.922 134.5436
311.000000 93.827 134.7720
315.000000 93.735 135.0069
320.000000 93.623 135.3098
325.000000 93.514 135.6235
330.000000 93.407 135.9339
335.000000 93.301 136.2354
340.000000 93.196 136.5423
345.000000 93.092 136.8567
350.000000 92.988 137.1875
355.000000 92.886 137.5446
360.000000 92.787 137.9303
365.000000 92.693 138.3387
370.000000 92.606 138.7501
375.000000 92.526 139.1483
382.000000 92.419 139.6528
387.000000 92.343 139.9747
395.000000 92.219 140.4663
400.000000 92.139 140.7819
406.000000 92.043 141.1772
412.000000 91.948 141.5823
418.000000 91.854 141.9974
425.000000 91.748 142.5276
431.000000 91.662 142.9982
437.000000 91.578 143.4644
444.000000 91.485 144.0050
450.000000 91.408 144.4650
455.000000 91.346 144.8467
462.000000 91.260 145.3805
468.000000 91.188 145.8431
475.000000 91.107 146.3917
482.000000 91.029 146.9498
487.000000 90.977 147.3527
494.000000 90.907 147.9103
500.000000 90.849 148.3799
508.000000 90.775 148.9966
515.000000 90.712 149.5250
522.000000 90.651 150.0446
530.000000 90.584 150.6345
538.000000 90.517 151.2241
545.000000 90.461 151.7324
552.000000 90.408 152.2399
560.000000 90.349 152.8235
570.000000 90.278 153.5517
580.000000 90.210 154.2762
590.000000 90.145 154.9924
600.000000 90.085 155.7006
608.000000 90.039 156.2833
615.000000 90.001 156.7907
622.000000 89.964 157.2900
630.000000 89.924 157.8537
640.000000 89.877 158.5515
650.000000 89.834 159.2456
660.000000 89.794 159.9301
670.000000 89.757 160.6158
680.000000 89.723 161.2920
690.000000 89.693 161.9603
700.000000 89.666 162.6217
710.000000 89.642 163.2661
720.000000 89.621 163.8995
730.000000 89.605 164.5424
740.000000 89.593 165.1719
750.000000 89.584 165.7787
762.000000 89.578 166.4792
775.000000 89.580 167.2008
788.000000 89.589 167.8671
800.000000 89.604 168.4137
812.000000 89.624 168.8761
825.000000 89.648 169.2369
838.000000 89.667 169.3938
850.000000 89.665 169.3365
862.000000 89.620 169.1069
875.000000 89.498 168.8531
885.000000 89.351 168.9116
900.000000 89.103 169.7934
912.000000 88.948 171.1208
925.000000 88.862 172.7739
938.000000 88.845 174.3138
950.000000 88.862 175.5443
962.000000 88.894 176.6136
975.000000 88.936 177.6299
988.000000 88.982 178.5435
1000.000000 89.026 179.3149
1015.000000 89.083 -179.8039
1030.000000 89.139 -179.0085
1044.000000 89.191 -178.3324
1060.000000 89.250 -177.6130
1075.000000 89.303 -176.9912
1090.000000 89.355 -176.4182
1106.000000 89.408 -175.8525
1120.000000 89.452 -175.3883
1138.000000 89.505 -174.8272
1150.000000 89.537 -174.4711
1172.000000 89.593 -173.8543
1180.000000 89.613 -173.6396
1206.000000 89.669 -172.9672
1220.000000 89.696 -172.6154
1241.000000 89.733 -172.1006
1250.000000 89.747 -171.8839
1265.000000 89.769 -171.5198
1280.000000 89.789 -171.1484
1315.000000 89.829 -170.2828
1320.000000 89.834 -170.1584
1340.000000 89.854 -169.6526
1360.000000 89.872 -169.1354
1380.000000 89.889 -168.6081
1400.000000 89.906 -168.0734
1430.000000 89.931 -167.2505
1450.000000 89.948 -166.6862
1475.000000 89.969 -165.9609
1500.000000 89.991 -165.2181
1525.000000 90.016 -164.4570
1550.000000 90.043 -163.6715
1575.000000 90.073 -162.8665
1600.000000 90.106 -162.0475
1625.000000 90.143 -161.2117
1650.000000 90.185 -160.3692
1675.000000 90.231 -159.5172
1700.000000 90.282 -158.6597
1725.000000 90.336 -157.7972
1750.000000 90.395 -156.9340
1775.000000 90.459 -156.0727
1800.000000 90.528 -155.2102
1825.000000 90.601 -154.3553
1850.000000 90.679 -153.5068
1875.000000 90.762 -152.6620
1900.000000 90.850 -151.8227
1925.000000 90.942 -150.9940
1950.000000 91.039 -150.1793
1975.000000 91.140 -149.3800
2000.000000 91.246 -148.5930
2030.000000 91.380 -147.6695
2060.000000 91.519 -146.7766
2090.000000 91.665 -145.9174
2120.000000 91.816 -145.0942
2140.000000 91.920 -144.5683
2180.000000 92.134 -143.5793
2200.000000 92.244 -143.1173
2240.000000 92.466 -142.2580
2270.000000 92.633 -141.6730
2300.000000 92.802 -141.1387
2330.000000 92.968 -140.6487
2360.000000 93.131 -140.1932
2400.000000 93.342 -139.6245
2430.000000 93.496 -139.2124
2470.000000 93.696 -138.6493
2500.000000 93.844 -138.1965
2540.000000 94.044 -137.5355
2580.000000 94.252 -136.8102
2620.000000 94.477 -136.0401
2650.000000 94.660 -135.4549
2690.000000 94.923 -134.7038
2720.000000 95.134 -134.1843
2760.000000 95.435 -133.5795
2800.000000 95.752 -133.1034
2850.000000 96.168 -132.7154
2900.000000 96.598 -132.5812
2950.000000 97.036 -132.7189
3000.000000 97.474 -133.1411
3040.000000 97.818 -133.6807
3070.000000 98.068 -134.1907
3110.000000 98.391 -134.9881
3150.000000 98.700 -135.8955
3200.000000 99.071 -137.1540
3250.000000 99.429 -138.5681
3300.000000 99.766 -140.1035
3350.000000 100.075 -141.7204
3400.000000 100.359 -143.4293
3450.000000 100.620 -145.2000
3500.000000 100.861 -147.0083
3550.000000 101.081 -148.8329
3600.000000 101.285 -150.6562
3650.000000 101.475 -152.4674
3700.000000 101.656 -154.2634
3750.000000 101.830 -156.0478
3820.000000 102.069 -158.5504
3870.000000 102.238 -160.3663
3950.000000 102.509 -163.3676
4000.000000 102.682 -165.3144
4060.000000 102.898 -167.7867
4120.000000 103.120 -170.4979
4180.000000 103.337 -173.5274
4250.000000 103.563 -177.5097
4310.000000 103.715 178.7062
4370.000000 103.812 174.6360
4440.000000 103.849 169.6318
4500.000000 103.811 165.1971
4550.000000 103.731 161.4161
4620.000000 103.535 156.0139
4680.000000 103.275 151.3624
4750.000000 102.853 146.1039
4820.000000 102.310 141.2667
4870.000000 101.861 138.1840
4940.000000 101.170 134.4802
5000.000000 100.541 131.8987
5080.000000 99.682 129.2753
5150.000000 98.931 127.6769
5220.000000 98.193 126.6506
5300.000000 97.377 126.0880
5380.000000 96.604 126.0509
5450.000000 95.967 126.4006
5520.000000 95.366 127.0656
5600.000000 94.724 128.1675
5700.000000 93.996 129.9827
5800.000000 93.355 132.1639
5900.000000 92.798 134.5966
6000.000000 92.322 137.1943
6080.000000 91.996 139.3492
6150.000000 91.749 141.2706
6220.000000 91.538 143.2129
