* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.5 dBFS with no timing reference
* Dated: Dec 21, 2023 8:37:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Narmoo R1M (No Plug) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 106.622 -167.6804
20.299999 106.628 -168.1139
20.600000 106.634 -168.5474
20.900000 106.639 -168.9803
21.200001 106.641 -169.4074
21.400000 106.642 -169.6848
21.799999 106.641 -170.2127
22.000000 106.640 -170.4617
22.400000 106.641 -170.9362
22.700001 106.645 -171.2826
23.000000 106.650 -171.6316
23.299999 106.656 -171.9883
23.600000 106.661 -172.3510
24.000000 106.664 -172.8318
24.299999 106.664 -173.1808
24.700001 106.664 -173.6262
25.000000 106.665 -173.9503
25.400000 106.667 -174.3813
25.799999 106.669 -174.8170
26.200001 106.667 -175.2491
26.500000 106.664 -175.5610
26.900000 106.659 -175.9537
27.200001 106.657 -176.2344
27.600000 106.656 -176.6052
28.000000 106.657 -176.9873
28.500000 106.656 -177.4815
29.000000 106.649 -177.9662
29.500000 106.641 -178.4159
30.000000 106.636 -178.8405
30.400000 106.634 -179.1827
30.700001 106.633 -179.4472
31.100000 106.630 -179.8067
31.500000 106.625 179.8376
32.000000 106.616 179.4143
32.500000 106.608 179.0142
33.000000 106.603 178.6213
33.500000 106.597 178.2260
34.000000 106.590 177.8348
34.500000 106.582 177.4580
35.000000 106.575 177.0917
35.500000 106.570 176.7207
36.000000 106.563 176.3381
36.500000 106.552 175.9573
37.000000 106.539 175.5994
37.500000 106.528 175.2693
38.200001 106.517 174.8163
38.700001 106.512 174.4719
39.500000 106.499 173.8994
40.000000 106.487 173.5533
40.599998 106.474 173.1519
41.200001 106.461 172.7535
41.799999 106.446 172.3655
42.500000 106.428 171.9496
43.099998 106.416 171.6107
43.700001 106.408 171.2537
44.400002 106.395 170.8076
45.000000 106.380 170.4304
45.500000 106.365 170.1314
46.200001 106.347 169.7212
46.799999 106.329 169.3659
47.500000 106.307 168.9634
48.200001 106.285 168.5869
48.700001 106.271 168.3235
49.400002 106.252 167.9485
50.000000 106.236 167.6260
50.799999 106.216 167.2061
51.500000 106.199 166.8406
52.200001 106.182 166.4702
53.000000 106.160 166.0522
53.799999 106.139 165.6489
54.500000 106.120 165.3008
55.200001 106.100 164.9515
56.000000 106.077 164.5554
57.000000 106.046 164.0710
58.000000 106.015 163.5898
59.000000 105.982 163.1217
60.000000 105.950 162.6743
60.799999 105.925 162.3198
61.500000 105.904 162.0063
62.200001 105.882 161.6941
63.000000 105.855 161.3516
64.000000 105.823 160.9413
65.000000 105.792 160.5195
66.000000 105.759 160.0982
67.000000 105.726 159.6841
68.000000 105.691 159.2653
69.000000 105.656 158.8575
70.000000 105.622 158.4552
71.000000 105.587 158.0576
72.000000 105.552 157.6706
73.000000 105.518 157.2893
74.000000 105.483 156.9157
75.000000 105.448 156.5480
76.199997 105.405 156.1133
77.500000 105.359 155.6501
78.800003 105.313 155.1899
80.000000 105.269 154.7688
81.199997 105.225 154.3591
82.500000 105.178 153.9255
83.800003 105.130 153.4926
85.000000 105.086 153.1027
86.199997 105.041 152.7180
87.500000 104.993 152.3049
88.500000 104.956 151.9916
90.000000 104.900 151.5383
91.199997 104.856 151.1836
92.500000 104.808 150.7987
93.800003 104.759 150.4214
95.000000 104.714 150.0820
96.199997 104.669 149.7436
97.500000 104.619 149.3801
98.800003 104.570 149.0240
100.000000 104.524 148.6980
101.500000 104.466 148.2972
103.000000 104.409 147.9077
104.400002 104.356 147.5518
106.000000 104.296 147.1536
107.500000 104.239 146.7849
109.000000 104.181 146.4246
110.599998 104.120 146.0461
112.000000 104.067 145.7202
113.800003 103.998 145.3102
115.000000 103.952 145.0429
117.199997 103.867 144.5637
118.000000 103.837 144.3932
120.599998 103.739 143.8511
122.000000 103.686 143.5615
124.099998 103.607 143.1345
125.000000 103.573 142.9544
126.500000 103.516 142.6599
128.000000 103.459 142.3719
131.500000 103.327 141.7211
132.000000 103.309 141.6310
134.000000 103.234 141.2752
136.000000 103.160 140.9261
138.000000 103.085 140.5858
140.000000 103.011 140.2531
143.000000 102.900 139.7659
145.000000 102.826 139.4537
147.500000 102.734 139.0733
150.000000 102.643 138.7032
152.500000 102.551 138.3435
155.000000 102.460 137.9990
157.500000 102.370 137.6612
160.000000 102.281 137.3297
162.500000 102.191 137.0093
165.000000 102.101 136.7012
167.500000 102.013 136.4009
170.000000 101.925 136.1107
172.500000 101.838 135.8296
175.000000 101.751 135.5533
177.500000 101.665 135.2885
180.000000 101.579 135.0365
182.500000 101.493 134.7911
185.000000 101.406 134.5459
187.500000 101.320 134.3080
190.000000 101.235 134.0858
192.500000 101.152 133.8682
195.000000 101.068 133.6573
197.500000 100.985 133.4567
200.000000 100.902 133.2611
203.000000 100.803 133.0346
206.000000 100.706 132.8179
209.000000 100.609 132.6039
212.000000 100.512 132.3959
214.000000 100.448 132.2643
218.000000 100.320 132.0128
220.000000 100.256 131.8907
224.000000 100.128 131.6584
227.000000 100.032 131.5014
230.000000 99.938 131.3549
233.000000 99.845 131.2104
236.000000 99.751 131.0707
240.000000 99.626 130.8932
243.000000 99.530 130.7599
247.000000 99.401 130.6145
250.000000 99.304 130.5331
254.000000 99.174 130.4548
258.000000 99.044 130.4112
262.000000 98.916 130.4083
265.000000 98.823 130.4259
269.000000 98.703 130.4555
272.000000 98.614 130.4773
276.000000 98.496 130.5183
280.000000 98.377 130.6089
285.000000 98.229 130.8877
290.000000 98.096 131.4103
295.000000 98.018 132.0955
300.000000 98.017 132.6216
304.000000 98.048 132.6497
307.000000 98.064 132.4094
311.000000 98.053 131.8884
315.000000 98.002 131.3234
320.000000 97.898 130.7202
325.000000 97.774 130.2733
330.000000 97.641 129.9496
335.000000 97.508 129.7242
340.000000 97.376 129.5638
345.000000 97.247 129.4494
350.000000 97.121 129.3779
355.000000 96.997 129.3403
360.000000 96.877 129.3275
365.000000 96.759 129.3377
370.000000 96.645 129.3632
375.000000 96.532 129.4030
382.000000 96.379 129.4854
387.000000 96.272 129.5605
395.000000 96.109 129.7057
400.000000 96.013 129.7982
406.000000 95.902 129.8896
412.000000 95.792 129.9536
418.000000 95.680 129.9994
425.000000 95.545 130.0811
431.000000 95.429 130.1724
437.000000 95.314 130.2782
444.000000 95.181 130.4215
450.000000 95.069 130.5625
455.000000 94.977 130.6942
462.000000 94.853 130.8953
468.000000 94.749 131.0736
475.000000 94.631 131.2692
482.000000 94.514 131.4564
487.000000 94.430 131.5936
494.000000 94.314 131.7947
500.000000 94.214 131.9766
508.000000 94.083 132.2340
515.000000 93.969 132.4720
522.000000 93.858 132.7178
530.000000 93.731 133.0094
538.000000 93.607 133.3130
545.000000 93.502 133.5876
552.000000 93.398 133.8689
560.000000 93.282 134.2009
570.000000 93.138 134.6276
580.000000 92.997 135.0660
590.000000 92.859 135.5263
600.000000 92.724 136.0011
608.000000 92.619 136.3773
615.000000 92.529 136.7161
622.000000 92.440 137.0634
630.000000 92.340 137.4657
640.000000 92.218 137.9827
650.000000 92.099 138.5099
660.000000 91.982 139.0435
670.000000 91.869 139.5938
680.000000 91.760 140.1548
690.000000 91.654 140.7270
700.000000 91.551 141.3066
710.000000 91.452 141.8943
720.000000 91.357 142.4916
730.000000 91.264 143.0856
740.000000 91.176 143.6848
750.000000 91.092 144.2912
762.000000 90.996 145.0238
775.000000 90.899 145.8078
788.000000 90.808 146.5814
800.000000 90.731 147.2786
812.000000 90.660 147.9433
825.000000 90.586 148.6051
838.000000 90.510 149.2000
850.000000 90.430 149.7017
862.000000 90.337 150.2100
875.000000 90.226 150.8404
885.000000 90.137 151.4135
900.000000 90.013 152.4172
912.000000 89.930 153.3093
925.000000 89.857 154.3068
938.000000 89.800 155.2956
950.000000 89.759 156.1790
962.000000 89.726 157.0278
975.000000 89.698 157.9120
988.000000 89.675 158.7494
1000.000000 89.657 159.4828
1015.000000 89.640 160.3520
1030.000000 89.625 161.1793
1044.000000 89.613 161.9194
1060.000000 89.600 162.7219
1075.000000 89.590 163.4315
1090.000000 89.582 164.1068
1106.000000 89.572 164.7979
1120.000000 89.562 165.3772
1138.000000 89.548 166.0921
1150.000000 89.539 166.5483
1172.000000 89.520 167.3572
1180.000000 89.512 167.6457
1206.000000 89.483 168.5659
1220.000000 89.465 169.0530
1241.000000 89.436 169.7797
1250.000000 89.423 170.0926
1265.000000 89.401 170.6121
1280.000000 89.377 171.1284
1315.000000 89.318 172.3522
1320.000000 89.310 172.5300
1340.000000 89.275 173.2515
1360.000000 89.240 173.9863
1380.000000 89.205 174.7327
1400.000000 89.170 175.4966
1430.000000 89.120 176.6694
1450.000000 89.088 177.4764
1475.000000 89.051 178.5114
1500.000000 89.017 179.5633
1525.000000 88.987 -179.3600
1550.000000 88.961 -178.2648
1575.000000 88.939 -177.1465
1600.000000 88.922 -176.0058
1625.000000 88.910 -174.8515
1650.000000 88.902 -173.6831
1675.000000 88.900 -172.4975
1700.000000 88.904 -171.3017
1725.000000 88.914 -170.0941
1750.000000 88.930 -168.8785
1775.000000 88.951 -167.6557
1800.000000 88.978 -166.4289
1825.000000 89.011 -165.1979
1850.000000 89.049 -163.9644
1875.000000 89.095 -162.7277
1900.000000 89.146 -161.4914
1925.000000 89.203 -160.2569
1950.000000 89.266 -159.0255
1975.000000 89.335 -157.8012
2000.000000 89.410 -156.5785
2030.000000 89.509 -155.1184
2060.000000 89.617 -153.6749
2090.000000 89.735 -152.2490
2120.000000 89.861 -150.8461
2140.000000 89.949 -149.9245
2180.000000 90.136 -148.1076
2200.000000 90.235 -147.2146
2240.000000 90.443 -145.4600
2270.000000 90.609 -144.1745
2300.000000 90.784 -142.9226
2330.000000 90.967 -141.7066
2360.000000 91.157 -140.5255
2400.000000 91.422 -139.0093
2430.000000 91.629 -137.9236
2470.000000 91.917 -136.5419
2500.000000 92.142 -135.5576
2540.000000 92.452 -134.3219
2580.000000 92.773 -133.1816
2620.000000 93.106 -132.1375
2650.000000 93.362 -131.4227
2690.000000 93.713 -130.5642
2720.000000 93.983 -129.9945
2760.000000 94.350 -129.3461
2800.000000 94.725 -128.8292
2850.000000 95.202 -128.3712
2900.000000 95.685 -128.1360
2950.000000 96.171 -128.1254
3000.000000 96.658 -128.3431
3040.000000 97.045 -128.6821
3070.000000 97.333 -129.0325
3110.000000 97.712 -129.6245
3150.000000 98.084 -130.3501
3200.000000 98.536 -131.4218
3250.000000 98.979 -132.6576
3300.000000 99.420 -134.0898
3350.000000 99.851 -135.7853
3400.000000 100.253 -137.7203
3450.000000 100.612 -139.8699
3500.000000 100.928 -142.1498
3550.000000 101.202 -144.4765
3600.000000 101.442 -146.7918
3650.000000 101.654 -149.0699
3700.000000 101.844 -151.3046
3750.000000 102.016 -153.4881
3820.000000 102.232 -156.4264
3870.000000 102.378 -158.4096
3950.000000 102.650 -161.4432
4000.000000 102.844 -163.5743
4060.000000 103.059 -166.3512
4120.000000 103.266 -169.2685
4180.000000 103.471 -172.4206
4250.000000 103.691 -176.5251
4310.000000 103.839 179.5596
4370.000000 103.926 175.3519
4440.000000 103.943 170.2340
4500.000000 103.888 165.7443
4550.000000 103.792 161.9426
4620.000000 103.568 156.6051
4680.000000 103.290 152.1506
4750.000000 102.879 147.2386
4820.000000 102.389 142.6812
4870.000000 101.996 139.6525
4940.000000 101.386 135.7807
5000.000000 100.811 132.8829
5080.000000 99.993 129.7350
5150.000000 99.251 127.6838
5220.000000 98.507 126.2608
5300.000000 97.672 125.3331
5380.000000 96.878 125.0054
5450.000000 96.223 125.1344
5520.000000 95.608 125.5892
5600.000000 94.951 126.4340
5700.000000 94.198 127.8776
5800.000000 93.519 129.6699
5900.000000 92.909 131.7542
6000.000000 92.371 134.0797
6080.000000 91.993 136.0689
6150.000000 91.700 137.8696
6220.000000 91.441 139.7055
