* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.5 dBFS with no timing reference
* Dated: Dec 21, 2023 8:39:43 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Narmoo R1M (No Plug) R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 106.502 -170.7050
20.299999 106.503 -171.1914
20.600000 106.503 -171.6634
20.900000 106.501 -172.1150
21.200001 106.499 -172.5476
21.400000 106.499 -172.8290
21.799999 106.501 -173.3891
22.000000 106.503 -173.6728
22.400000 106.505 -174.2511
22.700001 106.503 -174.6872
23.000000 106.499 -175.1135
23.299999 106.492 -175.5193
23.600000 106.484 -175.8995
24.000000 106.476 -176.3712
24.299999 106.473 -176.7100
24.700001 106.472 -177.1601
25.000000 106.473 -177.5038
25.400000 106.473 -177.9705
25.799999 106.471 -178.4388
26.200001 106.467 -178.9005
26.500000 106.463 -179.2403
26.900000 106.457 -179.6850
27.200001 106.452 179.9877
27.600000 106.444 179.5610
28.000000 106.436 179.1460
28.500000 106.427 178.6389
29.000000 106.418 178.1332
29.500000 106.407 177.6261
30.000000 106.393 177.1305
30.400000 106.381 176.7515
30.700001 106.373 176.4769
31.100000 106.364 176.1155
31.500000 106.356 175.7495
32.000000 106.346 175.2796
32.500000 106.332 174.8092
33.000000 106.315 174.3588
33.500000 106.299 173.9333
34.000000 106.285 173.5189
34.500000 106.272 173.1007
35.000000 106.257 172.6779
35.500000 106.241 172.2616
36.000000 106.223 171.8614
36.500000 106.206 171.4761
37.000000 106.191 171.0964
37.500000 106.176 170.7129
38.200001 106.155 170.1673
38.700001 106.138 169.7804
39.500000 106.109 169.1805
40.000000 106.092 168.8150
40.599998 106.071 168.3806
41.200001 106.049 167.9546
41.799999 106.027 167.5437
42.500000 106.003 167.0777
43.099998 105.982 166.6775
43.700001 105.961 166.2756
44.400002 105.934 165.8168
45.000000 105.910 165.4363
45.500000 105.891 165.1241
46.200001 105.863 164.6874
46.799999 105.839 164.3145
47.500000 105.809 163.8887
48.200001 105.780 163.4775
48.700001 105.760 163.1880
49.400002 105.734 162.7767
50.000000 105.710 162.4155
50.799999 105.676 161.9400
51.500000 105.645 161.5471
52.200001 105.615 161.1697
53.000000 105.583 160.7338
53.799999 105.548 160.2925
54.500000 105.516 159.9205
55.200001 105.484 159.5653
56.000000 105.449 159.1629
57.000000 105.406 158.6588
58.000000 105.362 158.1649
59.000000 105.319 157.6708
60.000000 105.273 157.1871
60.799999 105.235 156.8192
61.500000 105.204 156.5081
62.200001 105.173 156.1967
63.000000 105.137 155.8307
64.000000 105.089 155.3727
65.000000 105.040 154.9455
66.000000 104.995 154.5311
67.000000 104.952 154.0908
68.000000 104.904 153.6502
69.000000 104.856 153.2411
70.000000 104.811 152.8508
71.000000 104.766 152.4630
72.000000 104.720 152.0789
73.000000 104.673 151.7066
74.000000 104.626 151.3362
75.000000 104.578 150.9657
76.199997 104.520 150.5237
77.500000 104.456 150.0620
78.800003 104.395 149.6160
80.000000 104.339 149.2007
81.199997 104.283 148.7921
82.500000 104.220 148.3486
83.800003 104.154 147.9421
85.000000 104.097 147.5902
86.199997 104.042 147.2298
87.500000 103.980 146.8369
88.500000 103.932 146.5408
90.000000 103.859 146.1116
91.199997 103.801 145.7788
92.500000 103.740 145.4218
93.800003 103.679 145.0679
95.000000 103.622 144.7518
96.199997 103.566 144.4425
97.500000 103.504 144.1110
98.800003 103.442 143.7867
100.000000 103.385 143.4948
101.500000 103.314 143.1394
103.000000 103.245 142.7920
104.400002 103.182 142.4647
106.000000 103.108 142.0978
107.500000 103.039 141.7695
109.000000 102.970 141.4477
110.599998 102.897 141.1107
112.000000 102.833 140.8227
113.800003 102.751 140.4634
115.000000 102.697 140.2306
117.199997 102.597 139.8092
118.000000 102.560 139.6580
120.599998 102.441 139.2005
122.000000 102.380 138.9593
124.099998 102.287 138.5978
125.000000 102.248 138.4454
126.500000 102.181 138.1973
128.000000 102.115 137.9553
131.500000 101.963 137.4100
132.000000 101.941 137.3347
134.000000 101.855 137.0401
136.000000 101.769 136.7564
138.000000 101.684 136.4787
140.000000 101.599 136.2118
143.000000 101.472 135.8281
145.000000 101.389 135.5773
147.500000 101.285 135.2781
150.000000 101.183 134.9855
152.500000 101.080 134.7115
155.000000 100.978 134.4495
157.500000 100.878 134.1905
160.000000 100.778 133.9457
162.500000 100.681 133.7116
165.000000 100.582 133.4827
167.500000 100.484 133.2672
170.000000 100.387 133.0611
172.500000 100.292 132.8575
175.000000 100.196 132.6547
177.500000 100.100 132.4633
180.000000 100.004 132.2891
182.500000 99.913 132.1269
185.000000 99.824 131.9674
187.500000 99.734 131.8096
190.000000 99.644 131.6544
192.500000 99.553 131.5038
195.000000 99.462 131.3602
197.500000 99.370 131.2306
200.000000 99.279 131.1154
203.000000 99.171 130.9860
206.000000 99.064 130.8666
209.000000 98.959 130.7599
212.000000 98.853 130.6609
214.000000 98.783 130.5970
218.000000 98.643 130.4763
220.000000 98.574 130.4193
224.000000 98.440 130.3116
227.000000 98.343 130.2449
230.000000 98.248 130.1955
233.000000 98.155 130.1584
236.000000 98.063 130.1215
240.000000 97.938 130.0573
243.000000 97.845 129.9942
247.000000 97.722 129.9245
250.000000 97.627 129.8869
254.000000 97.497 129.8535
258.000000 97.367 129.8441
262.000000 97.236 129.8586
265.000000 97.137 129.8914
269.000000 97.003 129.9769
272.000000 96.900 130.0765
276.000000 96.760 130.2787
280.000000 96.620 130.6003
285.000000 96.458 131.2526
290.000000 96.347 132.2333
295.000000 96.339 133.2495
300.000000 96.412 133.6221
304.000000 96.457 133.2724
307.000000 96.454 132.8138
311.000000 96.401 132.1901
315.000000 96.312 131.6959
320.000000 96.179 131.2816
325.000000 96.039 131.0400
330.000000 95.901 130.9175
335.000000 95.767 130.8712
340.000000 95.637 130.8680
345.000000 95.512 130.8988
350.000000 95.389 130.9582
355.000000 95.269 131.0365
360.000000 95.152 131.1294
365.000000 95.038 131.2374
370.000000 94.925 131.3597
375.000000 94.814 131.4956
382.000000 94.662 131.6971
387.000000 94.555 131.8545
395.000000 94.387 132.1350
400.000000 94.284 132.3256
406.000000 94.162 132.5699
412.000000 94.042 132.8436
418.000000 93.925 133.1569
425.000000 93.803 133.5643
431.000000 93.713 133.9039
437.000000 93.630 134.1759
444.000000 93.531 134.3915
450.000000 93.439 134.5378
455.000000 93.358 134.6678
462.000000 93.241 134.8830
468.000000 93.139 135.1008
475.000000 93.021 135.3745
482.000000 92.906 135.6703
487.000000 92.825 135.8947
494.000000 92.714 136.2184
500.000000 92.621 136.5019
508.000000 92.499 136.8883
515.000000 92.394 137.2355
522.000000 92.291 137.5877
530.000000 92.175 138.0029
538.000000 92.062 138.4363
545.000000 91.965 138.8139
552.000000 91.870 139.1941
560.000000 91.763 139.6386
570.000000 91.634 140.2085
580.000000 91.507 140.7916
590.000000 91.384 141.3819
600.000000 91.263 141.9790
608.000000 91.170 142.4703
615.000000 91.091 142.9072
622.000000 91.014 143.3457
630.000000 90.927 143.8511
640.000000 90.821 144.4902
650.000000 90.719 145.1411
660.000000 90.621 145.7987
670.000000 90.527 146.4642
680.000000 90.438 147.1396
690.000000 90.353 147.8218
700.000000 90.270 148.5020
710.000000 90.191 149.1829
720.000000 90.116 149.8677
730.000000 90.048 150.5516
740.000000 89.985 151.2364
750.000000 89.928 151.9149
762.000000 89.866 152.7118
775.000000 89.809 153.5369
788.000000 89.762 154.3060
800.000000 89.727 154.9293
812.000000 89.698 155.4207
825.000000 89.659 155.7386
838.000000 89.589 155.8142
850.000000 89.472 155.7646
862.000000 89.286 155.8601
875.000000 89.029 156.5132
885.000000 88.835 157.5410
900.000000 88.625 159.6998
912.000000 88.548 161.5345
925.000000 88.531 163.3169
938.000000 88.548 164.8227
950.000000 88.575 166.0130
962.000000 88.602 167.0640
975.000000 88.631 168.0938
988.000000 88.659 169.0444
1000.000000 88.685 169.8645
1015.000000 88.718 170.8236
1030.000000 88.749 171.7330
1044.000000 88.778 172.5359
1060.000000 88.811 173.4013
1075.000000 88.841 174.1717
1090.000000 88.870 174.9012
1106.000000 88.900 175.6396
1120.000000 88.924 176.2584
1138.000000 88.952 177.0205
1150.000000 88.971 177.5060
1172.000000 89.000 178.3645
1180.000000 89.010 178.6711
1206.000000 89.037 179.6602
1220.000000 89.051 -179.8130
1241.000000 89.070 -179.0353
1250.000000 89.078 -178.7060
1265.000000 89.090 -178.1638
1280.000000 89.102 -177.6291
1315.000000 89.125 -176.3815
1320.000000 89.127 -176.2021
1340.000000 89.138 -175.4832
1360.000000 89.149 -174.7633
1380.000000 89.160 -174.0377
1400.000000 89.170 -173.2992
1430.000000 89.188 -172.1738
1450.000000 89.201 -171.4157
1475.000000 89.219 -170.4591
1500.000000 89.241 -169.4920
1525.000000 89.265 -168.5081
1550.000000 89.293 -167.5179
1575.000000 89.324 -166.5172
1600.000000 89.361 -165.5106
1625.000000 89.402 -164.5016
1650.000000 89.447 -163.4877
1675.000000 89.496 -162.4692
1700.000000 89.550 -161.4541
1725.000000 89.610 -160.4484
1750.000000 89.674 -159.4417
1775.000000 89.743 -158.4382
1800.000000 89.816 -157.4459
1825.000000 89.895 -156.4660
1850.000000 89.979 -155.4978
1875.000000 90.066 -154.5401
1900.000000 90.158 -153.6018
1925.000000 90.254 -152.6809
1950.000000 90.355 -151.7748
1975.000000 90.460 -150.8896
2000.000000 90.568 -150.0286
2030.000000 90.702 -149.0252
2060.000000 90.840 -148.0610
2090.000000 90.981 -147.1436
2120.000000 91.123 -146.2631
2140.000000 91.217 -145.6917
2180.000000 91.405 -144.5771
2200.000000 91.498 -144.0276
2240.000000 91.682 -142.9232
2270.000000 91.821 -142.0778
2300.000000 91.962 -141.2109
2330.000000 92.107 -140.3138
2360.000000 92.258 -139.3844
2400.000000 92.475 -138.1096
2430.000000 92.651 -137.1407
2470.000000 92.907 -135.8604
2500.000000 93.114 -134.9320
2540.000000 93.411 -133.7675
2580.000000 93.728 -132.7169
2620.000000 94.063 -131.7980
2650.000000 94.324 -131.2030
2690.000000 94.680 -130.5391
2720.000000 94.953 -130.1355
2760.000000 95.323 -129.7242
2800.000000 95.700 -129.4632
2850.000000 96.176 -129.3545
2900.000000 96.655 -129.4940
2950.000000 97.133 -129.8757
3000.000000 97.606 -130.5048
3040.000000 97.978 -131.1875
3070.000000 98.251 -131.8002
3110.000000 98.607 -132.7441
3150.000000 98.952 -133.8238
3200.000000 99.368 -135.3632
3250.000000 99.762 -137.1054
3300.000000 100.122 -138.9704
3350.000000 100.447 -140.9465
3400.000000 100.741 -142.9985
3450.000000 101.007 -145.0939
3500.000000 101.247 -147.2087
3550.000000 101.465 -149.3219
3600.000000 101.662 -151.4211
3650.000000 101.843 -153.4918
3700.000000 102.010 -155.5257
3750.000000 102.170 -157.5282
3820.000000 102.384 -160.2982
3870.000000 102.534 -162.2718
3950.000000 102.771 -165.3988
4000.000000 102.938 -167.3174
4060.000000 103.170 -169.8291
4120.000000 103.414 -172.6859
4180.000000 103.656 -175.9210
4250.000000 103.921 179.7365
4310.000000 104.109 175.4601
4370.000000 104.228 170.6626
4440.000000 104.238 164.5707
4500.000000 104.113 159.1849
4550.000000 103.915 154.7739
4620.000000 103.514 148.9203
4680.000000 103.075 144.3232
4750.000000 102.475 139.5573
4820.000000 101.812 135.4800
4870.000000 101.314 132.9712
4940.000000 100.599 129.9692
5000.000000 99.975 127.8253
5080.000000 99.129 125.5552
5150.000000 98.382 124.1237
5220.000000 97.638 123.2153
5300.000000 96.813 122.7494
5380.000000 96.030 122.8391
5450.000000 95.384 123.3037
5520.000000 94.777 124.0521
5600.000000 94.131 125.1772
5700.000000 93.387 126.9067
5800.000000 92.705 128.9478
5900.000000 92.084 131.3068
6000.000000 91.532 133.9805
6080.000000 91.148 136.2924
6150.000000 90.855 138.3873
6220.000000 90.600 140.5125
