* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.5 dBFS with no timing reference
* Dated: Dec 21, 2023 8:36:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Narmoo R1M (Silver) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 98.602 -172.2761
20.299999 98.598 -172.4735
20.600000 98.594 -172.6757
20.900000 98.590 -172.8826
21.200001 98.585 -173.0898
21.400000 98.580 -173.2243
21.799999 98.569 -173.4750
22.000000 98.564 -173.5885
22.400000 98.555 -173.7941
22.700001 98.551 -173.9386
23.000000 98.550 -174.0859
23.299999 98.550 -174.2434
23.600000 98.549 -174.4124
24.000000 98.545 -174.6449
24.299999 98.539 -174.8112
24.700001 98.529 -175.0048
25.000000 98.522 -175.1255
25.400000 98.515 -175.2634
25.799999 98.513 -175.3957
26.200001 98.513 -175.5415
26.500000 98.513 -175.6631
26.900000 98.511 -175.8345
27.200001 98.508 -175.9622
27.600000 98.501 -176.1208
28.000000 98.494 -176.2621
28.500000 98.487 -176.4213
29.000000 98.483 -176.5776
29.500000 98.481 -176.7449
30.000000 98.478 -176.9248
30.400000 98.474 -177.0717
30.700001 98.471 -177.1794
31.100000 98.466 -177.3164
31.500000 98.462 -177.4454
32.000000 98.456 -177.5974
32.500000 98.452 -177.7402
33.000000 98.449 -177.8730
33.500000 98.448 -178.0010
34.000000 98.449 -178.1360
34.500000 98.449 -178.2830
35.000000 98.446 -178.4303
35.500000 98.441 -178.5620
36.000000 98.435 -178.6769
36.500000 98.431 -178.7863
37.000000 98.426 -178.8936
37.500000 98.421 -178.9916
38.200001 98.417 -179.1239
38.700001 98.417 -179.2459
39.500000 98.407 -179.4828
40.000000 98.394 -179.5974
40.599998 98.383 -179.6740
41.200001 98.385 -179.7503
41.799999 98.391 -179.8931
42.500000 98.390 179.8878
43.099998 98.383 179.7221
43.700001 98.378 179.5847
44.400002 98.372 179.4328
45.000000 98.367 179.3151
45.500000 98.365 179.2310
46.200001 98.367 179.1039
46.799999 98.369 178.9579
47.500000 98.364 178.7679
48.200001 98.353 178.6144
48.700001 98.346 178.5363
49.400002 98.342 178.4434
50.000000 98.343 178.3475
50.799999 98.342 178.1872
51.500000 98.336 178.0558
52.200001 98.331 177.9517
53.000000 98.327 177.8364
53.799999 98.322 177.7260
54.500000 98.317 177.6424
55.200001 98.312 177.5598
56.000000 98.306 177.4720
57.000000 98.304 177.3283
58.000000 98.293 177.1345
59.000000 98.277 176.9982
60.000000 98.270 176.8858
60.799999 98.272 176.7881
61.500000 98.278 176.6414
62.200001 98.274 176.4754
63.000000 98.265 176.3653
64.000000 98.269 176.2362
65.000000 98.266 176.0747
66.000000 98.266 175.9429
67.000000 98.258 175.7624
68.000000 98.247 175.6693
69.000000 98.246 175.5312
70.000000 98.234 175.3853
71.000000 98.228 175.2823
72.000000 98.223 175.1374
73.000000 98.216 175.0102
74.000000 98.212 174.8799
75.000000 98.206 174.7490
76.199997 98.200 174.6150
77.500000 98.194 174.4478
78.800003 98.185 174.2975
80.000000 98.180 174.1593
81.199997 98.172 174.0082
82.500000 98.163 173.8611
83.800003 98.157 173.7011
85.000000 98.148 173.5457
86.199997 98.139 173.4182
87.500000 98.133 173.2725
88.500000 98.128 173.1456
90.000000 98.117 172.9707
91.199997 98.110 172.8351
92.500000 98.101 172.6841
93.800003 98.090 172.5468
95.000000 98.083 172.4260
96.199997 98.076 172.2917
97.500000 98.067 172.1462
98.800003 98.058 172.0155
100.000000 98.052 171.8944
101.500000 98.043 171.7261
103.000000 98.031 171.5620
104.400002 98.021 171.4252
106.000000 98.012 171.2617
107.500000 98.002 171.1017
109.000000 97.991 170.9475
110.599998 97.980 170.7935
112.000000 97.970 170.6573
113.800003 97.958 170.4760
115.000000 97.949 170.3530
117.199997 97.935 170.1372
118.000000 97.929 170.0612
120.599998 97.911 169.8067
122.000000 97.900 169.6782
124.099998 97.884 169.4824
125.000000 97.877 169.3957
126.500000 97.865 169.2502
128.000000 97.852 169.1076
131.500000 97.825 168.7921
132.000000 97.821 168.7485
134.000000 97.807 168.5720
136.000000 97.792 168.3906
138.000000 97.776 168.2081
140.000000 97.759 168.0292
143.000000 97.734 167.7714
145.000000 97.717 167.6007
147.500000 97.696 167.3892
150.000000 97.675 167.1734
152.500000 97.654 166.9603
155.000000 97.632 166.7513
157.500000 97.611 166.5465
160.000000 97.589 166.3420
162.500000 97.567 166.1396
165.000000 97.545 165.9409
167.500000 97.523 165.7407
170.000000 97.499 165.5456
172.500000 97.475 165.3506
175.000000 97.451 165.1532
177.500000 97.428 164.9552
180.000000 97.404 164.7615
182.500000 97.378 164.5869
185.000000 97.353 164.4167
187.500000 97.328 164.2391
190.000000 97.302 164.0613
192.500000 97.277 163.8888
195.000000 97.252 163.7176
197.500000 97.227 163.5462
200.000000 97.201 163.3744
203.000000 97.169 163.1669
206.000000 97.136 162.9651
209.000000 97.102 162.7691
212.000000 97.067 162.5730
214.000000 97.044 162.4442
218.000000 96.996 162.2005
220.000000 96.971 162.0839
224.000000 96.919 161.8489
227.000000 96.878 161.6797
230.000000 96.836 161.5289
233.000000 96.791 161.4001
236.000000 96.746 161.2873
240.000000 96.684 161.1527
243.000000 96.639 161.0685
247.000000 96.573 160.9869
250.000000 96.515 160.9982
254.000000 96.438 161.1396
258.000000 96.363 161.4711
262.000000 96.320 162.0863
265.000000 96.336 162.7042
269.000000 96.440 163.3865
272.000000 96.560 163.4479
276.000000 96.705 162.8106
280.000000 96.772 161.7551
285.000000 96.751 160.5179
290.000000 96.678 159.6251
295.000000 96.594 158.9977
300.000000 96.512 158.5328
304.000000 96.446 158.2262
307.000000 96.399 158.0226
311.000000 96.339 157.7762
315.000000 96.281 157.5527
320.000000 96.211 157.2999
325.000000 96.144 157.0653
330.000000 96.077 156.8467
335.000000 96.012 156.6453
340.000000 95.948 156.4577
345.000000 95.884 156.2808
350.000000 95.820 156.1166
355.000000 95.757 155.9668
360.000000 95.695 155.8290
365.000000 95.633 155.7060
370.000000 95.572 155.6049
375.000000 95.514 155.5262
382.000000 95.440 155.4260
387.000000 95.392 155.3298
395.000000 95.313 155.1111
400.000000 95.259 154.9621
406.000000 95.190 154.7988
412.000000 95.120 154.6655
418.000000 95.050 154.5624
425.000000 94.969 154.4767
431.000000 94.903 154.4161
437.000000 94.840 154.3414
444.000000 94.767 154.2328
450.000000 94.702 154.1367
455.000000 94.646 154.0645
462.000000 94.567 153.9847
468.000000 94.499 153.9312
475.000000 94.420 153.8824
482.000000 94.341 153.8495
487.000000 94.285 153.8348
494.000000 94.207 153.8217
500.000000 94.141 153.8161
508.000000 94.054 153.8197
515.000000 93.978 153.8347
522.000000 93.903 153.8609
530.000000 93.818 153.9080
538.000000 93.733 153.9717
545.000000 93.660 154.0272
552.000000 93.587 154.0894
560.000000 93.505 154.1751
570.000000 93.404 154.2992
580.000000 93.303 154.4368
590.000000 93.204 154.5958
600.000000 93.106 154.7758
608.000000 93.030 154.9221
615.000000 92.964 155.0617
622.000000 92.898 155.2128
630.000000 92.824 155.3940
640.000000 92.734 155.6349
650.000000 92.645 155.8919
660.000000 92.559 156.1639
670.000000 92.473 156.4453
680.000000 92.390 156.7420
690.000000 92.311 157.0527
700.000000 92.233 157.3723
710.000000 92.159 157.7045
720.000000 92.087 158.0494
730.000000 92.016 158.4098
740.000000 91.949 158.7758
750.000000 91.886 159.1470
762.000000 91.815 159.5940
775.000000 91.743 160.0738
788.000000 91.677 160.5472
800.000000 91.622 160.9723
812.000000 91.572 161.3587
825.000000 91.518 161.7119
838.000000 91.458 162.0018
850.000000 91.392 162.2260
862.000000 91.312 162.4671
875.000000 91.211 162.8288
885.000000 91.130 163.2144
900.000000 91.019 163.9636
912.000000 90.947 164.6530
925.000000 90.887 165.4333
938.000000 90.843 166.2038
950.000000 90.813 166.8833
962.000000 90.791 167.5283
975.000000 90.774 168.1886
988.000000 90.762 168.8062
1000.000000 90.755 169.3448
1015.000000 90.749 169.9811
1030.000000 90.744 170.5688
1044.000000 90.742 171.0780
1060.000000 90.741 171.6252
1075.000000 90.740 172.1078
1090.000000 90.738 172.5575
1106.000000 90.736 173.0071
1120.000000 90.734 173.3817
1138.000000 90.729 173.8420
1150.000000 90.724 174.1293
1172.000000 90.713 174.6317
1180.000000 90.708 174.8106
1206.000000 90.688 175.3769
1220.000000 90.674 175.6772
1241.000000 90.651 176.1236
1250.000000 90.641 176.3149
1265.000000 90.621 176.6381
1280.000000 90.601 176.9697
1315.000000 90.548 177.7669
1320.000000 90.540 177.8836
1340.000000 90.507 178.3572
1360.000000 90.474 178.8487
1380.000000 90.441 179.3587
1400.000000 90.407 179.8916
1430.000000 90.357 -179.2681
1450.000000 90.325 -178.6851
1475.000000 90.286 -177.9355
1500.000000 90.250 -177.1526
1525.000000 90.216 -176.3462
1550.000000 90.186 -175.5147
1575.000000 90.159 -174.6511
1600.000000 90.137 -173.7606
1625.000000 90.118 -172.8545
1650.000000 90.104 -171.9269
1675.000000 90.094 -170.9797
1700.000000 90.090 -170.0199
1725.000000 90.091 -169.0454
1750.000000 90.097 -168.0567
1775.000000 90.108 -167.0563
1800.000000 90.125 -166.0449
1825.000000 90.146 -165.0265
1850.000000 90.173 -163.9990
1875.000000 90.206 -162.9678
1900.000000 90.244 -161.9331
1925.000000 90.287 -160.8932
1950.000000 90.336 -159.8545
1975.000000 90.392 -158.8178
2000.000000 90.452 -157.7788
2030.000000 90.533 -156.5320
2060.000000 90.623 -155.2939
2090.000000 90.721 -154.0715
2120.000000 90.828 -152.8720
2140.000000 90.903 -152.0840
2180.000000 91.062 -150.5288
2200.000000 91.146 -149.7631
2240.000000 91.324 -148.2581
2270.000000 91.467 -147.1517
2300.000000 91.616 -146.0699
2330.000000 91.774 -145.0145
2360.000000 91.938 -143.9873
2400.000000 92.169 -142.6659
2430.000000 92.350 -141.7173
2470.000000 92.604 -140.5140
2500.000000 92.801 -139.6611
2540.000000 93.075 -138.5921
2580.000000 93.360 -137.6083
2620.000000 93.654 -136.7135
2650.000000 93.881 -136.1062
2690.000000 94.193 -135.3891
2720.000000 94.431 -134.9191
2760.000000 94.755 -134.3885
2800.000000 95.086 -133.9747
2850.000000 95.506 -133.6296
2900.000000 95.932 -133.4819
2950.000000 96.359 -133.5378
3000.000000 96.784 -133.7994
3040.000000 97.120 -134.1537
3070.000000 97.369 -134.5010
3110.000000 97.695 -135.0674
3150.000000 98.013 -135.7423
3200.000000 98.399 -136.7157
3250.000000 98.773 -137.8153
3300.000000 99.141 -139.0386
3350.000000 99.506 -140.4461
3400.000000 99.857 -142.0626
3450.000000 100.174 -143.8320
3500.000000 100.454 -145.7208
3550.000000 100.702 -147.6610
3600.000000 100.922 -149.6015
3650.000000 101.120 -151.5147
3700.000000 101.300 -153.3871
3750.000000 101.467 -155.2132
3820.000000 101.685 -157.6820
3870.000000 101.837 -159.3473
3950.000000 102.125 -161.9113
4000.000000 102.330 -163.7710
4060.000000 102.559 -166.2159
4120.000000 102.784 -168.7860
4180.000000 103.013 -171.5568
4250.000000 103.279 -175.1671
4310.000000 103.494 -178.6713
4370.000000 103.678 177.3962
4440.000000 103.827 172.2575
4500.000000 103.871 167.4383
4550.000000 103.831 163.2184
4620.000000 103.644 157.2149
4680.000000 103.360 152.2142
4750.000000 102.904 146.8159
4820.000000 102.352 142.0354
4870.000000 101.918 138.9997
4940.000000 101.269 135.2321
5000.000000 100.679 132.4359
5080.000000 99.852 129.3712
5150.000000 99.106 127.3521
5220.000000 98.356 125.9458
5300.000000 97.514 125.0345
5380.000000 96.712 124.7211
5450.000000 96.052 124.8583
5520.000000 95.430 125.3136
5600.000000 94.765 126.1493
5700.000000 93.997 127.5762
5800.000000 93.297 129.3619
5900.000000 92.660 131.4644
6000.000000 92.090 133.8686
6080.000000 91.686 135.9789
6150.000000 91.373 137.9225
