* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (3- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Jan 29, 2024 8:36:37 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Nightjar Sing (AET07) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 88.443 172.4796
20.600000 88.417 172.0219
20.900000 88.383 171.5209
21.200001 88.349 171.0285
21.400000 88.329 170.7029
21.799999 88.294 170.0457
22.000000 88.280 169.7118
22.400000 88.252 169.0393
22.700001 88.229 168.5439
23.000000 88.203 168.0692
23.299999 88.175 167.6221
23.600000 88.145 167.2007
24.000000 88.105 166.6617
24.299999 88.075 166.2583
24.700001 88.035 165.7046
25.000000 88.004 165.2769
25.400000 87.960 164.7032
25.799999 87.916 164.1454
26.200001 87.872 163.6161
26.500000 87.842 163.2372
26.900000 87.803 162.7473
27.200001 87.774 162.3850
27.600000 87.735 161.9044
28.000000 87.695 161.4272
28.500000 87.642 160.8415
29.000000 87.588 160.2751
29.500000 87.534 159.7319
30.000000 87.480 159.2119
30.400000 87.437 158.8084
30.700001 87.404 158.5097
31.100000 87.361 158.1130
31.500000 87.317 157.7168
32.000000 87.261 157.2258
32.500000 87.206 156.7451
33.000000 87.153 156.2760
33.500000 87.101 155.8159
34.000000 87.049 155.3650
34.500000 86.995 154.9285
35.000000 86.940 154.5092
35.500000 86.884 154.1028
36.000000 86.829 153.7022
36.500000 86.775 153.3044
37.000000 86.720 152.9116
37.500000 86.666 152.5263
38.200001 86.591 151.9996
38.700001 86.537 151.6333
39.500000 86.451 151.0729
40.000000 86.397 150.7415
40.599998 86.332 150.3573
41.200001 86.267 149.9756
41.799999 86.203 149.5878
42.500000 86.128 149.1351
43.099998 86.064 148.7643
43.700001 86.000 148.4174
44.400002 85.929 148.0284
45.000000 85.868 147.6953
45.500000 85.816 147.4188
46.200001 85.743 147.0420
46.799999 85.682 146.7293
47.500000 85.611 146.3725
48.200001 85.541 146.0258
48.700001 85.490 145.7862
49.400002 85.419 145.4593
50.000000 85.359 145.1837
50.799999 85.279 144.8242
51.500000 85.209 144.5211
52.200001 85.140 144.2282
53.000000 85.060 143.9037
53.799999 84.982 143.5878
54.500000 84.913 143.3164
55.200001 84.846 143.0514
56.000000 84.769 142.7610
57.000000 84.674 142.4124
58.000000 84.579 142.0685
59.000000 84.485 141.7358
60.000000 84.393 141.4176
60.799999 84.320 141.1776
61.500000 84.256 140.9820
62.200001 84.192 140.7927
63.000000 84.120 140.5718
64.000000 84.031 140.2936
65.000000 83.942 140.0322
66.000000 83.855 139.7883
67.000000 83.769 139.5495
68.000000 83.682 139.3157
69.000000 83.597 139.0934
70.000000 83.512 138.8806
71.000000 83.428 138.6737
72.000000 83.344 138.4747
73.000000 83.261 138.2872
74.000000 83.181 138.1043
75.000000 83.101 137.9280
76.199997 83.004 137.7273
77.500000 82.895 137.4986
78.800003 82.791 137.2820
80.000000 82.699 137.1049
81.199997 82.608 136.9574
82.500000 82.514 136.8423
83.800003 82.413 136.6946
85.000000 82.321 136.5215
86.199997 82.238 136.4081
87.500000 82.148 136.2637
88.500000 82.099 135.9741
90.000000 82.071 135.2106
91.199997 81.970 135.1314
92.500000 81.825 135.6262
93.800003 81.707 135.7107
95.000000 81.625 135.6251
96.199997 81.547 135.5691
97.500000 81.457 135.4916
98.800003 81.370 135.4112
100.000000 81.293 135.3634
101.500000 81.196 135.2831
103.000000 81.097 135.2384
104.400002 81.009 135.2129
106.000000 80.913 135.1523
107.500000 80.824 135.0919
109.000000 80.736 135.0321
110.599998 80.644 134.9947
112.000000 80.565 134.9665
113.800003 80.467 134.8994
115.000000 80.399 134.8651
117.199997 80.267 134.8976
118.000000 80.221 134.9044
120.599998 80.079 134.8723
122.000000 80.001 134.8485
124.099998 79.887 134.8452
125.000000 79.840 134.8702
126.500000 79.762 134.9316
128.000000 79.691 134.9335
131.500000 79.511 134.8469
132.000000 79.481 134.8845
134.000000 79.351 135.1055
136.000000 79.246 135.1838
138.000000 79.157 135.1706
140.000000 79.070 135.1998
143.000000 78.935 135.3066
145.000000 78.840 135.3927
147.500000 78.718 135.4655
150.000000 78.598 135.5725
152.500000 78.491 135.7525
155.000000 78.377 135.9117
157.500000 78.260 136.0734
160.000000 78.146 136.2137
162.500000 78.042 136.3749
165.000000 77.948 136.6081
167.500000 77.850 136.7998
170.000000 77.743 136.9412
172.500000 77.643 137.1894
175.000000 77.553 137.4952
177.500000 77.473 137.7979
180.000000 77.400 138.1161
182.500000 77.325 138.3584
185.000000 77.254 138.5210
187.500000 77.189 138.6726
190.000000 77.123 138.8031
192.500000 77.051 138.9081
195.000000 76.973 138.9851
197.500000 76.893 139.0707
200.000000 76.813 139.2418
203.000000 76.721 139.4856
206.000000 76.625 139.6835
209.000000 76.529 139.8918
212.000000 76.441 140.1213
214.000000 76.379 140.2709
218.000000 76.252 140.6047
220.000000 76.193 140.7845
224.000000 76.093 141.0862
227.000000 76.027 141.3664
230.000000 75.937 141.7214
233.000000 75.844 142.0807
236.000000 75.764 142.4080
240.000000 75.666 142.8270
243.000000 75.600 143.1809
247.000000 75.510 143.5639
250.000000 75.440 143.8075
254.000000 75.350 144.1690
258.000000 75.267 144.5372
262.000000 75.196 144.9098
265.000000 75.142 145.1559
269.000000 75.065 145.4718
272.000000 75.002 145.7292
276.000000 74.915 146.0738
280.000000 74.833 146.4104
285.000000 74.739 146.8653
290.000000 74.644 147.3439
295.000000 74.547 147.8173
300.000000 74.452 148.2967
304.000000 74.378 148.6989
307.000000 74.325 149.0073
311.000000 74.256 149.4314
315.000000 74.189 149.8666
320.000000 74.111 150.4256
325.000000 74.037 150.9858
330.000000 73.967 151.5338
335.000000 73.902 152.0562
340.000000 73.841 152.5804
345.000000 73.782 153.1006
350.000000 73.724 153.6118
355.000000 73.670 154.1162
360.000000 73.618 154.6063
365.000000 73.568 155.0903
370.000000 73.518 155.5789
375.000000 73.471 156.0549
382.000000 73.407 156.6953
387.000000 73.364 157.1381
395.000000 73.298 157.8507
400.000000 73.257 158.2958
406.000000 73.210 158.8179
412.000000 73.163 159.3262
418.000000 73.115 159.8269
425.000000 73.059 160.4050
431.000000 73.016 160.8898
437.000000 72.975 161.3791
444.000000 72.926 161.9435
450.000000 72.886 162.4118
455.000000 72.853 162.7945
462.000000 72.807 163.3347
468.000000 72.769 163.7947
475.000000 72.722 164.3290
482.000000 72.676 164.8632
487.000000 72.643 165.2426
494.000000 72.598 165.7782
500.000000 72.560 166.2460
508.000000 72.511 166.8749
515.000000 72.467 167.4292
522.000000 72.425 167.9857
530.000000 72.379 168.6306
538.000000 72.336 169.2761
545.000000 72.300 169.8419
552.000000 72.265 170.4100
560.000000 72.227 171.0579
570.000000 72.182 171.8673
580.000000 72.139 172.6829
590.000000 72.098 173.5046
600.000000 72.061 174.3323
608.000000 72.032 174.9963
615.000000 72.009 175.5786
622.000000 71.986 176.1626
630.000000 71.963 176.8337
640.000000 71.936 177.6745
650.000000 71.912 178.5166
660.000000 71.891 179.3618
670.000000 71.872 -179.7872
680.000000 71.857 -178.9310
690.000000 71.845 -178.0748
700.000000 71.836 -177.2182
710.000000 71.830 -176.3602
720.000000 71.827 -175.4966
730.000000 71.827 -174.6301
740.000000 71.831 -173.7645
750.000000 71.838 -172.8982
762.000000 71.852 -171.8578
775.000000 71.872 -170.7328
788.000000 71.898 -169.6073
800.000000 71.928 -168.5720
812.000000 71.964 -167.5386
825.000000 72.010 -166.4291
838.000000 72.062 -165.3301
850.000000 72.116 -164.3275
862.000000 72.177 -163.3422
875.000000 72.250 -162.2933
885.000000 72.311 -161.5015
900.000000 72.409 -160.3456
912.000000 72.495 -159.4505
925.000000 72.594 -158.5164
938.000000 72.699 -157.6228
950.000000 72.801 -156.8364
962.000000 72.907 -156.0894
975.000000 73.026 -155.3271
988.000000 73.149 -154.6160
1000.000000 73.265 -154.0069
1015.000000 73.412 -153.3136
1030.000000 73.561 -152.6922
1044.000000 73.701 -152.1784
1060.000000 73.859 -151.6652
1075.000000 74.005 -151.2491
1090.000000 74.148 -150.8938
1106.000000 74.296 -150.5752
1120.000000 74.422 -150.3394
1138.000000 74.578 -150.0897
1150.000000 74.678 -149.9512
1172.000000 74.853 -149.7444
1180.000000 74.914 -149.6819
1206.000000 75.102 -149.5131
1220.000000 75.198 -149.4381
1241.000000 75.335 -149.3412
1250.000000 75.391 -149.3041
1265.000000 75.483 -149.2437
1280.000000 75.571 -149.1825
1315.000000 75.766 -149.0436
1320.000000 75.793 -149.0233
1340.000000 75.899 -148.9391
1360.000000 76.002 -148.8495
1380.000000 76.103 -148.7562
1400.000000 76.202 -148.6597
1430.000000 76.350 -148.5080
1450.000000 76.447 -148.4039
1475.000000 76.569 -148.2708
1500.000000 76.690 -148.1384
1525.000000 76.813 -148.0099
1550.000000 76.936 -147.8858
1575.000000 77.061 -147.7690
1600.000000 77.187 -147.6621
1625.000000 77.313 -147.5681
1650.000000 77.442 -147.4883
1675.000000 77.572 -147.4273
1700.000000 77.703 -147.3833
1725.000000 77.836 -147.3581
1750.000000 77.970 -147.3561
1775.000000 78.105 -147.3800
1800.000000 78.242 -147.4289
1825.000000 78.379 -147.5053
1850.000000 78.516 -147.6110
1875.000000 78.654 -147.7456
1900.000000 78.792 -147.9078
1925.000000 78.933 -148.0925
1950.000000 79.077 -148.3279
1975.000000 79.222 -148.6138
2000.000000 79.364 -148.9154
2030.000000 79.527 -149.3048
2060.000000 79.685 -149.7553
2090.000000 79.840 -150.2578
2120.000000 79.992 -150.8087
2140.000000 80.091 -151.2021
2180.000000 80.282 -152.0522
2200.000000 80.374 -152.5073
2240.000000 80.551 -153.4763
2270.000000 80.676 -154.2509
2300.000000 80.793 -155.0638
2330.000000 80.903 -155.9124
2360.000000 81.005 -156.7911
2400.000000 81.128 -158.0013
2430.000000 81.210 -158.9330
2470.000000 81.306 -160.1993
2500.000000 81.368 -161.1604
2540.000000 81.435 -162.4498
2580.000000 81.487 -163.7390
2620.000000 81.523 -165.0165
2650.000000 81.540 -165.9608
2690.000000 81.551 -167.1921
2720.000000 81.550 -168.0903
2760.000000 81.538 -169.2488
2800.000000 81.514 -170.3579
2850.000000 81.471 -171.6679
2900.000000 81.415 -172.8871
2950.000000 81.348 -174.0118
3000.000000 81.273 -175.0407
3040.000000 81.207 -175.7937
3070.000000 81.156 -176.3184
3110.000000 81.087 -176.9687
3150.000000 81.015 -177.5645
3200.000000 80.925 -178.2341
3250.000000 80.834 -178.8258
3300.000000 80.743 -179.3438
3350.000000 80.654 -179.7917
3400.000000 80.568 179.8305
3450.000000 80.485 179.5236
3500.000000 80.408 179.2822
3550.000000 80.340 179.0962
3600.000000 80.283 178.9398
3650.000000 80.237 178.7796
3700.000000 80.198 178.5900
3750.000000 80.163 178.3651
3820.000000 80.112 178.0035
3870.000000 80.073 177.7260
3950.000000 79.999 177.2941
4000.000000 79.946 177.1043
4060.000000 79.893 177.0623
4120.000000 79.891 177.0774
4180.000000 79.922 176.7275
4250.000000 79.924 175.9581
4310.000000 79.895 175.2747
4370.000000 79.852 174.6118
4440.000000 79.791 173.8407
4500.000000 79.729 173.1739
4550.000000 79.669 172.6190
4620.000000 79.574 171.8599
4680.000000 79.481 171.2471
4750.000000 79.364 170.5983
4820.000000 79.243 170.0211
4870.000000 79.156 169.6392
4940.000000 79.033 169.1227
5000.000000 78.922 168.6877
5080.000000 78.761 168.1425
5150.000000 78.612 167.6990
5220.000000 78.459 167.3037
5300.000000 78.279 166.9400
5380.000000 78.092 166.6812
5450.000000 77.925 166.5464
5520.000000 77.757 166.5002
5600.000000 77.564 166.5599
5700.000000 77.330 166.8031
5800.000000 77.106 167.2159
5900.000000 76.899 167.7712
6000.000000 76.708 168.4441
6080.000000 76.569 169.0541
6150.000000 76.455 169.6420
6220.000000 76.351 170.2851
6300.000000 76.244 171.0932
