* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (3- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Jan 29, 2024 7:11:10 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Nightjar Singularity L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 88.726 171.8732
20.600000 88.705 171.4286
20.900000 88.676 170.9287
21.200001 88.645 170.4213
21.400000 88.624 170.0798
21.799999 88.583 169.3896
22.000000 88.563 169.0436
22.400000 88.522 168.3600
22.700001 88.492 167.8629
23.000000 88.461 167.3844
23.299999 88.430 166.9259
23.600000 88.399 166.4859
24.000000 88.357 165.9211
24.299999 88.326 165.5078
24.700001 88.285 164.9634
25.000000 88.255 164.5576
25.400000 88.215 164.0197
25.799999 88.174 163.4885
26.200001 88.133 162.9676
26.500000 88.102 162.5852
26.900000 88.060 162.0869
27.200001 88.027 161.7220
27.600000 87.982 161.2471
28.000000 87.936 160.7849
28.500000 87.879 160.2217
29.000000 87.823 159.6669
29.500000 87.768 159.1119
30.000000 87.714 158.5555
30.400000 87.671 158.1151
30.700001 87.638 157.7918
31.100000 87.594 157.3741
31.500000 87.550 156.9730
32.000000 87.495 156.4915
32.500000 87.441 156.0252
33.000000 87.385 155.5690
33.500000 87.329 155.1218
34.000000 87.272 154.6842
34.500000 87.215 154.2554
35.000000 87.159 153.8336
35.500000 87.104 153.4176
36.000000 87.049 153.0086
36.500000 86.995 152.6086
37.000000 86.940 152.2180
37.500000 86.885 151.8355
38.200001 86.807 151.3130
38.700001 86.751 150.9524
39.500000 86.662 150.4015
40.000000 86.607 150.0691
40.599998 86.541 149.6748
41.200001 86.475 149.2843
41.799999 86.408 148.9025
42.500000 86.332 148.4725
43.099998 86.268 148.1141
43.700001 86.205 147.7609
44.400002 86.130 147.3579
45.000000 86.065 147.0244
45.500000 86.012 146.7540
46.200001 85.939 146.3811
46.799999 85.875 146.0668
47.500000 85.801 145.7145
48.200001 85.727 145.3794
48.700001 85.675 145.1455
49.400002 85.604 144.8200
50.000000 85.542 144.5450
50.799999 85.460 144.1896
51.500000 85.390 143.8879
52.200001 85.319 143.5925
53.000000 85.240 143.2630
53.799999 85.161 142.9451
54.500000 85.092 142.6787
55.200001 85.022 142.4230
56.000000 84.944 142.1390
57.000000 84.846 141.7921
58.000000 84.751 141.4596
59.000000 84.658 141.1426
60.000000 84.563 140.8371
60.799999 84.487 140.5995
61.500000 84.422 140.3963
62.200001 84.358 140.1976
63.000000 84.285 139.9770
64.000000 84.194 139.7126
65.000000 84.104 139.4594
66.000000 84.015 139.2164
67.000000 83.926 138.9873
68.000000 83.839 138.7701
69.000000 83.753 138.5556
70.000000 83.666 138.3389
71.000000 83.577 138.1265
72.000000 83.490 137.9388
73.000000 83.409 137.7621
74.000000 83.325 137.5983
75.000000 83.239 137.4692
76.199997 83.143 137.3020
77.500000 83.040 137.1125
78.800003 82.935 136.9500
80.000000 82.844 136.7779
81.199997 82.760 136.5942
82.500000 82.664 136.3974
83.800003 82.561 136.2249
85.000000 82.470 136.0732
86.199997 82.383 135.9292
87.500000 82.294 135.8086
88.500000 82.226 135.7470
90.000000 82.121 135.7023
91.199997 82.037 135.5762
92.500000 81.942 135.4030
93.800003 81.853 135.2915
95.000000 81.772 135.2097
96.199997 81.694 135.1272
97.500000 81.608 135.0426
98.800003 81.519 134.9766
100.000000 81.439 134.9195
101.500000 81.343 134.8499
103.000000 81.248 134.7882
104.400002 81.160 134.7317
106.000000 81.059 134.6808
107.500000 80.965 134.6363
109.000000 80.874 134.5944
110.599998 80.777 134.5551
112.000000 80.694 134.5281
113.800003 80.588 134.5199
115.000000 80.518 134.5220
117.199997 80.391 134.5028
118.000000 80.346 134.5010
120.599998 80.200 134.5113
122.000000 80.122 134.5112
124.099998 80.008 134.5208
125.000000 79.961 134.5357
126.500000 79.881 134.5620
128.000000 79.804 134.5973
131.500000 79.629 134.6384
132.000000 79.601 134.6474
134.000000 79.488 134.6987
136.000000 79.390 134.7858
138.000000 79.298 134.9017
140.000000 79.199 134.9841
143.000000 79.050 135.0987
145.000000 78.954 135.1864
147.500000 78.837 135.3012
150.000000 78.720 135.4144
152.500000 78.605 135.5507
155.000000 78.486 135.7004
157.500000 78.367 135.8582
160.000000 78.254 136.0463
162.500000 78.143 136.2824
165.000000 78.040 136.6015
167.500000 77.943 136.9506
170.000000 77.854 137.2845
172.500000 77.779 137.5423
175.000000 77.713 137.7469
177.500000 77.644 137.9309
180.000000 77.571 138.0702
182.500000 77.496 138.1746
185.000000 77.422 138.3252
187.500000 77.348 138.4787
190.000000 77.272 138.6082
192.500000 77.194 138.7386
195.000000 77.116 138.8818
197.500000 77.041 139.0373
200.000000 76.968 139.1930
203.000000 76.876 139.4357
206.000000 76.781 139.6649
209.000000 76.687 139.8988
212.000000 76.597 140.0761
214.000000 76.536 140.1962
218.000000 76.413 140.4610
220.000000 76.356 140.5720
224.000000 76.240 140.8953
227.000000 76.153 141.1707
230.000000 76.069 141.4562
233.000000 75.987 141.7607
236.000000 75.907 142.0750
240.000000 75.802 142.5034
243.000000 75.722 142.8272
247.000000 75.627 143.2249
250.000000 75.565 143.5133
254.000000 75.484 143.9367
258.000000 75.404 144.3716
262.000000 75.326 144.8108
265.000000 75.270 145.1303
269.000000 75.198 145.4635
272.000000 75.148 145.6809
276.000000 75.080 145.9758
280.000000 75.002 146.3591
285.000000 74.911 146.8018
290.000000 74.822 147.2257
295.000000 74.732 147.6436
300.000000 74.642 148.0707
304.000000 74.568 148.4038
307.000000 74.514 148.6550
311.000000 74.441 149.0211
315.000000 74.369 149.4062
320.000000 74.284 149.9062
325.000000 74.205 150.4122
330.000000 74.124 150.9146
335.000000 74.044 151.4324
340.000000 73.968 151.9654
345.000000 73.898 152.5092
350.000000 73.835 153.0606
355.000000 73.775 153.6113
360.000000 73.717 154.1563
365.000000 73.664 154.6925
370.000000 73.614 155.2228
375.000000 73.567 155.7483
382.000000 73.507 156.4610
387.000000 73.467 156.9483
395.000000 73.407 157.7012
400.000000 73.371 158.1491
406.000000 73.329 158.6713
412.000000 73.288 159.1766
418.000000 73.247 159.6652
425.000000 73.198 160.2193
431.000000 73.156 160.6935
437.000000 73.114 161.1608
444.000000 73.066 161.6971
450.000000 73.025 162.1535
455.000000 72.991 162.5349
462.000000 72.943 163.0704
468.000000 72.902 163.5274
475.000000 72.855 164.0598
482.000000 72.809 164.5922
487.000000 72.776 164.9743
494.000000 72.731 165.5102
500.000000 72.693 165.9708
508.000000 72.643 166.5907
515.000000 72.600 167.1383
522.000000 72.559 167.6899
530.000000 72.514 168.3241
538.000000 72.470 168.9636
545.000000 72.432 169.5252
552.000000 72.396 170.0912
560.000000 72.357 170.7390
570.000000 72.311 171.5498
580.000000 72.267 172.3649
590.000000 72.227 173.1849
600.000000 72.188 174.0089
608.000000 72.160 174.6700
615.000000 72.136 175.2508
622.000000 72.114 175.8328
630.000000 72.091 176.4984
640.000000 72.064 177.3367
650.000000 72.040 178.1762
660.000000 72.018 179.0180
670.000000 71.999 179.8650
680.000000 71.984 -179.2870
690.000000 71.971 -178.4375
700.000000 71.962 -177.5856
710.000000 71.955 -176.7297
720.000000 71.952 -175.8713
730.000000 71.952 -175.0137
740.000000 71.955 -174.1548
750.000000 71.962 -173.2934
762.000000 71.975 -172.2574
775.000000 71.994 -171.1352
788.000000 72.020 -170.0169
800.000000 72.049 -168.9894
812.000000 72.084 -167.9628
825.000000 72.129 -166.8586
838.000000 72.180 -165.7678
850.000000 72.234 -164.7730
862.000000 72.294 -163.7901
875.000000 72.365 -162.7461
885.000000 72.425 -161.9602
900.000000 72.522 -160.8128
912.000000 72.607 -159.9224
925.000000 72.705 -158.9910
938.000000 72.809 -158.1001
950.000000 72.910 -157.3181
962.000000 73.015 -156.5753
975.000000 73.133 -155.8177
988.000000 73.255 -155.1116
1000.000000 73.370 -154.5086
1015.000000 73.516 -153.8210
1030.000000 73.664 -153.2059
1044.000000 73.801 -152.6953
1060.000000 73.958 -152.1861
1075.000000 74.102 -151.7764
1090.000000 74.244 -151.4259
1106.000000 74.391 -151.1113
1120.000000 74.515 -150.8789
1138.000000 74.669 -150.6324
1150.000000 74.767 -150.4972
1172.000000 74.940 -150.2959
1180.000000 75.000 -150.2347
1206.000000 75.185 -150.0678
1220.000000 75.279 -149.9937
1241.000000 75.414 -149.8971
1250.000000 75.470 -149.8598
1265.000000 75.560 -149.8002
1280.000000 75.646 -149.7411
1315.000000 75.838 -149.6014
1320.000000 75.865 -149.5810
1340.000000 75.969 -149.4972
1360.000000 76.070 -149.4097
1380.000000 76.169 -149.3177
1400.000000 76.267 -149.2207
1430.000000 76.411 -149.0664
1450.000000 76.507 -148.9600
1475.000000 76.626 -148.8268
1500.000000 76.745 -148.6928
1525.000000 76.865 -148.5622
1550.000000 76.986 -148.4371
1575.000000 77.107 -148.3180
1600.000000 77.230 -148.2085
1625.000000 77.355 -148.1101
1650.000000 77.481 -148.0261
1675.000000 77.608 -147.9575
1700.000000 77.737 -147.9041
1725.000000 77.867 -147.8693
1750.000000 77.999 -147.8567
1775.000000 78.132 -147.8686
1800.000000 78.267 -147.9066
1825.000000 78.402 -147.9723
1850.000000 78.538 -148.0682
1875.000000 78.674 -148.1901
1900.000000 78.814 -148.3350
1925.000000 78.957 -148.5312
1950.000000 79.101 -148.7690
1975.000000 79.241 -149.0167
2000.000000 79.376 -149.2888
2030.000000 79.535 -149.6713
2060.000000 79.692 -150.1035
2090.000000 79.847 -150.5845
2120.000000 79.998 -151.1143
2140.000000 80.097 -151.4946
2180.000000 80.288 -152.3206
2200.000000 80.381 -152.7653
2240.000000 80.557 -153.7131
2270.000000 80.683 -154.4729
2300.000000 80.801 -155.2717
2330.000000 80.912 -156.1061
2360.000000 81.015 -156.9735
2400.000000 81.140 -158.1750
2430.000000 81.223 -159.1049
2470.000000 81.319 -160.3729
2500.000000 81.380 -161.3370
2540.000000 81.447 -162.6317
2580.000000 81.496 -163.9268
2620.000000 81.528 -165.2091
2650.000000 81.541 -166.1542
2690.000000 81.543 -167.3805
2720.000000 81.534 -168.2658
2760.000000 81.507 -169.3837
2800.000000 81.467 -170.4101
2850.000000 81.402 -171.5238
2900.000000 81.333 -172.4104
2950.000000 81.278 -173.0804
3000.000000 81.256 -173.6649
3040.000000 81.259 -174.2076
3070.000000 81.265 -174.6989
3110.000000 81.266 -175.4605
3150.000000 81.252 -176.2901
3200.000000 81.210 -177.3269
3250.000000 81.147 -178.2974
3300.000000 81.071 -179.1773
3350.000000 80.985 -179.9659
3400.000000 80.894 179.3329
3450.000000 80.796 178.7265
3500.000000 80.696 178.2343
3550.000000 80.598 177.8650
3600.000000 80.511 177.5913
3650.000000 80.437 177.3692
3700.000000 80.373 177.1606
3750.000000 80.318 176.9433
3820.000000 80.250 176.6062
3870.000000 80.203 176.3379
3950.000000 80.122 175.8788
4000.000000 80.064 175.6222
4060.000000 79.992 175.4635
4120.000000 79.956 175.4743
4180.000000 79.970 175.2824
4250.000000 79.974 174.5848
4310.000000 79.941 173.9111
4370.000000 79.893 173.2760
4440.000000 79.830 172.5438
4500.000000 79.770 171.8948
4550.000000 79.714 171.3351
4620.000000 79.623 170.5304
4680.000000 79.532 169.8373
4750.000000 79.410 169.0535
4820.000000 79.270 168.3362
4870.000000 79.162 167.8851
4940.000000 79.004 167.3518
5000.000000 78.867 166.9752
5080.000000 78.680 166.5663
5150.000000 78.516 166.2706
5220.000000 78.355 166.0045
5300.000000 78.172 165.7547
5380.000000 77.984 165.5728
5450.000000 77.815 165.4764
5520.000000 77.643 165.4456
5600.000000 77.443 165.5031
5700.000000 77.189 165.7356
5800.000000 76.935 166.1755
5900.000000 76.690 166.8288
6000.000000 76.460 167.6731
6080.000000 76.288 168.4871
6150.000000 76.148 169.3105
6220.000000 76.023 170.2399
6300.000000 75.901 171.4207
